start,end,script
00:00:28.487,00:00:32.157,look at it for a minute?
00:00:33.283,00:00:35.327,"You're an artist, Sid."
00:00:37.329,00:00:40.332,You're telling me you're just gonna walk out of here and I'm never gonna see it again?
00:00:41.458,00:00:43.335,"There's a good chance of that, yes."
00:00:45.253,00:00:48.089,"Most guys, you know, for the first one, they start with something small."
00:00:48.131,00:00:50.926,"Mom, girlfriend's initials, something like that."
00:00:50.968,00:00:52.051,Not you.
00:00:53.679,00:00:56.097,"You get a full set of sleeves, all in a couple of months."
00:00:56.139,00:00:59.100,Takes guys a few years to get the ink you got.
00:01:00.268,00:01:02.312,I don't have a few years.
00:01:03.188,00:01:05.357,Wish to hell I did.
00:01:59.286,00:02:01.204,The vault. Open it.
00:02:01.246,00:02:03.958,We can't.
00:02:05.667,00:02:06.919,Where is he?
00:02:06.961,00:02:08.253,It's lunchtime.
00:02:08.295,00:02:09.379,White Castle?
00:02:09.421,00:02:10.631,It's a fast-food restaurant.
00:02:10.672,00:02:13.968,They serve those little square burgers.
00:02:14.509,00:02:15.094,I know what it is.
00:02:18.179,00:02:20.599,I'm not playing games.
00:02:20.641,00:02:23.184,"Sir, you have a half a million dollars cash in your bag."
00:02:23.226,00:02:25.145,Don't you think it would be better if...
00:02:35.238,00:02:37.074,OFFICER ON LOUDSPEAKER: This is the police.
00:02:37.116,00:02:39.118,You are completely surrounded.
00:02:42.245,00:02:43.163,Put down your weapon.
00:02:45.040,00:02:48.209,Put down your weapons now!
00:02:52.255,00:02:55.174,JUDGE: Rarely in the case of armed robbery do we hear a plea of No Contest.
00:02:56.259,00:02:58.470,"Are you sure about this, Mr. Scofield?"
00:02:58.512,00:03:00.263,"I'm sure, Your Honor."
00:03:00.305,00:03:02.016,"Your Honor, we'd like to recess if we could."
00:03:02.057,00:03:04.225,My client's a bit confused at the moment.
00:03:04.267,00:03:05.268,"I'm not, Your Honor."
00:03:05.310,00:03:07.104,"He is, Your Honor."
00:03:07.146,00:03:09.230,Perhaps you should heed your representation's advice.
00:03:09.272,00:03:11.025,Take some additional time to consider your response.
00:03:11.066,00:03:14.235,"I've already done that, Your Honor."
00:03:19.491,00:03:22.243,I'll retire to my chambers to determine sentencing.
00:03:22.285,00:03:24.412,Court's recessed until 1:30.
00:03:26.498,00:03:27.708,"Okay, come on, let's go."
00:03:27.749,00:03:30.209,Uncle Mike.
00:03:30.251,00:03:31.879,I didn't want you to come.
00:03:31.920,00:03:33.922,"Go home, LJ."
00:03:33.964,00:03:36.341,I didn't want you to see this.
00:03:44.307,00:03:45.642,He's not going to take this well.
00:03:45.684,00:03:47.268,Can you blame him?
00:03:47.310,00:03:51.982,He's beginning to get the idea that anybody he attaches himself to is going to end up in prison.
00:03:52.024,00:03:56.277,"And he's not the only one who is starting to feel that way, Michael."
00:03:56.319,00:03:57.445,Will you give us a minute?
00:03:57.487,00:03:58.613,GUARD: One minute.
00:03:59.406,00:04:01.282,Don't you understand?
00:04:01.324,00:04:05.286,You just put the book in that woman's hand and she's going to lob it at you like a grenade.
00:04:05.328,00:04:07.706,Justice and punishment are the same thing to her.
00:04:07.748,00:04:09.290,I know.
00:04:09.332,00:04:11.543,Then will you please tell me what's going through your head?
00:04:11.585,00:04:12.753,We've been over this.
00:04:12.794,00:04:14.254,I've known you my entire life.
00:04:14.295,00:04:16.464,You don't have a violent bone in your body.
00:04:16.506,00:04:18.258,And I know you didn't need the money.
00:04:18.299,00:04:19.300,Veronica.
00:04:19.342,00:04:21.302,Why won't you let me help you?
