start,end,script
00:02:40.833,00:02:45.000,"Excuse me. Can you tell me, is this where Delmare Berry lives?"
00:02:45.833,00:02:46.958,He ain't here.
00:02:48.500,00:02:49.833,"Go on inside, baby."
00:02:55.958,00:03:00.916,"Well, he's a friend of mine… As a matter of fact, he wrote this address down."
00:03:01.916,00:03:02.458,&lrm;Right here.
00:03:03.958,00:03:04.708,Here.
00:03:05.250,00:03:07.333,You can see that's Delmare's writing.
00:03:07.916,00:03:10.000,I sure had a hard time finding this place!
00:03:10.416,00:03:13.625,"-That's his writin'. -Well, like I said, he's a friend."
00:03:14.208,00:03:18.041,My name is John Rambo. We served on the same team together in Nam.
00:03:18.583,00:03:25.708,I don't know if he ever talked about me… I've got a picture of us together.
00:03:26.916,00:03:33.458,Somewhere… Here… here it is.
00:03:34.000,00:03:40.791,"That's me, that's Danforth, Westmore, Bronson, Ortega, and there's Delmare, right in the back."
00:03:40.875,00:03:45.250,"We had to put him in the back because he's so big, if we didn't, he'd take up the whole picture! Look how big he is."
00:03:45.666,00:03:46.750,Delmare's gone.
00:03:47.166,00:03:48.000,&lrm;Oh.
00:03:48.541,00:03:51.458,-When wil-- What time will he be back? -He died.
00:03:52.250,00:03:53.000,What?
00:03:54.416,00:03:55.583,Died last summer.
00:03:57.750,00:03:58.458,Died how?
00:03:59.791,00:04:00.458,Cancer.
00:04:01.916,00:04:03.291,&lrm;Brought it back from Nam.
00:04:04.458,00:04:06.583,All that orange stuff they spreaded around.
00:04:08.208,00:04:09.791,Cut him down to nothing.
00:04:10.958,00:04:12.375,&lrm;I could lift him off the sheet.
00:04:22.500,00:04:23.625,I'm very sorry.
00:05:19.958,00:05:21.750,"Morning, Amy! How are you doing, girls?"
00:05:21.833,00:05:23.833,"-Great, thanks. -Alright this morning?"
00:05:27.208,00:05:28.875,"-Andy! -Howdy, Will!"
00:05:41.583,00:05:42.458,"Morning, Dave!"
00:05:42.958,00:05:43.958,"&lrm;Hi, Sheriff!"
00:05:44.375,00:05:45.791,Gonna take a bath this week?
00:05:54.125,00:05:54.666,Morning!
00:05:59.708,00:06:02.875,You… you visiting somebody around here?
00:06:04.541,00:06:05.583,No.
00:06:07.708,00:06:14.625,"You know, wearing that flag on that jacket, looking the way you do… you're askin' for trouble around here, friend!"
00:06:16.333,00:06:17.791,Headed North or South?
00:06:18.500,00:06:19.083,&lrm;North.
00:06:21.000,00:06:24.708,"Jump in, &lrm;I'll make sure &lrm;you head in the right direction, huh!"
00:06:37.125,00:06:38.041,Where are you headed?
00:06:38.791,00:06:39.666,&lrm;Portland.
00:06:39.750,00:06:41.958,"Portland is South, you said you were headed North."
00:06:42.333,00:06:43.166,&lrm;No.
00:06:44.041,00:06:45.666,You got some place I can eat around here?
00:06:48.208,00:06:50.416,There's a diner about 30 miles up the highway.
00:06:53.416,00:06:55.625,Is there any law against me getting something here?
00:06:55.708,00:06:57.125,"Yeah, me."
00:06:59.541,00:07:00.791,Why are you pushin' me?
00:07:02.791,00:07:03.750,What did you say?
00:07:05.708,00:07:07.666,"I said why are you pushing me, I haven't done anything to you."
00:07:07.750,00:07:10.833,"First of all, you don't ask the questions around here, I do. Understand?"
00:07:10.916,00:07:16.375,Secondly… &lrm;we don't want &lrm;guys like you in this town.
00:07:18.625,00:07:19.291,Drifters.
00:07:19.958,00:07:23.916,First thing you know we got a whole bunch of guys like you in this town. That's why!
00:07:26.083,00:07:31.291,"Besides, you wouldn't like it here. This is… It's a quiet little town."
00:07:33.000,00:07:34.541,"In fact, you might say it's boring!"
00:07:35.958,00:07:37.166,But that's the way we like it.
00:07:38.916,00:07:40.875,And I get paid to keep it that way.
00:07:42.583,00:08:01.458,"Boring… Portland, straight ahead!"
00:08:03.958,00:08:08.250,If you want some friendly advice… Get your hair cut and take a bath.
00:08:08.958,00:08:10.291,&lrm;You wouldn't get hassled so much!
00:08:11.083,00:08:12.291,Hope this ride helped you out!
00:08:19.416,00:08:20.625,"Have a nice day, huh!"
00:09:03.125,00:09:04.500,"Hey, I'm talkin' to you, goddammit!"
00:09:10.333,00:09:11.166,Let me see some I.D.!
00:09:12.833,00:09:14.000,"All right, you're under arrest!"
00:09:15.208,00:09:16.625,You hear me? Now put your hands on the car.
00:09:17.166,00:09:19.416,"Now you put your hands on the car, and you spread 'em."
00:09:22.500,00:09:23.916,Now you're gonna put your hands on that car.
00:09:24.916,00:09:26.791,"How you do it, you decide, right now!"
00:09:40.750,00:09:41.750,Put your legs back.
00:09:43.333,00:09:44.208,Back!
00:09:47.375,00:09:48.958,You try to be nice to some people!
00:09:53.916,00:09:55.708,"Well, what do we have here, huh?"
00:09:59.916,00:10:01.666,Why would you be carrying a knife like this?
00:10:02.666,00:10:03.458,Hunting.
00:10:04.708,00:10:05.750,Don't be a wise guy!
00:10:06.958,00:10:08.333,&lrm;What do you hunt with a knife?
00:10:09.500,00:10:10.333,Name it.
00:10:20.458,00:10:22.708,"Hey, talk about your sorry-looking humanity!"
00:10:28.666,00:10:32.375,"-Good morning, Arthur. -Morning, Will. What do you got?"
00:10:32.916,00:10:38.250,"I want you to book this gentleman for vagrancy, resisting arrest, &lrm;carrying a concealed weapon."
00:10:39.375,00:10:40.666,He says he uses it for hunting.
00:10:41.875,00:10:44.166,"Huntin'? What do you hunt, elephants?"
00:10:44.583,00:10:47.916,See if you can clean him up a little bit. He smells like an animal!
00:11:02.916,00:11:03.958,Right here.
00:11:04.500,00:11:05.333,That's it.
00:11:27.250,00:11:28.083,&lrm;Hmm?
00:11:28.458,00:11:30.625,"Would you take this for me, please? Thank you."
00:11:39.041,00:11:39.750,Name?
00:11:45.291,00:11:46.083,Your name?
00:11:48.083,00:11:49.166,Your name!
00:11:59.083,00:12:01.291,Hey… you're lookin' for trouble?
00:12:02.208,00:12:03.875,"You came at the right place, buddy!"
00:12:04.541,00:12:05.916,"Oh, wait a second."
00:12:07.500,00:12:09.625,You got three seconds before I break your face in!
00:12:11.041,00:12:12.000,He means it.
00:12:12.333,00:12:13.708,"Yeah, I do."
00:12:32.916,00:12:34.125,What do you know about that?
00:12:34.833,00:12:36.250,&lrm;Old Harry here is a soldier!
00:12:37.791,00:12:41.250,Rambo… John J.?
00:12:44.333,00:12:45.583,You're gonna talk to me.
00:12:47.250,00:12:49.208,"I promise you're gonna talk to me, soldier."
00:12:51.750,00:12:53.541,I'm starting to dislike you.
00:12:56.250,00:12:57.250,A lot.
00:12:58.666,00:13:00.208,I'm gonna run a make on him.
00:13:02.833,00:13:04.333,Put his name in the Teletype.
00:13:07.958,00:13:10.000,Roll it across!
00:13:10.666,00:13:11.875,"&lrm;Oh, man."
00:13:13.041,00:13:15.916,"It won't work that way, it'll only smear. Now, roll it across!"
00:13:17.125,00:13:20.875,"Look, you son of a bitch, &lrm;if you don't put your goddamned hand &lrm;down there, I'm gonna break it off!"
00:13:20.958,00:13:21.625,&lrm;Move it.
00:13:21.708,00:13:25.500,"-Put it down, goddammit! -Art, what the hell's going on down here?"
00:13:25.875,00:13:27.416,"Oh, nothing I can't handle."
00:13:29.250,00:13:30.583,He won't let us print him well.
00:13:31.708,00:13:33.333,Leave the ink on the hand!
00:13:35.375,00:13:36.875,"Just what is your problem, huh?"
00:13:38.250,00:13:43.000,"Listen, hardass! As things stand right now, you're facing the ass end of a 90-day incarceration!"
00:13:43.083,00:13:46.916,"Plus a 250 dollars fine, which you don't look to me like you can pay!"
00:13:48.291,00:13:50.416,"At 10 o'clock tomorrow morning, you're going up in front of that judge."
00:13:51.041,00:13:52.291,And you think we're tough!
00:13:53.833,00:13:56.875,"Now, we're gonna make you a little bit more presentable for your courtroom appearance."
00:13:58.041,00:14:02.750,"Between now and then, you can just impress the hell outta me by doing exactly as you're told."
00:14:08.916,00:14:09.791,"Now, clean him up."
00:14:13.083,00:14:16.083,"&lrm;I want you to go over there &lrm;and get that hose ready, alright?"
00:14:19.583,00:14:21.166,"Holy shit, look at this!"
00:14:22.208,00:14:23.583,&lrm;What the hell's he been into?
00:14:23.666,00:14:24.833,Who gives a shit?
00:14:26.083,00:14:28.458,"All right, put your hands on top of your head and turn around."
00:14:32.958,00:14:33.916,"Oh, Christ!"
00:14:34.708,00:14:36.916,"&lrm;We should report this to Teasle, Gault! &lrm;Look at that!"
00:14:37.708,00:14:39.333,You just do what I tell you.
00:14:44.000,00:14:45.916,"Gault, what the fuck was that?"
00:14:47.083,00:14:48.625,"Well, the Man said clean him up."
00:14:52.541,00:14:53.541,Clean him up!
00:15:02.916,00:15:08.041,"Hey, Preston, &lrm;don't forget &lrm;to get him behind the ears!"
00:15:14.041,00:15:15.291,"How'd you like that, huh?"
00:15:16.291,00:15:17.375,"What's the matter, Mitch?"
00:15:17.958,00:15:19.208,&lrm;Don't you like water sports?
00:15:31.041,00:15:33.083,"&lrm;-Alright, sit down! &lrm;-Easy. Sit down."
00:15:33.583,00:15:34.375,Sit down!
00:15:42.125,00:15:43.125,&lrm;Damn it.
00:15:43.208,00:15:44.833,"Damn it, that boy's hard to get a hold of!"
00:15:47.208,00:15:49.708,"That's okay, Ward, don't worry about the soap, he's tough."
00:15:49.791,00:15:51.500,Just shave him. Dry!
00:15:51.583,00:15:57.041,All right… How blind are you? Can't you see this guy's crazy?
00:15:57.125,00:15:58.958,Can't you see I don't give a shit?
00:15:59.833,00:16:02.000,"-Yeah, I can see that. -Yeah, that's better."
00:16:02.666,00:16:36.625,"See there, I knew that you-- You son of a bitch! Come on!"
00:16:44.291,00:16:47.125,&lrm;Get him off of me. Get him off of me.
00:16:55.083,00:17:00.625,What the hell is… Art!
00:17:01.875,00:17:02.833,&lrm;Art!
00:17:24.250,00:17:25.583,"&lrm;Hey! Hey, wait!"
00:17:48.375,00:17:50.750,"-I'm gonna kill this son of a bitch! -No, Art, don't shoot!"
00:17:50.833,00:17:53.791,"Art, goddamnit! Don't shoot, there's people down there!"
00:17:53.875,00:17:55.291,"All right, get help! I'll go after him!"
00:17:59.041,00:18:00.833,"Get outta the way! Yeah, get out!"
00:19:40.500,00:19:41.750,Son of a bitch!
00:19:50.791,00:19:52.875,"Lester, this is Will. I'm right on his tail."
00:19:52.958,00:19:55.333,"He's just east of Smith's farm, headed towards Chapman Creek."
00:21:15.083,00:21:16.500,I know you can hear me!
00:21:18.833,00:21:20.083,You're finished!
00:21:21.875,00:21:23.708,You've gone as far as you're gonna go!
00:21:26.958,00:21:28.333,D'you hear me?
00:22:35.583,00:22:36.333,Lester!
00:22:38.333,00:22:40.083,He's up there behind the draw.
00:22:41.375,00:22:42.875,"Mitch, get Orval on the radio."
00:22:43.791,00:22:46.041,Tell him to get out here with his damned dogs right away.
00:22:46.916,00:22:48.541,And tell him to bring the Dobermanns!
00:22:48.625,00:22:50.375,"It's gonna rain, we'll need dogs that can hunt on sight."
