start,end,script
00:00:44.043,00:00:46.672,"It was dark, and it was cold."
00:00:47.882,00:00:49.174,And I was scared.
00:00:55.806,00:00:57.307,then I saw the moon.
00:00:58.559,00:01:01.144,It was so big and it was so bright.
00:01:02.437,00:01:04.773,It seemed to chase the darkness away.
00:01:09.277,00:01:13.824,"And when it did, I wasn't scared anymore."
00:01:22.499,00:01:27.671,"Why I was there and what I was meant to do, that I've never known."
00:01:30.007,00:01:31.842,And a part of me wonders if I ever will.
00:03:03.224,00:03:04.977,Hello. Hello.
00:03:05.894,00:03:08.438,"Good evening, ma'am. Ma'am?"
00:03:08.480,00:03:10.941,"Oh, uh, excuse me."
00:03:18.448,00:03:19.366,Hello?
00:03:20.283,00:03:22.536,My name is Jack Frost.
00:03:23.996,00:03:25.204,How do I know that?
00:03:26.165,00:03:27.875,The moon told me so.
00:03:29.501,00:03:31.336,But that was all he ever told me.
00:03:32.754,00:03:36.216,"And that was a long, long time ago."
00:04:02.910,00:04:05.662,NORTH: Still waiting for cookies!
00:04:20.969,00:04:22.429,"Ah, finally!"
00:04:41.322,00:04:44.159,have I told you to knock?
00:04:44.201,00:04:46.036,What?
00:04:46.078,00:04:46.954,The Globe?
00:04:49.330,00:04:51.708,Shoo with your pointy heads.
00:04:51.750,00:04:53.460,Why are you always under boot?
00:05:03.762,00:05:04.888,What is this?
00:05:08.642,00:05:10.685,Have you checked the axis?
00:05:40.174,00:05:41.842,Can it be?
00:05:43.218,00:05:44.385,Dingle!
00:05:44.427,00:05:45.512,Make preparations.
00:05:46.429,00:05:47.973,We are going to have company.
00:06:11.705,00:06:13.540,TOOTH: 18 central incisors.
00:06:13.581,00:06:16.710,"Moscow, sector 9."
00:06:16.751,00:06:18.337,Uh-oh. Heavy rain advisory.
00:06:18.377,00:06:20.005,"Des Moines, we've got a cuspid at 23 Maple. Head out!"
00:06:21.173,00:06:23.342,Wait! It's her first tooth.
00:06:23.382,00:06:26.261,Have you ever seen a more adorable lateral incisor in all of your life?
00:06:26.303,00:06:27.846,Look how she flossed.
00:06:35.187,00:06:42.986,"NORTH: My fellow Guardians, it is our job to watch over the children of the world and keep them safe."
