start,end,script
00:01:16.125,00:01:18.500,two months before that really meant something.
00:01:19.625,00:01:23.000,"Oh, I'd love to say, I'm here to fight for freedom."
00:01:23.083,00:01:26.583,But honestly... I joined the Reserves for the college money.
00:01:27.750,00:01:31.042,I don't belong here. And I'm ashamed of that.
00:01:39.292,00:01:43.125,A war story can't be true unless it's got some shame attached to it.
00:02:31.917,00:02:33.042,What do you think?
00:02:35.000,00:02:36.708,Pokey was my dog's name.
00:02:36.792,00:02:38.958,Mirra Loma's the name of the street I grew up on.
00:02:39.041,00:02:40.041,Oh.
00:02:41.083,00:02:45.125,"It's my porn name. I'm going balls deep in Iraq, get it?"
00:02:45.208,00:02:46.708,"Yeah, yeah. Clever."
00:02:46.792,00:02:48.708,That coming off?
00:02:48.792,00:02:52.292,"-Yeah. Yeah, headin' that way. -Just in time. Armored's rollin' out."
00:02:52.375,00:02:54.833,"This place will be a ghost town. Ticktock, ticktock. Right?"
00:02:56.625,00:02:57.625,Right.
00:02:57.708,00:03:01.708,"Hey, if I don't see you for the rest of the war, be safe."
00:03:03.000,00:03:04.000,You too.
00:03:20.042,00:03:21.125,A little pressure.
00:03:25.917,00:03:28.292,"Scale of one to ten, how's the pain?"
00:03:32.083,00:03:35.833,"Whatever the suggested dose, double it. That'll handle the discomfort."
00:03:37.708,00:03:40.208,I can't even make a fist. I can't roll out like this.
00:03:41.208,00:03:42.625,Let me see your hand.
00:03:46.583,00:03:48.958,-A door did that? -Yeah.
00:03:50.250,00:03:52.292,I've seen guys rollin' out with a lot worse.
00:04:00.667,00:04:02.083,"When you're in Baghdad, it's really quite..."
00:04:02.167,00:04:03.417,"That a boy, Enzo."
00:04:10.667,00:04:18.542,"I'm telling you guys, I'm gonna be on the cover of Men's Health, fuckin' two big-old-tittied chicks on each arm, waves splashing on my pecs and shit."
00:04:18.625,00:04:25.500,"Chutsky, we're gonna see you on the cover of Out Magazine with a dick in each hand and shame in your eyes. Like this."
00:04:27.000,00:04:28.417,"Hey, you smell that?"
00:04:31.250,00:04:32.833,"Oh, hey, Ocre."
00:04:36.458,00:04:38.042,That malaria pill is giving me nightmares.
00:04:39.625,00:04:42.458,So... what'd the doc say?
00:04:43.542,00:04:44.667,Yeah. I'm good.
00:04:48.250,00:04:50.792,-Did you see Armored's rolling out? -Come again?
00:04:50.875,00:04:52.625,Whoa! Is that true?
00:04:52.708,00:04:54.792,Yeah. And I saw Cole loading the Abrams.
00:04:55.375,00:04:57.417,"Sergeant Harper, are we staging?"
00:04:57.500,00:04:58.625,"I know what you know, Chutsky."
00:04:58.708,00:05:00.458,Come on. What do I know? Tell me what I know.
00:05:00.542,00:05:02.375,"Hey, Sarge, if we are staging, we should start moving."
00:05:02.458,00:05:04.667,"Guys, Command will let us know when they're ready."
00:05:04.750,00:05:07.542,"Army's kept me in a cage for six weeks, Sergeant Harper."
00:05:10.625,00:05:11.875,So how's the hand feel?
00:05:14.375,00:05:15.958,-It's not a problem. -Okay.
00:05:31.167,00:05:32.250,"Get the stick, huh?"
00:05:40.458,00:05:41.625,What are you doing here?
00:05:44.500,00:05:46.375,"Uh, whatever you tell me to, Sergeant."
00:05:49.917,00:05:51.083,You're a smart guy.
00:05:52.167,00:05:53.833,Smarter than most of these boys.
00:05:53.917,00:05:56.500,"Why aren't you being all the fuck you can be somewhere else, huh?"
00:05:56.583,00:05:59.375,"Well, uh, it was laundry day when I signed up."
00:06:04.750,00:06:05.750,"Come on, Ocre."
00:06:08.667,00:06:10.708,"I don't know. My dad was in, my granddad."
00:06:10.792,00:06:12.083,"Something you did, you know?"
00:06:16.917,00:06:17.958,As you were.
00:06:19.042,00:06:22.542,"Hooah, Sergeant Major. Which way is the shit rolling, Lieutenant?"
00:06:22.625,00:06:24.667,"Downhill, as always."
00:06:26.417,00:06:28.375,We're being moved up the manifest.
00:06:28.458,00:06:31.167,"Chalk Two packs as slow as my fuckin' wife, apparently."
00:06:31.250,00:06:34.375,"Roger that, sir. We're gonna be about an hour till we're square here."
00:06:34.458,00:06:36.000,"Well, better make it 30."
00:06:37.792,00:06:38.833,You boys proud and ready?
00:06:38.917,00:06:41.542,"Proud and ready, Sergeant Major. Proud and ready."
00:06:43.167,00:06:47.333,"Yeah, you got that right. Beautiful goddamn day for the infantry."
00:07:05.208,00:07:08.458,"little baby-faced, wet-nosed puppy dog, Care Bear motherfucker right here?"
