start,end,script
00:00:35.275,00:00:36.255,Who is this?
00:00:53.136,00:00:54.304,It's just a scary movie.
00:01:01.812,00:01:03.564,"Oh, I know. Um, Kazaam."
00:01:03.647,00:01:05.524,"You know, the one where Shaq plays a genie."
00:01:16.451,00:01:17.911,Why do you wanna know my name?
00:01:23.166,00:01:25.127,What-- What did you say?
00:01:25.794,00:01:26.962,Nice breasts.
00:01:28.005,00:01:29.631,"Look, what do you want?"
00:01:32.426,00:01:34.803,"Well-- Well, then turn to page 54."
00:01:34.961,00:01:38.265,"Oh. Hey, nice."
00:01:40.475,00:01:44.354,"Listen, asshole, you've had your fun, now, you better stop or else."
00:01:45.856,00:01:49.818,"Or else my boyfriend's gonna be here any minute, and he's Black and he'll kick your ass."
00:02:03.915,00:02:06.376,Help! Help!
00:02:06.710,00:02:08.378,"Oh, that's not my boyfriend."
00:02:08.670,00:02:10.797,"I mean, I've fucked him a couple of times, but that's it."
00:02:17.012,00:02:19.514,But you might wanna check the back door first.
00:02:19.890,00:02:21.558,You forgot to lock it.
00:03:02.307,00:03:03.308,"Hello, Drew."
00:03:17.823,00:03:18.824,"Oh, God!"
00:03:34.965,00:03:35.966,No!
00:04:09.499,00:04:10.584,No!
00:04:27.017,00:04:28.560,Daddy!
00:04:32.105,00:04:33.273,"Daddy, no!"
00:04:37.277,00:04:38.320,Did you hear something?
00:05:08.683,00:05:11.394,"Bobby, what are you doing? My dad's in the other room."
00:05:11.478,00:05:12.479,It just occurred to me.
00:05:12.562,00:05:14.272,I never climbed through your window before.
00:05:14.356,00:05:16.608,"Yeah, well, now that you got it out of your system… Bobby!"
00:05:16.748,00:05:17.859,-What? -You have to leave.
00:05:19.569,00:05:20.737,"Shh, come on."
00:05:22.322,00:05:23.323,What's going on in there?
00:05:30.205,00:05:32.207,Knock? I thought I heard screaming in here.
00:05:34.876,00:05:37.379,"Well, it-- It could've been that crack I smoked earlier, I guess."
00:05:37.504,00:05:39.047,"-Yeah. -Yeah. Yeah, that's what it was."
