start,end,script
00:10:30.333,00:59:24.250,FOR MAYOR PILATI SUPPORTS CLAUDIA RAFFAELLI FOR A SAFER TOWN FOR A SAFER TOWN LIBRARY CREATIVE WRITING COURSES BAKERY SWEETS PASTRIES CAKES 255 LIKES - THE TOP OF LUXURY IS ONLY IN FORTE DEI MARMI DELETED REFORMATTED DELETED REFORMATTED WHERE ARE YOU? WE HAVE A FAMILY MEETING!
01:02:54.500,01:04:30.166,ANGELA S. CELLPHONE CAPRIGLIA - RESIDENTIAL MEMORIES MILAN!
01:13:23.458,01:49:36.791,"RAPIST HE'S NOT A RAPIST 3,700 VIEWS WALTER SPEZI ELECTRICAL INSTALLATIONS OXYCODONE ACTIVATE ALARM?"
01:49:39.583,01:53:31.625,"ACTIVATE SEND FOOTAGE TO SELECTED CLIENTS? - SEND ANY REFERENCE TO ACTUAL PLACES, PERSONS LIVING OR DEAD OR ACTUAL EVENTS IS PURELY COINCIDENTAL."
01:57:48.791,00:01:09.666,Subtitle Translation by Andrea Coppola NETFLIX PRESENTS They told me Forte dei Marmi was a fancy beach town.
00:01:10.416,00:01:11.375,Indeed.
00:01:12.125,00:01:14.458,It was like stepping inside a postcard.
00:01:15.125,00:01:18.083,Where everything looked perfectly staged.
00:01:25.916,00:01:29.833,The white and blue curtains of the beach clubs.
00:01:32.333,00:01:33.750,The raked sand.
00:01:35.625,00:01:38.375,The sound of laughter carried by the breeze.
00:01:39.750,00:01:43.500,And I was taken aback by this certain timeless atmosphere.
00:01:46.208,00:01:49.750,Bicycles passing by silently on the boardwalk at sunset.
00:01:52.166,00:01:54.458,A wonderful place for summer vacation.
00:01:56.166,00:02:00.958,"But even in Forte dei Marmi, the days get shorter and the nights get longer."
00:02:07.250,00:02:14.208,"On the peaks of the Apuan Alps, the crumbled white marble makes way for a mantle of icy snow."
00:02:15.541,00:02:17.166,The dark devours the light.
00:02:17.666,00:02:19.500,And fear grips us.
00:02:22.333,00:02:26.375,Even in Forte dei Marmi we've learned to keep ourselves safe.
00:02:29.041,00:02:34.166,That sunny and serene town… now seems empty.
00:02:35.416,00:02:36.791,As if evacuated.
00:02:41.250,00:02:42.791,is a winter story.
00:02:58.958,00:03:51.291,CAMERA PAC-15 Help… Help!
00:04:06.666,00:04:08.750,Help. Help!
00:04:39.375,00:04:40.750,From Barbados.
00:04:44.750,00:04:48.791,They're worried because of something they saw on their gate camera.
00:04:52.916,00:04:56.000,You told me I could call you for the Premium clients.
00:04:57.458,00:04:58.666,You did the right thing.
00:04:59.250,00:05:01.250,"-Good night, Emma. -Get some sleep."
00:05:01.333,00:05:02.166,I'll try.
00:05:44.625,00:05:46.541,So? Everything okay?
00:05:46.625,00:05:49.041,The perimeter cameras are fine.
00:05:49.541,00:05:52.125,"-Yes, but… -No signs of break-in."
00:05:52.208,00:05:55.458,"No, I was telling you, the girl looked like she was in distress."
00:05:55.958,00:05:57.125,Who knows what she saw.
00:05:57.208,00:05:58.791,Maybe there's a prowler around.
00:05:59.625,00:06:03.750,"They've invaded the country. No place is safe anymore, you know?"
00:06:03.833,00:06:06.375,I understand. We can't say if it's an immigrant.
00:06:06.458,00:06:08.375,"But, please, check anyway."
00:06:08.458,00:06:09.541,"Very well, I will."
00:06:10.583,00:06:11.708,"Thank you, Santini."
00:06:12.500,00:06:14.416,"Okay, have a nice day."
00:06:16.541,00:06:19.041,"Actually, it's the middle of the night here."
00:06:20.583,00:06:21.958,But thanks anyway.
00:06:22.041,00:06:24.083,"-Goodbye, Santini. -Bye."
00:06:48.583,00:06:58.500,FAVORITES I have a possible DUI between Volta and Carrara streets.
00:06:58.583,00:07:01.750,"The plate is Peter, Ida, 55388."
00:07:02.375,00:07:03.791,We'll send someone right away.
00:07:05.375,00:07:07.250,Thank you. Thank you.
00:07:19.458,00:07:21.125,"Listen, there's no need anymore."
