start,end,script
00:01:06.233,00:01:09.444,"FROM LONDON, SIR."
00:01:12.781,00:01:14.783,FATHER.
00:01:14.783,00:01:22.123,JOHN. JOHN-- YOU WILL FIND OUT SOON ENOUGH FROM MY WILL...
00:01:22.123,00:01:25.126,THAT THE ESTATE OF NORLAND WAS LEFT TO ME...
00:01:25.126,00:01:28.129,IN SUCH A WAY AS PREVENTS ME...
00:01:28.129,00:01:31.132,FROM DIVIDING IT BETWEEN MY TWO FAMILIES.
00:01:31.132,00:01:34.219,"CALM YOURSELF, FATHER."
00:01:34.219,00:01:36.847,NORLAND...
00:01:36.847,00:01:39.182,IS THEREFORE YOURS...
00:01:39.182,00:01:45.230,"BY LAW, AND I AM..."
00:01:45.230,00:01:47.399,AND FANNY.
00:01:48.609,00:01:57.534,"BUT YOUR STEPMOTHER, MY WIFE AND DAUGHTERS, ARE LEFT ONLY 500 POUNDS A YEAR-- BARELY ENOUGH TO LIVE ON."
00:01:57.534,00:01:59.703,NOTHING FOR THE GIRLS' DOWRIES.
00:02:02.247,00:02:05.667,YOU MUST... HELP THEM.
00:02:05.667,00:02:08.169,O-OF COURSE.
00:02:08.169,00:02:11.548,YOU MUST PROMISE TO DO THIS.
00:02:12.967,00:02:15.970,"I PROMISE, FATHER."
00:02:15.970,00:02:18.263,I PROMISE.
00:02:18.263,00:02:21.976,HELP THEM?
00:02:21.976,00:02:25.270,"DEAREST, I MEAN TO GIVE THEM 3,000 POUNDS."
00:02:25.270,00:02:29.108,THE INTEREST WILL PROVIDE THEM WITH A LITTLE EXTRA INCOME.
00:02:29.108,00:02:32.152,SUCH A GIFT WILL CERTAINLY DISCHARGE MY PROMISE...
00:02:32.152,00:02:34.113,TO MY FATHER.
00:02:34.113,00:02:36.156,WITHOUT QUESTION.
00:02:36.156,00:02:41.120,"ONE HAD RATHER, ON SUCH OCCASIONS, DO TOO MUCH THAN TOO LITTLE."
00:02:43.122,00:02:46.625,OF COURSE HE DID NOT STIPULATE A PARTICULAR SUM.
00:02:49.878,00:02:51.630,"POUNDS, THEN."
00:02:51.630,00:02:53.882,"WHAT DO YOU SAY TO 1,500?"
00:02:53.882,00:02:58.137,"WHAT BROTHER ON EARTH WOULD DO HALF SO MUCH FOR HIS REAL SISTERS, LET ALONE HALF-BLOOD?"
00:02:58.137,00:03:00.179,"WELL, THEY CAN HARDLY EXPECT MORE."
00:03:00.179,00:03:02.057,THERE'S NO KNOWING WHAT THEY EXPECT.
00:03:02.057,00:03:04.852,"THE QUESTION IS, WHAT CAN YOU AFFORD?"
00:03:07.354,00:03:10.524,"A HUNDRED POUNDS A YEAR TO THEIR MOTHER, WHILE SHE LIVES."
00:03:10.524,00:03:12.526,WOULD THAT BE MORE ADVISABLE?
00:03:12.526,00:03:15.529,"BETTER THAN PARTING WITH THE 1,500 ALL AT ONCE."
00:03:15.529,00:03:20.492,"BUT IF SHE SHOULD LIVE LONGER THAN 15 YEARS, WE'D BE COMPLETELY TAKEN IN."
00:03:20.492,00:03:23.745,PEOPLE ALWAYS LIVE FOREVER WHEN THERE IS AN ANNUITY TO BE PAID THEM.
