start,end,script
00:02:51.380,00:02:52.464,-Whoa! -I'm sorry.
00:02:53.048,00:02:59.012,"-Sorry. -Uh… Uh, it's the last one."
00:02:59.179,00:03:01.723,"Uh, Miss? Do you have another pair of these black cashmere gloves?"
00:03:01.807,00:03:04.351,-Whatever's out is what we have. -You don't have a stockroom?
00:03:04.434,00:03:05.352,-No. -Or a basement?
00:03:05.435,00:03:07.479,No. We don't have an attic either.
00:03:09.981,00:03:11.483,"Listen, you take 'em. I don't need 'em."
00:03:16.363,00:03:17.239,-Take 'em. -Oh!
00:03:17.322,00:03:19.991,"Hey, wait a minute! Whoa, whoa, whoa, whoa! Hey! Excuse me, sir?"
00:03:20.075,00:03:21.118,-Yeah? -These are ours.
00:03:21.201,00:03:26.623,"Oh. Your gloves? How come? I mean, they're just sort of hanging there, sleeping with their little price tag on."
00:03:26.707,00:03:28.125,"We were just discussing them, all right?"
00:03:28.250,00:03:30.127,"-This is, uh… -Well, I have news for you."
00:03:30.252,00:03:32.879,You can go on discussing them long after I've paid for them.
00:03:34.756,00:03:38.719,It's five days before Christmas. I'm in the middle of a New York department store. He's asking me to calm down.
00:03:38.802,00:03:41.304,"Listen, these were meant to be a very special gift for someone."
00:03:41.388,00:03:43.223,"Yeah, we put quite a lot of thought into those."
00:03:44.766,00:03:46.017,"Oh, really? Who were they for?"
00:03:47.602,00:03:50.689,-Her boyfriend. Her boyfriend. -His girlfriend. His girlfriend.
00:03:50.939,00:03:52.816,One pair of gloves for two people?
00:03:52.941,00:03:54.735,-This is hard to explain. -Try.
00:03:54.901,00:03:56.153,All right. Go ahead.
00:03:57.112,00:04:01.992,"Oh. Uh… well, he is at the present time my boyfriend."
00:04:02.826,00:04:14.629,But in 18 months… After the operation… -He will be… -She will be… My girlfriend. Do you understand?
00:04:15.714,00:04:16.923,That didn't really work out.
00:04:17.048,00:04:19.342,"-No, but Merry Christmas anyway. -Thank you very much."
00:04:19.426,00:04:20.469,All right.
00:04:38.612,00:04:40.947,I don't… I don't know if what you said to that guy makes any sense.
00:04:45.410,00:04:47.078,This'll work though. This is quite a coffee.
00:04:47.162,00:04:49.748,"No, but I'm serious about the check. It's the least I can do."
00:04:50.332,00:04:55.712,"Well, thank you, but, see, now I have to go find something else for my girlfriend."
00:04:58.465,00:04:59.758,"Oh, I can't accept them then."
00:04:59.841,00:05:01.426,"Well, you have to, otherwise you won't treat."
00:05:02.844,00:05:05.472,Let me tell you something. This is the ultimate blend to drink.
00:05:05.555,00:05:06.681,Where'd you find this place?
00:05:09.935,00:05:11.520,-It's one of my favorite words. -It is?
00:05:11.603,00:05:12.938,-Uh-huh. -Why?
00:05:13.146,00:05:16.316,It's just such a nice sound for what it means. A fortunate accident.
00:05:17.609,00:05:18.985,Except I don't really believe in accidents.
00:05:19.069,00:05:20.570,I think fate's behind everything.
00:05:20.695,00:05:21.655,"Oh, you do?"
00:05:25.659,00:05:28.620,"-We don't have any choice at all? -No, I think we make our own decisions."
00:05:28.703,00:05:33.792,"I just think that fate sends us little signs, and it's how we read the signs that determines whether we're happy or not."
00:05:35.710,00:05:38.630,Yeah. Fortunate accidents. Lucky discoveries.
00:05:38.755,00:05:39.881,Like Columbus in America.
00:05:45.929,00:05:47.597,-Yes. -Or Jonathan and the Gloves.
00:05:48.598,00:05:50.642,-I don't know that one. -You don't know that story?
00:05:50.725,00:05:52.227,"It's an old folk tale, classic."
00:05:52.561,00:06:04.322,"Our hero, Jonathan, goes out in search of black gloves, and in a perfect act of serendipiocity or serendipaciousness, he runs into a beautiful, attractive English girl with a boyfriend."
00:06:05.323,00:06:06.700,"You have a boyfriend, right?"
00:06:09.077,00:06:11.621,"-And you have the glove lady. -Yes, I do."
00:06:15.125,00:06:16.626,It was a very nice time.
00:06:20.463,00:06:22.299,I hope you enjoy the gloves you bought yourself.
00:06:22.382,00:06:25.093,"Oh, I'm sure I will. I usually appreciate my own thoughtfulness."
00:06:26.553,00:06:28.597,-What do you want for Christmas? -Golf clubs.
00:06:30.015,00:06:31.933,"So, you're gonna meet your boyfriend now or what?"
00:06:32.017,00:06:34.561,"No, I think he's probably out doing what you're doing."
00:06:34.811,00:06:36.646,Getting a crush on someone else's girlfriend?
00:06:38.231,00:06:43.445,"I just meant to say that I had a really great time, and… um, you know, maybe you should give me your phone number, you know, just in case."
00:06:43.528,00:06:46.323,"-In case of what? -You know, in case of life."
00:06:46.615,00:06:49.409,"I just had a great time, and I'd never be able to find you again."
00:06:49.618,00:06:52.787,"Well, if we're meant to meet again, then we'll meet again."
00:06:52.996,00:06:54.414,It's just not the right time now.
00:06:54.497,00:07:01.796,Maybe we were supposed to meet on British time Come on. I don't even know your name. My name is Jonathan.
00:07:02.255,00:07:04.090,Does that make you wanna tell me something?
00:07:04.674,00:07:05.759,"Yeah, it does."
00:07:17.729,00:07:18.772,That's it?
00:07:23.902,00:07:26.655,"Oh, Jesus, I'm sorry. I'm sorry about that."
00:07:44.422,00:07:46.508,-I think I left a scarf. -No. Nothing down here.
00:07:46.591,00:07:48.176,"-All right, I'll check. -Why don't you go upstairs?"
00:08:17.372,00:08:18.373,Hey.
00:08:19.541,00:08:20.583,Hey.
00:08:27.716,00:08:28.925,Let's go do something.
00:08:29.926,00:08:33.388,-All right. What you wanna do? -I don't care.
00:08:34.931,00:08:36.266,All right. Come on then.
00:08:47.736,00:08:53.366,"Now, promise me you're not just visiting here for a week or marrying somebody to get a green card or… on parole."
00:08:57.328,00:09:00.123,"No, no, no. Proud U.S. citizen. No criminal record."
00:09:00.540,00:09:05.128,"So, you won't tell me your name. Well, tell me, uh… what do you miss most about Mother England?"
00:09:05.211,00:09:06.713,I miss my mom terribly.
00:09:08.048,00:09:09.591,"If I were her, I'd miss you too."
00:09:16.931,00:09:20.226,Okay. Favorite movie?
