start,end,script
00:00:58.183,00:01:02.229,"'Neighbors heard them screaming at each other' 'like, for two hours."
00:00:59.977,00:01:07.735,It was nothing new.' 'Then they heard the gun go off. Both barrels.' A crime of passion.
00:01:08.819,00:01:10.320,Yeah.
00:01:10.362,00:01:13.156,Just look at all the passion on that wall.
00:01:13.198,00:01:21.874,"'Yeah, well, this is a done deal. All but the paperwork.' The kid see it?"
00:01:21.916,00:01:23.333,What?
00:01:23.375,00:01:25.293,The kid.
00:01:25.335,00:01:26.962,What kind of fucking question is that?
00:01:28.380,00:01:32.968,"You know, we are all gonna be real glad when we get rid of you, Somerset, you know that?"
00:01:33.010,00:01:38.849,'There's always these questions with you. Did the kid see it?' Who gives a fuck? He's dead.
00:01:38.891,00:01:40.976,Anything else has nothin' to do with us.
00:01:49.944,00:01:51.570,Detective Somerset?
00:01:53.113,00:01:55.074,I'm Detective Mills.
00:01:55.115,00:02:00.621,"'Lieutenant, I apologize for interrupting like this.' Just get in town 20 minutes ago, they dump me here."
00:02:00.662,00:02:03.749,"Look, um...Mills?"
00:02:03.791,00:02:08.587,"I-I thought we might find a bar someplace. You know, sit-- Well, I'd like to get to the precinct, if it's all the same."
00:02:08.629,00:02:10.923,"You know, not much time for this transition thing."
00:02:12.716,00:02:15.677,I meant to ask you somethin' when we spoke on the phone before.
00:02:15.719,00:02:16.762,Yep.
00:02:18.388,00:02:19.932,Why here?
00:02:19.974,00:02:21.725,I don't follow.
00:02:21.767,00:02:24.103,"Well, all this effort to get transferred."
00:02:25.896,00:02:29.149,It's the first question that popped into my head.
00:02:29.190,00:02:30.818,I guess for the same reasons as you.
00:02:30.859,00:02:32.903,Or the same reasons you had before you decided to quit.
00:02:32.945,00:02:34.404,Yeah?
00:02:36.031,00:02:38.993,"You, you just met me."
00:02:39.034,00:02:42.496,Maybe I'm not understanding the question.
00:02:42.537,00:02:44.748,It's very simple.
00:02:44.790,00:02:49.377,You actually fought to get reassigned here.
00:02:49.419,00:02:51.296,"Now, I've just never seen it done that way before."
00:02:51.338,00:02:52.339,I thought I could do some good.
00:02:52.380,00:02:57.011,"Look, it would be great for me if we didn't start out kicking each other in the balls."
00:02:59.346,00:03:03.058,"If you're calling the shots, Lieutenant-- Yes."
00:03:03.100,00:03:06.561,"I want you to look and I want you to listen, okay?"
00:03:06.603,00:03:09.023,"Now, I wasn't standing around guarding the Taco Bell."
00:03:09.064,00:03:10.858,"I've worked Homicide, five years."
00:03:10.899,00:03:12.400,- Not here.
00:03:12.442,00:03:16.655,"Well, over the next seven days, detective you'll do me the favor of remembering that."
00:03:29.043,00:07:03.631,"'Hey! Hey, I almost died!' 'Shut the fuck up down there!' Hello? Yep."
00:07:03.673,00:07:05.842,Okay.
00:07:05.884,00:07:13.474,'Say it again.' I thought we moved here to get away from tractor pulls.
00:07:19.398,00:07:21.566,Serpico's gotta go.
00:07:21.608,00:07:25.570,"Yeah, well, you might wanna get rid of this little crusty."
00:07:25.612,00:07:27.322,"This eye, Serpico."
00:07:27.364,00:07:28.990,- Did you get it?
00:07:29.032,00:07:30.367,Good.
00:07:46.925,00:07:48.718,Coffee? No?
00:07:52.555,00:07:55.809,Nothing's been touched.
00:07:55.850,00:07:57.477,What time was death established?
00:07:57.518,00:07:59.313,Like I said..
00:07:59.354,00:08:01.356,...I didn't touch anything.
00:08:01.398,00:08:04.901,But he's had his face in a plate of spaghetti for about 45 minutes now.
00:08:04.943,00:08:07.946,Wait a minute.
00:08:07.988,00:08:09.156,Did I stutter?
00:08:09.197,00:08:12.742,This guy ain't breathin' unless he started breathin' spaghetti sauce.
00:08:12.784,00:08:14.286,So that's how it's done around here?
00:08:14.328,00:08:19.166,"Hey, I beg your pardon, detective but this guy's been sittin' in a pile of his own piss and shit."
00:08:19.207,00:08:21.460,"If he wasn't dead, he would've stood up by now."
00:08:21.501,00:08:24.129,"- Alright, thank you, officer."
00:08:24.171,00:08:26.006,Thank you.
00:08:35.265,00:08:36.850,I wonder.
00:08:39.019,00:08:43.357,What exactly was the point of the conversation you were about to get into?
00:08:43.398,00:08:47.694,"Don't know, how many times has Barney Fife found dead bodies that weren't dead?"
00:08:50.071,00:08:51.365,Drop it.
00:09:16.723,00:09:18.058,Ooph!
00:09:21.436,00:09:23.063,Somebody phone Guinness.
00:09:23.104,00:09:25.023,I think we've got a record here.
00:09:41.831,00:09:43.750,Better Homes And Gardens.
00:09:44.709,00:09:46.586,Ooph!
00:09:54.761,00:09:56.804,Who said this was murder?
00:09:56.846,00:09:58.139,No one.
00:10:00.183,00:10:02.810,Guy's heart's gotta be the size of a canned ham.
00:10:06.398,00:10:38.972,"'If this isn't a coronary' 'well, I don't know.' 'Whoops!' How about that?"
00:10:49.274,00:10:50.900,We had this case once.
00:10:52.193,00:10:57.157,"'Guy dead on the ground.' 'Knife in his back.' Gotta be murder, right?"
00:10:59.409,00:11:01.328,Fuck.
00:11:01.369,00:11:12.506,"'Anyway, big insurance policy involved, yeah?' 'So the guy took the tip of the blade' 'stuck it in his own shoulder blades.' And he must've screwed up a few times because there was multiples back there."
00:11:12.547,00:11:14.466,Could you please be quiet?
00:11:24.309,00:11:25.602,Wait a minute.
00:11:25.644,00:11:26.811,What?
00:11:29.481,00:11:32.108,Got a bucket here.
00:11:32.150,00:11:33.485,What's in it?
00:11:36.695,00:11:37.989,Agh!
00:11:38.031,00:11:40.116,"Ugh, God."
00:11:40.158,00:11:41.826,Fucking vomit.
00:11:44.287,00:11:45.955,Any blood in it?
00:11:45.997,00:11:48.667,I-I didn't see any.
00:11:53.588,00:11:55.507,Are you thinking it's poison?
00:11:56.924,00:11:59.553,"Oh, wonderful. Very moody."
00:11:59.594,00:12:01.054,"You thinking it's poison, Somerset?"
00:12:01.095,00:12:04.849,You girls have got Forensics waiting outside.
00:12:04.891,00:12:06.351,"I don't know if we'll all fit, though."
00:12:06.393,00:12:08.895,"There's room, light's the problem."
00:12:08.936,00:12:10.980,"- Hi, how are you?"
00:12:11.022,00:12:18.737,"Detective Mills, would you go help the officers 'question the neighbors?' What?"
00:12:18.779,00:12:20.990,"Send in Forensics on your way out, please."
00:12:36.339,00:12:37.924,He's dead.
00:12:39.217,00:12:40.801,"Thank you, doctor."
00:12:46.765,00:12:49.227,"You've seen my files, right?"
00:12:50.562,00:12:51.688,Nope.
00:12:54.315,00:12:58.486,"Well, I did my time on door-to-doors and walking the beat."
00:13:00.029,00:13:01.281,And?
00:13:01.322,00:13:03.032,Badge on my belt says Detective.
00:13:03.074,00:13:05.910,That's the same as yours.
00:13:05.952,00:13:08.787,"Look, I made a decision."
00:13:08.829,00:13:11.790,I had to consider the integrity of the scene.
00:13:11.832,00:13:15.253,Couldn't worry whether you thought you were getting enough time on the playing field.
00:13:15.295,00:13:16.588,"Hey, man.."
00:13:18.214,00:13:20.091,"...just don't be jerking me off, that's all I ask."
00:13:20.133,00:13:21.968,Don't jerk me off.
00:13:28.349,00:13:30.143,He's been dead a long time.
