start,end,script
00:01:43.645,00:01:45.439,...partial deafness in ear.
00:01:45.606,00:01:46.857,First point of attack.
00:01:49.026,00:01:51.653,"Two, throat. Paralyze vocal cords. Stop screaming."
00:01:52.863,00:01:55.824,"Three, got to be heavy drinker. Floating rib to the liver."
00:01:56.450,00:01:59.369,"Four, finally, dragging left leg. Fist to patella."
00:02:00.871,00:02:03.040,"Summary of prognosis, conscious in 90 seconds."
00:02:03.206,00:02:04.916,"Martial efficacy, quarter of an hour."
00:02:05.083,00:02:07.669,"Full faculty recovery, unlikely."
00:03:20.784,00:03:22.244,I like the hat.
00:03:22.411,00:03:23.912,I just picked it up.
00:03:24.079,00:03:25.831,Did you remember your revolver?
00:03:25.997,00:03:27.249,Knew I forgot something.
00:03:27.916,00:03:30.627,-Thought I'd left the stove on. -You did.
00:03:33.046,00:03:35.090,I think that's quite enough.
00:03:35.298,00:03:37.092,"You are a doctor, after all."
00:03:42.723,00:03:44.808,"Always nice to see you, Watson."
00:03:47.227,00:03:49.187,Where's the inspector?
00:03:49.396,00:03:51.606,He's getting his troops lined up.
00:03:51.773,00:03:53.108,HOLMES: That could be all day.
00:04:51.583,00:04:52.959,MAN: Sherlock Holmes.
00:04:54.795,00:04:56.463,And his loyal dog.
00:04:57.047,00:04:58.381,"Tell me, doctor..."
00:04:58.548,00:05:01.384,"...as a medical man, have you enjoyed my work?"
00:05:01.885,00:05:04.137,Let me show you how much I've enjoyed it.
00:05:04.888,00:05:06.473,HOLMES: Watson. Don't.
00:05:10.644,00:05:12.354,Observe.
00:05:15.232,00:05:17.108,How did you see that?
00:05:17.400,00:05:18.652,Because I was looking for it.
00:05:23.657,00:05:25.575,WATSON: Lord Blackwood.
00:05:26.660,00:05:27.911,You seem surprised.
00:05:28.662,00:05:31.581,I'd say the girl deserves your attention more than he.
00:05:32.749,00:05:34.543,Indeed.
00:05:39.714,00:05:42.425,"Oh, I'd leave that alone if I were you, boy-o."
00:05:42.926,00:05:44.594,Good lad.
00:05:44.886,00:05:47.013,"Impeccable timing, Lestrade."
00:05:48.181,00:05:49.766,We've one for the doctor...
00:05:49.933,00:05:51.434,...and one for the rope.
00:05:51.935,00:05:53.395,-Clarkie? -Sir?
00:05:53.562,00:05:55.438,This woman needs a hospital immediately.
00:05:55.605,00:05:57.232,Put her in the back of the Moriah.
00:05:57.399,00:05:58.608,"POLICEMAN 1: Right, lads. That's it."
00:06:01.862,00:06:04.739,"POLICEMAN 2: Right. Pick him up, lads. POLICEMAN 3: Yes, sir."
00:06:04.906,00:06:06.825,If you don't mind.
00:06:08.451,00:06:09.744,Get him out of my sight.
00:06:15.374,00:06:17.460,And you were supposed to wait for my orders.
00:06:18.795,00:06:22.883,"If I had, you'd be cleaning up a corpse and chasing a rumor."
00:06:23.049,00:06:25.969,"Besides, the girl's parents hired me, not the Yard."
00:06:26.136,00:06:28.972,Why they thought you'd require any assistance is beyond me.
00:06:29.139,00:06:31.808,"Well, London will breathe a sigh of relief."
00:06:31.975,00:06:34.144,"Indeed. Congratulations, Lestrade."
00:06:34.311,00:06:36.980,"Bravo, inspector. Have a cigar."
00:06:37.147,00:06:38.481,MAN: Gentlemen.
00:06:38.648,00:06:39.858,Cheese.
00:07:08.803,00:07:11.681,MAN 1: Blackwood hangs tomorrow. Read all about it.
00:07:15.769,00:07:19.689,WATSON: 156 over 80. Very good.
00:07:19.856,00:07:23.318,"MAN 2: My nerves are the best they've been in years, thanks to you."
00:07:23.485,00:07:24.903,Tell me something.
00:07:25.070,00:07:27.072,Your new premises...
00:07:27.238,00:07:28.490,...when are you moving in?
00:07:28.657,00:07:30.492,I should be in within the week.
00:07:30.659,00:07:34.037,Cavendish Place. And there'll be a woman's touch too.
00:07:34.204,00:07:35.538,"-Well, that's marvelous. -Indeed."
00:07:37.374,00:07:39.250,Good God.
00:07:40.335,00:07:42.337,-That was gunfire. -No.
00:07:42.504,00:07:45.590,"No, no. Hammer and nail, wasn't it?"
00:07:45.757,00:07:49.010,My colleague's probably just putting up a painting.
00:07:49.177,00:07:51.388,I'll-- I'll go and check.
00:07:51.554,00:07:53.515,-Your colleague-- -Yes?
00:07:53.682,00:07:56.059,"Won't be moving with you, will he?"
00:07:56.393,00:07:58.353,"No, he won't."
00:08:00.730,00:08:02.107,Mrs. Hudson.
00:08:02.273,00:08:04.859,"I won't go in, not while he's got a gun in his hand."
00:08:05.026,00:08:06.736,You don't have to. Give me the paper.
00:08:06.903,00:08:10.490,"What'll I do when you leave, doctor? He'll have the whole house down."
00:08:10.657,00:08:12.534,He just needs another case. That's all.
00:08:12.701,00:08:14.786,Couldn't you have a longer engagement?
00:08:14.953,00:08:18.373,"I smell gunpowder. It's not right, you know, not in a domestic environment."
00:08:20.083,00:08:23.044,"Thank you, Captain Philips. Perhaps a nice cup of tea?"
00:08:23.962,00:08:26.840,"-Same time next week. HUDSON: Come along, captain."
00:08:27.007,00:08:29.259,-It's quieter downstairs. -Mrs. Hudson?
00:08:29.426,00:08:30.927,Bring something to cheer him up.
00:08:40.979,00:08:43.398,Permission to enter the armory?
00:08:43.565,00:08:44.607,HOLMES: Granted.
00:08:47.027,00:08:50.530,"Watson, I am in the process of inventing a device..."
00:08:50.697,00:08:52.699,...that suppresses the sound of a gunshot.
00:08:56.119,00:08:58.038,WATSON: It's not working.
00:08:58.204,00:08:59.831,Can I see that?
00:09:07.797,00:09:10.133,"You know, it's been three months..."
00:09:10.300,00:09:12.594,...since your last case.
00:09:15.138,00:09:23.229,"HOLMES: Yes, yes. Gently, gently, Watson. Be gentle with me-- Don't you think it's time you found another one?"
00:09:25.273,00:09:26.649,I can't but agree.
00:09:26.816,00:09:30.403,My mind rebels at stagnation. Give me problems. Give me work.
00:09:30.570,00:09:32.197,"The sooner, the better."
00:09:32.781,00:09:34.115,Paper.
00:09:35.241,00:09:37.994,"Let's see, then. There's a letter here..."
00:09:38.161,00:09:41.456,...from Mrs. Ramsey of Queen's Park.
00:09:41.623,00:09:45.168,-Her husband's disappeared. -He's in Belgium with the scullery maid.
00:09:45.335,00:09:46.961,Is it November?
00:09:47.545,00:09:49.756,"Yes, Holmes. All right."
00:09:49.923,00:09:52.717,Lady Radford reports....
00:09:52.884,00:09:55.095,"Oh, her emerald bracelet has disappeared."
00:09:55.261,00:09:59.557,Insurance swindle. Lord Radford likes fast women and slow ponies.
00:09:59.724,00:10:03.436,Oh. I see you're the attending physician at Blackwood's hanging.
00:10:03.603,00:10:04.646,Yes.
00:10:04.813,00:10:08.399,It was our last case together and I wanted to see it through to the end.
00:10:15.073,00:10:16.741,A Mr. Lewis is seeking....
00:10:16.908,00:10:23.873,"There's only one case that intrigues me at present: The curious case of Mrs. Hudson, the absentee landlady."
00:10:24.040,00:10:26.084,I've been studying her comings and goings.
00:10:26.251,00:10:28.378,They appear most sinister.
00:10:28.962,00:10:30.213,"Tea, Mr. Holmes?"
00:10:30.380,00:10:31.673,"Is it poisoned, nanny?"
00:10:32.257,00:10:34.175,There's enough of that in you already.
00:10:34.342,00:10:36.886,Don't touch. Everything is in its proper place...
00:10:37.053,00:10:39.389,"...as per usual, nanny."
00:10:40.557,00:10:42.725,He's killed the dog. Again.
00:10:42.892,00:10:45.270,WATSON: What have you done to Gladstone now?
00:10:45.436,00:10:48.565,I was simply testing a new anesthetic.
00:10:48.731,00:10:50.400,He doesn't mind.
