start,end,script
00:01:24.501,00:01:28.630,BLESSED WITH A BEAUTIFUL BABY GIRL.
00:01:28.756,00:01:32.760,"AND THROUGHOUT THE LAND, EVERYONE WAS HAPPY..."
00:01:32.885,00:01:41.100,"UNTIL THE SUN WENT DOWN, AND THEY SAW THAT THEIR DAUGHTER WAS CURSED WITH A FRIGHTFUL ENCHANTMENT THAT TOOK HOLD EACH AND EVERY NIGHT."
00:01:43.604,00:01:53.906,"DESPERATE, THEY SOUGHT THE HELP OF A FAIRY GODMOTHER WHO HAD THEM LOCK THE YOUNG PRINCESS AWAY IN A TOWER, THERE TO AWAIT THE KISS OF THE HANDSOME PRINCE CHARMING."
00:01:57.367,00:02:10.171,"IT WAS HE WHO WOULD CHANCE THE PERILOUS JOURNEY THROUGH BLISTERING COLD AND SCORCHING DESERT TRAVELING FOR MANY DAYS AND NIGHTS, RISKING LIFE AND LIMB TO REACH THE DRAGON'S KEEP."
00:02:15.094,00:02:20.140,FOR HE WAS THE BRAVEST AND MOST HANDSOME...
00:02:23.602,00:02:25.228,IN ALL THE LAND.
00:02:25.353,00:02:33.278,AND IT WAS DESTINY THAT HIS KISS WOULD BREAK THE DREADED CURSE.
00:02:33.403,00:02:45.582,"HE ALONE WOULD CLIMB TO THE HIGHEST ROOM OF THE TALLEST TOWER TO ENTER THE PRINCESS'S CHAMBERS, CROSS THE ROOM TO HER SLEEPING SILHOUETTE, PULL BACK THE GOSSAMER CURTAINS TO FIND HER..."
00:02:47.417,00:02:48.710,WHAT?
00:02:48.836,00:02:50.963,PRINCESS... FIONA?
00:02:51.088,00:02:54.341,- NO!
00:02:54.466,00:02:56.593,- WHERE IS SHE?
00:02:56.718,00:02:59.346,HONEYMOON? WITH WHOM?
00:04:40.697,00:04:45.119,HYAH!
00:05:22.489,00:05:25.033,IT'S SO GOOD TO BE HOME!
00:05:27.995,00:05:29.788,JUST YOU AND ME AND...
00:05:37.045,00:05:39.464,- DONKEY?
00:05:39.589,00:05:41.633,AREN'T YOU TWO A SIGHT FOR SORE EYES!
00:05:41.758,00:05:44.052,"GIVE US A HUG, SHREK, YOU OLD LOVE MACHINE."
00:05:44.178,00:05:47.181,MRS. SHREK.
00:05:47.306,00:05:48.515,HOW ABOUT A SIDE OF SUGAR FOR THE STEED?
00:05:48.640,00:05:50.892,"DONKEY, WHAT ARE YOU DOING HERE?"
00:05:51.018,00:05:52.936,TAKING CARE OF YOUR LOVE NEST FOR YOU.
00:05:53.061,00:05:54.479,"OH, YOU MEAN LIKE..."
00:05:54.604,00:05:57.732,SORTING THE MAIL AND WATERING THE PLANTS?
00:05:57.858,00:06:00.443,"- YEAH, AND FEEDING THE FISH!"
00:06:00.568,00:06:02.029,YOU DO NOW.
00:06:02.154,00:06:03.571,"I CALL THAT ONE SHREK, AND THE OTHER FIONA."
00:06:03.697,00:06:05.949,THAT SHREK IS A RASCALLY DEVIL. GET YOUR...
00:06:06.074,00:06:09.410,LOOK AT THE TIME.
00:06:09.536,00:06:10.996,DON'T YOU WANT TO TELL ME ABOUT YOUR TRIP?
00:06:11.121,00:06:12.873,OR HOW ABOUT A GAME OF PARCHEESI?
00:06:13.874,00:06:15.209,"ACTUALLY, DONKEY?"
00:06:15.334,00:06:17.669,SHOULDN'T YOU BE GETTING HOME TO DRAGON?
00:06:17.794,00:06:19.921,"OH, YEAH, THAT."
00:06:20.047,00:06:23.258,I DON'T KNOW. SHE'S BEEN ALL MOODY AND STUFF LATELY.
00:06:23.382,00:06:25.677,I THOUGHT I'D MOVE IN WITH YOU.
00:06:25.802,00:06:28.096,"YOU KNOW WE'RE ALWAYS HAPPY TO SEE YOU, DONKEY."
00:06:28.222,00:06:31.058,BUT FIONA AND I ARE MARRIED NOW.
00:06:31.183,00:06:34.393,"WE NEED A LITTLE TIME, YOU KNOW, TO BE TOGETHER."
00:06:36.604,00:06:38.232,JUST WITH EACH OTHER.
00:06:39.816,00:06:41.442,ALONE.
00:06:41.568,00:06:43.778,SAY NO MORE. YOU DON'T HAVE TO WORRY ABOUT A THING.
00:06:43.904,00:06:46.698,I WILL ALWAYS BE HERE TO MAKE SURE NOBODY BOTHERS YOU.
00:06:46.823,00:06:48.658,- DONKEY!
00:06:48.783,00:06:50.994,YOU'RE BOTHERING ME.
00:06:51.119,00:06:53.205,"OH, OK."
00:06:53.330,00:06:55.040,"I GUESS, UH..."
00:06:55.165,00:06:58.459,"ME AND PINOCCHIO WAS GOING TO CATCH A TOURNAMENT, ANYWAY."
00:06:58.585,00:07:02.421,MAYBE I'LL SEE Y'ALL SUNDAY FOR A BARBECUE OR SOMETHING.
00:07:04.758,00:07:08.887,HE'LL BE FINE.
00:07:11.098,00:07:12.974,I THINK I REMEMBER.
00:07:15.185,00:07:16.644,- DONKEY!
00:07:16.770,00:07:19.731,"I KNOW, I KNOW! ALONE!"
00:07:19.856,00:07:21.649,WHAT DO YOU WANT ME TO TELL THESE OTHER GUYS?
00:07:33.412,00:07:35.914,"ENOUGH, REGGIE."
00:07:37.707,00:07:41.211,DEAREST PRINCESS FIONA.
00:07:41.336,00:07:56.935,"YOU ARE HEREBY SUMMONED TO THE KINGDOM OF FAR, FAR AWAY FOR A ROYAL BALL IN CELEBRATION OF YOUR MARRIAGE, AT WHICH TIME THE KING WILL BESTOW HIS ROYAL BLESSING UPON YOU AND YOUR..."
00:07:57.644,00:07:59.687,"UH, PRINCE CHARMING."
00:07:59.813,00:08:04.025,"LOVE, THE KING AND QUEEN OF FAR, FAR AWAY."
00:08:04.151,00:08:06.736,AKA MOM AND DAD.
00:08:06.861,00:08:08.238,MOM AND DAD?
00:08:08.363,00:08:11.450,- PRINCE CHARMING?
00:08:11.574,00:08:13.618,- WE'RE NOT GOING.
00:08:13.743,00:08:16.371,"I MEAN, DON'T YOU THINK THEY MIGHT BE A BIT..."
00:08:16.496,00:08:19.249,SHOCKED TO SEE YOU LIKE THIS?
00:08:19.374,00:08:22.210,BE A BIT SURPRISED.
00:08:22.336,00:08:25.422,"BUT THEY'RE MY PARENTS, SHREK."
00:08:25.546,00:08:27.924,AND DON'T WORRY.
00:08:28.049,00:08:29.801,"YEAH, RIGHT."
00:08:29.926,00:08:31.428,SOMEHOW I DON'T THINK I'LL BE WELCOME AT THE COUNTRY CLUB.
00:08:31.552,00:08:33.721,STOP IT.
00:08:33.847,00:08:37.267,HOW DO YOU EXPLAIN SERGEANT POMPOUS AND THE FANCY PANTS CLUB BAND?
00:08:37.392,00:08:40.270,"OH, COME ON! YOU COULD AT LEAST GIVE THEM A CHANCE."
00:08:40.395,00:08:42.814,TO DO WHAT?
00:08:42.939,00:08:45.566,NO! THEY JUST WANT TO GIVE YOU THEIR BLESSING.
00:08:45.692,00:08:49.737,"OH, GREAT."
00:08:49.863,00:08:52.282,"IF YOU WANT TO BE A PART OF THIS FAMILY, YES!"
00:08:52.407,00:08:54.493,WHO SAYS I WANT TO BE PART OF THIS FAMILY?
00:08:54.617,00:08:57.578,"UH, YOU DID!"
00:08:57.704,00:09:00.581,"WELL, THERE'S SOME FINE PRINT FOR YOU!"
00:09:00.707,00:09:02.876,SO THAT'S IT.
00:09:03.001,00:09:05.337,TRUST ME.
00:09:05.462,00:09:08.006,"WE ARE NOT GOING, AND THAT'S FINAL!"
00:09:10.217,00:09:13.428,COME ON!
00:09:15.555,00:09:17.974,DON'T WORRY!
00:09:20.185,00:09:22.437,"- HEY, WAIT FOR ME. OOPH!"
00:09:29.027,00:09:30.404,HIT IT! MOVE 'EM ON!
00:09:39.954,00:09:42.623,MOVE 'EM ON! RAWHIDE!
00:09:42.749,00:09:44.751,POUND 'EM DEAD! MAKE 'EM TEA!
00:09:46.586,00:09:48.588,YEE-HA!
00:10:06.814,00:10:08.608,are we there yet?
00:10:13.447,00:10:15.365,- REALLY?
00:10:15.490,00:10:16.866,- ARE WE THERE YET?
00:10:16.991,00:10:18.618,- ARE WE THERE YET?
00:10:18.743,00:10:20.495,- ARE WE THERE YET?
00:10:22.372,00:10:24.165,- ARE WE THERE YET?
00:10:24.291,00:10:27.544,- THAT'S NOT FUNNY.
00:10:28.669,00:10:29.963,THIS IS WHY NOBODY LIKES OGRES.
00:10:31.214,00:10:32.757,- YOUR LOSS!
00:10:32.882,00:10:34.426,- I'M GONNA JUST STOP TALKING.
00:10:35.676,00:10:37.345,"THIS IS TAKING FOREVER, SHREK."
00:10:37.471,00:10:38.888,THERE'S NO IN-FLIGHT MOVIE OR NOTHING!
00:10:39.013,00:10:43.143,"THE KINGDOM OF FAR, FAR AWAY, DONKEY."
00:10:43.268,00:10:47.688,THAT'S WHERE WE'RE GOING.
00:10:49.483,00:10:52.569,"ALL RIGHT, ALL RIGHT, I GET IT. I'M JUST SO DARN BORED."
00:10:52.693,00:10:55.822,"WELL, FIND A WAY TO ENTERTAIN YOURSELF."
00:11:18.136,00:11:20.472,FOR FIVE MINUTES...
00:11:20.597,00:11:22.849,COULD YOU NOT BE YOURSELF...
00:11:32.359,00:11:34.235,ARE WE THERE YET?
00:11:34.361,00:11:36.196,"- OH, FINALLY!"
00:11:49.167,00:11:51.878,WOW!
