start,end,script
00:01:26.628,00:01:32.050,"She was locked away in a castle, guarded by a terrible fire-breathing dragon."
00:01:33.259,00:01:39.349,"Many brave knights had attempted to free her from this dreadful prison, but none prevailed."
00:01:40.600,00:01:49.359,"She waited in the dragon's keep, in the highest room of the tallest tower, for her true love and true love's first kiss."
00:03:33.212,00:03:35.006,-Go! -Go!
00:04:02.533,00:04:05.787,-Think it's in there? -All right. Let's get it!
00:04:05.912,00:04:08.289,Whoa. Hold on. Do you know what that thing can do to you?
00:04:08.373,00:04:11.459,"Yeah, it'll grind your bones for its bread."
00:04:19.634,00:04:22.720,They'll make a suit from your freshly peeled skin.
00:04:22.804,00:04:25.056,-No! -They'll shave your liver.
00:04:25.139,00:04:27.809,Squeeze the jelly from your eyes!
00:04:28.101,00:04:30.853,"-Actually, it's quite good on toast. -Back! Back, beast!"
00:04:30.937,00:04:32.981,Back! I warn ya!
00:05:05.555,00:05:07.265,And stay out!
00:05:11.311,00:05:13.313,Wanted. Fairy tale creatures.
00:05:24.407,00:05:26.993,-Move it along. Come on! Get up! -Next!
00:05:28.411,00:05:31.247,Give me that! Your flying days are over.
00:05:31.372,00:05:34.042,That's 20 pieces of silver for the witch. Next!
00:05:34.125,00:05:36.711,-Get up! Come on! -Twenty pieces.
00:05:42.216,00:05:44.719,This cage is too small.
00:05:44.844,00:05:46.637,Please don't turn me in. I'll never be stubborn again.
00:05:46.721,00:05:48.639,I can change. Please! Give me another chance!
00:05:51.559,00:05:54.479,-What have you got? -This little wooden puppet.
00:05:54.562,00:05:57.190,I'm not a puppet. I'm a real boy.
00:05:59.567,00:06:01.611,Five shillings for the possessed toy.
00:06:01.694,00:06:03.988,"-Take it away. Father, please! -Don't let them do this!"
00:06:04.072,00:06:05.656,-Help me! -Next. What have you got?
00:06:08.993,00:06:12.997,"Right. Well, that's good for ten shillings, if you can prove it."
00:06:13.081,00:06:15.374,"Oh, go ahead, little fella."
00:06:18.377,00:06:19.462,Well?
00:06:19.587,00:06:22.131,"Oh, oh, he's just-- He's just a little nervous."
00:06:22.215,00:06:32.892,"He's really quite a chatterbox. Talk, you boneheaded dolt-- He does. I can talk. I love to talk."
00:06:33.059,00:06:35.436,I'm the talkingest damn thing you ever saw.
00:06:37.146,00:06:38.773,"-Get her out of my sight. -No, no!"
00:06:38.856,00:06:41.943,I swear! Oh! He can talk!
00:06:46.322,00:06:48.074,Hey! I can fly!
