start,end,script
00:13:21.625,00:13:23.125,You're sure?
00:13:25.125,00:36:46.583,"Yes, Dad, we have to Ok, let's go Mama, make coffee and eggs for Papa Yes, my love In peace, in peace Put down the gun Do you want to die?"
00:40:48.541,00:40:50.083,How is your wife?
00:40:50.083,00:40:59.083,She's well - we have 2 boys 6 and 8 years old In Juarez?
00:40:59.083,00:48:49.500,"No, Monterey Much better It's more peaceful It's great to see you're still in the fight I'm sorry for what happened to you Take care Now you'll learn what's hell in Yankee Land No, Medellín Everyone from Nogales, groups A, D, E Groups A, D, E Stay seated Everyone else to the buses Now Now!"
00:49:15.541,00:49:23.208,From this group here Who has been in the US before?
00:49:28.041,00:49:33.166,Excuse me Where?
00:49:36.291,00:49:37.416,Are you married?
00:49:37.416,00:49:38.750,"Yes, sir."
00:49:39.791,00:49:41.125,Any children?
00:49:42.166,00:49:43.541,Where?
00:49:43.541,00:49:51.583,Chihuahua Let me see your hands Do you have any tattoos?
00:49:51.916,00:49:56.458,"No, sir And you, what's your name?"
00:49:57.000,00:49:59.958,Alejandro Last name?
00:49:59.958,00:50:04.250,Alejandro Rodriguez And where have you been?
00:50:04.250,00:50:09.916,In Texas And where have you been?
00:54:21.750,00:54:39.125,Come and eat. Let's get ready for school Where's Dad?
00:54:39.125,00:54:47.750,He's working When's he back?
00:54:47.750,00:56:25.875,"Don't know Los Caballeros, can you cross there?"
00:56:26.000,00:56:56.375,You can But the coyotes there are crooked No women can cross there This is drug land The only people who cross there are mules and pollos It keeps Border Patrol away Never cross where there are tunnels You know this area?
00:56:56.375,00:57:12.708,For years it was the best place to cross Here you can walk easily to Highway 86 There is water and shade Can you mark the trail to the tunnel?
00:57:12.708,01:17:06.375,"They hide the entrance behind and old car Look, right here Eggs With jalapeños?"
01:17:06.375,01:17:18.250,Of course Are you working today?
01:17:21.250,01:17:26.958,Tonight Do you want to play soccer in the park?
01:17:33.208,01:17:57.541,"Hand me my coffee Alright, we'll play Never touch that Understood?"
01:31:02.000,01:31:03.458,Hurry up!
01:31:05.416,01:31:06.375,Help me out!
01:31:06.375,01:31:08.875,Let's get out of here Come on!
01:31:15.541,01:31:19.458,Let's go Give me the keys Give me the keys!
01:31:19.458,01:31:31.958,Calm down Hands in the air Turn around Medellín?
01:32:19.541,01:32:46.208,Both hands on the steering wheel What's your name?
01:32:46.541,01:38:48.666,"Silvio You're going to exit onto Highway 56 I have a son What you do now is for your family Accelerate Turn on your lights You're going to pull over that car Very good Use the speaker Tell him to get out of the car Leave the car Again Get out, asshole!"
01:38:56.541,01:39:05.583,Tell him to raise his jacket and turn around Raise your jacket and turn around You know who I am?
01:39:06.583,01:39:10.500,"Tell him you'll kill him if he doesn't I'll kill you, motherfucker!"
01:39:11.625,01:40:00.625,"Raise your jacket and turn around Tell him to lose the gun Drop the gun What a good police officer you make, Silvio Now exit the car Exit the car, Silvio What do you want?"
01:40:17.791,01:40:20.791,"Don't move, motherfucker Do you know who I am?"
01:40:20.791,01:40:21.916,I am a jefe!
01:40:21.916,01:40:23.625,Lay down!
01:40:32.375,01:40:49.666,I know who you are You're Manuel Diaz But right now you're the guy who's going to take me to meet your jefe Get up!
01:40:56.166,01:41:04.458,"If you try anything, your daughters will be violated by 20 men Turn around!"
01:41:11.541,01:44:18.666,Get in I know who you are It's Manuel. It's clear Bon appétit!
01:44:20.750,01:44:28.333,Stay calm or we're dead Do your children speak English?
01:44:30.625,01:44:36.625,"Then we will speak English Eat, eat!"
01:45:17.416,00:02:13.925,Eat Your little girl It wasn't personal For me it is Time to meet God FBI! Don't move!
00:02:15.635,00:02:16.803,Get down! Get down!
00:02:23.476,00:02:25.270,Cross your legs and put your hands in the air!
00:02:27.564,00:02:29.316,Get down! Get down!
00:02:36.489,00:02:38.241,"Police, don't move! Search warrant!"
00:02:49.586,00:02:50.670,I'm good.
00:02:51.213,00:02:52.255,Fuck!
00:02:57.510,00:02:59.053,Two suspects in custody!
00:03:08.062,00:03:10.232,Why'd he shoot? There's no one here.
00:03:17.029,00:03:18.781,What the fuck?
00:04:10.833,00:04:12.419,Those weren't our hostages.
00:04:13.545,00:04:15.838,No. That was something else.
00:04:17.924,00:04:20.260,U.S. Attorney wants a statement. What do you want me to say to her?
00:04:20.343,00:04:21.428,The truth.
00:05:13.855,00:05:15.440,Looks like Sonora...
00:05:16.608,00:05:17.650,Yeah.
00:05:19.902,00:05:21.028,How many total?
00:05:21.863,00:05:25.241,"We've got 15 in this hall here, about 20 in the back bedroom."
00:05:25.408,00:05:28.285,We haven't even checked the attic or under the crawl space.
00:05:28.495,00:05:30.497,"Call DOJ, let 'em know what we have."
00:05:33.249,00:05:36.168,This one of the houses owned by Manuel Diaz?
00:05:36.503,00:05:38.880,"No way to connect him, but he owns it."
00:05:41.799,00:05:42.842,Jesus Christ.
00:05:44.427,00:05:46.429,"Reg, step out. It's OK."
00:06:23.466,00:06:24.509,Vickers!
00:07:42.920,00:07:44.005,Relax.
00:07:47.925,00:07:52.805,this close to Phoenix is without a doubt a major escalation for the cartels.
00:07:52.889,00:08:00.229,There will be pressure in Washington to explain how such a dramatic outrage could happen so deep inside the American heartland.
00:08:00.605,00:08:10.239,"We may be talking about the victims of a turf war or maybe some illegal immigrants who are tied to a ransom, but it will be some weeks before we have a clearer picture on who the victims..."
00:08:19.916,00:08:20.958,I have no idea.
00:08:24.921,00:08:28.382,"Put her through the grinder since she got here, and she hasn't blinked."
00:08:28.550,00:08:29.967,She's in the front line.
00:08:30.051,00:08:32.970,Nobody's gonna be happier than Kate to see these guys go down.
00:08:33.220,00:08:34.806,So she's a thumper.
00:08:34.889,00:08:37.141,Today was her fifth O.I.S.
00:08:39.226,00:08:40.562,She never worked cases?
00:08:40.645,00:08:42.605,Been kicking doors since day one.
00:08:42.730,00:08:45.775,I like her already. What about the partner? He seen any action?
00:08:45.858,00:08:47.652,He's only been with us 18 months.
00:08:47.735,00:08:49.111,What's his background?
00:08:49.195,00:08:51.072,He's a sharp kid.
00:08:51.155,00:08:56.410,"ROTC scholarship to Maryland, did a tour in Iraq, got his law degree from UNC."
00:09:00.206,00:09:03.125,No lawyers on this train. Just give me the girl.
00:09:04.293,00:09:05.670,"We did this by the book, right?"
00:09:05.753,00:09:07.504,"Come on, of course."
00:09:15.972,00:09:17.557,-Jesus. -What?
00:09:18.432,00:09:19.684,"Oh, shit."
00:09:19.767,00:09:21.018,"Would you step in here, Kate?"
00:09:34.156,00:09:37.869,"Quite a find today, the loss of two officers notwithstanding."
00:09:39.161,00:09:40.329,"Yes, sir."
00:09:40.788,00:09:43.750,How familiar are you with Manuel Diaz's operation?
00:09:44.166,00:09:47.879,"His company, Sun Oasis, has 80 or so foreclosure properties."
00:09:48.170,00:09:50.547,He has other legitimate businesses. Um...
00:09:50.840,00:09:53.885,But he's rumoured to be linked with one of the Mexican cartels.
00:09:57.471,00:09:59.807,He's most likely their senior member in the United States.
00:10:03.394,00:10:04.979,I wasn't aware he had one.
00:10:05.187,00:10:08.024,Guillermo. His brother's name is Guillermo.
00:10:08.107,00:10:09.483,Do you know anything about his cousin?
00:10:09.566,00:10:11.944,I didn't know he had one of those either. None of that is in his file.
00:10:12.028,00:10:13.905,His cousin is Fausto Alarcon.
00:10:15.072,00:10:16.448,I don't know who that is.
00:10:16.532,00:10:18.325,No one does. He's off the grid.
00:10:21.078,00:10:22.747,"This is not my department, sir."
00:10:22.830,00:10:25.416,"Like I said, Agent Macer doesn't work narcotics."
00:10:25.625,00:10:27.669,She runs a kidnap response team.
00:10:28.044,00:10:29.128,Are you married?
00:10:30.421,00:10:31.756,Am I married?
00:10:31.964,00:10:33.758,Do you have a husband?
00:10:36.093,00:10:37.344,Divorced.
00:10:39.513,00:10:40.597,Kids?
00:10:41.849,00:10:42.934,No.
00:10:44.101,00:10:45.436,Anything else?
