start,end,script
00:03:03.308,00:03:05.352,Mary Jane Watson.
00:03:05.352,00:03:06.770,"Oh, boy."
00:03:06.770,00:03:09.356,If she only knew how I felt about her.
00:03:09.356,00:03:11.566,But she can never know.
00:03:11.566,00:03:17.572,"I made a choice once to live a life of responsibility, a life she can never be a part of."
00:03:17.572,00:03:19.074,Who am I?
00:03:19.074,00:03:22.077,"I'm Spider-Man, given a job to do."
00:03:22.077,00:03:25.122,"And I'm Peter Parker, and I, too, have a job."
00:03:25.122,00:03:26.999,MAN: Parker! Parker!
00:03:26.999,00:03:28.876,"No. No, no, no, no stop! Stop!"
00:03:30.752,00:03:32.046,"Parker, you're late, man."
00:03:32.046,00:03:33.755,"Always late, huh?"
00:03:33.755,00:03:36.842,"I'm sorry, Mr. Aziz, there was a..."
00:03:36.842,00:03:37.926,"Disturbance, another disturbance."
00:03:37.926,00:03:39.094,Always a disturbance with you.
00:03:39.094,00:03:41.180,Come on.
00:03:39.094,00:03:43.098,"Twenty-one minutes ago, in comes order, Harmattan, Burton &amp; Smith."
00:03:43.098,00:03:44.975,Eight extra-large deep-dish pizzas.
00:03:44.975,00:03:48.979,"In eight minutes, I am defaulting on Joe's 29-minute guarantee."
00:03:48.979,00:03:54.651,"Then not only am I receiving no money for these pizzas, but I will lose the customer forever to Pizza Yurt."
00:03:54.651,00:03:56.737,"Look, you are my only hope, all right?"
00:03:56.737,00:03:58.321,You have to make it in time.
00:03:58.321,00:04:02.367,"Peter, you're a nice guy, but you're just not dependable."
00:04:02.367,00:04:03.660,This is your last chance.
00:04:04.578,00:04:09.499,"You have to go 42 blocks in seven and one-half minutes, or your ass is fired."
00:04:10.751,00:04:11.835,Go!
00:04:35.067,00:04:36.651,"MAN: Hey, what're you, stupid?"
00:04:56.004,00:04:58.673,Whoo-hoo!
00:04:58.673,00:05:00.175,Whoa!
00:05:00.175,00:05:01.969,He stole that guy's pizzas!
00:05:09.143,00:05:10.644,GIRL: My ball!
00:05:10.644,00:05:12.729,I'm gonna get it!
00:05:14.898,00:05:16.191,Yah!
00:05:26.576,00:05:27.869,Hm.
00:05:27.869,00:05:30.164,"Hey, you guys, no playing in the streets."
00:05:30.164,00:05:31.665,"BOTH: Yes, Mr. Spider-Man."
00:05:31.665,00:05:33.000,See you.
00:05:34.626,00:05:36.003,"WOMAN: Way to go, Spidey!"
00:06:28.930,00:06:30.182,Pizza time.
00:06:35.603,00:06:38.273,You're late.
00:06:38.273,00:06:39.607,I'm not paying for those.
00:06:58.085,00:07:01.922,"AZIZ: Joe's 29-minute guarantee is a promise, man."
00:07:01.922,00:07:06.509,"I know to you, Parker, a promise means nothing, but to me, it's serious."
00:07:06.509,00:07:08.387,"It's serious to me too, Mr. Aziz."
00:07:08.387,00:07:10.138,You're fired. Go.
00:07:10.138,00:07:11.932,"Please, I need this job."
00:07:11.932,00:07:13.600,"Look, give me another chance."
00:07:22.734,00:07:24.527,JAMESON: You're fired.
00:07:24.527,00:07:25.737,"Parker, hello. You're fired."
00:07:25.737,00:07:26.738,Why?
00:07:26.738,00:07:28.323,Dogs catching Frisbees?
00:07:28.323,00:07:29.532,Pigeons in the park?
00:07:29.532,00:07:30.491,A couple of geezers playing chess?
00:07:30.491,00:07:31.868,Boss-- Not now!
00:07:31.868,00:07:34.996,I was thinking maybe the Bugle could show another side of New York for a change.
00:07:34.996,00:07:36.915,"We got six minutes to deadline, Jonah."
00:07:36.915,00:07:38.333,We need page one.
00:07:36.915,00:07:39.918,"Parker, I don't pay you to be a sensitive artiste."
00:07:39.918,00:07:44.714,I pay you because-- Still not now! I pay you because for some reason that psycho Spider-Man will pose for you.
00:07:44.714,00:07:46.800,Spider-Man won't let me take any more pictures.
00:07:46.800,00:07:48.093,You've turned the whole city against him.
00:07:48.093,00:07:49.510,A fact I'm very proud of.
00:07:49.510,00:07:52.889,"Now, get your pretty little portfolio off my desk before I go into a diabetic coma."
00:07:52.889,00:07:55.058,"Boss, your wife's on the line."
00:07:55.058,00:07:56.268,She says she lost her checkbook.
00:07:56.268,00:07:57.477,Thanks for the good news.
00:07:57.477,00:07:59.938,"Mr. Jameson, please, isn't there any of these shots you can use?"
00:07:59.938,00:08:00.897,I really need the money.
00:08:00.897,00:08:02.899,Aw...
00:08:02.899,00:08:04.151,Yes?
00:08:04.151,00:08:06.027,"Five minutes to deadline, Jonah."
00:08:06.027,00:08:10.907,"All right, run a picture of a rancid chicken, here's the headline: Food Poisoning Scare Sweeps City."
00:08:10.907,00:08:12.033,Some food got poisoned?
00:08:12.033,00:08:13.285,"I'm a little nauseous, yeah."
