start,end,script
00:01:11.739,00:01:15.325,but it's not why we're here.
00:01:15.325,00:01:17.619,"What, are we fighting the weather now?"
00:01:17.619,00:01:20.539,Locals say the cyclone had a face.
00:01:20.539,00:01:23.124,People see things when they're under stress.
00:01:23.124,00:01:34.219,That does not mean that this is the start to some other big world-ending-- Who are you?
00:01:39.516,00:01:41.268,You don't want any part of this.
00:02:57.218,00:02:59.513,"Gone, but not forgotten."
00:02:59.513,00:03:04.018,Thanks to Kenneth Lim and Vihaan Ramamurthy for their help with that touching video tribute.
00:03:04.018,00:03:08.522,"This year has been nothing short of-- It's, like, insane."
00:03:08.522,00:03:09.564,Jason.
00:03:09.564,00:03:10.899,No swearing.
00:03:10.899,00:03:12.943,It's the last day of school.
00:03:13.861,00:03:14.945,Historic.
00:03:14.945,00:03:20.199,"Over five years ago, half of all life in the universe, including our own Midtown High..."
00:03:20.199,00:03:22.786,...was wiped from existence.
00:03:22.786,00:03:26.498,"Then eight months ago, a band of brave heroes brought us back."
00:03:28.709,00:03:30.377,They called it the Blip.
00:03:30.377,00:03:33.130,Those of us who Blipped away came back the same age...
00:03:33.130,00:03:37.843,But our classmates that didn't Blip had grown five years older.
00:03:37.843,00:03:40.220,"Yeah, my little brother is now older than me."
00:03:40.220,00:03:42.014,"Yeah, it's math."
00:03:42.014,00:03:50.271,"Even though we had Blipped away halfway through the school year and had already taken midterms, the school made us start the year over from the beginning."
00:03:50.271,00:03:52.774,It's totally unfair.
00:03:54.442,00:03:57.946,"...it's been a long, dramatic, somewhat confusing road."
00:03:57.946,00:04:02.701,"As we draw this year to a close, it's time to move on..."
00:04:03.785,00:04:05.412,to a new phase of our lives.
00:04:05.412,00:04:09.332,Pray nothing crazy happens again because are the Avengers a thing anymore?
00:04:09.332,00:04:10.792,Does anyone even have a plan?
00:04:10.792,00:04:12.252,I have a plan.
00:04:12.252,00:04:14.671,"First, I'm gonna sit next to MJ on the flight."
00:04:14.671,00:04:19.093,"Second, I'm gonna buy a dual headphone adapter and watch movies with her the whole time."
00:04:19.093,00:04:20.385,Okay.
00:04:19.093,00:04:24.056,"Three, when we go to Venice, Venice is famous for making stuff out of glass."
00:04:24.056,00:04:29.394,"I'm gonna buy her a black dahlia necklace because her favorite flower is the black dahlia because of, well..."
00:04:29.394,00:04:31.354,The murder.
00:04:29.394,00:04:35.400,"Four, when we go to Paris, I'm gonna take her to the top of the Eiffel Tower, give her the necklace."
00:04:35.400,00:04:37.611,"Then, five, I'm gonna tell her how I feel."
00:04:38.653,00:04:41.823,"Then, six, hopefully she tells me she feels the same way."
00:04:41.823,00:04:43.200,"Oh, don't forget step seven."
00:04:43.200,00:04:45.452,Step seven?
00:04:46.620,00:04:47.746,Why?
00:04:47.746,00:04:49.623,We're gonna be bachelors in Europe.
00:04:49.623,00:04:50.707,Ned.
00:04:49.623,00:04:55.921,"Look, I may not know much, but I do know this: Europeans love Americans."
00:04:55.921,00:04:57.047,Really?
00:04:57.047,00:04:58.506,More than half are women.
00:04:58.506,00:05:00.092,Okay. Sure.
00:05:00.092,00:05:03.011,"But...I really like MJ, man, okay?"
00:05:03.011,00:05:05.764,"She's awesome, she's super funny in a kind of dark way."
00:05:05.764,00:05:10.811,"Sometimes I catch her looking at me, I feel like I've stood up-- She's coming."
00:05:10.811,00:05:12.395,Excited about the science trip?
00:05:12.395,00:05:14.689,"Hey, yeah. We're just talking about the trip."
00:05:14.689,00:05:15.899,"Yeah, and Peter's plan."
00:05:15.899,00:05:17.192,You have a plan?
00:05:17.192,00:05:20.195,I don't-- I don't have a plan.
00:05:20.195,00:05:24.950,He's-- He's just gonna collect tiny spoons when we're traveling to other countries.
00:05:24.950,00:05:26.493,Like a-- Like a grandmother?
00:05:26.493,00:05:28.369,I'm not collecting tiny spoons.
00:05:28.369,00:05:29.997,He's collecting tiny spoons.
00:05:29.997,00:05:31.706,"Oh, okay, well..."
00:05:32.791,00:05:34.459,that was a real roller coaster.
00:05:34.459,00:05:41.091,"By the way, travel tip: You should download a VPN on your phone, so the government can't track you while abroad."
00:05:41.091,00:05:43.718,Smart... Will do.
00:05:48.598,00:05:51.935,"Dude, I think that went really great."
00:05:53.895,00:05:59.193,"MAY: When I Blipped back to my apartment, the family that was living there was very confused."
00:05:59.193,00:06:01.903,The wife thought that I was a mistress.
00:06:01.903,00:06:03.864,The grandma thought that I was a ghost.
00:06:03.864,00:06:06.283,It was-- It was really a mess.
00:06:06.283,00:06:10.453,Thank you all for coming out to support those who have been displaced by the Blip.
00:06:10.453,00:06:14.373,"And, of course, thanks to our very own Spider-Man!"
00:06:24.801,00:06:28.180,"Thank you, Miss Parker, for having me."
00:06:28.180,00:06:30.807,"And thank you, you guys, for having me."
00:06:32.226,00:06:34.519,"And thank you, Spider-Man."
00:06:34.519,00:06:37.689,He'll be right back out to take photos and videos.
00:06:37.689,00:06:38.606,Thank you!
00:06:44.321,00:06:46.198,That was amazing.
00:06:46.198,00:06:47.908,That was so cool.
00:06:47.908,00:06:50.202,I was a little stiff.
00:06:50.202,00:06:53.080,"No, I thought you did great."
00:06:53.080,00:06:55.665,"Uh, yeah, I felt that too."
00:06:55.665,00:06:56.875,"It's fine, fine."
00:06:56.875,00:06:58.501,Did you get your passport?
00:06:58.501,00:07:00.003,Mini toothpaste?
00:07:01.420,00:07:03.173,"Hey, sorry I'm late."
00:07:03.757,00:07:05.384,Happy. Hey.
00:07:05.384,00:07:06.467,"Oh, you look lovely."
00:07:06.467,00:07:08.469,Thanks. You too.
00:07:08.469,00:07:10.764,New dress?
00:07:11.765,00:07:12.891,It's a new beard.
00:07:12.891,00:07:14.059,It's my-- My Blip beard.
00:07:14.059,00:07:15.852,'Cause I grew it in the Blip.
00:07:15.852,00:07:17.604,It's a Blip beard.
00:07:17.604,00:07:19.189,I see. Yeah.
00:07:19.189,00:07:22.276,The reason I'm late is because this was misplaced.
00:07:22.276,00:07:23.944,Can you believe it?
00:07:23.944,00:07:25.279,"Not the amount, the size."
00:07:25.279,00:07:28.031,The amount's nice too.
00:07:28.031,00:07:30.533,"Pepper Potts said, sorry she couldn't be here."
00:07:30.533,00:07:35.289,I think I'm gonna go change the Sterno under the vegan lasagna.
00:07:36.206,00:07:38.166,"Spider-Man, go shake hands."
00:07:38.166,00:07:40.001,Will do.
00:07:44.464,00:07:46.258,What just happened?
00:07:46.258,00:07:48.676,"Heads up, Nick Fury's calling you."
00:07:48.676,00:07:50.804,Nick Fury's gonna call me? Why?
00:07:50.804,00:07:53.640,Why? He probably has hero stuff for you to do.
00:07:53.640,00:07:55.892,You're a superhero.
00:07:55.892,00:07:59.271,"If it was that important, he'd probably call someone else, not me."
00:07:59.271,00:08:02.190,Apparently not.
00:08:05.319,00:08:07.070,No caller ID.
00:08:07.070,00:08:08.488,I don't wanna talk to Fury.
00:08:08.488,00:08:09.614,Answer the phone.
00:08:09.614,00:08:12.367,"If you don't talk to him, I have to and I don't want to."
00:08:12.367,00:08:14.328,Why not?
00:08:15.578,00:08:17.289,You sent Fury to voicemail?
00:08:17.289,00:08:18.957,You don't send Fury to voicemail.
00:08:18.957,00:08:20.167,They're calling me.
00:08:20.167,00:08:21.918,I gotta go.
00:08:21.918,00:08:24.838,"I'm gonna call him. I promise, I'm gonna call him. I will."
00:08:24.838,00:08:26.840,You do not ghost Nick Fury.
00:08:26.840,00:08:28.716,"I promise you, I'll call him."
