start,end,script
00:00:42.125,00:00:44.169,"I mean, look at this."
00:00:44.335,00:00:46.379,-You got aliens. MASON: Mm.
00:00:46.546,00:00:49.799,You got big green guys tearing down buildings.
00:00:49.966,00:00:52.844,"When I was a kid, I used to draw cowboys and Indians."
00:00:53.011,00:00:56.973,"Um, actually, it's Native American, but whatever."
00:00:57.515,00:00:59.934,"Yeah. Tell you what, though."
00:01:00.560,00:01:02.520,"It ain't bad, is it?"
00:01:03.063,00:01:04.439,No. Yeah.
00:01:04.606,00:01:06.483,Kid's got a future.
00:01:06.649,00:01:08.443,"Yeah, well..."
00:01:09.277,00:01:10.737,"...we'll see, I guess."
00:01:35.386,00:01:37.347,"No, hey! Uh-uh!"
00:01:37.514,00:01:39.098,You can't saw through that stuff.
00:01:40.058,00:01:42.101,These alien bastards are tough.
00:01:42.268,00:01:44.229,You gotta use the stuff they use.
00:01:46.731,00:01:49.234,-See? All right. SCHULTZ: All right.
00:01:50.860,00:01:52.737,"Oh, hey!"
00:01:53.446,00:01:55.198,Glad you could join us. Afternoon.
00:01:55.365,00:01:57.617,"-Yeah. My alarm didn't go off. -Yeah, your alarm."
00:01:57.784,00:02:00.495,"Look, just go stack that armor plating like I asked you."
00:02:00.662,00:02:02.455,This is a huge deal for us.
00:02:02.622,00:02:04.082,"HOAG: Attention, please!"
00:02:04.249,00:02:07.085,In accordance with Executive Order 396B...
00:02:07.252,00:02:10.797,...all post-battle cleanup operations are now under our jurisdiction.
00:02:10.964,00:02:13.049,Thank you for your service. We'll take it from here.
00:02:13.216,00:02:14.509,Who the hell are you?
00:02:14.676,00:02:16.136,Qualified personnel.
00:02:16.302,00:02:25.395,"Look, I have a city contract to salvage all this, okay, with the city, so-- I apologize, Mr. Toomes, but all salvage operations are now under our jurisdiction."
00:02:25.562,00:02:28.857,Please turn over any and all exotic materials that you've collected...
00:02:29.023,00:02:30.358,...or you will be prosecuted.
00:02:30.733,00:02:32.485,"Ma'am, what am--?"
00:02:32.652,00:02:35.530,"Please. Come here. Hey, lady, come on."
00:02:35.697,00:02:37.282,Look...
