start,end,script
00:03:10.440,00:03:13.401,The story of my life is not for the faint of heart.
00:03:13.401,00:03:23.328,"If somebody said it was a happy little tale, if somebody told you I was just your average, ordinary guy, not a care in the world, somebody lied."
00:03:23.328,00:03:29.960,"But let me assure you, this, like any story worth telling, is all about a girl."
00:03:29.960,00:03:32.587,MAN: That girl.
00:03:32.587,00:03:37.509,"Mary Jane Watson, the woman I've loved since before I even liked girls."
00:03:37.509,00:03:40.595,I'd like to tell you that's me next to her.
00:03:40.595,00:03:42.556,"Heck, I'd even take him."
00:03:44.599,00:03:46.852,Hey! Stop the bus!
00:03:46.852,00:03:48.896,MAN: That's me.
00:03:48.896,00:03:50.898,Tell him to stop!
00:03:50.898,00:03:54.943,Stop! Hey!
00:03:54.943,00:03:59.406,Stop the bus! He's been chasing us since Woodhaven Boulevard.
00:04:03.077,00:04:05.079,Thank you.
00:04:13.503,00:04:15.463,Don't even think about it.
00:04:15.463,00:04:18.341,"BOY: You're so lame, Parker."
00:04:22.679,00:04:24.765,Um-mmm.
00:04:29.228,00:04:31.230,Oops!
00:04:37.819,00:04:41.615,"TEACHER: Midtown High seniors, no wandering."
00:04:41.615,00:04:43.951,Proceed direc-- Knock it off.
00:04:43.951,00:04:47.913,"Remember, it is a privilege to be here."
00:04:47.913,00:04:53.543,"We are guests of Columbia University's science department, so behave accordingly."
00:04:53.543,00:04:56.379,Let's not have a repeat of our trip to the Planetarium.
00:04:56.379,00:04:58.465,"Come on, people, let's stay together."
00:04:58.465,00:05:00.341,Proceed up the steps and into the building.
00:05:00.341,00:05:04.930,GIRL: M.J.!
00:05:09.893,00:05:12.980,"HARRY: Charles, can we drive around the corner, please?"
00:05:12.980,00:05:15.649,Why? The entrance is right there.
00:05:15.649,00:05:17.651,"Dad, these are public school kids."
00:05:17.651,00:05:20.654,I'm not showing up for the field trip in the Rolls.
00:05:20.654,00:05:26.201,"What, you want me to trade in my car for a Jetta, because you flunked out of every private school I sent you to?"
00:05:26.201,00:05:28.369,It wasn't for me.
00:05:29.788,00:05:31.790,Don't ever be ashamed of who you are.
00:05:31.790,00:05:33.458,I'm not ashamed of who I am.
00:05:34.626,00:05:37.420,It's just...
00:05:37.420,00:05:39.506,Forget it.
00:05:40.548,00:05:42.425,Pete.
00:05:42.425,00:05:44.385,"Hi ya, Harry."
00:05:44.385,00:05:46.305,"Hey, man. What's up?"
00:05:46.305,00:05:49.348,Won't you be needing this?
00:05:49.348,00:05:51.810,"Uh, Peter, may I introduce my father, Norman Osborn."
00:05:51.810,00:05:54.146,NORMAN: I've heard so much about you.
00:05:54.146,00:05:55.981,"A great honor to meet you, Sir."
00:05:55.981,00:05:58.357,NORMAN: Harry tells me you're quite the science whiz.
00:05:58.357,00:06:01.028,"You know, I'm something of a scientist myself."
00:06:01.028,00:06:03.488,I read all your research on nanotechnology.
00:06:03.488,00:06:05.324,Really brilliant.
00:06:05.324,00:06:08.076,Yes.
00:06:08.076,00:06:10.704,Impressive. Your parents must be very proud.
00:06:10.704,00:06:12.622,I live with my aunt and uncle.
00:06:12.622,00:06:14.041,"TEACHER: Hey, you two!"
00:06:14.041,00:06:17.002,Let's move!
00:06:17.002,00:06:19.046,Hope to see you again.
00:06:21.631,00:06:23.591,He doesn't seem so bad.
00:06:23.591,00:06:25.593,"Yeah, not if you're a genius."
00:06:25.593,00:06:28.222,I think he wants to adopt you.
00:06:28.222,00:06:32.391,"GUIDE: There are over 32,000 known species of spider in the world."
00:06:32.391,00:06:35.729,"They're in the order aranae, PETER: Wow, that's amazing."
00:06:35.729,00:06:37.939,GUIDE: which is divided into three subgroups.
00:06:37.939,00:06:41.651,PETER: This is the most advanced electron microscope on the eastern seaboard.
00:06:41.651,00:06:43.028,It's unreal.
00:06:43.028,00:06:44.988,GUIDE: Arachnids from all three groups...
00:06:44.988,00:06:46.698,"Aw, come on."
00:06:46.698,00:06:50.952,GUIDE: possess varying strengths which help them in their constant search for food.
00:06:50.952,00:06:59.586,"For example, the delena spider, family sparassidae, has the ability to jump to catch its prey."
00:06:59.586,00:07:02.547,For the school paper?
00:07:05.967,00:07:12.349,"GUIDE: Next we have the net web spider, family filistatidae, genus kukulcania."
00:07:14.142,00:07:22.234,"It spins an intricate, funnel-shaped web, whose strands have a tensile strength proportionately equal to the type of high-tension wire used in bridge building."
00:07:23.443,00:07:25.445,Leave him alone.
00:07:25.445,00:07:28.573,Or his father'll fire your father.
00:07:28.573,00:07:31.201,"What's daddy gonna do, sue me?"
00:07:31.201,00:07:33.412,What is going on?
00:07:33.412,00:07:35.538,The next person who talks will fail this course.
00:07:35.538,00:07:37.958,I kid you not.
00:07:37.958,00:07:39.626,GUIDE: This grass spider...
00:07:39.626,00:07:48.843,"GUIDE: hunts using a set of reflexes with nerve conduction velocity so fast, that some researchers believe it almost borders on precognition, Those guys are jerks."
00:07:48.843,00:07:51.846,GUIDE: An early awareness of danger.
00:07:51.846,00:07:54.182,"Hey, look at that spider."
00:07:54.182,00:07:57.852,Some spiders change colors to blend into their environment.
00:07:57.852,00:08:00.814,It's a defense mechanism.
00:08:00.814,00:08:03.524,"Peter, what makes you think I would want to know that?"
00:08:03.524,00:08:05.610,Who wouldn't?
00:08:05.610,00:08:09.614,"Over five painstaking years, Columbia's genetic research facility..."
00:08:09.614,00:08:11.074,HARRY: You gonna talk to her now?
00:08:11.074,00:08:13.160,No. Come on.
00:08:13.160,00:08:16.955,"GUIDE: Armed with these D.N.A. blueprints, All right."
00:08:16.955,00:08:19.707,GUIDE: We have now begun what was once thought impossible.
00:08:19.707,00:08:21.668,Disgusting.
00:08:21.668,00:08:24.754,"Yeah, hateful little things."
00:08:24.754,00:08:27.466,"Yeah, me too."
00:08:27.466,00:08:33.972,"You know, spiders can change their color to blend into their environment."
00:08:33.972,00:08:35.932,Really?
00:08:35.932,00:08:38.185,"Yeah, it's a, uh, defense mechanism."
00:08:38.185,00:08:40.270,Cool.
00:08:40.270,00:08:51.781,GUIDE: We used synthesized transfer R.N.A. to encode an entirely new genome combining the genetic information from all three spiders into these 15 genetically designed super spiders.
00:08:51.781,00:08:53.616,There's 14.
00:08:53.616,00:08:56.036,GUIDE: I beg your pardon?
00:08:56.036,00:08:58.121,HARRY: Yeah.
00:09:00.540,00:09:03.543,I guess the researchers are working on that one.
00:09:03.543,00:09:08.673,Do you know that this is the largest electron microscope on the eastern seaboard?
00:09:08.673,00:09:12.344,You were talking throughout that woman's entire presentation.
00:09:12.344,00:09:14.846,Let's go talk about how we listen.
00:09:18.766,00:09:31.946,"Now, I don't know what it's like at those fancy private schools, Osborn, but at Midtown High-- Hey."
00:09:32.906,00:09:34.615,Could I take your picture?
00:09:34.615,00:09:36.117,I-I need one with a student in it.
00:09:36.117,00:09:40.330,Sure. Yeah.
00:09:40.330,00:09:43.083,Over here?
00:09:43.083,00:09:45.126,Don't make me look ugly.
00:09:45.126,00:09:47.128,That's impossible.
00:09:52.926,00:09:55.887,"Oh, perfect."
00:10:03.144,00:10:05.063,Is that good?
00:10:10.527,00:10:13.029,That's great.
00:10:16.991,00:10:20.245,"GIRL: M.J., let's go!"
00:10:20.245,00:10:23.915,Wait-- Thanks.
00:10:25.208,00:10:27.668,Ow!
00:10:36.844,00:10:39.889,TEACHER: Parker. Let's do it.
00:10:56.364,00:10:59.993,We solved the horizon glide and the multi-G balance issues.
00:10:59.993,00:11:04.789,I've already seen the glider.
00:11:04.789,00:11:07.667,"General Slocum, good to see you again."
00:11:08.751,00:11:11.171,Mr. Balkan.
00:11:11.171,00:11:13.089,Norman.
00:11:13.089,00:11:16.384,Always a pleasure to have our board of directors pay us a little visit.
00:11:16.384,00:11:19.971,I want to see the progress report on human performance enhancers.
00:11:19.971,00:11:22.056,We tried vapor inhalation with rodent subjects.
00:11:22.056,00:11:24.142,They showed an 800 percent increase in strength.
00:11:24.142,00:11:26.019,Eight hundred percent?
00:11:26.019,00:11:28.355,Any side effects?
00:11:28.355,00:11:29.814,It was an aberration.
00:11:29.814,00:11:31.858,All the tests since then have been successful.
00:11:31.858,00:11:33.943,"And in the trial that went wrong, what happened?"
00:11:33.943,00:11:35.445,What were the side effects?
00:11:35.445,00:11:37.864,"Uh, violence, aggression..."
00:11:37.864,00:11:40.200,and insanity.
00:11:40.200,00:11:41.535,And what do you recommend?
00:11:41.535,00:11:42.785,That was only one test.
00:11:42.785,00:11:48.375,"With the exception of Dr. Stromm, our entire staff certifies the product ready for human testing."
00:11:48.375,00:11:50.918,Dr. Stromm?
00:11:50.918,00:11:53.338,We need to take the whole line back to formula.
00:11:55.256,00:11:57.300,Back to formula?
00:11:57.300,00:12:01.513,Dr. Osborn? I'm going to be frank with you.
00:12:01.513,00:12:04.098,I never supported your program.
00:12:04.098,00:12:06.393,We have my predecessor to thank for that.
00:12:06.393,00:12:12.731,"Norman, the general gave the go-ahead to Quest Aerospace to build a prototype of their exoskeleton design."
00:12:12.731,00:12:14.775,They test in two weeks.
00:12:14.775,00:12:22.909,"And if your so-called performance enhancers have not had a successful human trial by that date, I'm gonna pull your funding."
00:12:22.909,00:12:24.952,I'm going to give it to them.
00:12:27.455,00:12:29.416,Gentlemen. Ladies.
00:12:33.503,00:12:36.130,"BEN: And the lord said, Let there be light."
00:12:36.130,00:12:39.676,"And voila, there is light."
00:12:39.676,00:12:42.011,Forty soft-glowin' watts of it.
00:12:42.011,00:12:44.639,Good boy.
00:12:44.639,00:12:46.725,Just don't fall on your ass.
00:12:46.725,00:12:49.686,"I'm already on my ass, May."
00:12:49.686,00:12:57.193,"When the plant's senior electrician is laid off after- after 35 years, what else would you call it?"
00:12:57.193,00:12:59.613,"Hand me that dish, the green one."
00:12:59.613,00:13:04.867,"Corporation is downsizing the people, and upsizing their profits."
00:13:04.867,00:13:08.455,"Ah, Ben, you'll get another job somewhere."
00:13:08.455,00:13:12.500,"Yeah, well, let's look in the paper and see."
00:13:13.834,00:13:16.546,Here are the want ads.
00:13:16.546,00:13:25.764,"Computer-- computer salesman, computer engineer, computer analyst-- My lord, even the computers need analysts these days."
00:13:25.764,00:13:28.767,"May, I'm 68 years old."
00:13:28.767,00:13:31.770,"And besides, I have a family to provide for."
00:13:31.770,00:13:34.731,"I love you, and Peter loves you."
00:13:34.731,00:13:38.401,You're the most responsible man I've ever known.
00:13:38.401,00:13:42.905,"We've been down and out before, but somehow we've survived."
00:13:42.905,00:13:44.658,"Oh, hi, sweetie."
00:13:44.658,00:13:47.826,You're just-just...
00:13:47.826,00:13:51.205,"Hey, how you doin', buddy?"
00:13:51.205,00:13:53.792,I don't feel well.
00:13:53.792,00:13:56.711,You won't have a bite?
00:13:56.711,00:13:59.213,"D-d-did you get some pictures, Peter?"
00:13:59.213,00:14:02.342,"Uh, I gotta crash."
00:14:04.093,00:14:06.053,What's that all about?
00:14:26.574,00:14:32.205,"GUIDE: In this recombination lab, we use synthesized transfer R.N.A."
00:14:32.205,00:14:42.089,"to encode an entirely new genome, combining the genetic information from all three spiders into these 15 genetically designed super spiders."
00:14:56.521,00:14:58.732,"STROMM: Dr. Osborn, please."
00:14:58.732,00:15:00.817,The performance enhancers aren't ready.
00:15:00.817,00:15:04.487,The data just doesn't justify this test.
00:15:04.487,00:15:08.282,"Now, I'm asking you for the last time. We can't do this."
00:15:08.282,00:15:10.869,Don't be a coward.
00:15:10.869,00:15:13.496,Risks are part of laboratory science.
00:15:13.496,00:15:17.876,Let me reschedule with a proper medical staff and a volunteer.
00:15:17.876,00:15:20.086,If you just give me two weeks-- Two weeks?
00:15:20.086,00:15:24.716,"In two weeks we'll have lost the contract to Quest, and Oscorp will be dead."
00:15:24.716,00:15:27.385,Sometimes you gotta do things yourself.
00:15:27.385,00:15:29.387,Get me the promachloraperazine.
00:15:29.387,00:15:31.389,For what?
