start,end,script
00:01:10.945,00:01:13.740,That's what happens when you do a mercy invite.
00:01:13.823,00:01:15.992,I believed you wanted to invite everyone.
00:01:16.367,00:01:23.416,"Dad, I can't invite everyone in my art class except for one person without social networking evidence inflicting more pain on that person than was intended."
00:01:23.500,00:01:24.834,And I'm not a monster.
00:01:24.918,00:01:26.795,I'm proud of you. I think.
00:01:27.754,00:01:32.050,She gets detention a lot and she yells at teachers sometimes.
00:01:32.300,00:01:36.054,There was that rumor that went around that she just kept running away from home.
00:01:36.137,00:01:37.096,"Um, maybe she can Uber."
00:01:37.180,00:01:38.807,I seriously believe that we can go home now.
00:01:38.890,00:01:41.601,"Um, did I mistakenly convey this was a democracy?"
00:01:41.684,00:01:44.521,We are not going till she gets picked up.
00:01:47.106,00:01:49.776,"Uh, the car broke down."
00:01:50.318,00:01:51.319,I'm just gonna take the bus.
00:01:51.402,00:01:53.238,You're not taking a bus. I'll drive you home.
00:01:53.321,00:01:56.116,Claire has almost saved her half of the money she needs for a car.
00:01:56.199,00:01:57.075,Isn't that right?
00:01:57.742,00:02:01.788,This'll be one of the few times left I can drive you guys around. Huh?
00:02:02.330,00:02:03.998,"Uh, I..."
00:02:04.415,00:02:10.880,You won't be able to hear my dad tell jokes that only he thinks are funny for an entire car ride unless you come.
00:02:10.964,00:02:12.799,You don't really wanna miss that.
00:02:30.108,00:02:32.944,Maybe he's just content where he is.
00:02:40.618,00:02:43.413,Hey. Can I help you?
00:02:48.960,00:02:51.254,He does these weekly videos.
00:02:53.381,00:02:56.593,See? It's so random. That is so weird.
00:03:09.105,00:03:10.565,That's the one thing you couldn't get?
00:03:10.648,00:03:11.482,Yeah.
00:03:21.534,00:03:23.912,"Oh. You see what he does, though?"
00:03:45.141,00:03:47.352,"Pardon me, sir. I think you have the wrong car."
00:06:40.108,00:06:41.651,What the hell is going on?
00:06:42.568,00:06:43.945,What are we doing here?
00:06:44.445,00:06:45.822,What happened to my dad?
00:06:46.239,00:06:47.490,He's out there.
00:06:50.493,00:06:52.537,Do you know what happened to my dad?
00:07:46.674,00:07:48.384,I choose you first.
00:07:55.349,00:07:56.934,It's only gonna be a minute.
00:08:02.899,00:08:05.485,Pee on yourself.
00:08:07.528,00:08:08.529,No!
00:08:17.830,00:08:18.956,No.
00:08:19.540,00:08:20.625,No!
00:08:22.335,00:08:23.377,No!
00:08:24.003,00:08:25.004,No!
00:08:57.036,00:08:58.704,The outside door is locked.
00:09:02.792,00:09:04.377,Everything's okay.
00:09:06.587,00:09:08.047,We're okay.
00:09:09.924,00:09:11.133,We're okay.
00:09:21.394,00:09:22.728,and here it comes.
00:09:22.812,00:09:25.565,"A freak of nature, like this."
00:09:25.690,00:09:32.363,"So, he comes across the stream and he's so tall that the water doesn't even get to his belly."
00:09:32.863,00:09:34.240,Then he stops.
00:09:34.824,00:09:37.577,And my heart's coming out of my chest.
00:09:38.661,00:09:40.371,You got buck fever.
00:09:40.621,00:09:42.915,Uncle John's got buck fever.
00:09:43.499,00:09:45.334,"That's not true, Casey. Your daddy's a liar."
00:09:45.418,00:09:46.460,How big was the rack?
00:09:46.544,00:09:47.670,It was huge.
00:09:48.421,00:09:50.006,"Where are you supposed to look when you shoot, Casey?"
00:09:51.007,00:09:52.133,Then why was he looking at the rack?
00:09:55.761,00:09:57.221,She'll say anything you say.
00:09:57.305,00:10:00.641,You gonna do that when you get your mentored hunting license in three years?
00:10:01.142,00:10:02.310,"No, sir."
00:10:02.643,00:10:04.979,Make sure you put your gloves on after you finish.
00:10:05.271,00:10:07.481,Your feet and your hands get cold first out there.
00:10:36.093,00:10:37.553,Three students abducted.
00:10:37.637,00:10:41.766,"The father of one of the students woke up dazed in King of Prussia, reportedly drugged."
00:10:41.849,00:10:43.601,He found the kids and the car missing.
00:10:44.352,00:10:45.978,Neighbors are in disbelief.
00:10:47.605,00:10:49.649,...is reeling after this abduction.
00:10:51.317,00:10:56.864,"If you have any information concerning the whereabouts of these girls, you are urged to contact the police."
00:11:16.425,00:11:18.344,There's a second locked door.
00:11:21.639,00:11:24.225,and we're not letting him take one of us out again.
00:11:26.060,00:11:32.316,We just cried and screamed and we didn't hurt him because we were afraid to get him upset.
00:11:32.608,00:11:34.860,"God, that's victim shit. Jesus!"
00:11:35.528,00:11:37.029,We should fight him.
00:11:37.696,00:11:40.032,We should drop a crazy-ass bomb on him.
00:11:40.699,00:11:44.203,I saw him carry one of you and lay you on the bed like you weighed nothing.
00:11:45.663,00:11:47.832,One punch from him would knock one of us out.
00:11:48.874,00:11:52.086,I took six months of Kenpo karate class.
00:11:52.336,00:11:54.964,And you distract the assailant with pain.
00:11:55.047,00:11:57.508,Everything is so easy for you guys.
00:11:58.426,00:12:00.803,"You do one thing, you can predict the next thing."
00:12:03.431,00:12:05.850,It's not the way it's gonna be in this situation.
00:12:07.601,00:12:10.479,You're saying that you're not gonna fight with everything in you?
00:12:11.981,00:12:13.983,You know the only chance...
00:12:14.525,00:12:18.654,The only chance we have is if all three of us go crazy on this guy.
00:12:20.698,00:12:21.991,We have to hurry.
00:12:28.998,00:12:31.750,Claire's smart. Let's listen to her.
00:12:33.043,00:12:35.629,"I'll do it if you're gonna do it, too."
00:12:38.507,00:12:39.341,We can win.
00:12:39.425,00:12:40.801,He'll hurt us.
00:12:42.136,00:12:44.638,No. Shut up.
00:12:45.598,00:12:46.932,Both of you.
00:12:49.643,00:12:51.479,and help us get out of here.
00:12:53.481,00:12:54.773,Blow me.
00:12:55.691,00:12:59.069,"And your six months of karate at the King of Prussia Mall can blow me, too."
00:12:59.153,00:13:01.655,"No! No, no, you can't do this today!"
00:13:01.739,00:13:03.240,You can't do this right now.
00:13:03.324,00:13:05.159,Why do you do this? Why do you act like this?
00:13:05.242,00:13:06.619,Why do you act like you're not one of us?
00:13:12.958,00:13:17.630,"When you're aiming, Casey, always keep both eyes open."
00:13:18.297,00:13:22.885,Cover your target with the barrel then move with it to get its pace.
00:13:23.719,00:13:26.305,"I'm warning you, it's gonna be frustrating the first times."
00:13:26.639,00:13:29.099,You're gonna shoot under it or behind it.
00:13:29.350,00:13:31.018,You'll learn to stay with it.
00:13:32.603,00:13:34.396,Females are smarter than the males.
00:13:34.480,00:13:35.940,"But you know that, it's like humans."
00:13:38.025,00:13:40.236,Females use their nose to stay alive.
00:13:40.319,00:13:41.654,They make sure they have cover.
00:13:42.696,00:13:45.699,They always remember they're trying to stay alive.
00:13:46.033,00:13:48.452,Bucks go off by themselves.
00:13:48.536,00:13:51.205,Bucks get dumb during mating season.
00:13:51.789,00:13:53.791,Boys make too much noise.
00:13:56.544,00:13:58.212,"I'm better than a boy, right?"
00:13:59.880,00:14:01.257,"Yes, you are."
00:14:08.722,00:14:11.350,I'll let you know when I hear something that makes sense.
00:14:15.104,00:14:17.189,We don't even know what this is yet.
00:14:23.654,00:14:25.865,Hey! I was inspired.
00:14:30.369,00:14:32.288,"No, no, no, that one."
00:14:32.371,00:14:34.623,"That one, before the pink frock coat with the thorns."
00:14:34.707,00:14:39.920,"That's supposed to be like a tailored jacket, but I'm gonna hand-print it with newspaper headlines."
00:14:48.262,00:14:51.265,"These are very artistic, Barry."
00:14:51.682,00:14:58.022,"Just the kind of thing Hamptons ladies would spend $15,000 on to wear once at a charity ball."
00:15:00.065,00:15:02.276,"You know, I can't stay too long."
00:15:02.359,00:15:03.986,This is just a visit.
00:15:04.320,00:15:06.196,"Well, tell me what's going on."
00:15:08.198,00:15:09.783,"What, you mean the email?"
00:15:09.867,00:15:11.035,"No, just the usual things."
00:15:11.118,00:15:12.494,Just feelings of being overwhelmed.
00:15:12.661,00:15:16.540,The terseness of your email made it sound specific and time-related.
00:15:17.207,00:15:19.001,Are... Are you looking for something?
00:15:19.084,00:15:20.377,-No. -No?
00:15:20.711,00:15:22.630,I'm just admiring. I'm better now.
00:15:22.796,00:15:23.631,How's work?
00:15:23.964,00:15:24.924,It's great.
00:15:25.049,00:15:29.553,"When I last spoke to them, they believed you were a model employee."
00:15:29.887,00:15:33.057,They found you meticulous and conscientious.
00:15:33.599,00:15:35.309,"-You know this, right? -I do."
00:15:35.392,00:15:37.144,You've managed there for 10 years.
00:15:37.227,00:15:39.605,"You're functioning very well, Barry."
00:15:40.814,00:15:43.609,And it's a rare and wonderful place for you to work.
00:15:43.692,00:15:44.902,"Yes, it is."
00:15:45.277,00:15:50.991,"You know, of all my other clients with your disorder, you've been the most consistent at your job."
00:15:52.826,00:15:54.662,"Did something happen, Barry?"
00:15:55.871,00:15:57.206,How old are you?
00:15:58.999,00:16:01.168,Just... The Internet is inconsistent on this point.
00:16:01.502,00:16:03.379,Why is that on your mind?
00:16:03.587,00:16:07.132,Who's gonna look after us when you retire or pass on?
00:16:07.216,00:16:12.012,"You know, we're gonna have to take care of ourselves and nobody even believes that we exist."
00:16:12.096,00:16:17.851,"If ever something were to happen to me, I've made arrangements with a colleague from Baltimore to take over."
00:16:19.186,00:16:20.104,Hmm.
00:16:20.354,00:16:21.522,"Hey, do you, uh..."
00:16:22.231,00:16:23.399,You live alone?
00:16:23.732,00:16:24.650,You know this.
00:16:24.733,00:16:26.610,"I'm sorry, I just meant how long?"
00:16:30.531,00:16:32.574,That must be so lonely.
00:16:39.373,00:16:41.375,"Uh, you know what?"
00:16:42.376,00:16:45.629,I'm doing much better. I shouldn't have emailed you. I'm just...
00:16:45.713,00:16:47.548,Look at me. I'm too impulsive.
00:16:51.135,00:16:54.138,"By the way, is anybody listening?"
00:16:54.471,00:16:56.306,Does anybody care about us?
00:16:56.432,00:16:57.266,Yes.
00:16:57.349,00:17:00.227,"The University of Paris has asked me to do a lecture, in fact."
00:17:00.561,00:17:03.689,I'm going to be doing it via Skype from right here.
00:17:03.939,00:17:06.442,People are believing more.
00:17:08.610,00:17:10.029,Let's meet at our usual time next week.
00:17:10.112,00:17:12.406,"I would rather you didn't leave, Barry."
00:17:14.324,00:17:16.368,Did something happen?
00:17:16.452,00:17:17.745,Don't worry.
00:17:17.995,00:17:18.996,This was just a visit.
00:17:19.079,00:17:20.414,I'm doing much better. I actually...
00:17:20.497,00:17:22.416,"Don't you want your sketches, Barry?"
00:17:23.333,00:17:25.461,You're usually very protective of them.
00:17:27.337,00:17:28.172,Yeah.
00:17:28.756,00:17:29.590,Thanks.
00:17:32.926,00:17:35.804,I'll see you next week at our usual time.
00:17:37.097,00:17:39.141,"Thanks for fighting for us, Dr. Fletcher."
00:17:52.029,00:17:53.197,"Thanks, Dr. Fletcher."
00:17:53.280,00:17:54.573,Welcome.
00:17:54.740,00:17:55.866,I just think I'm gonna blow it.
00:17:55.949,00:17:58.035,"No, you'll be great. I'll see you next week."
00:17:58.118,00:17:59.119,"Okay, thank you."
00:18:08.128,00:18:09.880,Holiday Bucks Bonanza.
00:18:11.048,00:18:13.342,I don't know how you work with those people.
00:18:14.510,00:18:15.552,What people?
00:18:15.636,00:18:16.720,Your patients.
00:18:17.638,00:18:22.142,"You can't use your thumbs to spin the wheel, dumbasses."
