start,end,script
00:00:46.630,00:00:54.513,"MAN: So this Irish guy knocks on this lady's door and says, you know, Have you got any, uh, any, uh, work for me?"
00:00:54.555,00:00:59.727,"And she says, um, Well, you know, as a matter of fact, you-you could paint the porch."
00:01:02.813,00:01:13.073,"But two hours later, the guy comes back and says, I'm already finished, ma'am, but just, uh, for your information, it's not a Porsche, it's a BMW."
00:02:01.204,00:02:02.706,"Okay, asshole."
00:02:03.749,00:02:04.750,Giddyap.
00:02:10.089,00:02:16.011,TV ANNOUNCER: The female lemur is a better jumper and more efficient forager than her male counterpart.
00:02:16.053,00:02:19.056,She has dominance over the male...
00:02:19.098,00:02:20.515,"Oh, my God."
00:02:20.557,00:02:22.559,Feel this.
00:02:22.601,00:02:24.519,Baby's kicking. Feel.
00:02:24.561,00:02:25.896,Touch it.
00:02:25.938,00:02:26.981,"No, not my boob."
00:02:27.022,00:02:29.149,Here.
00:02:29.190,00:02:31.359,Sorry we woke you up.
00:02:33.988,00:02:36.782,"It was him, this asshole."
00:02:46.541,00:02:47.918,What's this?
00:02:47.960,00:02:49.837,I'm a little tight right now.
00:02:49.878,00:02:51.922,My shit is not layaway.
00:02:51.964,00:02:53.256,I'm not JCPenney.
00:02:53.298,00:02:54.549,You know I'm good for it.
00:02:54.591,00:02:55.884,"Well, I don't make like before, Vin."
00:02:55.926,00:02:58.595,Only a few freaks like the belly.
00:02:58.637,00:03:02.474,I have to save for maternity leave.
00:03:02.516,00:03:04.434,"Hey, I like the belly, okay?"
00:03:04.476,00:03:06.603,I'll see you next Tuesday.
00:03:06.645,00:03:09.648,"Extra when you do, okay? Double."
00:03:11.775,00:03:13.861,This one here says the line is frozen.
00:03:13.902,00:03:19.158,"Yes, with these reverse mortgages, you can only borrow a percentage of the equity you have in the house."
00:03:19.198,00:03:21.200,That's called the loan-to-value.
00:03:21.242,00:03:28.458,"But now, since you've been getting monthly payments from us for the last, uh, eight years, you've reached the cash-out limit."
00:03:28.500,00:03:30.836,That's that loan-to-value thing I just mentioned.
00:03:30.878,00:03:32.838,The house is worth...
00:03:32.880,00:03:34.048,It was worth.
00:03:34.089,00:03:36.591,Whatever it was worth.
00:03:36.633,00:03:38.635,I need that money.
00:03:38.677,00:03:42.764,"I-I'm sorry, Mr. MacKenna, there's really nothing I can do."
00:03:42.806,00:03:43.974,It is what it is.
00:03:44.016,00:03:46.935,It is what it is?
00:03:46.977,00:03:48.436,Everyone's saying that now.
00:03:48.478,00:03:49.813,You know what it means?
00:03:49.855,00:03:53.901,"You're screwed, and you shall remain screwed."
00:04:13.754,00:04:16.006,I want to close this account.
00:04:16.048,00:04:17.174,"I'm so sorry to hear that, sir."
00:04:17.216,00:04:18.967,May I ask why?
00:04:19.009,00:04:22.971,"Lady, you're just a spoke on a wheel, trying to make a living like the rest of us schmucks."
00:04:23.013,00:04:27.517,"I do not want to tell you to go fuck yourself, so let's..."
00:04:27.559,00:04:29.269,"Let's just leave it at that, please."
00:04:29.310,00:04:31.897,Okay.
00:04:34.524,00:04:37.318,$112.14.
00:04:37.360,00:04:39.571,"All right, small bills."
00:04:39.613,00:04:40.989,"No, sir."
00:04:41.031,00:04:42.449,You're overdrawn that much.
00:04:42.490,00:04:43.992,What does that mean?
00:04:44.034,00:04:47.370,You took out more money than you actually have in your account.
00:04:47.412,00:04:48.455,Here's zero.
00:04:48.496,00:04:49.790,You went below zero.
00:04:49.831,00:04:53.085,So I... can't close this account?
00:04:53.127,00:04:54.628,You can.
00:04:54.669,00:04:56.504,Once you get it back to zero.
00:04:59.382,00:05:01.969,"Hey, you taking care of yourself, Vin?"
00:05:02.010,00:05:04.304,"Yeah, blurry eyes."
00:05:04.345,00:05:06.556,"I'm doing aerobics, can't you tell?"
00:05:06.598,00:05:09.977,I'm doing the Jane Fonda workout.
00:05:10.018,00:05:14.898,"A one, two, three, and stretch."
00:05:14.940,00:05:17.776,MAN: Janie's still looking good.
00:05:17.818,00:05:26.827,"Roger, is there any chance you could ever make one of these that's strong enough for someone that's not, uh, Why don't we give it a break for a minute."
00:05:26.868,00:05:29.121,-Give what a break?
00:05:29.163,00:05:31.165,You're not gonna serve me?
00:05:31.206,00:05:33.083,Don't be like that.
00:05:33.125,00:05:34.793,I'm watching out for you here.
00:05:34.835,00:05:36.795,You watching out for me?
00:05:36.837,00:05:41.049,You serve poison all day to all these people that don't know no better.
00:05:41.091,00:05:42.843,So they can die while they're living.
00:05:42.884,00:05:45.012,And you're watching out for me.
00:05:45.053,00:05:47.555,You phony.
00:07:12.724,00:07:17.187,"Oh, Blanche, these are my friends Rose and Dorothy."
00:07:22.567,00:07:23.944,Come here.
00:08:28.508,00:08:30.010,Shut up!
00:08:30.051,00:08:32.095,People are sleeping!
00:08:37.184,00:08:39.102,"Ah, piss."
00:08:49.321,00:08:50.738,Hey! What's going on?!
00:08:50.780,00:08:53.116,-You habla English?
00:08:53.158,00:08:55.702,"Yes, we speak English, senor."
00:08:55.743,00:08:58.997,Then what the hell are you doing here?
00:08:59.039,00:09:02.917,That's my tree you assholes hit.
00:09:02.959,00:09:04.669,And my fence.
00:09:04.711,00:09:06.338,And my damn car.
00:09:06.380,00:09:09.049,Do you speak English?
00:09:09.090,00:09:11.843,-Stay here.
00:09:11.885,00:09:13.970,I'm calling the cops.
00:09:14.012,00:09:15.722,Is everybody okay?
00:09:15.763,00:09:17.516,-What do you want?
00:09:17.557,00:09:19.059,I'm your new neighbor.
00:09:19.100,00:09:20.435,So?
00:09:20.477,00:09:22.979,"Well, we're moving in."
00:09:23.021,00:09:25.023,"Uh, I can see that, yeah."
00:09:25.065,00:09:26.274,Are these dipshits with you?
00:09:26.316,00:09:31.612,"Yes, they're the men I hired from the moving company."
00:09:31.654,00:09:32.947,"Oh, boy."
00:09:32.989,00:09:35.242,"Oh, boy? No."
00:09:35.283,00:09:36.826,This fence is 20 years old.
00:09:36.868,00:09:38.745,The car's 30.
00:09:38.786,00:09:42.165,The tree is older than I am.
00:09:42.207,00:09:44.709,"Well, I'm sorry."
00:09:44.751,00:09:47.045,I'm not sure what I'm...
00:09:47.087,00:09:49.339,"This is not how I wanted to meet, either."
00:09:49.381,00:09:50.465,Did you do this?
00:09:50.507,00:09:51.716,Of course they did it.
00:09:51.758,00:09:53.051,"What are you, stupid?"
00:09:53.093,00:09:54.553,-Look at the crime scene.
00:09:53.093,00:09:56.471,"-Okay, you don't have to be rude to me!"
00:09:54.594,00:09:58.890,I'm just trying to move in here; I hired these guys to do it.
00:09:58.932,00:10:00.058,And accidents happen.
00:10:02.685,00:10:04.396,"Well, the car is an antique, missy."
00:10:04.438,00:10:06.273,"I mean, it's worth a lot."
00:10:06.314,00:10:07.399,Then I'll take care of it.
00:10:08.816,00:10:09.984,You-you don't got no money.
00:10:10.026,00:10:14.072,"What? I mean, no offense, but you just don't look like you do. Okay?"
00:10:14.114,00:10:16.366,And I'm sure Chico and the Man here are off the books.
00:10:16.408,00:10:19.494,"No, I will sue the moving company."
00:10:19.536,00:10:23.039,You can buck up for the fence and the tree.
00:10:25.708,00:10:26.960,Fine.
00:10:29.254,00:10:30.422,Toodles.
00:10:30.464,00:10:32.006,Is that our new neighbor?
00:10:32.048,00:10:33.467,Yep.
00:10:33.508,00:10:35.009,It's gonna be a long life.
00:10:36.553,00:10:42.892,"'Well,' said the tree, straightening herself up as much as she could, 'An old stump is good for sitting and resting."
00:10:42.934,00:10:44.769,"Come, boy, sit down."
00:10:44.811,00:10:47.814,Sit down and rest.' And the boy did.
00:10:47.855,00:10:50.900,And the tree was happy.
00:10:50.942,00:10:52.444,"God, that's depressing."
00:10:52.486,00:10:53.987,"No, it's not."
00:10:54.028,00:11:00.118,"The tree was meant to give, so to be able to give everything and have nothing left is the best life the tree could ever have."
00:11:00.160,00:11:03.204,"Well, your father must think I'm a tree."
00:11:03.246,00:11:04.789,-Why would he think that?
00:11:04.831,00:11:07.417,Nothing. It's good you think good things.
00:11:07.459,00:11:08.543,Come on.
00:11:08.585,00:11:10.003,Get in there.
00:11:10.044,00:11:12.130,"All right, big day tomorrow."
00:11:12.172,00:11:14.341,"Yeah, I know, first day."
00:11:14.382,00:11:16.050,"Yeah, for me, too."
00:11:16.092,00:11:17.427,"And I can't be late, all right?"
00:11:17.469,00:11:18.719,It's just me and you now.
00:11:18.761,00:11:19.720,I know.
00:11:19.762,00:11:22.723,Set your alarm and make sure I don't oversleep.
00:11:22.765,00:11:24.643,Good night.
00:11:24.683,00:11:26.394,All right.
00:11:26.436,00:11:28.313,"Here, I made you peanut butter and banana."
00:11:28.355,00:11:31.274,"-Thanks, Mom."
00:11:31.316,00:11:32.651,-And your keys?
00:11:32.691,00:11:33.943,You got your phone?
00:11:33.985,00:11:35.320,-Uh-huh.
00:11:35.362,00:11:36.695,"Yep, on the phone."
00:11:36.737,00:11:37.780,"Okay, what time do you get out?"
00:11:37.822,00:11:39.491,-2:45.
00:11:37.822,00:11:41.618,"-All right, I want you to come straight home, start your homework."
00:11:41.660,00:11:43.578,-And I'll be home a couple hours after that.
00:11:43.620,00:11:46.289,"Wait, Ma, you're not gonna pick me up or anything?"
00:11:46.331,00:11:47.666,I'm in the bus lane!
00:11:47.706,00:11:49.000,"I'm not gonna get another ticket, Oliver!"
00:11:49.042,00:11:50.627,"Bye, be good!"
00:12:25.662,00:12:27.997,"-Okay, settle down!"
00:12:28.039,00:12:30.500,Settle down! Settle down!
00:12:30.542,00:12:41.802,"I know it's hard to contain yourselves when you're so, so young and full of sugar juice, but we must concentrate on our studies or we will what?"
00:12:41.844,00:12:44.931,"Yes, we will, and dumbness does not play well in Heaven."
00:12:44.972,00:12:46.433,This is Oliver.
00:12:46.474,00:12:53.231,"Oliver is joining us midstream here at Saint Patrick, and we are very happy to have him, -are we not?"
00:12:51.145,00:12:55.108,"-Welcome to Saint Patrick, Oliver."
00:12:55.149,00:12:56.401,"Oh, whew."
00:12:56.443,00:12:58.152,Such genuine caring. Thank you.
00:12:58.194,00:12:59.320,I think you feel touched?
00:12:59.362,00:13:01.822,Right?
00:13:01.864,00:13:05.826,"Maybe as a thank-you, you can lead us all in morning prayer."
00:13:12.500,00:13:14.168,I think...
00:13:14.210,00:13:16.212,I think I'm Jewish.
00:13:16.254,00:13:18.047,Okay.
00:13:18.089,00:13:19.882,Good to know.
00:13:19.924,00:13:21.676,Oliver thinks he's Jewish.
00:13:21.718,00:13:23.136,GIRL: So am I.
00:13:23.177,00:13:25.639,-I'm Buddhist.
00:13:25.680,00:13:27.806,-Yes.
00:13:27.848,00:13:28.849,You get the idea.
00:13:28.891,00:13:32.019,"We celebrate all the religions of the world in this room, Oliver."
00:13:32.061,00:13:42.781,"I'm a Catholic, which is the best of all the religions, really, because we have the most rules and the best clothes, but among us there is also a Buddhist, an agnostic."
00:13:42.821,00:13:48.536,"We have a Baptist, and we have an I don't know, which seems to be the fastest growing religion in the world."
00:13:48.578,00:13:58.963,"And now we have I think I'm Jewish, which is a new one for the class, Oliver, so thanks for that, but it does not preclude you from giving us a morning prayer."
00:13:59.005,00:14:01.591,Let us bow our heads and pray.
00:14:02.801,00:14:04.927,Dear...
00:14:04.969,00:14:06.971,"God, et cetera."
00:14:09.349,00:14:13.728,"Dear-dear God, thank you?"
00:14:16.063,00:14:18.191,-Amen.
00:14:18.232,00:14:20.694,"-Amen! Amen, thanks be to God."
00:14:20.735,00:14:22.362,"All right, stirring stuff."
00:14:22.403,00:14:23.571,"Well done, Oliver."
00:14:23.613,00:14:25.323,Go grab yourself a seat.
00:14:25.365,00:14:29.076,And everybody else dust off those textbooks and go to chapter 12.
00:14:29.118,00:14:32.413,"That's chapter 12, Catholic saints."
00:14:47.387,00:14:50.139,"All right, I'm here."
00:14:50.181,00:14:52.642,"I'm here, I'm ready."
00:14:52.684,00:14:54.185,I'm able.
00:14:54.227,00:14:55.562,Let's get this.
00:14:55.603,00:14:56.896,Come on.
00:15:03.069,00:15:06.239,"ANNOUNCER: Look at that, it's Ground Pepper sprinting ahead on the inside!"
00:15:06.280,00:15:08.157,"Come on, dig in."
00:15:08.199,00:15:09.617,Come on.
00:15:11.703,00:15:13.204,Come on!
00:15:15.415,00:15:16.624,One time!
00:15:17.751,00:15:19.878,One damn time!
00:15:21.128,00:15:23.256,You son of a bitch!
00:15:26.050,00:15:30.054,"I don't know why you get so pissy, Vinny."
00:15:30.096,00:15:31.765,You always lose.
00:15:31.806,00:15:33.683,It seems like you'd be comfortable by now.
00:15:35.894,00:15:39.146,"Yeah, tough day."
00:15:43.610,00:15:46.487,Help yourself.
00:15:46.529,00:15:47.781,I'm thirsty.
00:15:47.822,00:15:49.908,"And you owe me money, Vin."
00:15:49.949,00:15:51.618,I got a situation I'm working out.
00:15:51.659,00:15:54.412,"You know, I'm not the sole proprietor here."
00:15:54.454,00:15:56.623,I've got other people to answer to.
00:15:56.664,00:15:58.165,"I just need a little time, that's all."
00:15:58.207,00:16:00.126,So what do I tell them?
00:16:00.167,00:16:02.253,A month.
00:16:04.297,00:16:06.507,We'll split the difference.
00:16:06.549,00:16:08.843,Make it two weeks.
00:16:24.233,00:16:26.694,-Beep-beep!
00:16:32.241,00:16:33.993,Watch out!
00:16:44.545,00:16:47.256,"-MAN: All right, how many?"
00:16:48.883,00:16:51.594,-And time!
00:16:51.636,00:16:53.888,You can let go now.
00:16:53.930,00:16:56.891,Did they have physical education in the last school you went to?
00:16:56.933,00:16:58.977,-Yes.
00:16:59.018,00:17:00.687,"Yes, sir."
00:17:06.442,00:17:08.068,Look who it is.
00:17:08.110,00:17:09.529,BOY: I think I'm Jewish.
00:17:09.570,00:17:11.071,"My name's Oliver, by the way."
00:17:12.323,00:17:13.825,My name's Oliver.
00:17:13.867,00:17:15.493,-You little turd.
00:17:15.535,00:17:17.662,"-Where'd you come from, anyway? Huh? Huh?"
00:17:17.704,00:17:19.372,Did you guys hear the bell?
00:17:19.413,00:17:21.541,"That means to move, go to class."
00:17:21.582,00:17:23.292,"Come on, let's go."
00:17:25.670,00:17:29.632,-Can't even do a sit-up.
00:17:29.674,00:17:31.342,"-No, sir."
00:17:29.674,00:17:33.594,"-Well, you better double-time it, or you're gonna be late. Let's go."
00:17:37.849,00:17:39.976,Shit.
00:17:55.909,00:17:57.869,Nice shorts.
00:19:33.047,00:19:34.757,Sir?
00:19:36.134,00:19:38.761,"Take me, God."
00:19:38.803,00:19:40.346,"It's me, sir."
00:19:42.932,00:19:45.225,"-Yeah, what?"
00:19:42.932,00:19:46.894,-I was wondering if I could use your phone?
00:19:46.936,00:19:49.022,-My phone?
00:19:50.023,00:19:52.025,-In my house?
00:19:52.066,00:19:59.115,"I need to call my mom-- I'm locked out of the house, 'cause these guys in gym class took my keys and my phone and I can't get in."
00:19:56.821,00:20:02.160,And they also -took my wallet.
00:20:02.201,00:20:05.163,-One call.
00:20:05.204,00:20:07.581,Can't take your call right now.
00:20:07.623,00:20:09.625,"-Oh, hey, Mom."
00:20:09.667,00:20:14.797,"I, uh, lost my keys for the house and my wallet and my phone, and I'm at the..."
00:20:14.839,00:20:17.257,old guy's next-door.
00:20:17.299,00:20:19.177,"Uh... Sir, what's your name?"
00:20:19.218,00:20:23.014,"-Vincent, the old guy."
00:20:25.265,00:20:27.267,The mean one.
00:20:48.998,00:20:51.125,What's your name?
00:20:51.167,00:20:53.169,"It's Oliver, sir."
00:20:53.211,00:20:57.131,They let you wear those shorts to school?
00:20:57.173,00:21:00.551,"Well, it's a long story, sir."
00:21:00.593,00:21:02.720,I'm sure it is.
00:21:14.982,00:21:16.525,Yeah?
00:21:16.567,00:21:20.279,"Hi. Uh, this is Maggie, Oliver's mom."
00:21:20.320,00:21:23.282,-Your kid's here.
00:21:23.323,00:21:24.408,I hope that's all right.
00:21:24.450,00:21:25.701,Is what all right?
00:21:25.743,00:21:28.913,-That he stays there.
00:21:28.955,00:21:30.456,"Like what, stays here?"
00:21:30.497,00:21:32.166,I'm at work.
00:21:30.497,00:21:36.254,"I-I've got three or four more cases, and I'm not gonna be home for a few hours, so I'm kind of in a jam here."
00:21:36.295,00:21:37.964,You want me to babysit?
00:21:38.005,00:21:41.592,"Well, it's not..."
00:21:41.634,00:21:44.428,"I mean, he's just probably gonna sit quietly and do his homework."
00:21:44.470,00:21:46.180,He's... he's really easy.
00:21:46.222,00:21:47.598,"Sir, is that..."
00:21:48.808,00:21:49.850,How much you paying?
00:21:49.892,00:21:50.893,What?
00:21:50.935,00:21:52.270,You want me to babysit.
00:21:52.311,00:21:54.563,I'm not a philanthropy.
00:21:54.605,00:21:56.857,I don't...
00:21:56.899,00:21:58.442,-Twelve.
00:21:58.484,00:22:00.069,Okay.
00:22:00.111,00:22:02.613,$12 an hour.
00:22:02.655,00:22:04.406,-It's for you.
00:22:06.951,00:22:09.120,"...I said, sit up!"
00:22:09.162,00:22:11.038,-Up!
00:22:12.665,00:22:14.208,He doesn't like many people.
00:22:14.250,00:22:16.836,"I'm good with animals, sir."
00:22:16.877,00:22:18.129,Yeah.
00:22:18.171,00:22:20.798,He doesn't usually like people who say they're good with animals.
00:22:22.842,00:22:25.052,"-Okay, pal..."
00:22:27.096,00:22:28.597,You never seen Abbott and Costello?
00:22:28.639,00:22:29.640,"No, sir."
00:22:29.682,00:22:30.891,Are they old?
00:22:30.933,00:22:32.226,No.
00:22:32.268,00:22:34.061,They're dead.
00:22:34.103,00:22:36.563,That's the oldest you can be.
00:22:36.605,00:22:38.858,Or the youngest.
00:22:38.899,00:22:41.861,Where'd you learn that?
00:22:41.902,00:22:43.112,A book.
00:22:43.154,00:22:44.697,What book?
00:22:44.738,00:22:46.240,"A kids book, sir."
00:22:46.282,00:22:47.950,I doubt you'd know it.
00:22:48.951,00:22:51.245,It's dinnertime.
00:22:52.246,00:22:54.165,You hungry or something?
00:22:54.207,00:22:56.209,"A little, sir."
00:22:56.250,00:22:58.376,That figures.
00:22:59.712,00:23:02.965,"Excuse me, I'll be right back."
00:23:26.572,00:23:29.075,You're getting sushi.
00:23:32.328,00:23:33.954,"You see, your troubles are all over."
00:23:40.002,00:23:42.546,-That's probably your mother.
00:23:42.588,00:23:44.590,"-Probably, sir."
00:23:44.631,00:23:46.508,-Don't get up.
00:23:47.593,00:23:49.095,Hi. I...
00:23:51.013,00:23:53.640,-Hi. Vincent?
00:23:53.682,00:23:55.851,"Maggie. I, uh..."
00:23:55.893,00:23:57.770,Thank you for watching him.
00:23:57.811,00:24:01.190,"You know, with the new job and... my boss, you know..."
00:24:01.232,00:24:03.734,-I don't need to hear the whole story.
00:24:03.776,00:24:07.071,"Um, oh. Here."
00:24:08.488,00:24:10.616,What'd we say?
00:24:10.657,00:24:13.119,...that three hours at... at $12...
00:24:13.160,00:24:15.704,-$36.
00:24:15.746,00:24:17.415,"Um, I've got two twenties."
00:24:17.455,00:24:18.999,I don't have change.
00:24:19.041,00:24:20.751,-That's fine.
