start,end,script
00:01:31.842,00:01:33.510,of the Fibonan Republic.
00:01:34.011,00:01:44.438,"I bring you a message of goodwill and present to you, esteemed members of the Teenaxi Delegation, a gift from the Fibonan High Council with the highest regard."
00:01:47.566,00:01:49.109,What's wrong with it?
00:01:50.360,00:01:51.278,"Uh, excuse me?"
00:01:51.403,00:01:53.030,Why don't they want it anymore?
00:01:53.196,00:02:05.000,"Uh, well, this was once a piece of an ancient weapon, and now they offer it as a symbol of-- of peace. In the Fibonan culture, to surrender a weapon is an offer of truce."
00:02:05.083,00:02:06.460,How did they come by it?
00:02:06.543,00:02:08.837,They told me they acquired it a long time ago.
00:02:09.171,00:02:10.547,"So they stole it, then."
00:02:11.423,00:02:14.551,"No, they, um... Well, I don't know."
00:02:14.635,00:02:17.220,You don't know the Fibonans like we do!
00:02:19.765,00:02:24.728,They're a crowd of untrustworthy thieves who want to see us murdered in our own beds!
00:02:24.978,00:02:29.274,This beloved artifact is a symbol of trust and peace.
00:02:29.358,00:02:32.486,They want to chop us into pieces and roast us over a fire!
00:02:32.569,00:02:34.029,"No, no. I don't think that's true."
00:02:37.949,00:02:38.825,What?
00:03:16.113,00:03:17.406,Scotty!
00:03:27.708,00:03:28.917,How'd it go?
00:03:31.586,00:03:34.005,"Captain, did you manage to broker a treaty with the Teenaxi?"
00:03:34.089,00:03:36.508,Uh... Let's just say I came up short.
00:03:36.675,00:03:41.096,"Would you, uh, lo-- log that and put it in the vault, Spock? Thank you."
00:03:41.471,00:03:42.973,"Jim, you look like crap."
00:03:43.306,00:03:44.307,"Thank you, Bones."
00:03:44.391,00:03:47.227,You got that little vein popping out of your temple again. You okay?
00:03:47.310,00:03:49.646,Never better! Just another day in the fleet.
00:04:03.660,00:04:10.834,"Today is our 966th day in deep space, a little under three years into our five-year mission."
00:04:13.253,00:04:20.927,"The more time we spend out here, the harder it is to tell where one day ends and the next one begins."
00:04:24.556,00:04:29.227,It can be a challenge to feel grounded when even gravity is artificial.
00:04:30.353,00:04:33.231,"But, well, we do what we can to make it feel like home."
00:04:36.818,00:04:42.949,"The crew, as always, continues to act admirably despite the rigors of our extended stay here in outer space..."
00:04:45.243,00:04:47.704,and the personal sacrifices they have made.
00:04:48.747,00:04:53.752,We continue to search for new life forms in order to establish firm diplomatic ties.
00:04:54.294,00:04:58.632,Our extended time in uncharted territory has stretched the ship's mechanical capacities.
00:04:58.715,00:05:04.095,"But fortunately our engineering department, led by Mr. Scott, is more than up to the job."
00:05:05.555,00:05:12.103,"The ship aside, prolonged cohabitation has definitely had effects on interpersonal dynamics."
00:05:13.438,00:05:15.357,Some experiences for the better...
