start,end,script
00:00:59.307,00:01:00.475,Hey!
00:03:28.540,00:03:29.541,He's in a coma.
00:03:30.668,00:03:33.045,"Officer, you should check in with the family."
00:03:37.241,00:03:39.744,"Whatever you're selling, I ain't buying."
00:03:40.344,00:03:42.054,"-Okay, guys, take off. -Yes, sir."
00:03:43.347,00:03:45.057,Coffee's free for friends of the press.
00:03:53.857,00:03:54.984,You just did.
00:03:55.768,00:03:57.228,You got the names of the victims for me?
00:03:57.603,00:03:58.604,You gotta be kidding me.
00:03:58.854,00:04:00.314,You know I'm gonna find out anyway.
00:04:00.648,00:04:01.774,Not from me.
00:04:02.566,00:04:05.444,"Okay, you want to play a little confirm or deny?"
00:04:06.320,00:04:07.655,"I'm not playing this game with you, Cal."
00:04:09.240,00:04:11.742,"Look, Don, I got a living to make, all right?"
00:04:11.867,00:04:13.869,"I got mouths to feed, goldfish."
00:04:19.375,00:04:20.376,Okay.
00:04:21.276,00:04:23.654,"-Two victims, one shooter? -Confirm."
00:04:23.971,00:04:26.849,"-One dead, one in the hospital? -Confirm."
00:04:27.891,00:04:31.061,"-Drug-related? -Confirm, but deny later if I have to."
00:05:47.738,00:05:49.073,I don't need to be reminded of it.
00:05:49.198,00:05:50.950,I've been over the briefing notes a thousand times.
00:05:52.643,00:05:53.894,Metro Police just called.
00:05:54.545,00:05:55.713,What?
00:05:56.830,00:06:01.084,Sonia Baker was killed in an accident on the Metro this morning.
00:06:02.418,00:06:04.879,They identified her by her staff badge.
00:06:10.760,00:06:12.637,"But, Stephen, we're scheduled to start now."
00:06:13.638,00:06:14.931,What do you want to do?
00:06:39.247,00:06:40.582,-Cal. -Morning.
00:06:40.790,00:06:41.958,Talk to me about this shooting.
00:06:42.500,00:06:43.835,We got one guy still alive.
00:06:44.294,00:06:46.254,"-Deshaun Stagg? -No, he's dead."
00:06:46.379,00:06:48.506,"The other guy on the bike, Vernon Sando."
00:06:48.631,00:06:51.031,"Hey, Gene, did you read the guinea pig piece I filed?"
