start,end,script
00:01:12.489,00:01:14.366,"Hey, Brennan."
00:01:14.366,00:01:16.827,"Mom, I'm watching the thing..."
00:01:16.827,00:01:18.119,...with the lady.
00:01:18.119,00:01:20.163,Okay. I'll be home around 11.
00:01:20.163,00:01:22.499,"Bye, Mom."
00:01:22.499,00:01:24.459,Let's slowly get those hips up.
00:01:24.459,00:01:27.421,Good. Now hold it right here. Great.
00:01:32.009,00:01:34.011,Dale.
00:01:34.011,00:01:36.179,"Dale, I'm leaving for the conference."
00:01:36.179,00:01:37.598,"You leave me money for pizza, Dad?"
00:01:37.598,00:01:39.850,Yeah. There's $20 on the hall table.
00:01:39.850,00:01:42.101,"Do not order pay-per-view, buddy."
00:01:42.101,00:01:45.022,But what if want wings?
00:01:45.022,00:01:46.690,"That's not enough, Dad!"
00:01:46.690,00:01:55.532,ROBERT: The RTI cochlear implant is the state-of-the-art implantable hearing device due to its input processing of sound via the speech processor.
00:01:55.532,00:02:06.794,"But the most exciting new development is the external processor, which fits directly over the ear, which eliminates the need to put your face between those breasts."
00:02:09.129,00:02:12.049,I'm sorry. Uh-- I'm just-- I'm so lost.
00:02:12.049,00:02:13.884,And this never happens to me.
00:02:13.884,00:02:16.177,Hello. Mmph.
00:02:16.177,00:02:18.138,"My name is Robert, and I play racquetball."
00:02:18.138,00:02:19.431,I collect coins.
00:02:19.431,00:02:21.391,Sweet Jesus.
00:02:21.391,00:02:28.816,"I am Nancy Huff. I know how to make tandoori chicken. I-- I contribute to NPR every single year, and I love the movies of Rob Reiner."
00:02:28.816,00:02:31.110,Pilates changed my life.
00:02:31.110,00:02:33.862,"I have a boat, and I wanna retire and sail around the world."
00:02:33.862,00:02:35.864,Oh. I love the sea!
00:02:35.864,00:02:40.285,"And I drive a Mercedes, and I have a 40-year-old son, Dale, who still lives at home."
00:02:40.285,00:02:41.536,What did you just say?
00:02:41.536,00:02:43.080,I knew I shouldn't have told you that.
00:02:43.080,00:02:47.250,I have a 39-year-old son named Brennan who still lives at home with me.
00:02:52.464,00:02:53.757,ALL: Ooh!
00:02:58.679,00:03:05.268,"I would like to thank all of you for being here with us on this fantastic, wonderful day."
00:03:05.268,00:03:08.730,"And, um, I would like to raise my glass."
00:03:08.730,00:03:11.650,Dale and I wanna welcome you to our home...
00:03:11.650,00:03:12.734,with open arms.
00:03:14.569,00:03:15.904,"Get a room, Dad."
00:03:15.904,00:03:18.448,"ROBERT: Oh, for Chri-- Dale!"
00:03:18.448,00:03:24.203,"Well, as you all know, my youngest son, Derek, couldn't be here because of an important fishing trip."
00:03:24.203,00:03:33.463,"But my other son, Brennan, uh, was going to be moving into his own place, but, um, he was recently let go from his job at PetSmart."
00:03:33.463,00:03:37.425,So he is gonna be living with us.
00:03:37.425,00:03:40.804,I wasn't fired from my job.
00:03:40.804,00:03:43.264,But you wouldn't know the difference.
00:03:43.264,00:03:45.225,I didn't want salmon!
00:03:45.225,00:03:47.186,I said it four times!
00:03:50.939,00:03:52.983,This wedding is horseshit.
00:03:57.029,00:04:00.240,Somebody's awfully quiet back there.
00:04:01.241,00:04:02.617,I'm not gonna call him Dad.
00:04:03.785,00:04:05.746,"Brennan, you're 39 years old."
00:04:05.746,00:04:07.956,I would not expect you to call him Dad.
00:04:07.956,00:04:10.250,"Well, I'm not going to, ever."
00:04:10.250,00:04:13.128,Even if there's a fire.
00:04:13.128,00:04:16.924,Robert better not get in my face...
00:04:16.924,00:04:19.384,'cause I'll drop that motherfucker.
00:04:19.384,00:04:20.886,"Jesus, Brennan."
00:04:20.886,00:04:22.512,I'm just saying...
00:04:22.512,00:04:25.265,I think you gotta think about your options.
00:04:25.265,00:04:31.230,"I know that you are technically married now, but that does not mean that they have to live here."
00:04:32.689,00:04:33.941,Dale...
00:04:33.941,00:04:35.692,I think...
00:04:35.692,00:04:37.485,it's time for a change for both of us.
00:04:38.403,00:04:41.364,"Dad. We're men, okay?"
00:04:41.364,00:04:43.992,That means a few things.
00:04:43.992,00:04:46.286,We like to shit with the door open.
00:04:46.286,00:04:47.871,We talk about pussy.
00:04:47.871,00:04:49.456,We go on riverboat gambling trips.
00:04:49.456,00:04:51.416,We make our own beef jerky.
00:04:51.416,00:04:54.086,That's what we do.
00:04:55.587,00:04:58.673,We literally have never done any of those things.
00:04:58.673,00:05:01.176,Where did he go to medical school?
00:05:01.176,00:05:03.720,He went to Northwestern and Johns Hopkins.
00:05:03.720,00:05:05.639,Is that good enough for you?
00:05:05.639,00:05:07.348,"No, it's not."
00:05:07.348,00:05:11.352,"Well, Brennan, those are very prestigious schools."
00:05:11.352,00:05:14.273,I smoked pot with Johnny Hopkins.
00:05:14.273,00:05:17.109,You don't know anyone named Johnny Hopkins.
00:05:17.109,00:05:23.157,"It was Johnny Hopkins and Sloan Kettering, and they were blazing that shit up every day."
00:05:23.157,00:05:25.826,"All right. Here's a scenario for you, Dad."
00:05:27.119,00:05:31.081,Suppose Nancy sees me coming out of the shower and decides to come on to me.
00:05:31.081,00:05:32.291,I'm looking good.
00:05:32.291,00:05:38.255,I've got a luscious V of hair going from my chest pubes down to my ball-fro.
00:05:38.255,00:05:42.383,"And she takes one look at me, and she goes: Oh, my God."
00:05:42.383,00:05:43.760,I've had the old bull.
00:05:43.760,00:05:46.972,Now I want the young calf.
00:05:46.972,00:05:48.640,And she grabs me by the wiener.
00:05:48.640,00:05:50.851,Shut the fuck up!
