start,end,script
00:00:33.616,00:00:40.957,"It was our duty, our core belief, the driving force of our very lifeblood."
00:00:44.210,00:00:45.670,Aw... Ow!
00:00:47.922,00:00:48.965,Oh...
00:00:52.260,00:00:53.845,This was our sacred duty.
00:00:54.387,00:01:03.938,"No matter how tough, or impossible, or brutal, or harsh, or inhumane, or savage, we would triumph over adversity."
00:01:06.608,00:01:07.692,Phew!
00:01:33.259,00:01:34.969,There. Right there.
00:01:35.053,00:01:39.724,"The problem was, we had the wrong cargo."
00:01:54.531,00:01:56.950,"-My dude! -Oh, yeah."
00:02:00.954,00:02:02.872,"Yo, Kevron. Lookin' good, my man."
00:02:10.171,00:02:12.298,Perfect landing. Chiggy-check.
00:02:16.261,00:02:18.888,What? Millionth package? Not possible.
00:02:18.972,00:02:20.140,I thought I was only at 20.
00:02:20.223,00:02:21.891,"Hey, Junior, are you gonna celebrate?"
00:02:21.975,00:02:24.644,You know what? You're right. I should celebrate.
00:02:24.769,00:02:26.771,What are you guys doing this weekend? Are you guys free?
00:02:26.855,00:02:29.274,The wife and I are celebrating another anniversary.
00:02:29.357,00:02:30.817,Got my kid's game this weekend.
00:02:30.900,00:02:33.653,Family reunion. The whole family's coming.
00:02:33.987,00:02:36.614,Oh. Just wanted to confirm...
00:02:36.698,00:02:38.533,"that you were all busy. I assumed you were all busy, and you are."
00:02:38.616,00:02:41.369,"So, if anything changes, let me know. I maybe could get out of work."
00:02:41.452,00:02:42.745,"Probably can't, but let me know if you can."
00:02:43.246,00:02:45.540,"Great job out there, brah!"
00:02:50.920,00:02:52.046,She migrated.
00:02:52.130,00:02:53.715,-She's not made up. -Okay.
00:02:53.798,00:02:55.508,Look at her! Look at her!
00:02:55.925,00:02:57.760,"-She exists, brah! -That's great."
00:02:57.844,00:03:00.346,"Hey, did you guys hear about Roger?"
00:03:02.181,00:03:04.058,"Oh, my goodness. Are you okay?"
00:03:04.767,00:03:07.520,"What? Hey, brah. I say... What? Okay."
00:03:07.729,00:03:09.188,I tell you about my girlfriend?
