start,end,script
00:00:15.683,00:00:17.685,Violent street gangs from Los Angeles...
00:00:17.685,00:00:20.646,are now trafficking in drugs in cities far from their own turf.
00:00:20.646,00:00:23.148,They will have no dark alleyways to hide in.
00:00:23.148,00:00:25.734,"I, Lieutenant Colonel North, I don't recall that conversation."
00:00:25.734,00:00:28.069,Police Department's CRASH program.
00:00:28.069,00:00:30.489,Gang-related violence-- and better organized.
00:00:30.489,00:00:32.658,A rival gang drove up and shot them.
00:00:32.658,00:00:37.078,"is focused on crack, the super-addictive-- Drugs are menacing our society."
00:00:37.078,00:00:41.542,about to witness the strength of street knowledge.
00:01:15.951,00:01:18.119,I'm about to give you this right here.
00:01:18.119,00:01:19.705,Yeah?
00:01:24.626,00:01:26.127,Who is it?
00:01:26.127,00:01:28.087,You know who it is.
00:01:30.131,00:01:32.091,Open the fucking door.
00:01:34.135,00:01:35.637,Open the door.
00:01:36.555,00:01:39.307,"Hurry up, man."
00:01:41.142,00:01:43.562,"What's up, cuz?"
00:01:44.980,00:01:46.899,A'ight.
00:01:54.322,00:01:58.452,"So, what's up with you and this code knock, asking me to say my name at the door?"
00:02:01.162,00:02:03.331,We don't trust you motherfuckers.
00:02:03.331,00:02:06.167,What y'all tryin' to do?
00:02:06.167,00:02:08.253,Best runner got cracked.
00:02:08.253,00:02:11.006,Sent his young ass up to YA.
00:02:11.006,00:02:12.299,That's sad.
00:02:12.299,00:02:14.217,Fuck that gotta do with me?
00:02:14.217,00:02:16.011,"Hey, Tasha!"
00:02:16.011,00:02:19.180,I'm right here.
00:02:19.180,00:02:21.182,God.
00:02:21.182,00:02:22.601,"Nigga, I look thirsty?"
00:02:22.601,00:02:24.144,I look thirsty to you?
00:02:26.229,00:02:29.817,-Here.
00:02:29.817,00:02:32.193,Hold up.
00:02:32.193,00:02:35.280,I want my fucking money.
00:02:37.198,00:02:40.119,"What the fuck you being so disrespectful in my house for, cuz?"
00:02:40.119,00:02:42.704,"Nigga, this a dope house that you already disrespecting."
00:02:46.207,00:02:47.793,"Yeah, we good."
00:03:00.973,00:03:03.308,"So, bottom line is we short."
00:03:03.308,00:03:05.686,So you gonna have to let us hold on to that.
00:03:07.021,00:03:08.522,"Oh, yeah?"
00:03:12.651,00:03:15.821,"Well, my people sitting right across the street from your mama house right now."
00:03:15.821,00:03:19.282,"'Cause if I don't show up, they gonna show out."
00:03:19.282,00:03:22.201,"Greenleaf, right?"
00:03:24.997,00:03:26.748,You really wanna take it there?
00:03:26.748,00:03:28.375,You already took it there.
00:03:53.692,00:03:56.403,"Shit, it's one time."
00:03:56.403,00:03:59.156,"Hey, man, get to the back!"
00:03:59.156,00:04:01.282,They best not find a motherfuckin' thing!
00:04:01.282,00:04:03.744,Get all that shit up in the roof. Hurry up!
00:04:03.744,00:04:05.453,"Man, get to the back!"
00:04:06.496,00:04:08.165,"Oh, shit!"
00:04:08.165,00:04:10.167,You know what to do with it.
00:04:10.167,00:04:12.335,Keisha!
00:04:12.335,00:04:14.295,Shit.
00:04:16.924,00:04:19.634,Hurry up!
00:04:19.634,00:04:21.469,"Step up, girl!"
00:04:40.321,00:04:42.323,"Go, go, go!"
00:04:47.579,00:04:50.082,"Oh, shit."
00:04:51.875,00:04:54.711,Fuckin' dog.
00:06:04.531,00:06:06.325,What happened?
00:06:06.325,00:06:08.327,What you mean?
00:06:08.327,00:06:11.246,"Andre, boy, don't play with me."
00:06:11.246,00:06:13.414,Do you even care how it makes me look?
00:06:13.414,00:06:17.878,"Called in favors to get your thoughtless ass an interview, and you can't even show up?"
00:06:17.878,00:06:19.587,Oh!
00:06:19.587,00:06:23.675,"Look, I'm-- I'm sorry, Ma."
00:06:21.506,00:06:26.427,"I just-- I got so caught up in this DJ stuff, I forgot."
00:06:26.427,00:06:28.513,"You have a child, Andre."
00:06:28.513,00:06:31.725,Spinnin' records ain't paying none of the bills around here.
00:06:31.725,00:06:34.269,What you talkin' about?
00:06:34.269,00:06:35.812,$50.
00:06:35.812,00:06:38.397,So that makes you rich?
00:06:38.397,00:06:40.441,Damn!
00:06:40.441,00:06:43.444,"I'm not riding you, baby."
00:06:43.444,00:06:45.906,And you know how I run my house.
00:06:45.906,00:06:49.243,"Now, you gonna have to go to school or you gonna have to go to work."
00:06:49.243,00:06:52.453,I don't even care if you are a janitor.
00:06:52.453,00:06:55.082,Long as I own the company.
00:06:55.082,00:06:58.210,But you don't own the company.
00:06:59.878,00:07:02.172,You think we're done here?
00:06:59.878,00:07:03.548,"Yeah, I mean, you keep-- You got something to say to me?"
00:07:03.548,00:07:05.884,"You don't care what I'm fighting for, okay?"
00:07:05.884,00:07:13.141,"I already know what I want to do with my life, and it definitely ain't sitting in some cubicle, taking orders on a bullshit-ass job."
00:07:13.141,00:07:14.642,Shut up!
00:07:17.478,00:07:21.358,People used to tell me I was too young when I had you.
00:07:21.358,00:07:24.736,Said I wouldn't be shit.
00:07:26.029,00:07:28.782,"Now, I worked my ass off to get us here..."
00:07:28.782,00:07:31.952,and I refuse to let you throw it all away.
00:07:51.930,00:07:54.099,"Hey, I grabbed some of your stuff."
00:07:55.516,00:07:57.227,"Good lookin' out, T."
00:08:02.523,00:08:04.359,When you comin' back?
00:08:05.526,00:08:07.362,"Man, I don't even know."
00:08:07.362,00:08:09.614,Got a lot of things to figure out.
00:08:09.614,00:08:12.742,You know Mom. She just-- She just want the best for you.
00:08:15.329,00:08:17.538,"Hey, I know that, T."
00:08:17.538,00:08:21.542,But check this out.
00:08:21.542,00:08:23.462,That mean I gotta go.
00:08:24.587,00:08:29.509,"Look, when I get set up right, I'm gonna bring you with me."
00:08:29.509,00:08:32.262,Don't even worry about it.
00:08:32.262,00:08:34.931,For real?
00:08:34.931,00:08:38.393,"Yeah, man."
00:08:38.393,00:08:40.437,"Hey, I'll call you later."
00:08:40.437,00:08:43.273,"For now, stay your little ass outta trouble."
00:08:44.565,00:08:46.609,"Yeah, yeah."
00:08:46.609,00:08:48.403,For real.
00:08:49.321,00:08:51.072,"All right, bruh."
00:09:26.607,00:09:29.903,"What you been up to, Cube?"
00:09:29.903,00:09:32.155,Shit. Writin' rhymes.
00:09:32.155,00:09:35.283,-You a poet now?
00:09:36.617,00:09:38.703,This nigga. Okay.
00:09:41.373,00:09:43.583,"Bye, Mr. Davis."
