start,end,script
00:00:28.778,00:00:30.697,We've lost both engines. Both engines.
00:00:35.827,00:00:37.162,No relight on one or two.
00:00:38.913,00:00:40.415,do you wanna try to land runway 1-3?
00:00:40.498,00:00:43.209,"Departure control, we can make it. We're turning back towards LaGuardia."
00:01:05.440,00:01:07.192,"-Sully, we're too low! -Come on."
00:01:18.411,00:01:19.579,Just a little farther.
00:01:21.414,00:01:22.373,Come on.
00:01:29.339,00:01:30.298,Sully!
00:01:30.381,00:01:31.382,"Lorrie, I love you."
00:03:18.364,00:03:28.166,"three flight attendants and two pilots, one of whom, the senior pilot, drew on all of his experience and skill, which combined with near-miraculous good luck and a result that was, frankly, astounding."
00:03:28.249,00:03:32.253,"There were some non-critical injuries, but everyone, everyone, survived."
00:03:32.712,00:03:35.924,The first pictures of US Airways Flight 1549 reveal...
00:03:36.007,00:03:38.468,You think that you're gonna die. That's what you think.
00:03:39.177,00:03:42.138,"And then, miraculously, you don't."
00:03:42.388,00:03:43.681,"Thank you, Captain."
00:03:57.946,00:03:59.822,"Okay, thank you, everybody, thank you."
00:04:00.240,00:04:02.075,"Thank you, Captain Sullenberger, for being here today."
00:04:02.158,00:04:04.369,We also want to welcome First Officer Skiles.
00:04:04.452,00:04:05.703,I'm glad you could make it in this morning.
00:04:09.707,00:04:19.300,"For the record, we had an Aircraft Systems Team on this investigation. Also Aircraft Structures, MRT, Aircraft Performance, ATC, Wildlife Factors, Survival Factors and Emergency Response."
00:04:19.592,00:04:25.765,"Today, we begin with our operation and human performance investigation on the crash of US Airways Flight 1549."
00:04:25.848,00:04:27.558,-Water landing. -Captain?
00:04:27.850,00:04:29.769,This was not a crash and it wasn't a ditching.
00:04:30.770,00:04:34.148,We knew what we were trying to execute here. It was not a...
00:04:34.524,00:04:37.193,It was not a crash. It was a forced water landing.
00:04:37.277,00:04:39.529,Why didn't you attempt to return to LaGuardia?
00:04:40.697,00:04:42.949,There simply was not enough altitude.
00:04:43.992,00:04:49.080,The Hudson was the only place that was long enough and smooth enough and wide enough to even attempt to land the airplane safely.
00:04:49.163,00:04:53.501,"Air Traffic testified that you stated you were returning to LaGuardia, but you did not."
00:04:54.752,00:05:02.343,"As I began the left turn, I realized I couldn't make it back and it would have eliminated all the other options."
