start,end,script
00:01:22.957,00:01:23.875,"Go, go, go, go!"
00:01:36.012,00:01:38.389,What did I say? You can't bet with no money.
00:01:38.473,00:01:40.350,You can if you win.
00:01:41.226,00:01:43.937,-Did you? -No! But I got this.
00:01:44.020,00:01:45.522,-You got it? -I did.
00:01:47.482,00:01:48.441,Oh.
00:02:11.089,00:02:13.800,"Oh, fuck! Oh, fuck!"
00:02:14.425,00:02:15.343,Oh!
00:02:20.265,00:02:22.142,How do you know this stuff isn't old?
00:02:22.600,00:02:24.978,They throw it out every six hours. It's the law.
00:02:32.652,00:02:33.862,I wanna go to India.
00:02:35.864,00:02:36.781,India?
00:02:36.948,00:02:38.616,Is that where the Himalayas are?
00:02:38.950,00:02:40.827,'Cause I want to climb the Himalayas.
00:02:42.036,00:02:43.163,We don't have any money.
00:02:43.246,00:02:44.747,"So, everybody's poor there."
00:02:44.831,00:02:46.624,People live with nothing.
00:02:46.875,00:02:55.383,"I saw this picture in a magazine and this woman, she was sitting in the dirt, and it was like, trash all around her, there was, like, a skinny dog."
00:02:55.466,00:02:57.635,"I mean, she didn't have anything."
00:02:57.719,00:03:02.682,She was wrapped in this giant orange and red cloth...
00:03:02.765,00:03:04.934,-Mm-hmm. -I want to go there.
00:03:05.226,00:03:06.561,How are you gonna get there?
00:03:07.103,00:03:09.230,Um... drive.
00:03:09.314,00:03:10.481,You're gonna drive?
00:03:10.565,00:03:11.858,-Underwater. -Right.
00:03:12.483,00:03:16.362,"All the way across the ocean, and we're gonna breathe like this."
00:03:30.460,00:03:31.836,We're gonna be pretty dizzy.
00:03:31.920,00:03:33.087,-Hmm? -Mm-hmm.
00:03:41.471,00:03:42.847,-Hey. -Hmm?
00:03:46.851,00:03:47.852,I love you.
00:03:53.650,00:03:55.235,I don't wanna go to India.
00:03:57.820,00:03:58.696,Why not?
00:04:02.033,00:04:03.117,I wanna go home.
00:04:11.459,00:04:12.502,This is home.
00:04:14.170,00:04:15.380,"I mean, real home."
00:04:17.382,00:04:20.510,I wanna lie in Washington Square Park. I wanna smoke a joint.
00:04:21.970,00:04:23.930,-I wanna see my mom. -Why?
00:04:25.640,00:04:28.184,'Cause it's been two years and she's my mom.
00:04:30.853,00:04:32.772,"Look, you can't go to India, it's crazy."
00:04:32.855,00:04:36.276,"You do this all the time, get these big ideas and then..."
00:04:37.652,00:04:39.404,"you know, tomorrow, it'll be something else."
00:04:41.406,00:04:42.824,Let's do something real.
00:04:42.907,00:04:44.033,Like what?
00:04:45.451,00:04:47.662,-Shut up! -Come on!
00:04:48.830,00:04:53.209,We could... we could get an apartment...
00:04:54.544,00:04:59.048,"I don't know, we'll get jobs, -have babies. -No way."
00:05:00.508,00:05:05.596,"I'm sick of eating shit out of dumpsters and asking truckers for shower tickets, all right?"
00:05:06.848,00:05:12.520,"Well, this is the way I live and if you don't like it, -then you can get the fuck out. -Come on, Lu, Jesus!"
00:05:12.603,00:05:13.688,I mean it.
00:05:14.272,00:05:16.691,"Go! Get out of here, then."
00:05:17.191,00:05:18.526,I said I love you.
00:05:18.609,00:05:20.486,"Well, then fucking stop it."
00:08:13.242,00:08:15.244,You say goodbye!
00:10:05.313,00:10:08.107,"Yeah, I'm here to see Margaret Mooney in 2B?"
00:10:08.190,00:10:09.525,"Yeah, Mrs. Mooney is in 3F."
00:10:09.609,00:10:11.235,"Of course, sorry. It's been forever."
00:10:11.319,00:10:12.612,-Yes. -What's your name?
00:10:12.695,00:10:13.738,-Manuel. -Okay.
00:10:13.821,00:10:16.782,Manny! It's a surprise.
00:10:16.866,00:10:19.619,I just-- I really-- I don't want you to blow it.
00:10:19.702,00:10:21.329,"Give me one second, okay?"
00:10:21.412,00:10:23.414,"Yeah, of course. You do your thing."
00:10:23.497,00:10:24.832,"-Hey, Tommy. -How's it going?"
00:10:24.915,00:10:26.292,-Okay. -Here's the stuff.
00:10:46.854,00:10:47.813,Who are you?
00:10:48.189,00:10:49.190,Are you Mrs. Mooney?
00:10:50.524,00:10:51.567,How did you get up here?
00:10:52.068,00:10:53.235,I'm a friend of Nico's.
00:10:53.986,00:10:55.196,What happened? Is he hurt?
00:10:55.738,00:10:56.739,"Nothing! No, he's fine."
00:10:56.822,00:10:58.616,Last that I saw him...
00:10:58.699,00:10:59.950,I just really need to find him.
00:11:00.034,00:11:01.661,"Well, I can't help you."
00:11:01.744,00:11:03.913,I haven't seen my son in two years.
00:11:03.996,00:11:05.331,"He took all my money, okay?"
00:11:05.414,00:11:08.084,"Of course! When you see him, tell him to call his mother."
00:11:08.167,00:11:10.670,"No, wait! Please. I just really need to find him."
00:11:10.753,00:11:14.507,"Look, I don't know who you are, I have no reason to believe you know my son."
00:11:14.590,00:11:17.593,"C'mon, man, I've his fucking name tattooed on my hand."
00:11:22.014,00:11:23.891,"So what, you're looking for money?"
00:11:24.308,00:11:25.309,You're not gonna get it.
00:11:26.602,00:11:29.021,"-What about, like, five bucks? -Oh my God!"
00:11:37.947,00:11:40.408,"She loved it, man. She was really surprised."
00:12:05.307,00:12:08.018,He says you've had the papers for a while now.
00:12:08.477,00:12:10.646,"Look, I don't mean to rush you..."
00:12:11.105,00:12:14.024,"Actually, I do mean to rush you."
00:12:14.108,00:12:26.162,"Just give me a call or sign the papers and drop them-- Eat your damn food! Over here, idiot."
00:12:34.044,00:12:35.796,"Mrs. Mooney, how are you this afternoon?"
00:12:35.880,00:12:38.424,I'd be better if strangers weren't allowed up into my apartment.
00:12:38.507,00:12:40.843,"-Yes, of course, I apologize. -No, it's a little late for that."
00:12:40.926,00:12:42.928,"-Can I have my mail, please? -Yes, right away."
00:12:43.012,00:12:46.891,Uh... There was a package that came in for...
00:12:48.559,00:12:51.687,"For Mr. Mooney. I didn't know if you-- I'll take it, thank you."
00:12:57.943,00:12:59.320,My husband still lives here.
00:13:00.696,00:13:01.780,Okay.
00:13:02.865,00:13:04.617,I've lived in this apartment for 18 years.
00:13:04.700,00:13:06.368,I don't want a problem with the university.
00:13:06.452,00:13:11.499,"I'm not asking you to be dishonest, just... discreet."
00:13:12.082,00:13:14.793,That would be a violation of the doorman code.
00:13:17.004,00:13:18.589,"Of course, I'm sorry."
00:13:18.672,00:13:20.174,I'm joking.
00:13:21.217,00:13:24.053,"And again, Mrs. Mooney, I apologize, okay?"
00:13:24.136,00:13:26.639,"If she comes back, I'm going to tell her to get out."
00:13:26.722,00:13:31.018,"I'm not going to let-- No. Actually, if she comes back, I want to talk to her."
00:13:32.061,00:13:33.062,"Oh, okay."
00:13:33.145,00:13:34.396,Thank you.
00:14:11.767,00:14:12.935,Are you housekeeping?
00:14:13.769,00:14:14.687,Yes.
00:14:15.104,00:14:17.481,Leave that alone for a minute and come inside.
00:14:23.362,00:14:24.947,It's a mess.
00:14:25.030,00:14:28.868,"If they sent a maid when I asked them to, it wouldn't be a problem, would it?"
00:14:29.618,00:14:31.495,-What's your name? -Why?
00:14:31.996,00:14:33.080,Because I asked.
00:14:33.163,00:14:34.707,"Uh, Lu."
00:14:34.999,00:14:36.876,"-Lucy? -No, just Lu."
00:14:37.585,00:14:39.962,"Hmm, I like Lucy better."
00:14:47.386,00:14:50.222,Are you good with kids?
00:14:52.892,00:14:54.393,Can you watch her for me?
00:14:56.812,00:15:09.742,"I'll pay you. I have to go out tonight, and I-- I'm a little nervous about her being with somebody else, but she seems to be comfortable with you already."
00:15:09.825,00:15:13.078,"So, I think it's okay..."
00:15:15.748,00:15:17.708,"Lucy, sweetie, I really need you right now."
00:15:19.501,00:15:20.586,Could you...
00:15:27.927,00:15:29.595,"-Yeah, for her. -Thanks."
00:15:30.846,00:15:34.058,"Oh, you could just put that down right there."
00:15:42.524,00:15:43.859,"Thank you, sweetheart."
00:15:51.200,00:15:52.910,Hotel help!
00:15:53.410,00:15:55.120,You have to show them who's boss.
00:15:58.374,00:16:00.793,"Oh, I'm sorry, you work here. That was rude."
00:16:00.876,00:16:03.963,"No, it's-- Doesn't matter. I don't care."
