start,end,script
00:02:28.565,00:02:29.858,"Harry, answer that."
00:02:33.654,00:02:35.990,"So, what do you wanna hack for, Bickle?"
00:02:35.990,00:02:37.825,I can't sleep nights.
00:02:37.825,00:02:39.076,There's porno theaters for that.
00:02:39.076,00:02:41.578,"Yeah, I know."
00:02:46.207,00:02:47.835,"So, what do you do now?"
00:02:47.835,00:02:50.169,Now? Ride around nights mostly.
00:02:50.169,00:02:51.839,"Subways, buses."
00:02:51.839,00:02:54.800,"Figure, you know, I'm gonna do that, I might as well get paid for it."
00:02:54.800,00:02:57.344,Wanna work uptown nights?
00:02:57.344,00:02:59.429,"I'll work anytime, anywhere."
00:02:59.429,00:03:00.973,Will you work Jewish holidays?
00:03:00.973,00:03:02.850,"Anytime, anywhere."
00:03:02.850,00:03:05.477,All right. Let me see your chauffeur's license.
00:03:08.229,00:03:09.397,How's your driving record?
00:03:09.397,00:03:10.774,It's clean.
00:03:10.774,00:03:13.027,"It's real clean, like my conscience."
00:03:13.027,00:03:14.736,Are you gonna break my chops?
00:03:14.736,00:03:16.989,Got enough trouble with guys like you.
00:03:16.989,00:03:19.908,"If you're gonna break my chops, you can take it on the arches."
00:03:19.908,00:03:23.954,"Sorry, sir, I didn't mean that."
00:03:23.954,00:03:25.664,Physical?
00:03:25.664,00:03:27.708,Clean.
00:03:27.708,00:03:30.209,Twenty-six.
00:03:30.209,00:03:34.422,"Um, some. I-- Here, there, you know."
00:03:38.010,00:03:39.720,Military record?
00:03:39.720,00:03:42.181,Honorable discharge.
00:03:42.181,00:03:44.725,May 1973.
00:03:44.725,00:03:46.894,Were you in the Army?
00:03:48.729,00:03:50.605,I was in the Marines too.
00:03:53.274,00:03:55.360,"So, what is it?"
00:03:55.360,00:03:58.405,You need an extra job?
00:03:58.405,00:04:00.908,Are you moonlighting?
00:04:00.908,00:04:04.327,"Well, I-- I just wanna work long hours."
00:04:04.327,00:04:05.913,What's moonlighting?
00:04:05.913,00:04:11.459,"Look, uh, just fill out these forms and check back tomorrow when the shift breaks."
00:04:11.459,00:04:13.336,"O'Brien, please step up."
00:04:13.336,00:04:16.131,"Take the car out through 58th Street, please."
00:04:16.131,00:04:18.133,'Cause it's crowded on 57th.
00:04:19.134,00:04:21.678,"MAN: Hey, Rodriguez!"
00:04:27.601,00:04:30.938,"All right, all right, I'm coming down there."
00:05:13.438,00:05:15.315,BICKLE: May 10th.
00:05:15.315,00:05:20.737,"Thank God for the rain, which has helped wash away the garbage and the trash off the sidewalks."
00:05:22.156,00:05:24.074,I'm working long hours now.
00:05:24.074,00:05:28.078,"Six in the afternoon to 6 in the morning, sometimes even 8 in the morning."
00:05:28.078,00:05:31.498,"Six days a week, sometimes seven days a week."
00:05:31.498,00:05:34.668,"It's a long hustle, but it keeps me real busy."
00:05:34.668,00:05:37.254,"I can take in 3, 350 a week."
00:05:37.254,00:05:39.881,Sometimes even more when I do it off the meter.
00:06:04.031,00:06:07.784,All the animals come out at night.
00:06:07.784,00:06:12.580,"Whores, skunk-pussies, buggers, queens, fairies, dopers, junkies."
00:06:13.957,00:06:15.750,"Sick, venal."
00:06:18.753,00:06:22.549,Someday a real rain'll come and wash all this scum off the streets.
00:06:30.473,00:06:31.933,I go all over.
00:06:31.933,00:06:34.061,"I take people to the Bronx, Brooklyn."
00:06:34.061,00:06:36.771,I take them to Harlem.
00:06:36.771,00:06:38.397,Don't make no difference to me.
00:06:38.397,00:06:42.277,It does to some.
00:06:42.277,00:06:43.862,Don't make no difference to me.
00:06:43.862,00:06:45.906,"MAN: Driver, 48th and 6th, please."
00:06:45.906,00:06:49.492,"Man, you are gorgeous!"
00:06:52.746,00:06:54.873,I can't afford to get stopped anywhere.
00:06:54.873,00:06:57.209,"Oh, no. We wouldn't want that to happen."
00:06:57.209,00:07:01.296,"MAN: There'll be a big tip in it for you, you do the right things."
00:07:01.296,00:07:03.382,You got a way.
00:07:03.382,00:07:05.092,You got a way.
00:07:05.092,00:07:08.887,Yeah. Now you're talkin'!
00:07:08.887,00:07:10.764,"Oh, driver, hurry up, will you?"
00:07:12.182,00:07:13.433,Yeah.
00:07:48.927,00:07:53.681,BICKLE: Each night when I return the cab to the garage I have to clean the come off the back seat.
00:07:58.686,00:08:00.688,"Some nights, I clean off the blood."
00:08:34.555,00:08:36.350,Can I help you?
00:08:36.350,00:08:38.435,"Yeah, what's your name?"
00:08:38.435,00:08:40.145,My name is Travis.
00:08:40.145,00:08:42.397,That's nice.
00:08:44.358,00:08:46.276,I'd like to know what your name is. What's your name?
00:08:48.028,00:08:49.321,Give me a break.
00:08:49.321,00:08:50.864,"Look, you can tell me what your name is."
00:08:50.864,00:08:53.700,"I'm not gonna do anything, you know..."
00:08:53.700,00:08:55.160,Do you want me to call the manager?
00:08:55.160,00:08:57.371,"Oh, you don't have to call the manager."
00:08:57.371,00:09:01.124,Troy!
00:09:01.124,00:09:02.459,Okay.
00:09:02.459,00:09:04.711,Can I have a Chuckles there?
00:09:06.087,00:09:08.423,"And, uh, do you have any Jujubes?"
00:09:08.423,00:09:10.717,"Uh, they last longer."
00:09:10.717,00:09:12.552,What you see is what we got.
00:09:17.516,00:09:18.933,A Clark bar.
00:09:21.728,00:09:23.438,I'll take these.
00:09:26.024,00:09:27.692,Coca-Cola.
00:09:27.692,00:09:31.112,We don't have Coca-Cola.
00:09:32.822,00:09:34.449,A dollar eighty-five.
00:09:57.180,00:10:01.351,BICKLE: Twelve hours of work and I still can't sleep.
00:10:01.351,00:10:02.685,Damn.
00:10:02.685,00:10:05.730,Days go on and on.
00:10:05.730,00:10:06.856,And they don't end.
00:10:08.567,00:10:12.028,All my life needed was a sense of some place to go.
00:10:12.028,00:10:16.575,I don't believe that one should devote his life to morbid self-attention.
00:10:16.575,00:10:20.036,I believe that someone should become a person like other people.
00:10:22.789,00:10:27.210,I first saw her at Palantine campaign headquarters at 63rd and Broadway.
00:10:27.210,00:10:31.214,She was wearing a white dress.
00:10:31.214,00:10:34.259,She appeared like an angel...
00:10:34.259,00:10:36.970,out of this filthy mass.
00:10:36.970,00:10:38.721,She is alone.
00:10:40.390,00:10:42.183,They...
00:10:42.183,00:10:44.144,cannot...
00:10:44.144,00:10:46.187,touch...
00:10:46.187,00:10:47.564,her.
00:10:58.866,00:11:02.287,"Yes. Well, you delivered two boxes."
00:11:02.287,00:11:05.206,I think it's a total of 5000 campaign buttons.
00:11:05.206,00:11:11.754,"Now, all the ones we had before and our slogan is: We are the people, and are is underlined."
00:11:11.754,00:11:14.382,These new buttons have we underlined.
00:11:14.382,00:11:17.177,"That reads, We are the people."
00:11:17.177,00:11:19.095,"Well, I think there's a difference."
00:11:19.095,00:11:23.600,We are the people is not the same as We are the people.
00:11:23.600,00:11:26.019,Let's not fight.
00:11:26.019,00:11:28.480,"Look, we'll make it real simple."
00:11:28.480,00:11:30.815,We don't pay for the buttons.
00:11:30.815,00:11:32.900,"We throw the buttons away, all right?"
00:11:32.900,00:11:35.111,"WOMAN: Tom, come here a minute."
00:11:36.571,00:11:37.905,What?
00:11:44.245,00:11:45.580,What is it?
00:11:45.580,00:11:51.044,"This canvass report is about ready to go, check it out with Andy and if he okays it, have a copy sent to headquarters in every county."
00:11:51.044,00:11:53.129,I gotta get that New York Times article xeroxed.
00:11:53.129,00:11:54.381,Don't forget the new photos.
00:11:54.381,00:11:55.923,I didn't forget it.
00:11:55.923,00:11:58.510,We have to emphasize the mandatory welfare program.
00:11:58.510,00:12:00.470,That's the issue that should be pushed.
00:12:00.470,00:12:02.180,"First push the man, then the issue."
00:12:02.180,00:12:04.599,Senator Palantine is a dynamic man.
00:12:04.599,00:12:07.726,"An intelligent, interesting, fresh, fascinating man."
00:12:07.726,00:12:09.145,You forgot sexy.
00:12:09.145,00:12:11.105,"Man, I did not forget sexy."
00:12:11.105,00:12:13.525,Listen to you. You sound like you're selling mouthwash.
00:12:13.525,00:12:14.942,We are selling mouthwash.
00:12:14.942,00:12:17.195,Are we authorized to do that?
00:12:17.195,00:12:20.407,You can get in trouble selling pharmaceuticals in a campaign office.
00:12:20.407,00:12:23.493,My uncle's in jail because of that.
