start,end,script
00:00:40.749,00:00:42.333,in six weeks.
00:00:48.965,00:00:49.799,for me being suspended.
00:00:52.969,00:00:55.013,but has she done some sketchy things to get there?
00:01:04.064,00:01:05.690,and can see her making her way into the car.
00:01:08.276,00:01:16.493,"at the beginning, or needing to take some time to work on your craft, voluntarily bringing attention to herself with her donation."
00:01:21.790,00:01:23.833,but I think Taylor Swift is learning a few lessons in life.
00:13:25.513,00:13:30.142,"Well, good evening, Dallas, Texas, and welcome to the Reputation stadium tour."
00:13:37.900,00:13:42.071,"You know, guys, I've been coming to play in the Dallas-Arlington area..."
00:13:44.031,00:13:46.367,since I was about 15 years old.
00:13:48.244,00:13:49.245,"And, uh..."
00:13:50.454,00:13:56.919,I was looking at the list of times I've played here and this is actually the 30th show that I'll be playing in this area.
00:14:00.965,00:14:06.303,"So that's a good, long history we've got going on between us and I want to say thank you for a few things."
00:14:06.679,00:14:16.063,"First of all, having been to Dallas as many times as I've been here, I know how many things there are available for you to do on a Saturday night."
00:14:16.146,00:14:21.235,You have lots of options and you decided to spend your Saturday evening with us.
00:14:21.318,00:14:22.778,Thank you so much!
00:14:29.285,00:14:31.161,Another thing that you guys did...
00:14:34.039,00:14:45.968,"is that every single one of us on this stage, on this tour, gets to know that because of you, this is the first tour, nobody has ever played back-to-back nights at this stadium before."
00:14:46.051,00:14:47.094,"Thank you, guys!"
00:14:55.060,00:15:02.818,"So, here you are, deciding to be with us on-- You may have heard this. It's a little-known fact."
00:15:03.027,00:15:05.237,This is the last night of the US tour.
00:15:09.825,00:15:17.791,"And so you decided not only to spend your Saturday night with us, but to come here to commemorate the last night on this tour that has meant so much to me."
00:15:17.875,00:15:19.627,That is such a beautiful thing.
00:15:19.710,00:15:22.463,Thank you for deciding all of those things tonight.
00:15:27.509,00:15:28.802,I would even say...
00:15:29.929,00:15:31.680,it's something even more than beautiful.
00:15:31.764,00:15:34.516,It's like a step above beautiful.
00:15:34.600,00:15:36.560,"What's the word for that, Dallas?"
00:15:38.687,00:15:39.605,That's the one.
00:17:53.405,00:18:00.871,"And now, Dallas, I would like to introduce you the incredibly talented, gorgeous women of the Reputation stadium tour."
00:18:01.121,00:18:02.289,Make some noise...
00:18:02.915,00:18:03.791,for Jazz!
00:18:08.587,00:18:09.630,Gracie!
00:18:10.798,00:18:11.965,Kamilah!
00:18:13.717,00:18:14.718,Jeslyn.
00:18:16.220,00:18:17.304,Melanie!
00:18:18.514,00:18:19.556,Nadine!
00:18:21.517,00:18:22.434,Stephanie!
00:18:23.936,00:18:24.770,Yoe!
00:18:27.397,00:18:28.315,Eliotte.
00:18:30.567,00:18:32.945,And I'm Taylor. Thanks for hanging out with us tonight!
00:19:39.511,00:19:40.345,Mmm!
00:22:23.633,00:22:26.970,"Dallas, will you please make some noise for my incredible band?"
00:25:45.502,00:25:46.461,Let me see you jump!
00:31:28.011,00:31:31.014,"Sorry, but old Taylor can't come to the phone right now."
00:31:32.056,00:31:36.019,"Why? Oh, 'cause she's dead!"
00:41:21.061,00:41:22.104,Are we having fun yet?
00:41:27.026,00:41:28.194,"Oh, good."
00:41:29.320,00:41:31.238,"You know, you may notice this..."
00:41:32.156,00:41:35.701,"Not sure if you picked up on it yet. I'm pretty sure you have, though."
00:41:35.784,00:41:40.414,Have you noticed that you have a light-up bracelet on your wrist?
00:41:40.498,00:41:41.665,There they are.
00:41:44.293,00:41:45.544,So pretty.
00:41:45.878,00:41:48.255,"Um, but that's not the only thing about them."
00:41:48.339,00:41:57.556,"The reason why I wanted to have these on the tour is because this is actually my very first all-stadium tour, which..."
00:42:01.936,00:42:05.272,"Which has been so, so much fun because of you."
00:42:05.439,00:42:06.315,Um...
00:42:06.732,00:42:10.528,"So, one thing I do know about stadiums is they're just..."
00:42:11.487,00:42:20.246,"massive places to play, and so I wanted to make sure that no matter what, I could see every single one of you in these stadiums."
00:42:22.206,00:42:29.046,"...top, top deck, last row and you think I can't see you, that would be incorrect."
