start,end,script
00:00:35.870,00:00:43.919,"a long time ago, and that humanity can no longer fulfill its desires through the power of wishes."
00:00:43.961,00:00:57.057,"To those who have lost the wondrous vision of childhood eyes, submitted here is the story of a little boy and a magical Christmas wish that changed his life forever."
00:01:00.561,00:01:04.732,"It began in 1985, in a town just outside Boston."
00:01:06.483,00:01:11.071,"It was Christmas Eve, and all the children were in high spirits."
00:01:11.112,00:01:17.452,That special time of year when Boston children gather together and beat up the Jewish kids.
00:01:17.494,00:01:18.787,"Hey, Greenbaum!"
00:01:18.829,00:01:19.997,Uh-oh.
00:01:20.039,00:01:20.915,Get him!
00:01:25.669,00:01:29.088,But there was one child who wasn't in such good spirits.
00:01:29.130,00:01:36.388,"Little John Bennett, that one boy in every neighborhood who just has a tough time making friends."
00:01:36.430,00:01:37.932,"Hey, guys, can I play?"
00:01:37.973,00:01:39.224,"Get out of here, Bennett."
00:01:39.266,00:01:40.392,"Get lost, Bennett!"
00:01:40.434,00:01:41.435,"Get out of here, Bennett!"
00:01:41.476,00:01:43.270,"Yeah, Bennett, get lost."
00:01:46.231,00:01:52.320,"John longed with all his heart for that one, true friend that he could call his own."
00:01:52.362,00:01:57.952,"And he knew that if he ever found that friend, he would never let him go."
00:02:00.955,00:02:05.500,"Well, as it does every year, Christmas morning finally came."
00:02:05.542,00:02:09.088,All the children were opening their gifts with holiday glee.
00:02:16.929,00:02:23.226,"And for little John Bennett, Christmas Day brought a very special new arrival."
00:02:28.732,00:02:30.692,Wow!
00:02:30.734,00:02:33.112,"I guess Santa paid attention to how good you were this year, huh?"
00:02:33.153,00:02:34.947,"Aw! Merry Christmas, John."
00:02:36.239,00:02:37.116,RECORDED TOY VOICE: I love you!
00:02:37.741,00:02:39.451,He talks!
00:02:40.869,00:02:42.955,I'm going to name you Teddy.
00:02:45.540,00:02:49.168,NARRATOR: John became instantly attached to Teddy.
00:02:49.210,00:02:58.720,There was something about that bear that made him feel as if he finally had a friend with whom he could share his deepest secrets.
00:02:58.762,00:02:59.888,RECORDED TOY VOICE: I love you!
00:03:00.639,00:03:03.684,"I love you, too, Teddy."
00:03:03.725,00:03:07.896,"You know, I wish you could really talk to me."
00:03:07.938,00:03:13.068,"Because then, we could be best friends forever and ever."
00:03:13.110,00:03:20.325,"NARRATOR: Now, if there's one thing you can be sure of, it's that nothing is more powerful than a young boy's wish."
00:03:21.118,00:03:23.704,Except an Apache helicopter.
00:03:23.745,00:03:27.290,An Apache helicopter has machine guns and missiles.
00:03:27.332,00:03:33.380,"It is an unbelievably impressive complement of weaponry, an absolute death machine."
00:03:34.548,00:03:39.511,"Well, as it turned out, John picked the perfect night to make a wish."
00:04:17.424,00:04:18.425,Teddy?
00:04:22.429,00:04:23.555,Teddy?
00:04:28.227,00:04:29.186,Teddy?
00:04:37.736,00:04:38.862,Hug me.
00:04:40.072,00:04:42.699,"You're my best friend, John."
00:04:42.741,00:04:45.119,Did you...
00:04:45.160,00:04:46.828,Don't look so surprised.
00:04:46.870,00:04:48.580,"You're the one who wished for it, aren't you?"
00:04:49.706,00:04:53.334,Yeah.
00:04:53.376,00:04:55.254,"Well, here I am."
00:04:55.295,00:04:58.006,"You mean, we get to be best friends for real?"
00:04:58.048,00:04:59.674,For real.
00:04:59.716,00:05:01.093,Forever and ever?
00:05:01.135,00:05:02.385,Sounds good to me.
00:05:04.763,00:05:11.686,NARRATOR: John was just about the happiest boy in the world and he couldn't wait to tell everyone the good news.
00:05:11.728,00:05:14.189,"Mom, Dad, guess what?"
00:05:15.899,00:05:17.400,Really?
00:05:17.442,00:05:20.570,"No, Mom, he's really alive."
00:05:20.612,00:05:23.031,"Merry Christmas, everybody."
00:05:23.991,00:05:25.200,Jesus H. Fuck!
00:05:25.242,00:05:26.827,Let's all be best friends.
00:05:26.868,00:05:28.369,"Oh, my God!"
00:05:28.411,00:05:30.080,"John, get away from that thing. Get over here right now."
00:05:30.122,00:05:32.207,"But, Dad..."
00:05:32.249,00:05:33.250,JOHN'S MOM: Listen to your father!
00:05:33.292,00:05:35.252,"Helen, get my gun."
00:05:35.294,00:05:36.586,Is it a hugging gun?
00:05:36.628,00:05:38.797,"Helen, get my gun, and call the police!"
00:05:38.839,00:05:41.925,"I'm sorry, Mr. Bennett, I didn't mean to scare anybody."
00:05:41.967,00:05:44.094,I just wanted John and I to be friends.
00:05:44.136,00:05:48.473,"Yeah, Dad, I made a wish last night that Teddy was alive and my wish came true."
00:05:50.433,00:05:52.019,"Oh, my God!"
00:05:53.436,00:05:54.729,It's a miracle.
00:05:55.939,00:05:59.400,It's a Christmas miracle.
00:05:59.442,00:06:02.863,You're just like the Baby Jesus.
00:06:02.904,00:06:08.493,"NARRATOR: Well, it wasn't long before the story of John's little miracle was sweeping the nation."
00:06:08.535,00:06:12.831,"Out of a Boston suburb comes what is, without a doubt, the most incredible story..."
00:06:12.873,00:06:17.961,"A young boy's stuffed animal has magically come to life for, as yet, unknown reasons..."
00:06:18.003,00:06:22.966,Look what Jesus did!
00:06:23.008,00:06:27.929,"NARRATOR: Before long, Teddy had become a huge celebrity in his own right."
00:06:32.976,00:06:34.061,"Hello, Teddy."
00:06:38.523,00:06:41.818,You...you are a...
00:06:41.860,00:06:44.154,For some reason I thought you were going to be taller.
00:06:44.196,00:06:46.614,I thought you were going to be funnier.
00:06:50.493,00:06:56.833,"NARRATOR: But through all the fame, Teddy never forgot his very best friend, John."
00:06:56.875,00:06:59.669,"The thunder can't get us, right?"
00:06:59.711,00:07:03.340,"Nope, we're thunder buddies, and the thunder knows it."
00:07:03.382,00:07:04.632,We're totally safe.
00:07:05.633,00:07:06.467,Teddy?
00:07:06.885,00:07:08.469,"Yeah, John?"
00:07:08.511,00:07:10.555,Do you promise we'll always be together?
00:07:11.265,00:07:12.557,I promise.
00:07:15.352,00:07:17.520,Thunder buddies for life.
00:07:18.272,00:07:20.607,Thunder buddies for life.
00:07:22.692,00:07:27.155,And that was a promise that neither one of them ever forgot.
00:07:28.407,00:07:31.368,"So, where are John and Teddy today?"
00:07:31.410,00:07:33.870,"Well, let me put it this way."
00:07:33.912,00:07:45.257,"No matter how big a splash you make in this world, whether you're Corey Feldman, Frankie Muniz, Justin Bieber, or a talking teddy bear, eventually, nobody gives a shit."
00:10:19.077,00:10:21.329,Do I dare look at the clock?
00:10:21.371,00:10:28.962,"Look, all I'm saying is that Boston women are, on the whole, a paler, uglier sort than women from the elsewheres of life."
00:10:29.003,00:10:30.505,That's bullshit.
00:10:30.547,00:10:32.340,"No, Lori's from Pennsylvania."
00:10:32.382,00:10:33.841,They're not that bad.
00:10:33.883,00:10:37.762,"See, the fact that you have to say they're not that bad means that they are that bad."
00:10:37.804,00:10:39.973,Did you ever hear a Boston girl have an orgasm?
00:10:40.014,00:10:44.185,"Oh, yeah, oh, yeah!"
00:10:44.227,00:10:46.354,"Oh, God, that was so good!"
00:10:46.396,00:10:49.274,Now I'm going to stuff my fucking face with Pepperidge Farm!
00:10:52.068,00:10:54.571,"Jesus, this is weak."
00:10:54.613,00:10:57.991,It's not even getting me high. I got to have a talk with my weed guy.
00:10:58.032,00:10:59.409,It's working for me.
00:10:59.451,00:11:01.077,I think it sucks.
00:11:01.119,00:11:03.204,I don't know that you want to go to a drug dealer with complaints.
00:11:03.246,00:11:06.249,No.
00:11:06.291,00:11:09.043,"You remember? I was, like, Oh, shit, 9/11."
00:11:09.085,00:11:10.670,Is it 9:30?
00:11:10.711,00:11:12.547,"Shit, I got to get to work!"
00:11:12.589,00:11:14.424,I don't know if I can drive!
00:11:14.466,00:11:15.967,"It's okay, I'll drive you."
00:11:39.115,00:11:41.034,Fuck!
00:11:41.075,00:11:42.619,"Oh, man!"
00:11:42.661,00:11:45.913,"TED: Johnny, I'm sorry, man. That car just came out of nowhere."
00:11:45.955,00:11:47.040,"God, is it bad?"
00:11:48.291,00:11:50.001,"Oh, man!"
00:11:50.043,00:11:53.087,"John! May I speak with you, please?"
00:11:53.129,00:11:54.589,Shit.
00:11:54.631,00:11:55.756,"It's all right, go, go, go."
00:11:55.798,00:11:56.841,"Hi, Thomas, how are you?"
00:12:10.938,00:12:12.148,MAN: Asshole!
00:12:12.190,00:12:14.359,TED: That's my bad.
00:12:16.486,00:12:18.488,"John, it's almost 10:00."
00:12:19.489,00:12:21.074,"I know, sir, I'm sorry."
00:12:22.242,00:12:23.076,What do you mean?
00:12:27.121,00:12:29.832,I guess I wasn't really prepared for a follow-up question.
00:12:31.000,00:12:36.256,"John, all you got to do is not fuck up and you get my job when I go to corporate next month."
00:12:36.297,00:12:37.965,You're the new branch manager.
00:12:38.007,00:12:40.134,All you've got to do is not fuck up.
00:12:40.176,00:12:41.428,I realize that.
00:12:41.969,00:12:43.888,Glad to hear it.
00:12:43.930,00:12:47.642,"Because in a month, my life could be your life."
00:12:47.684,00:12:53.607,"A cushy, $38,000-a-year branch manager who's personal friends with Tom Skerritt."
00:12:53.648,00:12:55.066,"Not a bad life, is it?"
00:12:55.816,00:12:58.236,No.
00:12:58.278,00:13:02.657,I'm going to show you something that I don't like to show people because I don't want them treating me differently.
00:13:05.702,00:13:07.995,Boom.
00:13:08.037,00:13:09.163,Wow.
00:13:09.205,00:13:11.458,"Goddamn right, Wow."
00:13:11.499,00:13:14.877,"I'm gonna dock you for dinging the car and for showing up late today, all right?"
00:13:14.919,00:13:16.588,Try and be a little more responsible tomorrow.
00:13:16.630,00:13:18.047,"I will, sir, I promise."
00:13:19.966,00:13:20.759,"I'm not going to let you down, Goose."
00:13:21.800,00:13:22.677,What?
00:13:23.344,00:13:24.429,Top Gun.
00:13:25.054,00:13:25.972,So?
00:13:26.889,00:13:27.806,Tom Skerritt.
00:13:28.725,00:13:30.268,I know that.
00:13:30.310,00:13:31.394,"Get out of here, okay?"
00:13:31.436,00:13:33.313,"Thank you, sir."
00:13:33.354,00:13:37.942,"All right, here's your keys, your rental agreement, complimentary map of Boston."
00:13:37.984,00:13:40.111,Thank you for choosing Liberty.
00:13:40.153,00:13:41.613,Thanks.
00:13:43.281,00:13:45.742,I heard you got busted.
00:13:45.784,00:13:48.369,"Jesus, Guy, you look like shit, man."
00:13:48.411,00:13:51.372,"I don't know, I got fucking wasted last night."
00:13:51.414,00:13:55.710,"My phone says I texted someone at 3:15, asking them to beat me up."
00:13:55.752,00:13:59.213,"And then, at 4:30, I texted the same person saying, Thanks."
00:13:59.255,00:14:00.340,And you don't remember it?
00:14:00.381,00:14:02.049,"No, same as last time."
00:14:02.091,00:14:04.511,"It just seems kind of gay, doesn't it?"
00:14:04.552,00:14:06.220,I don't know.
00:14:06.262,00:14:08.515,"Well, do you think you're part of some gay beat-up underworld?"
00:14:08.556,00:14:10.725,Like one of those gay beat-up clubs or something?
00:14:10.767,00:14:12.519,I don't know.
00:14:12.560,00:14:14.354,I don't remember any of it.
00:14:14.395,00:14:15.730,"I might be gay, I don't know."
00:14:15.772,00:14:17.273,Do you mind covering for me for a bit?
00:14:17.315,00:14:19.066,I might go lay down in the john.
00:14:19.108,00:14:20.819,"Hey, buddies."
00:14:20.860,00:14:22.529,"Hey, Alix, what's up?"
00:14:22.570,00:14:25.865,I didn't get in because the bouncer was douche-face.
00:14:25.906,00:14:27.367,But I made friends in the line.
00:14:27.408,00:14:28.743,"That's good, I guess."
00:14:28.785,00:14:33.623,"Hey, guys, anybody know a nice restaurant, like something where they give out free bubblegum in the bathrooms?"
00:14:33.665,00:14:35.082,For what?
