start,end,script
00:01:51.278,00:01:55.323,MAN: People will say I'm a monster for what I've done.
00:01:55.323,00:01:57.868,And maybe they're right.
00:02:00.037,00:02:02.372,I always thought that I'd have more...
00:02:02.372,00:02:03.582,time.
00:02:03.582,00:02:05.000,BOY: Dad?
00:02:05.000,00:02:06.585,Dad!
00:02:06.585,00:02:07.962,I'm sorry.
00:02:09.254,00:02:10.923,Peter?
00:02:24.895,00:02:27.982,MARY: He likes to sleep with the light on at night.
00:02:27.982,00:02:29.733,"Mary, we have to go."
00:02:33.320,00:02:34.738,Dad.
00:02:37.783,00:02:40.285,Be good.
00:02:48.585,00:02:52.881,MARY: I found a safe place for us to spend the night at Lake Geneva.
00:02:52.881,00:02:54.133,Are you uploading it?
00:02:54.133,00:02:55.759,RICHARD: To Roosevelt. All of it.
00:02:55.759,00:02:57.552,Just in case we...
00:02:59.513,00:03:01.098,"We're gonna be fine, Mary."
00:03:01.098,00:03:03.600,Did you see his face?
00:03:03.600,00:03:05.602,"Mary, we've been through this."
00:03:05.602,00:03:08.689,"Our life, as we know it, is over."
00:03:08.689,00:03:12.484,"We're gonna spend every day, from now on, looking over our shoulders."
00:03:12.484,00:03:14.402,Never feeling safe.
00:03:14.402,00:03:15.612,We can't do that to him.
00:03:15.612,00:03:17.698,He's just a little boy.
00:03:17.698,00:03:19.741,"I know, I know."
00:03:21.493,00:03:23.286,It's gonna be all right.
00:03:38.468,00:03:40.179,"No rest for the weary, huh?"
00:03:40.179,00:03:42.806,"No, I'm afraid not."
00:03:42.806,00:03:45.559,"Occupational hazard, I guess."
00:03:45.559,00:03:47.561,What is it you're working on?
00:03:50.189,00:03:52.900,"Uh, just-just planning ahead."
00:03:52.900,00:03:54.985,Do you think I could speak with the pilot?
00:03:54.985,00:03:56.403,Something you need?
00:03:56.403,00:03:58.739,Perhaps I can help.
00:03:58.739,00:04:03.035,I'd just like to radio ahead and make sure everything's in order for when we land.
00:04:05.871,00:04:08.790,"I think we both know that's not an option, Dr. Parker."
00:04:23.638,00:04:24.890,Richard.
00:04:24.890,00:04:26.474,They say you're a genius.
00:04:26.474,00:04:28.435,MARY: Richard!
00:04:28.435,00:04:30.562,Not if you thought you could escape.
00:04:30.562,00:04:32.731,MARY: Richard!
00:04:32.731,00:04:34.066,Mary!
00:04:48.122,00:04:49.456,Mary!
00:04:59.424,00:05:01.509,Mary...
00:05:01.509,00:05:04.096,It's okay. It's okay.
00:05:04.096,00:05:05.555,I got you.
00:05:05.555,00:05:07.515,"I have you, okay? Okay?"
00:05:07.515,00:05:09.559,Just gonna make you...
00:05:09.559,00:05:11.478,It's done. It's done.
00:05:13.021,00:05:14.815,Roosevelt.
00:05:14.815,00:05:16.150,Roosevelt.
00:05:26.160,00:05:27.410,It's back up. It's back up.
00:05:27.410,00:05:28.745,"It's back up, okay?"
00:05:28.745,00:05:30.247,"Hey, hey, hey."
00:05:30.247,00:05:31.706,"We're gonna be all right, okay?"
00:05:31.706,00:05:33.583,You stay with me.
00:07:30.158,00:07:31.492,Ow!
00:07:34.871,00:07:36.623,Yippee!
00:07:42.587,00:07:45.090,"SPIDER-MAN: What do you got for me today, New York?"
00:07:45.090,00:07:47.467,REPORTER: Reporting live from New York One chopper.
00:07:47.467,00:07:50.929,An Oscorp truck carrying plutonium has been hijacked.
00:07:50.929,00:07:52.764,A police chase is in progress.
00:07:52.764,00:07:55.267,"SPIDER-MAN: All right, let's get to work!"
00:07:58.812,00:08:01.731,Say hello to Aleksei Sytsevich!
00:08:30.927,00:08:33.347,MAN: Spider-Man!
00:08:33.347,00:08:34.806,"Hello, pedestrians!"
00:08:53.450,00:08:55.160,"SPIDER-MAN: Knock, knock!"
00:08:55.160,00:08:56.495,Mr. Criminal.
00:08:56.495,00:08:58.205,"Hey, my name is Spider-Man."
00:08:58.205,00:09:03.001,"You can call me Web-Head, you can call me Amazing, just don't call me late for dinner, you get it?"
00:09:04.044,00:09:05.379,Not a shaker?
00:09:05.379,00:09:06.838,Are you a hugger?
00:09:06.838,00:09:09.299,Aah! I am killer!
00:09:09.299,00:09:14.346,FEMALE COMPUTER VOICE: Warning. Plutonium-238 is a radioactive material and is highly explosive.
00:09:14.346,00:09:16.223,Excuse me.
00:09:16.223,00:09:18.433,"There's more room on the sidewalk, folks, please."
00:09:18.433,00:09:20.060,"Watch it, man!"
00:09:20.060,00:09:21.769,Excuse me...
00:09:21.769,00:09:23.730,"A little help, please?"
00:09:26.400,00:09:27.859,You having a problem with your gun?
00:09:27.859,00:09:29.528,Let me help you out with that.
00:09:29.528,00:09:31.488,"Oh, comin' through!"
00:09:33.198,00:09:35.367,Too much work...
00:09:35.367,00:09:37.202,"SPIDER-MAN: Oh, this is bad."
00:09:37.202,00:09:38.661,I'm gonna be right back.
00:09:42.332,00:09:44.167,"Heads up, watch out."
00:09:45.544,00:09:48.671,Whew!
00:09:48.671,00:09:50.590,You okay? You all right?
00:09:50.590,00:09:52.633,You're Spider-Man.
00:09:52.633,00:09:54.594,"Look, these look pretty important, Max."
00:09:54.594,00:09:56.388,Max.
00:09:56.388,00:09:59.015,It's written on your badge.
00:09:59.015,00:10:01.601,"Hey, you're not a nobody."
