start,end,script
00:00:24.441,00:00:28.028,Just because you don't feel sick now doesn't mean you don't need the shot.
00:00:28.111,00:00:30.989,"I never get sick, okay? You can take that and give it to Barry."
00:00:31.072,00:00:34.826,-His nose is always running. -What are you giving me shit for?
00:00:34.909,00:00:38.788,"I saw you earlier today. We said hi. I said, Cole. You said, Mr. Daisy."
00:00:38.872,00:00:42.042,"Why are you giving me shit today? I mean, it's just a needle, man."
00:00:44.169,00:00:47.172,"Damn. Come here, get the shot. Ain't nothing to be scared of."
00:00:47.839,00:00:50.759,"There's 62 kids came here, got a shot, no problem."
00:00:50.842,00:00:54.179,"You come in here, take ten minutes? I got 84 kids more to go. Okay?"
00:00:54.262,00:00:57.223,"We're boys. Be cool. Shit, man. Are you gonna take this shot?"
00:00:57.307,00:01:00.310,"Step over here and take the shot, just like you'd take some ass."
00:01:00.393,00:01:02.604,There's nothing to be scared of.
00:01:03.354,00:01:04.355,I'm not scared.
00:01:16.284,00:01:17.869,Pussy!
00:01:30.632,00:01:32.050,How crazy is that shit?
00:01:32.759,00:01:34.719,His name was literally Oceanus.
00:01:34.803,00:01:36.513,He didn't even have a nationality.
00:01:37.013,00:01:38.973,"Just a citizen of the sea, I guess."
00:01:39.766,00:01:41.434,What class did you learn that in?
00:01:53.696,00:01:55.532,It was his high-school dream car.
00:01:56.741,00:01:59.536,"He got it after the divorce to make Mom jealous, but..."
00:02:03.873,00:02:06.209,"Dad, can we give Cole a ride home?"
00:02:07.001,00:02:09.754,"Cole, are your parents expecting you to take the bus home?"
00:02:11.131,00:02:12.549,"-I guess so. -Yeah, they are."
00:02:12.632,00:02:14.551,"So, you should take the bus, okay, sport?"
00:02:14.926,00:02:17.178,"Sorry, dude. I'll see you, though, neighbor, huh?"
00:02:17.720,00:02:18.888,-I didn't-- -What's that?
00:02:46.583,00:02:47.876,"Well, well, well."
00:02:52.255,00:02:53.756,I don't know. Okay?
00:02:53.840,00:02:56.301,"Well, speaking of hanging, have your balls dropped yet?"
00:03:01.181,00:03:02.056,I didn't catch that.
00:03:02.765,00:03:05.685,"I said, Why are you so interested in my balls?"
00:03:05.768,00:03:07.645,Last thing he cares about is your balls.
00:03:10.565,00:03:11.399,The sophomore?
00:03:11.900,00:03:15.111,"The sophomore. But in many ways, she was a senior."
00:03:15.737,00:03:18.198,-I don't believe you. -You don't need to believe him.
00:03:18.281,00:03:20.909,It's not like your belief will validate what happens to his dick.
00:03:20.992,00:03:22.035,Wanna know how it was?
00:03:24.329,00:03:25.496,"No, not really."
00:03:25.580,00:03:32.128,"Well, see, as a 14-year-old in that kind of situation with a 16-year-old that looks like Shelly MacEntyre, it was overwhelming, man."
00:03:32.795,00:03:34.297,"I mean, she is a woman."
00:03:38.051,00:03:39.594,"Man, you know what I'm saying?"
00:03:41.471,00:03:43.389,"I said, do you know what I'm saying?"
00:03:44.098,00:03:46.726,You just said it didn't matter if I believed you.
00:03:46.809,00:03:58.446,"-Well, I changed my mind, bitch. -Sorry, I wasn't-- Ooh-whah, ooh-whah. Ooh-whah, ooh-whah."
00:04:06.537,00:04:07.747,Did you just touch Cole?
00:04:11.042,00:04:13.628,You so much as think about Cole again...
00:04:15.922,00:04:17.048,and I'm gonna...
