start,end,script
00:02:56.426,00:02:59.345,People are decent because they never forget how to reach out.
00:03:01.431,00:03:03.725,"Now and then, they'll even surprise you."
00:03:05.643,00:03:07.645,"But then again, sometimes they won't."
00:03:08.813,00:03:12.150,I wanna be remembered as the awesomest dodgeball player ever.
00:03:12.483,00:03:15.153,I wanna win an Olympic gold medal in dodgeball.
00:03:15.612,00:03:20.783,This will make the world a better place 'cause I'll inspire other kids to be dodgeball champions.
00:03:21.284,00:03:23.870,And that's what I think about my legacy.
00:03:25.622,00:03:29.751,"Good, Tommy. A little basic, but some solid grammar and paragraph construction."
00:03:29.834,00:03:30.835,Well done.
00:03:30.919,00:03:32.420,Who wants to go next?
00:03:33.963,00:03:35.465,-Henry? -Huh?
00:03:36.925,00:03:38.009,"Oh, yeah."
00:03:50.480,00:03:57.654,"We can all talk about making our mark, but isn't it just comfort food to stave off existential crisis?"
00:03:59.113,00:04:05.203,"I mean, in the end, Tommy, you're gonna realize that dodgeball isn't even an Olympic sport."
00:04:06.204,00:04:12.377,But our legacy isn't what we write on our résumé or how many commas we have in our bank account.
00:04:13.169,00:04:16.839,It's who we're lucky enough to have in our lives and what we can leave them with.
00:04:17.882,00:04:20.843,"The one thing we do know, we're here now."
00:04:21.886,00:04:25.390,So I say we do the best we can while we're on this side of the dirt.
00:04:27.058,00:04:29.394,And that's what I think about my legacy.
00:04:34.524,00:04:35.608,Henry.
00:04:35.858,00:04:38.569,Remind me again why we can't put you in a gifted school.
00:04:38.695,00:04:43.741,'Cause it's better for my psychosocial development for me to interact with a peer group in a normal school environment.
00:04:44.033,00:04:45.743,"Oh, yeah. Okay."
00:04:46.577,00:04:47.578,Thank you.
00:04:48.705,00:04:54.919,"And so that's 3,000 of TannenTech at 76 with a stop-loss at 70?"
00:04:55.378,00:04:58.131,"And, you know what? Give me ten Liffcom with Aluminad."
00:04:58.756,00:05:00.258,"Uh, two and a quarter."
00:05:00.383,00:05:01.843,"Okay, yeah. I think it'll work."
00:05:03.678,00:05:06.222,"Oh, let's just say I had the benefit of being born into a bull market."
00:05:12.061,00:05:13.396,Sorry I'm late.
00:05:14.397,00:05:16.649,-Buckle up. -Wrestle this backpack.
00:05:17.066,00:05:18.568,I really wish you'd get a new car.
00:05:18.651,00:05:20.069,It's not like you can't afford it or anything.
00:05:20.153,00:05:22.155,That isn't the point. And besides...
00:05:54.896,00:05:56.022,Why won't you let me help?
00:05:56.105,00:05:58.232,I only broke one of them. Over.
00:06:01.277,00:06:03.488,Waffle irons are tricky. Over.
00:06:04.447,00:06:06.908,I just wish I could make something like you do.
00:06:07.241,00:06:08.284,"Okay. Come on, then."
00:06:35.728,00:06:36.854,"Okay, what do you wanna make?"
00:06:36.938,00:06:38.314,A flying trampoline.
00:06:41.609,00:06:42.860,Rocket boots.
00:06:43.152,00:06:44.946,"Mmm, that's kind of hard, too."
00:06:48.658,00:06:50.743,Okay. You have to build in a fail-safe.
00:06:50.827,00:06:54.914,"It's all about timing, setup, covering every contingency."
00:06:55.039,00:06:57.500,"One little miscalculation, and the whole thing fails."
00:06:59.877,00:07:00.878,Waffle irons are tricky.
00:07:08.845,00:07:09.887,What if there are sharks?
00:07:10.179,00:07:11.305,Too shallow.
00:07:11.389,00:07:12.682,How about piranhas?
00:07:12.849,00:07:14.183,Indigenous to Africa.
00:07:14.642,00:07:16.310,Henry says South America.
00:07:18.896,00:07:25.820,"But don't you worry, if anything attacks you, anything indigenous to our region, I'll be in here in a flash."
00:07:26.529,00:07:27.655,Okay?
00:07:32.201,00:07:33.202,Okay.
00:07:37.248,00:07:38.708,-You okay? -Yep.
00:07:39.208,00:07:40.585,Call out the capitals.
00:07:40.668,00:07:42.712,"Oklahoma City, Oklahoma."
00:07:42.795,00:07:43.963,Easy.
00:07:44.380,00:07:46.215,"Augusta, Maine."
00:07:46.716,00:07:48.384,"Salem, Oregon."
00:07:48.801,00:07:50.428,"Albany, New York."
00:07:50.511,00:07:55.516,"Hey, Mom, what is this charge for $147.50 at Funtime Cove?"
00:07:56.434,00:07:58.186,"Uh, bouncy castle for Peter's birthday."
00:07:58.269,00:07:59.812,The one that smelled like feet.
00:08:01.898,00:08:03.649,Isn't that one of the other Norths?
00:08:05.401,00:08:07.737,Did our financial statement come in the mail today?
00:08:10.323,00:08:12.283,You should really read it and know what it says.
00:08:12.366,00:08:13.743,"-Annapolis, Maryland. -Wrong."
00:08:14.410,00:08:15.578,Right.
00:08:16.537,00:08:18.372,"Cheyenne, Wyoming."
00:08:18.748,00:08:21.626,You know it doesn't actually help when you lean into it like that.
00:08:23.211,00:08:25.421,Look at that. Look at that!
