start,end,script
00:01:12.364,00:01:14.241,Nice. Beautiful. One more.
00:01:17.703,00:01:19.204,Show me your somersault.
00:01:20.455,00:01:22.207,Ta-da!
00:01:22.207,00:01:23.584,STAN: Climb the wall.
00:01:23.584,00:01:24.919,HOPE: Almost.
00:01:24.919,00:01:26.253,"Look, she's doing a handstand."
00:01:26.253,00:01:27.421,Come on!
00:01:27.421,00:01:30.089,"That's it, all the way!"
00:01:30.089,00:01:31.132,Wow!
00:01:31.132,00:01:32.509,"Huggie, Dad."
00:01:32.509,00:01:33.761,That's good for a huggie.
00:01:33.761,00:01:35.054,Just like that. Okay.
00:01:35.054,00:01:37.389,"Let's see those jumps again, the split up."
00:01:37.389,00:01:39.349,Good. Good! Much better.
00:01:39.349,00:01:40.851,Future champion.
00:01:40.851,00:01:42.185,Here's the big moment.
00:01:42.185,00:01:43.645,It's all about the dismount.
00:01:43.645,00:01:47.399,"No, no, no, no, no."
00:01:47.399,00:01:48.734,I'm a champion.
00:01:48.734,00:01:50.069,"You're darn right, you are."
00:01:50.069,00:01:51.194,Try it again.
00:01:53.822,00:01:57.325,Point the toes.
00:01:57.325,00:01:59.787,Show how beautiful and talented you are.
00:01:59.787,00:02:00.913,Perfect hand.
00:02:00.913,00:02:03.164,Are those boobs coming in?
00:02:03.164,00:02:05.084,No boobs!
00:02:06.877,00:02:09.337,I like that.
00:02:11.048,00:02:12.716,Wow!
00:02:15.761,00:02:18.764,To gold in Rome! Whoo!
00:02:18.764,00:02:20.265,Dad.
00:02:22.267,00:02:24.770,USA! USA! USA!
00:02:24.770,00:02:28.983,HEATH: I just marvel every time I see Hope Ann Greggory perform.
00:02:28.983,00:02:32.861,"At 17, she is the epitome of power and grace."
00:02:32.861,00:02:38.158,Coach Pavleck says she is the hardest worker on the team.
00:02:51.296,00:02:53.590,This is a potentially career-ending injury.
00:02:53.590,00:02:55.634,MAN: Focus.
00:02:57.385,00:02:59.721,I don't want that.
00:02:59.721,00:03:01.348,She said no.
00:03:01.348,00:03:04.267,She's determined to get off on her own power.
00:03:05.894,00:03:09.230,"Wait. Hold on, Dominique."
00:03:05.894,00:03:11.817,I am now getting word Greggory is going to attempt the uneven bars.
00:03:11.817,00:03:14.193,"WOMAN: Oh, my God!"
00:03:14.193,00:03:16.697,This is truly inspirational.
00:03:16.697,00:03:20.241,"BRITISH SPORTSCASTER: This, ladies and gentlemen, is quite remarkable."
00:03:20.241,00:03:22.494,You are star.
00:03:22.494,00:03:24.997,You will make me so proud.
00:03:24.997,00:03:29.710,"HEATH: Thousands of hours training together back at that little gym in Amherst, Ohio."
00:03:29.710,00:03:32.963,This is their moment.
00:03:32.963,00:03:36.133,USA! USA! USA!
00:03:37.718,00:03:45.184,HEATH: This is the Amherst Angel's strongest event and she's going to need a 9.7 or higher to take the medal away from those Russians.
00:03:45.184,00:03:46.685,DAWES: She needs to pull off this Jaeger.
00:03:46.685,00:03:48.812,"Nearly flawless, nearly flawless."
00:03:48.812,00:03:51.272,Beautiful handstand half.
00:03:52.941,00:03:55.027,Now she's preparing for her full-end dismount.
00:03:55.027,00:03:56.987,This is a tough dismount for her.
00:03:56.987,00:03:58.780,She needs to stick this landing.
00:03:58.780,00:04:00.615,HEATH: This is really tough to watch.
00:04:00.615,00:04:02.325,DAWES: Here it comes. Full twist.
00:04:02.325,00:04:04.828,DAWES: Oh! On one leg!
00:04:04.828,00:04:07.497,HEATH: Do you believe in miracles?
00:04:07.497,00:04:10.792,The Amherst Angel has stuck the landing.
00:04:15.547,00:04:17.132,USA! USA! USA!
00:04:17.132,00:04:18.842,STAN: Hopey!
00:04:18.842,00:04:20.928,What do you want for lunch?
00:04:20.928,00:04:22.554,Grilled cheese and tomato!
00:04:24.139,00:04:25.140,No crust!
00:04:25.140,00:04:26.850,HEATH: 9.8!
00:04:26.850,00:04:28.769,HEATH: She's done the impossible!
00:04:28.769,00:04:30.812,"This is absolutely incredible, Dominique!"
00:04:30.812,00:04:33.065,"DAWES: Goodness, she could never write this..."
00:04:40.906,00:04:44.576,"ANNOUNCER 1: Ladies and gentlemen, please stand for the Chinese national anthem."
00:05:37.296,00:05:38.922,STAN: Hopey!
00:05:46.387,00:05:49.308,Hopey? Your grilled cheese is ready.
00:05:49.308,00:05:51.810,"What? No, I said I wanted Hamburger Helper!"
00:05:51.810,00:05:53.895,Where the fuck did you get grilled cheese?
00:05:53.895,00:05:55.981,"Forget it, Dad."
00:06:03.197,00:06:05.364,"Mountain Dew, large."
00:06:05.364,00:06:07.366,Diet?
00:06:07.366,00:06:10.162,Sorry.
00:06:10.162,00:06:15.583,Okay. That comes to $9.30.
00:06:15.583,00:06:17.627,"Oh, no, no, no."
00:06:17.627,00:06:20.214,Don't you know who this is?
00:06:20.214,00:06:21.340,"Check the wall, son."
00:06:21.340,00:06:24.134,"HOPE: Yeah. Check the wall, son."
00:06:24.134,00:06:27.304,"Oh, you used to be way skinnier."
00:06:32.684,00:06:33.977,"Hey, Hope."
00:06:34.769,00:06:36.230,Take these.
00:06:36.230,00:06:38.065,Okay.
00:06:38.065,00:06:41.026,"Any, uh, new stuff in the back?"
00:06:41.026,00:06:43.111,"Yeah, totally."
00:06:44.154,00:06:46.156,It's supposed to be bomb-ass shit.
00:06:46.156,00:06:48.158,He said it was government grade.
00:06:48.158,00:06:54.455,"I don't know if that means that the government grows it, or maybe they just grade it?"
00:06:54.455,00:06:56.041,Stop you right there.
00:06:56.041,00:06:59.794,Do not talk about politics.
00:06:59.794,00:07:03.131,You're gonna lose a lot of customers.
00:07:03.131,00:07:05.217,But you don't...
00:07:07.468,00:07:09.470,"Hey, John."
00:07:18.563,00:07:19.981,"Chair busted again, Davey?"
00:07:19.981,00:07:21.316,Yeah.
00:07:22.067,00:07:23.110,Oh.
00:07:24.361,00:07:27.114,Here. Go get it fixed.
00:07:29.657,00:07:31.910,"Thanks, Hope."
00:08:03.066,00:08:06.569,"Oh, I like the new running sneakers, they're very hip."
00:08:06.569,00:08:11.450,"Well, they send me so frickin' many for endorsements."
00:08:11.450,00:08:13.910,"At some point, I'm gonna have to tell 'em to back the fuck off."
00:08:13.910,00:08:18.581,"I know it must get old for you, but you lead such a glamorous life."
00:08:23.211,00:08:26.840,"Oh, my gosh! Oh, my gosh!"
00:08:29.217,00:08:30.885,You gotta be fucking kidding me.
00:08:30.885,00:08:33.805,DORIS: Isn't that Maggie Townsend adorable?
