start,end,script
00:01:19.079,00:01:20.788,&lrm;...didn't work.
00:01:20.872,00:01:23.416,&lrm;And I'm already dead.
00:01:23.958,00:01:26.961,&lrm;-MAN 1: Evan? &lrm;-MAN 2: I think he's in here.
00:01:27.044,00:01:37.889,&lrm;But if I can somehow &lrm;go back to the beginning &lrm;to save her.
00:01:38.223,00:01:39.599,&lrm;MAN 2: Evan!
00:02:25.978,00:02:27.355,&lrm;Evan!
00:02:32.444,00:02:33.778,&lrm;We're gonna be late again.
00:02:34.654,00:02:37.031,&lrm;When did you ever care &lrm;about getting to school on time?
00:02:37.449,00:02:38.991,&lrm;We're putting up pictures &lrm;for parents' night.
00:02:39.826,00:02:41.911,"&lrm;Don't worry, you'll have plenty of time."
00:02:45.165,00:02:46.249,&lrm;Is Dad gonna come?
00:02:46.791,00:02:48.210,&lrm;You know the answer to that.
00:02:48.501,00:02:50.503,&lrm;Can't he just come out for one day?
00:02:50.837,00:02:53.881,&lrm;We've been over this a hundred times. &lrm;It's too dangerous for him.
00:02:54.716,00:03:00.222,"&lrm;But Lenny said his dad's coming, &lrm;-and Tommy and Kayleigh's dad... &lrm;-Okay, I get the point."
00:03:01.889,00:03:03.850,"&lrm;But I'm not so bad, am I?"
00:03:04.351,00:03:05.352,&lrm;No.
00:03:18.781,00:03:21.033,"&lrm;Okay, have a great day."
00:03:21.117,00:03:24.120,&lrm;I love you. &lrm;I'll pick you up later. Gotta go.
00:03:25.538,00:03:26.748,&lrm;Bye.
00:03:30.042,00:03:31.294,&lrm;Bye!
00:03:34.714,00:03:36.383,"&lrm;Mrs. Treborn, I need to speak with you."
00:03:36.466,00:03:38.801,&lrm;Can it wait till tonight? &lrm;I'm already late for work and I...
00:03:38.885,00:03:41.053,&lrm;I think you really need to see this.
00:03:43.265,00:03:45.308,"&lrm;Tommy, leave Lenny alone."
00:03:45.392,00:03:48.478,&lrm;Don't make me send you &lrm;to Mr. Voytek's office.
00:03:49.312,00:03:52.899,"&lrm;I was gonna show this to the principal, &lrm;but I thought I should talk to you first."
00:03:52.982,00:03:54.025,&lrm;What is it?
00:03:54.108,00:03:58.070,"&lrm;Yesterday, I had all the children &lrm;make drawings &lrm;of what they wanted to be &lrm;when they grew up."
00:03:58.154,00:04:00.156,&lrm;Most of them made drawings &lrm;of what their parents did.
00:04:00.240,00:04:01.533,&lrm;But this...
00:04:12.084,00:04:13.336,&lrm;ANDREA: I don't understand.
00:04:14.421,00:04:15.880,&lrm;Evan did this?
00:04:18.550,00:04:20.843,"&lrm;-Can I keep this drawing? &lrm;-Oh, of course."
00:04:21.303,00:04:25.848,"&lrm;Um, there is one more thing, Mrs. Treborn, &lrm;-I feel bad even mentioning. &lrm;-What?"
00:04:26.641,00:04:31.771,"&lrm;When I asked Evan about the drawing, &lrm;well, he couldn't remember doing it."
00:04:40.947,00:04:42.740,&lrm;EVAN: I don't wanna go.
00:04:44.284,00:04:46.369,"&lrm;I don't like this place, Mom."
00:04:46.453,00:04:47.954,&lrm;I think it's creepy.
00:04:49.706,00:04:52.584,&lrm;I promise I won't make any bad pictures. &lrm;I promise.
00:04:52.667,00:04:54.461,"&lrm;You're gonna be fine, okay?"
00:04:54.544,00:04:56.963,"&lrm;He just wants to do &lrm;a couple tests, that's all."
00:04:57.297,00:04:59.090,&lrm;-EVAN: Oh... &lrm;-You'll like him.
00:05:03.052,00:05:05.430,&lrm;WOMAN: That's good. You're doing great.
00:05:05.513,00:05:08.224,&lrm;ANDREA: Just tell me he hasn't inherited &lrm;his father's illness.
00:05:08.975,00:05:11.603,&lrm;I'm sure the test results &lrm;will come back negative.
00:05:11.686,00:05:13.813,&lrm;But there's something else you can do &lrm;to monitor his memory.
00:05:14.439,00:05:16.691,&lrm;-Anything. &lrm;-A journal.
00:05:16.774,00:05:18.776,&lrm;Just have him write down &lrm;everything that he does.
00:05:18.860,00:05:21.738,&lrm;-And what will that do? &lrm;-It could help jog his memory.
00:05:22.196,00:05:25.241,&lrm;See if he remembers &lrm;anything new the next day.
00:05:25.325,00:05:29.286,"&lrm;These test results &lrm;will come back in a few days, &lrm;-and we'll take it from there. &lrm;-Okay."
00:05:30.162,00:05:32.749,&lrm;EVAN: &lrm;Today Mommy is taking me &lrm;to play with Kayleigh and Tommy.
00:05:34.166,00:05:37.420,&lrm;I will meet their father &lrm;and see what a real dad is like.
00:05:40.214,00:05:41.841,"&lrm;Great, see you soon."
00:05:54.270,00:05:55.772,&lrm;Evan...
