start,end,script
00:20:11.793,00:20:14.254,So about Ju Ju… I have to tell you something.
00:20:14.338,00:20:17.257,Ju Ju's teacher told me she needs to see a psychiatrist as soon as possible.
00:20:18.926,00:20:20.219,She can't understand Korean.
00:20:21.303,00:20:22.846,She drew this.
00:20:26.975,00:20:32.022,They said in 17 years of teaching they have never seen anything this disturbing.
00:01:40.141,00:01:41.768,"-Hey. -Ah, condolences."
00:01:41.851,00:01:44.562,"-Oh, thank you. Where's Joan? -I don't know."
00:01:44.646,00:01:46.481,"Welcome back, everyone."
00:01:50.110,00:01:53.404,-Our first lady chair. -Woman chair.
00:01:53.488,00:01:55.782,Aren't you gonna sit at the head of the table?
00:01:55.865,00:01:58.368,Chair sits at the head of the table.
00:01:58.451,00:01:59.828,"Thank you, Elliot."
00:02:03.289,00:02:04.666,Is this green or brown?
00:02:06.084,00:02:09.045,Let's try this again. It's lovely to see you all.
00:02:09.129,00:02:11.256,"In a couple of minutes, we'll know if that was right."
00:02:11.339,00:02:14.134,"Okay, first order of business-- Bill's not here."
00:02:16.427,00:02:19.931,"Maybe we could cut him some slack, given his situation."
00:02:23.518,00:02:26.896,Bill is sending his daughter off to college. He'll be here any minute.
00:02:32.694,00:02:34.154,Get your shit together.
00:02:35.196,00:02:38.825,"I'm gone now, and that's the way it's gonna be for the rest of your life."
00:02:39.450,00:02:41.786,"Um, you're not… gone."
00:02:41.870,00:02:42.829,"Yes, I am."
00:02:43.329,00:02:45.290,"And what happened, happened."
00:02:46.499,00:02:51.963,"The time when people were, like, leaving casseroles and whatever at the house, it's over."
00:02:52.046,00:02:54.632,Okay. Are you finished?
00:02:56.759,00:03:00.305,I'm not gonna miss you. I'm just gonna miss this guy and this guy.
00:03:02.223,00:03:03.308,"Uh-huh, okay."
00:03:03.391,00:03:04.684,Go. Get outta here.
00:03:14.194,00:03:18.114,I'm not gonna sugarcoat this. We are in dire crisis.
00:03:18.198,00:03:20.450,Enrollments are down more than 30%.
00:03:20.533,00:03:21.910,Our budget is being gutted.
00:03:22.911,00:03:28.917,It feels like the sea is washing the ground out from under our feet.
00:03:30.960,00:03:45.892,"But in these unprecedented times, we have to prove that what we do in the classroom… stressing the value of empathy, is more important than ever, and has value to the public good."
00:03:46.976,00:03:51.231,"It's true, we can't teach our students coding or engineering."
00:03:51.314,00:04:13.628,What we teach them cannot be quantified But let us have pride We need to remind these young people that knowledge doesn't just come from spreadsheets or… or Wiki entries.
00:04:13.711,00:04:25.265,"Hey, I was thinking this morning about our tech-addled culture, and… and how our students are hyperconnected 24 hours a day, and I was reminded of something, um, Harold Bloom wrote."
00:04:25.348,00:04:30.353,"He said, Information is endlessly available to us."
00:04:31.854,00:04:33.731,Where shall wisdom be found?
00:04:36.359,00:04:39.737,They moved my office to the basement under the gym.
00:04:40.738,00:04:48.955,"All my books, my… my stuff, my drawers, dumped into these open carts that are sitting on the floor of the basement over there right now."
00:04:50.832,00:04:51.958,I heard a rumor.
00:04:52.041,00:04:55.712,They're forcing everybody over 55 to take early retirement.
00:04:57.505,00:04:59.257,"Okay, people. People, let's try not to panic."
00:04:59.340,00:05:01.759,"Well, it's easy for you to say. You're 51."
00:05:01.843,00:05:02.885,I'm 46.
00:05:03.469,00:05:04.387,You're kidding.
00:05:09.267,00:05:10.768,I want to make you this promise.
00:05:11.853,00:05:15.440,I will not allow this department to be ransacked.
00:05:16.899,00:05:18.318,This is a list of names.
00:05:18.943,00:05:23.031,These folks have the highest salaries and lowest enrollments in your department.
00:05:23.698,00:05:25.658,I'm sorry to spring this on you your first week.
00:05:26.409,00:05:29.871,"-There's no one here who's dispensable. -Oh, come on. These old-timers?"
00:05:31.331,00:05:33.624,They're averaging five students a course.
00:05:36.002,00:05:51.267,"I mean, I'm not denying their profound contribution to American letters, but… So, before I bring out the stick, maybe you could use your persuasive powers as chair."
00:05:51.351,00:05:54.437,I've got some ideas on how to increase enrollments.
00:05:54.520,00:05:57.065,"Now, Yasmin McKay is up for tenure this year."
00:05:57.148,00:05:59.901,I wanted to talk to you about giving her the Distinguished Lectureship.
00:05:59.984,00:06:03.946,"We can't talk about opening any lines, or the Distinguished Lectureship."
00:06:04.739,00:06:07.617,Student enrollment was down before. Now it's catastrophic.
00:06:07.700,00:06:10.328,Is that why you put Joan in the basement of the wellness center?
00:06:11.037,00:06:13.498,"How'd that happen? Oh, let me talk to Deb."
00:06:14.415,00:06:20.505,"Now, listen. I know you, um… I know you had big plans for this year."
00:06:20.588,00:06:24.300,I know this place is antiquated. A lumbering dinosaur.
00:06:24.801,00:06:28.596,"But you remember when I… when I called you, told you you had tenure?"
00:06:28.679,00:06:29.931,Remember what I said?
00:06:30.014,00:06:34.727,"If anyone can bring Pembroke into the 21st century, it is you."
00:06:37.188,00:06:43.361,Well… I just need three names.
00:06:54.205,00:06:55.498,Is this Sex and the Novel?
00:06:55.581,00:07:00.420,"Oh, no, this is Survey of American Letters 1850 to 1918!"
00:07:03.589,00:07:09.345,"My office hours are Tuesdays and Thursdays from 1:00 to 2:00, but you can really come anytime because I basically live here."
00:07:09.429,00:07:11.848,"Oh! If any of you are on the wait list, shoot me an email."
00:07:28.865,00:07:32.326,Hey. Thank you so much for agreeing to chair my tenure case.
00:07:32.410,00:07:34.829,-Ji-Yoon just gave me the news. -Sure.
00:07:35.746,00:07:36.831,Are… Are you okay?
00:07:37.331,00:07:40.877,Why'd she schedule two American Lit courses at the same time?
00:07:40.960,00:07:42.503,"Oh, uh, I don't know."
00:07:42.587,00:07:45.631,Maybe she thought that our content was different enough.
00:07:46.340,00:07:49.302,Sex and the Novel? That's what you're calling this?
00:07:50.303,00:07:51.220,Yeah.
00:07:55.683,00:08:06.569,"Where is it? Shoot, did I… What list?"
00:08:06.652,00:08:08.654,What if we combined your sections?
00:08:09.572,00:08:12.575,You want me to co-teach with the chair of my tenure committee?
00:08:12.658,00:08:15.912,I want him to see you in action in the classroom.
00:08:15.995,00:08:17.622,He's gonna think I'm his TA.
00:08:17.705,00:08:21.459,There's no way he's gonna be able to dismiss you when he sees how fuckin' brilliant you are!
00:08:21.542,00:08:29.759,"I already set my syllabus, so… Listen, when Bill was an undergrad, Elliot was the one who packed the halls here."
00:08:29.842,00:08:36.641,"You couldn't even get into his lectures without special permission unless you-- Yeah, and he hasn't updated those lectures in like 30 years."
00:08:36.724,00:08:37.725,Still.
00:08:38.559,00:08:40.645,He makes or breaks careers.
00:08:44.774,00:08:50.446,"I get it. When I started, it was like, Why's some Asian lady teaching Emily Dickinson?"
00:08:53.282,00:08:55.618,But we have a real opening here.
00:08:56.285,00:08:57.745,You're going up for tenure.
00:08:57.828,00:09:00.498,I-- I'm chair of this department.
00:09:00.581,00:09:06.671,"The dean has my back, so let's just get your case through, and then let's fucking shake this place up."
00:09:41.622,00:09:42.623,Shit.
00:10:01.058,00:10:02.310,Sure. Anybody else?
00:10:02.935,00:10:06.230,"When we talk about the American Renaissance, what-- Okay."
00:10:06.731,00:10:09.859,We're playing catch up here since our lectures merged.
00:10:09.942,00:10:12.945,"-Uh, you wanna help hand these out? -Um, sure."
00:10:13.029,00:10:18.284,"That's Professor McKay, by the way, who has graciously agreed to join our class."
00:10:32.173,00:10:33.424,Whoo!
00:10:34.008,00:10:35.051,Whoo!
00:10:43.100,00:10:44.101,Professor Dobson?
00:10:45.478,00:10:46.729,Are you okay?
00:10:51.525,00:10:53.277,Who popularized the phrase?
00:10:53.361,00:10:54.987,You can all probably guess.
00:10:59.408,00:11:00.493,Chaucer.
00:11:00.576,00:11:03.996,Otherwise known as the father of modern English.
00:11:04.497,00:11:13.506,You'll be astonished how many images and idioms from our everyday speech come to us directly from the 14th century.
00:11:18.010,00:11:19.512,You don't have to have an answer.
00:11:19.595,00:11:22.598,I-- I'm more interested in your questions than your answers.
00:11:22.682,00:11:26.060,It's… It's not about having a fixed analysis.
00:11:27.395,00:11:35.986,"When… When… When I get up in the morning, I'm excited to come to class, not because I get to teach you, but because I… I get to learn from you."
00:11:36.070,00:11:37.279,-Professor Kim… -Mm-hmm.
00:11:37.363,00:11:38.864,…would you be willing to sign?
00:11:39.949,00:11:42.493,We're trying to put some pressure on the administration.
00:11:43.411,00:11:44.745,"Oh, isn't this a student petition?"
00:11:44.829,00:11:47.873,"Yeah, but we're trying to get some faculty of color on board too."
00:11:49.500,00:11:50.501,Sure thing.
00:11:56.257,00:11:57.675,"Yeah. Uh, thanks again."
00:11:57.758,00:12:02.805,"Uh, I'm actually… I'm on the wait list for, uh, Death and Modernism."
00:12:08.644,00:12:11.188,"Um, my brother told me you're the reason to come here."
00:12:11.772,00:12:14.608,-What's your brother's name? -Jesse Eisenstadt. Remember him?
00:12:15.735,00:12:19.363,"Um… In my family, you're like a household god."
00:12:22.074,00:12:31.292,"I grow old, I grow old I shall wear the bottoms Of my trousers rolled What?"
00:12:32.293,00:12:33.294,I read.
00:12:51.061,00:12:53.063,"Yes, it's… terrible."
00:12:59.069,00:13:00.029,Let's go.
00:13:01.238,00:13:02.239,Okay.
00:13:06.619,00:13:08.662,They're putting me out to pasture.
00:13:09.622,00:13:12.625,I mean… what else could this be?
00:13:12.708,00:13:15.669,This is a Title IX lawsuit waiting to happen.
00:13:16.337,00:13:17.505,How do… How do you know?
00:13:17.588,00:13:20.216,Because we're gonna march over there and report it as such.
00:13:20.841,00:13:23.511,What's the point in having a Title IX office if we don't use it?
00:13:24.220,00:13:26.847,I'll make the report myself. It'll be like it was my idea.
00:13:28.098,00:13:32.394,"Our first female chair, already a troublemaker."
00:13:38.150,00:13:45.324,"Hey, uh… when's the last time you checked out your student evals?"
00:13:45.407,00:13:46.909,1987.
00:13:47.535,00:13:48.619,Will you?
00:13:48.702,00:13:51.872,I don't cater to… to consumer demands.
00:13:53.374,00:13:57.169,"-I'm not trying to be popular. -Well, then you're wildly succeeding."
00:14:02.925,00:14:08.764,"We have to retain students, or… Or? Or what?"
00:14:10.933,00:14:13.143,Larson just painted a very ominous picture.
00:14:13.936,00:14:15.688,More ominous than usual?
00:14:19.024,00:14:20.150,Yeah.
00:14:22.152,00:14:23.737,Are you asking everyone?
00:14:24.780,00:14:25.781,Yes.
00:14:26.365,00:14:29.201,"I mean, it'll take some coercion in Bill's case, but yes."
00:14:31.954,00:14:32.997,Mmm.
00:14:39.545,00:14:41.255,It's still weird between us.
00:14:41.338,00:14:43.090,"Of course it is, you moron."
00:14:44.383,00:14:53.475,Sharon died… so now there's no guardrail.
00:14:56.604,00:14:57.605,Sorry I'm late.
00:15:04.320,00:15:05.696,Give me one second.
00:15:10.451,00:15:12.828,-Where's my dongle? -Your dongle's in your hand.
00:15:14.371,00:15:16.665,-How'd that happen? -I put it there.
00:15:17.958,00:15:18.959,All right.
00:15:21.337,00:15:27.092,"We are going to start with a few images I've assembled, if I can get this thing to cooperate."
00:15:27.176,00:15:33.515,Pembroke English teacher electrocutes himself while-- Sharon?
00:15:33.599,00:15:37.394,I can't tell whether I have to take a shit or whether she's coming.
00:15:51.367,00:15:52.993,-Professor Dobson? -Oh fuck.
00:15:59.083,00:16:01.502,"Wow, okay. Um, this is Lila."
00:16:01.585,00:16:05.005,She is writing a brilliant dissertation.
00:16:07.549,00:16:11.095,"-Um, welcome to Contemporary Lit. -Death and Modernism."
00:16:13.389,00:16:15.391,Welcome to Death and Modernism.
00:16:15.933,00:16:18.936,I usually have them tweet their favorite line from Moby-Dick.
00:16:19.019,00:16:19.895,Tweet?
00:16:20.437,00:16:24.274,Last semester Call me Ishmael tied with From hell's heart I stab at thee.
00:16:24.358,00:16:29.196,"No, no, no, I want them to become absorbed in the story, in the beauty of the phrasing."
00:16:29.279,00:16:38.497,"I mean, if all they're doing is looking for the flashiest soundbite, I… It's just an exercise, so… It's low-hanging fruit."
00:16:40.082,00:16:41.709,It's a way of connecting with them.
00:16:42.209,00:16:45.045,And I find that it mobilizes the skills of close reading.
00:16:56.140,00:16:58.350,-What happened to your chair? -How did you get in here?
00:16:58.434,00:17:00.310,Couldn't bear the weight of a little Korean lady?
00:17:00.394,00:17:01.645,How did you get in?
00:17:03.939,00:17:05.607,Give me those keys. Give them to me.
00:17:05.691,00:17:07.943,"-There, you can have them. -Oh, my-- Stop it."
00:17:08.027,00:17:10.154,Give me the keys. You're not the chair anymore.
00:17:12.322,00:17:13.490,-They're right here. -Ooh!
00:17:16.493,00:17:18.454,You-- I totally have them! Yes! Yes!
00:17:20.039,00:17:21.040,Oh my God!
