start,end,script
00:31:23.296,00:31:24.755,Please leave us alone.
01:05:35.130,01:05:36.463,Start talking!
01:05:36.838,01:05:38.046,Where is Santa Claus?
01:05:43.838,01:05:44.963,You lost the reindeer?
01:05:46.130,01:05:47.171,Blitzen!
01:05:48.713,01:05:49.546,Cupid?
01:06:11.630,01:06:12.588,To the book!
01:06:21.630,01:06:22.630,Pierce.
01:06:44.130,01:06:46.546,She is a True Believer!
01:13:19.505,01:13:21.380,You're done! Naughty! Naughty!
01:13:55.421,01:13:57.255,Time to take out the trash.
01:13:58.463,01:13:59.338,Ready!
01:13:59.421,01:14:00.296,Aim!
01:14:00.380,01:14:01.421,Fire!
01:14:16.255,01:14:17.755,Wait. We missed one.
01:14:19.713,01:14:20.630,Get him!
01:14:44.463,01:14:46.463,I never have any fun.
01:14:59.963,01:15:01.755,Are you kidding?
01:15:10.213,01:15:11.421,It's not good.
01:18:02.796,01:18:03.921,Santa!
01:18:05.838,01:18:09.005,Mrs. Claus told you to take a spare.
01:18:09.130,01:18:10.713,"I know, I know."
01:19:13.880,01:19:15.463,"Looking good, Lars!"
01:19:16.046,01:19:17.880,"Thank you, Santa."
01:23:50.213,01:23:52.213,Slow down! Slow down!
01:26:01.255,01:26:03.963,Reporting for duty! -Reporting for duty!
01:26:46.880,01:26:50.796,Hunter and Connor Morris... They live on 4433 Pacific Avenue!
01:26:56.130,01:26:57.796,Welcome to the club!
01:27:35.296,01:27:37.796,"I told you, no food or drinks in the sleigh!"
01:27:38.505,01:27:40.421,"I can't help it, Santa."
01:27:40.505,01:27:42.338,I just love my candy canes.
01:37:02.838,01:37:05.046,Sounds like you had quite the night.
01:37:07.046,01:37:09.130,It was a bit more hectic than usual...
01:37:37.671,01:37:39.171,I knew it.
00:00:43.255,00:00:44.796,It's just like Daddy's.
00:00:45.005,00:00:46.796,Ted. Teddy!
00:00:46.880,00:00:48.588,"Look at the camera. Look and say, Hi, Mom."
00:00:50.088,00:00:51.838,"Well, look at her and say it."
00:01:06.255,00:01:08.755,"Look at this, huh! It's your sister."
00:01:08.838,00:01:10.421,Katie Cat!
00:01:11.005,00:01:14.005,"Katie Cat! That's good, dude. Gimme some."
00:01:14.713,00:01:18.005,Merry Christmas 2008! Santa got Teddy a bike!
00:01:18.088,00:01:19.796,Santa got Teddy a bike!
00:01:19.880,00:01:22.588,"-All right, wave to Mom. Say Hi, Mom. -Hi, Mom!"
00:01:22.671,00:01:24.088,"Say, Thank you, Santa."
00:01:26.255,00:01:29.338,It's Christmas 2011! Whoo! What did we get?
00:01:31.338,00:01:34.005,"Hey, hey, hey, hey, hey, hey! What are you doing, you guys?"
00:01:34.088,00:01:35.046,Come on!
00:01:35.296,00:01:37.713,All right? What-- What do we do? We...
00:01:41.838,00:01:46.171,"Okay, so most people don't know this, but reindeer love candy canes. Watch."
00:02:05.088,00:02:07.963,Teddy is about to open his present from Daddy.
00:02:17.421,00:02:20.755,-A Pierce always sees it through. -That's right.
00:02:22.463,00:02:25.505,"-Everyone get together. -A picture. All right, guys."
00:03:12.630,00:03:14.963,"Eighteen Bridgton Road, Lowell, Massachusetts."
00:03:15.213,00:03:17.713,Just wanted to say that I've been really good this year.
00:03:17.796,00:03:22.921,"I know I haven't been doing too well in school, especially since I got a D minus in Spanish."
00:03:23.213,00:03:25.046,I have a really hard time with languages.
00:03:25.130,00:03:27.338,But I promise to get my grades up in the new year.
00:03:27.588,00:03:28.796,I help out Mom a lot.
00:03:29.005,00:03:35.171,"She has to work at the hospital most nights, so I start dinner three, four times a week, do the dishes, and take out the trash."
00:03:35.546,00:03:37.755,And I try not to get into too much trouble.
00:03:37.880,00:03:44.380,"I do say bad words every now and then, but that's only when my brother, Teddy, makes fun of me and I lose my sh-- I mean, my temper."
00:03:44.755,00:03:47.671,"Anyway, Santa, I'm not asking for much this Christmas."
00:03:47.755,00:03:49.713,Just a Bones Brigade skateboard.
00:03:49.796,00:03:52.046,"You know, the red one with the skeleton on it?"
00:03:52.213,00:03:54.338,"My brother, Teddy, won't even let me touch his."
00:03:59.546,00:04:00.713,He doesn't deserve anything.
00:04:00.796,00:04:04.255,"He's turning into a real loser-- Ow! Teddy, what the hell?"
00:04:04.338,00:04:05.713,"Oh, sorry! I meant heck."
00:04:08.171,00:04:10.046,Who cares? This camera's like 20 years old.
00:04:10.130,00:04:11.963,"If it's good enough for Dad, it's good enough for me."
00:04:12.046,00:04:13.505,"Now, give it back!"
00:04:13.588,00:04:16.421,I can't believe you're still making video letters to Santa.
00:04:16.505,00:04:17.505,Why?
00:04:17.588,00:04:19.921,-You're ten years old! Almost 11! -So?
00:04:22.713,00:04:24.546,What are you talking about?
00:04:29.005,00:04:31.088,There is no...
00:04:32.171,00:04:33.213,No what?
00:04:37.963,00:04:38.838,No...
00:04:39.713,00:04:42.463,chance that he's gonna watch a video.
00:04:43.005,00:04:45.671,He only reads handwritten letters sent in the mail.
00:04:46.046,00:04:47.463,Where are you going?
00:04:47.963,00:04:49.088,I gotta meet my friends.
00:04:49.588,00:04:50.921,Then I'm coming with.
00:04:55.005,00:04:56.046,I'm coming with you.
00:05:01.713,00:05:03.880,-My fish! -Hope they're hungry.
00:05:05.005,00:05:07.213,"Don't worry, guys! Everything's gonna be okay!"
00:06:17.088,00:06:19.546,No freaking way.
00:06:31.421,00:06:33.380,You have a good time with your friends?
00:06:33.630,00:06:35.588,Get outta my room. You're not allowed in here.
00:06:35.880,00:06:38.880,And you're not allowed to steal cars from the deli parking lot.
00:06:41.796,00:06:44.255,-I didn't steal a car. -I saw the whole thing.
00:06:45.880,00:06:46.755,Can't prove it.
00:06:47.671,00:06:48.796,Wanna bet?
00:06:50.296,00:06:51.171,Give me that.
00:06:51.755,00:06:54.630,"When Mom sees this, she's gonna freak out!"
00:06:54.713,00:06:57.630,"She's so sick of your crap, I bet she turns you in to the cops herself!"
00:06:57.713,00:06:59.380,"Gimme that tape, you little creep!"
00:06:59.963,00:07:01.380,"Oh, you're so dead!"
00:07:21.088,00:07:23.213,Is this what happens when I leave?
00:07:23.296,00:07:24.588,-She started it. -Did not!
00:07:27.713,00:07:28.713,"Oh, jeez..."
00:07:29.671,00:07:30.671,What did he do now?
00:07:34.255,00:07:35.630,"Come on, Kate! I'm waiting!"
00:07:36.421,00:07:38.380,What did Teddy do?
00:07:41.588,00:07:44.255,"He shoved me against the wall, into this picture."
00:08:01.213,00:08:03.171,I want for the two of you to get along.
00:08:04.213,00:08:06.671,You're her older brother. I expect more from you.
00:08:08.130,00:08:10.088,"Teddy, please put the tree back up."
00:08:10.755,00:08:13.755,"And put the lights on, while you're at it. I've only been asking you all week!"
00:08:13.838,00:08:25.338,"Come on, you guys! Dad would've had this place looking-- Kate, help me unload the groceries."
00:08:55.588,00:08:57.671,I think it looks great.
00:08:57.963,00:09:01.838,"Whoa, whoa! You want some cookie with those sprinkles? Golly!"
00:09:01.921,00:09:03.338,Dad likes sprinkles.
00:09:10.505,00:09:12.463,"-I don't mean to. -That's okay, honey."
00:09:16.130,00:09:18.546,-Thanks. -I think they should all be like that.
00:09:22.380,00:09:23.338,Seriously?
00:09:27.505,00:09:29.213,"Oh, no. That's terrible."
00:09:30.421,00:09:32.921,"Yeah, no, of course. I'll-- I'll be right there."
00:09:35.755,00:09:37.130,You gotta work tonight?
00:09:41.630,00:09:44.046,"Well, even more reason for me to be at the hospital, honey."
00:09:44.130,00:09:46.338,Some people have no one else to take care of them.
00:09:46.421,00:09:48.380,But there's still so much to do.
00:09:48.463,00:09:50.671,We have to hang the stockings and make the eggnog!
00:09:53.171,00:09:56.880,There is more to Christmas than all that stuff.
00:09:57.255,00:09:59.505,"I'm gonna pretend like I didn't hear that, Mom."
00:10:02.505,00:10:05.338,-Hey! Where are you going? -Just out.
00:10:10.421,00:10:14.130,"You haven't been caroling since you were in kindergarten, and you hated it."
00:10:14.213,00:10:16.338,Just wanna spread a little Christmas cheer.
00:10:16.630,00:10:18.171,More like Christmas beer.
00:10:19.671,00:10:22.380,"Okay, well, you can't go, 'cause I need to work."
00:10:23.380,00:10:24.796,-Yeah. -It's Christmas Eve.
00:10:24.880,00:10:27.588,Which is why you're gonna stay home with your sister.
00:10:29.713,00:10:31.588,"You are not to leave this house, young man!"
00:10:31.671,00:10:33.880,"You leave her alone again, and you are grounded!"
00:10:33.963,00:10:35.255,Until February.
00:10:35.755,00:10:37.213,You wanna spread some cheer?
00:10:37.296,00:10:38.213,Decorate the tree.
00:10:39.130,00:10:40.046,Whatever.
00:10:44.213,00:10:46.338,"Take the cookies out in 20 minutes, all right?"
00:10:49.963,00:10:52.963,"And listen, absolutely no junk food, okay?"
00:10:57.671,00:10:59.963,"See you guys tomorrow, bright and early."
00:11:01.630,00:11:02.796,I love you.
00:11:05.838,00:11:06.880,Merry Christmas.
00:11:15.130,00:11:19.255,"Wanna watch a movie? Mom's gone, so it can be PG-13 or maybe even R!"
00:11:20.255,00:11:22.713,-I'm gonna go to my room. -But it's Christmas Eve!
00:11:22.796,00:11:24.380,Let's do something together.
00:11:24.463,00:11:25.463,"Come on, Teddy Bear."
00:11:26.838,00:11:28.630,I told you to stop calling me that.
00:11:29.421,00:11:33.171,"You used to laugh when I called you Teddy Bear, and I was your Katie Cat."
00:11:33.796,00:11:35.713,But ever since Dad died...
00:11:35.921,00:11:36.838,I mean...
00:11:37.296,00:11:40.213,all you wanna do is hang out with your wannabe gangster friends.
00:11:42.588,00:11:45.255,You know... at least they're fun.
00:11:46.338,00:11:48.255,They're not boring slugs like you.
00:12:04.963,00:12:11.171,And-- This looks like mistletoe.
00:12:14.213,00:12:15.796,-I love you. -I love you.
00:12:15.880,00:12:17.005,Say Merry Christmas.
00:12:59.505,00:13:01.838,"Teddy, get down here! You've gotta see this!"
00:13:01.921,00:13:03.630,You're not gonna believe it!
00:13:08.630,00:13:11.921,No way. That person isn't wearing an ugly Christmas sweater.
00:13:12.005,00:13:19.588,"And besides, Aunt Peggy's never here on Christmas Eve. And if she was, why would Mom and Dad leave her alone in the living room in the dark?"
00:13:19.671,00:13:20.671,Maybe it was a burglar.
00:13:20.921,00:13:22.630,Burglars take things.
00:13:23.255,00:13:30.880,"Whoever it was would've had to been standing flat up against the wall like this, next to the-- Oh, my gosh! The fireplace! I just got goosebumps!"
00:13:31.713,00:13:32.671,Chill out.
00:13:33.463,00:13:34.546,Just let me think.
00:13:34.630,00:13:36.838,"-Come on, Teddy. You know it's him. -Kate..."
00:13:37.463,00:13:38.838,"Hey, we should make a video!"
00:13:41.630,00:13:42.463,Tonight!
00:13:42.546,00:13:46.338,"Maybe we can get a shot of the whole Santa Claus, and not just his hand!"
00:13:46.796,00:13:48.755,You don't think anyone's thought of that before?
00:13:48.838,00:13:50.380,Catching Santa in the act?
00:13:53.296,00:13:56.546,"Yeah, but have you ever heard of anyone actually pulling it off?"
00:13:56.630,00:13:59.546,No! They probably don't think it's possible. But it is!
00:14:00.880,00:14:04.546,A video showing exactly how he does it. It's gonna get a gazillion hits.
00:14:04.630,00:14:05.630,No way.
00:14:05.713,00:14:08.338,Please? Mom always says we should be helping each other out.
00:14:08.421,00:14:10.046,I don't think this is what she had in mind.
00:14:10.130,00:14:12.505,Look! I'll give you back the tape of you in the car.
00:14:16.755,00:14:19.046,Okay. Deal.
00:14:20.380,00:14:22.588,And you can never say anything to Mom about it.
00:14:28.255,00:14:29.463,I swear.
00:14:58.755,00:14:59.755,What are you doing?
00:15:00.255,00:15:02.255,I saw it on Ghost Adventurers.
00:15:03.963,00:15:05.505,Lamest Christmas ever.
00:15:21.630,00:15:24.755,"-Hey! Mom said no junk food! -Yeah, well, we gotta stay up somehow."
00:15:25.713,00:15:26.713,Plus...
00:15:27.588,00:15:30.505,"sometimes, you gotta break the rules for the greater good."
00:15:32.630,00:15:35.630,"Can't even remember the last time we did anything together, Teddy."
00:15:35.713,00:15:38.380,Just the two of us! Pulling an all-nighter!
00:15:39.088,00:15:40.546,How awesome is this?
00:15:42.713,00:15:43.630,Whatever.
00:15:46.546,00:15:48.463,So good. So good.
00:16:43.046,00:16:45.213,Teddy! Teddy! Teddy!
00:16:51.171,00:16:52.338,He's gone!
00:17:02.380,00:17:04.463,-He's at the back of the house! -Get your coat!
00:17:12.046,00:17:13.755,Whoa! Gimme the camera!
00:17:21.505,00:17:23.463,We'll get a better view from the alley!
00:17:43.796,00:17:45.421,Tell me you're getting this.
00:17:45.713,00:17:47.130,"Oh, yeah, right."
00:18:11.338,00:18:12.171,"Kate, wait!"
00:18:15.546,00:18:16.546,Come back!
00:18:17.630,00:18:18.463,What are you doing?
00:18:18.546,00:18:21.880,Do you realize how big of a deal this is? I need to get a closer look.
00:18:21.963,00:18:24.671,-Get down. -No way. Hand me the camera.
00:18:30.255,00:18:33.130,"Be careful. You break your neck, and Mom will kill me."
00:18:44.380,00:18:46.130,Kate... what are you...
00:18:46.463,00:18:47.463,"No, stop!"
00:18:59.963,00:19:02.088,-Teddy! -Are you crazy?
00:19:06.963,00:19:07.796,Why'd you do that?
00:19:07.880,00:19:09.755,I wanted to get a closer look at the sleigh.
00:19:14.296,00:19:15.296,Duck!
00:19:19.755,00:19:21.713,-Did he see us? -I don't think so.
00:19:21.796,00:19:23.546,We got enough footage. Let's get outta here.
00:19:23.630,00:19:26.005,-Why don't we just stay here? -Stay here? In the sleigh?
00:19:26.088,00:19:29.880,Yeah! How many kids get to ride with Santa in his sleigh on Christmas Eve?
00:19:50.088,00:19:51.921,"On, Cupid! On, Comet!"
00:20:33.171,00:20:35.421,Maybe Santa has a blanket?
00:20:35.505,00:20:36.630,I'll look.
00:20:57.255,00:20:58.588,"Help me, Teddy!"
00:21:01.255,00:21:02.713,Kate! Help!
00:21:03.380,00:21:04.213,Who?
00:21:18.338,00:21:20.463,-Reach! -I'm trying!
00:21:20.963,00:21:22.380,Teddy!
00:21:58.630,00:21:59.838,Whoa.
00:22:23.880,00:22:25.463,Hold on to your sister!
00:22:40.046,00:22:41.130,Brace yourselves!
00:23:03.796,00:23:04.755,Teddy?
00:23:12.463,00:23:14.005,Where's the camera?
00:23:22.380,00:23:23.630,Where are we?
00:23:25.421,00:23:27.713,-Teddy... -I could have swore I saw Paris!
00:23:27.921,00:23:30.796,"-Uh, Teddy? -That plane almost killed us!"
00:23:38.755,00:23:39.921,Santa Claus?
00:23:41.630,00:23:43.046,Live and in person.
00:23:43.630,00:23:44.671,One night only.
00:23:45.796,00:23:47.088,You two okay?
00:23:47.505,00:23:48.463,Yeah.
00:23:49.005,00:23:51.880,"You look so... um, different."
00:23:52.088,00:23:54.171,Why? Because I'm not a big fat slob?
00:23:54.463,00:23:56.338,"No, no. I-- I didn't mean it that way."
00:23:56.588,00:23:58.880,"Ah, that's okay, Kate. I guess it's understandable."
00:23:58.963,00:24:02.088,"I mean, who can eat millions of cookies in one night and not get fat, right?"
00:24:04.380,00:24:06.005,"Can you go, Ho ho ho?"
00:24:06.421,00:24:09.005,"I don't go, Ho ho ho. That's a myth."
00:24:09.338,00:24:10.546,Fake news.
00:24:11.255,00:24:12.171,Sorry.
00:24:16.421,00:24:19.421,You two have really messed things up.
00:24:19.505,00:24:21.088,You were supposed to be asleep.
00:24:21.505,00:24:23.005,-It was all her idea! -Hey!
00:24:25.421,00:24:27.046,What did you do with my sack of presents?
00:24:27.713,00:24:29.296,It flew off the sleigh.
00:24:29.838,00:24:30.921,"Oh, not good."
00:24:31.921,00:24:33.380,Not good at all.
00:24:40.338,00:24:41.796,First star's there...
00:24:42.380,00:24:44.046,Second star's there.
00:24:45.046,00:24:47.213,We came back over Moscow and...
00:24:47.921,00:24:53.046,"and over Paris, New York, Boston... Oh!"
00:24:53.630,00:24:56.546,Reindeer must've broken off somewhere over Lakeshore Drive.
00:24:56.755,00:24:58.255,Lakeshore Drive?
00:24:58.338,00:25:00.130,"We're in Chicago, young lady."
00:25:00.213,00:25:01.130,Chicago?
00:25:01.213,00:25:03.921,"That means we traveled thousands of miles in, like, 30 seconds."
00:25:08.546,00:25:14.671,"If I'm not up and running in the next couple of hours, half the continent's not gonna get presents, and that, well, that can never happen."
00:25:15.088,00:25:18.171,"Uh, so a few brats don't get presents. It's not the end of the world."
00:25:21.213,00:25:26.171,That's just the kinda lame garbage I'd expect from a Lost Believer.
00:25:27.130,00:25:28.921,"You listen to me, Teddy Pierce."
00:25:30.005,00:25:37.796,"Tonight, young boys and girls all over the globe are waiting, hoping, expecting Santa Claus to arrive."
00:25:38.255,00:25:39.296,And if I don't...
00:25:39.630,00:25:44.546,"Well, you don't wanna know what happened the last time I couldn't make my rounds."
00:25:44.796,00:25:46.630,"Yes, we do. Tell us."
00:25:48.796,00:25:50.630,You've heard of the Dark Ages?
00:25:51.713,00:25:53.963,Read about all those wars in school?
00:25:54.380,00:25:55.713,"Yeah, sure, but..."
00:25:57.046,00:25:59.130,"Wait, those happened because you missed Christmas?"
00:25:59.380,00:26:03.005,Christmas spirit is more powerful than you could ever imagine.
00:26:03.630,00:26:07.046,People need Christmas to remind themselves of how good they can be!
00:26:07.505,00:26:10.796,"Without it, well, Christmas simply..."
00:26:11.671,00:26:13.046,must endure!
00:26:13.255,00:26:30.213,"All right, I need to round up the reindeer, find my sack of presents, call the elves, and maybe, What is that?"
00:26:31.880,00:26:33.546,Tracking device for the sack.
00:26:34.796,00:26:37.130,"The closer you get, the faster it chimes."
00:26:38.421,00:26:40.588,"-It's pretty cool. -Yeah, it is."
00:26:45.296,00:26:46.171,Uh...
00:26:51.713,00:26:52.588,bye.
00:26:56.255,00:26:57.546,"Santa, are you okay?"
00:26:59.963,00:27:01.588,"Oh no, no, no, no, no, no, no!"
00:27:01.796,00:27:02.630,My hat!
00:27:03.296,00:27:04.130,My hat's gone!
00:27:04.213,00:27:05.296,Do you want mine?
00:27:05.380,00:27:08.046,"Oh, that-- that won't help. Your hat's not magic."
00:27:08.630,00:27:09.546,Magic?
00:27:09.630,00:27:13.838,"Well, how do you think I can turn into coal dust and leap from rooftop to rooftop?"
00:27:14.380,00:27:15.421,Pilates?
00:27:16.255,00:27:17.213,My hat!
00:27:21.713,00:27:23.713,"You should always bring a spare, Nick!"
00:27:26.671,00:27:27.755,Well...
00:27:27.838,00:27:30.796,I guess I'm gonna have to do this the old-fashioned way.
00:27:31.671,00:27:32.880,On foot.
