start,end,script
00:00:51.677,00:00:54.638,FOR DISMISSAL.
00:00:54.680,00:00:57.349,UNLESS YOU HAVE A PASS FOR SPORTS OR SOMETHING.
00:01:00.519,00:01:02.855,AND IS THAT WHAT YOU DID ON THE DAY IN QUESTION?
00:01:02.897,00:01:06.984,NO. MR. GETTYS ASKED ME TO STAY AFTER CLASS.
00:01:07.026,00:01:09.028,"AND WHAT HAPPENED NEXT, BARBARA?"
00:01:09.069,00:01:11.947,HE TOLD ME TO SIT IN THE CHAIR BESIDE HIS DESK.
00:01:11.989,00:01:19.329,"BARBARA, IF YOU WILL, IN YOUR OWN WORDS, TELL US EXACTLY WHAT HAPPENED IN THE NEXT FEW MINUTES."
00:01:19.371,00:01:21.498,I TOLD HIM I WAS AFRAID I'D MISS MY BUS.
00:01:21.540,00:01:25.920,HE PROMISED I'D GET TO THE BUS ON TIME IF I WOULD HELP HIM TO DO SOMETHING.
00:01:25.961,00:01:32.133,"THEN...BEFORE I COULD SAY ANYTHING, HE PUT--HE PLACED HIS HAND INSIDE MY BLOUSE."
00:01:32.175,00:01:33.969,"I WAS SO FRIGHTENED, I DIDN'T MOVE."
00:01:34.011,00:01:36.095,"I THOUGHT IF I WAS JUST QUIET, IT'D BE OK."
00:01:36.137,00:01:41.184,THEN HIS OTHER HAND WENT UP UNDER INSIDE MY SKIRT.
00:01:41.226,00:01:49.150,"AND THEN, WITH HIS HAND, HE STARTED MOVING BACK AND FORTH FARTHER AND FARTHER INSIDE MY SKIRT."
00:01:49.192,00:01:55.115,"HE SAID HE WAS TESTING TO SEE IF I HAD ANY SPECIAL FEELINGS, THAT HE WANTED TO SEE WHAT KIND OF FEELINGS I HAD."
00:01:55.156,00:02:00.913,"I WAS TRYING TO THINK OF SOMETHING TO SAY, BUT I COULDN'T, I WAS CONFUSED, AND HE JUST KEPT ON."
00:02:00.955,00:02:03.707,"I WAS ASKIN' HIM TO STOP, BUT IT WAS LIKE HE COULDN'T HEAR ME."
00:02:03.749,00:02:06.961,HE JUST KEPT ON WITH HIS HAND...
00:02:07.002,00:02:08.796,AND THEN I SCREAMED.
00:02:08.837,00:02:11.882,THEN HE GOT MAD AND SAID WE WOULD HAVE TO TRY IT AGAIN SOMETIME.
00:02:11.924,00:02:14.051,Lawyer: DID HE TRY AGAIN?
00:02:14.093,00:02:16.720,NOT WITH ME.
00:02:16.762,00:02:18.346,BUT WITH YOUR FRIENDS?
00:02:18.388,00:02:20.724,YES.
00:02:20.766,00:02:29.441,"AND AFTER YOU TOLD THEM WHAT HE HAD DONE TO YOU, THEY TOLD YOU WHAT HE HAD DONE TO THEM!"
00:02:31.443,00:02:32.569,ISN'T THAT TRUE?
00:02:32.611,00:02:34.488,YES.
00:02:37.282,00:02:38.867,I HAVE NOTHING FURTHER.
00:02:41.286,00:02:43.455,"YOUR WITNESS, MR. LOMAX."
00:02:51.630,00:02:53.757,"ANY CHANCE, YOUR HONOR, FOR A SHORT RECESS?"
00:02:53.799,00:02:58.137,OF COURSE. THIS COURT WILL BE IN RECESS FOR 15 MINUTES.
00:03:02.141,00:03:03.767,"HONEY, WHAT-- NOT NOW, DENISE."
00:03:09.982,00:03:11.942,LOMAX! WHAT'S WRONG?
