start,end,script
00:01:06.833,00:01:09.458,they probably couldn't point 'em out to you on a map.
00:01:11.458,00:01:14.125,"But I guarantee, they'd be there all the same."
00:01:17.083,00:01:25.000,How and why so many people from those two piddlin' places on that map could end up connected has a lot to do with our story.
00:01:26.625,00:01:31.416,"Some would claim it was just dumb luck, while others might swear it was God's intention."
00:01:32.083,00:01:36.916,"But I'd say with the way things turned out, it was a little bit of both."
00:01:39.291,00:01:48.208,"In 1957, it'd take someone approximately ten hours to drive from Coal Creek to a paper mill town in southern Ohio called Meade."
00:01:48.750,00:01:53.291,"Once you got to Meade, Knockemstiff was only a short drive away."
00:02:02.125,00:02:15.750,"Four hundred or so people lived in Knockemstiff in 1957, nearly all of them connected by blood by one godforsaken calamity or another, be it lust or necessity or just plain ignorance."
00:02:20.541,00:02:25.125,The Russells had rented the house on top of the Mitchell flats for nine years now.
00:02:25.666,00:02:29.416,But most of the neighbors down below still considered them outsiders.
00:02:44.916,00:02:50.000,a weathered cross above a fallen tree in a small clearing behind his house.
00:02:51.000,00:02:54.041,He came every morning and evening to talk to God.
00:02:54.458,00:02:58.458,It seemed to his son that his father fought the Devil all the time.
00:03:01.625,00:03:02.791,what happened today.
00:03:03.291,00:03:05.208,"Now, remember, be honest."
00:03:05.750,00:03:07.625,"No bullshittin', he'll know."
00:03:11.208,00:03:21.333,his mind would often drift back to the war in the South Pacific and the day that he and a couple of other soldiers came across the body of Gunnery Sergeant Miller Jones.
00:04:02.500,00:04:03.583,Miller Jones.
00:04:51.958,00:04:53.791,-Please. -Thank you.
00:04:58.000,00:05:01.333,the man whose seat he took would also meet his match.
00:05:01.750,00:05:03.625,I'm so sorry. I forgot my damn keys.
00:05:03.708,00:05:05.333,Okay. Guy by the window counter.
00:05:09.750,00:05:11.375,"So, what'll you be having?"
00:05:13.500,00:05:14.708,Ham and cheese.
00:05:18.958,00:05:20.708,-Okay. -You're a little green on the job.
00:05:22.583,00:05:24.458,"My brother just got me the job, so..."
00:05:25.500,00:05:26.708,Ham and cheese.
00:05:29.166,00:05:30.083,You take pictures?
00:05:33.833,00:05:35.583,and she'd called him the shooter.
00:05:35.666,00:05:39.500,"Only when I find a smile pretty enough to photograph, that is."
00:05:41.833,00:05:43.000,I'll have to think about it.
00:05:46.625,00:05:48.500,Meatloaf is the blue plate special.
00:05:50.458,00:05:53.458,Um-- Just coffee and a doughnut.
00:06:09.833,00:06:11.000,No!
00:06:11.083,00:06:13.416,"-Get out. I told you last time. -Come on, now."
00:06:17.666,00:06:19.666,I'm just gonna take my break outside.
00:06:46.208,00:06:47.875,Did you need anything else?
00:06:48.375,00:06:49.541,"Um... No, I'm fine."
00:06:57.125,00:06:59.541,"That was nice, what you did."
00:07:00.250,00:07:02.833,Some people just need a little help once in a while.
00:07:03.333,00:07:04.416,You know what I mean?
00:07:06.333,00:07:07.250,Yep.
00:07:11.291,00:07:13.083,-Hmm. -You back home from the war?
00:07:14.208,00:07:15.708,"Nah, I'm just passing through."
00:07:16.791,00:07:18.250,On my way to West Virginia.
00:07:19.125,00:07:20.625,My people are from Coal Creek.
00:07:23.375,00:07:24.458,That's too bad.
00:07:25.958,00:07:27.291,You have a nice face.
00:07:37.750,00:07:38.958,It's nice to meet you.
00:07:41.875,00:07:43.250,"It's nice to meet you, too."
00:08:03.916,00:08:05.958,-I got three more in my kit. -Yeah?
00:08:06.041,00:08:09.083,"Yep. And I've got something else for you, Uncle Earskell."
00:08:11.291,00:08:17.875,"Now, this here is supposed to be the gun that Hitler used to blow his brains out."
00:08:27.625,00:08:29.416,"That is a nice gift, though."
00:08:30.250,00:08:31.500,-Yeah. -Thank you.
00:08:32.000,00:08:33.083,It's German.
00:08:33.166,00:08:34.458,That's a Luger.
00:08:50.208,00:08:51.583,It wasn't that bad.
00:08:52.875,00:08:54.208,"It wasn't that bad, Mama."
00:08:57.583,00:09:04.208,"I would ask you to get down and thank Jesus with me, but I can smell the liquor on your breath."
00:09:04.291,00:09:05.416,I know.
00:09:06.166,00:09:07.958,I felt the need to celebrate.
00:09:09.250,00:09:10.166,I'm in love.
00:09:13.958,00:09:15.625,"Well, I ain't never got her name."
00:09:18.958,00:09:20.291,You ain't got her name?
00:09:21.750,00:09:23.833,"I left her a dollar tip, though."
00:09:25.083,00:09:26.541,For a cup of coffee?
00:09:32.666,00:09:37.625,"Oh, but there's a-- a girl from church I want you to meet."
00:09:50.666,00:09:54.833,"without thinking of Miller Jones, he never told anyone about the crucified Marine."
00:09:59.166,00:10:01.958,"Willard, I've asked Helen to sit with us. Go on, Helen."
00:10:06.708,00:10:08.416,"Willard just got back, Helen."
00:10:08.500,00:10:09.791,-You-- -Welcome home.
00:10:13.083,00:10:14.291,It's been four days.
00:10:17.291,00:10:22.250,"that in exchange for bringing him home safe, she'd make sure he married Helen Hatton."
00:10:22.916,00:10:27.958,The girl's family burned up in a house fire leaving the poor thing all alone.
00:10:30.041,00:10:31.250,"It's hot, ain't it?"
00:10:33.541,00:10:41.375,"Right now, we got two boys from over in Topperville And from what folks tell me, they got a right good message."
00:10:41.916,00:10:44.208,"So, let's bring 'em up. Boys, come on up here."
00:10:49.458,00:10:51.291,See that one in the wheelchair?
00:10:51.375,00:10:54.541,"Drank too much strychnine or antifreeze, or something is why he can't walk."
00:10:54.625,00:10:57.000,So good to see you. Thank you for coming.
00:10:57.083,00:10:58.750,"Testing their fate, they call it."
00:10:59.250,00:11:01.583,"It's going too far, the way I see it."
00:11:04.916,00:11:06.083,"Thank you, Reverend."
00:11:08.250,00:11:12.666,"My name is Roy Laferty, and this here is my cousin, Theodore."
00:11:16.666,00:11:21.958,"Now, the Holy Ghost is going to visit this little church that bears his sacred name!"
00:12:11.916,00:12:12.916,Whoo!
