start,end,script
00:00:40.166,00:00:42.250,"What's going on at Sutton Hoo, then?"
00:00:49.125,00:00:52.125,"-Ah, thank you kindly. Mind how you go. -Thank you."
00:01:39.541,00:01:42.166,"Mornin'. Mrs. Pretty, please."
00:01:43.291,00:01:44.250,Basil Brown.
00:01:45.208,00:01:46.083,Wait here.
00:02:13.375,00:02:16.500,Things like this are usually done through museums.
00:02:20.416,00:02:24.291,"Mr. Reid Moir said that, with the war coming, they couldn't embark upon any new ventures."
00:02:30.291,00:02:32.416,He told me you were a difficult man.
00:02:34.875,00:02:38.000,Unorthodox… and untrained.
00:02:42.958,00:02:46.083,I've been on dig since I was old enough to hold a trowel.
00:02:49.875,00:02:52.458,Perhaps Reid Moir just wants to keep you for himself.
00:03:08.208,00:03:10.041,with the hope of exploring what was under there.
00:03:20.750,00:03:23.458,"We're standing in someone's graveyard, I reckon."
00:03:24.875,00:03:29.208,Viking… or maybe older.
00:03:30.250,00:03:33.666,"Apparently, local girls used to lie down on them in the hope of falling pregnant."
00:03:34.708,00:03:37.083,I've heard plenty of legends.
00:03:38.041,00:03:40.208,"Is that why you want to dig, Mrs. Pretty?"
00:03:41.458,00:03:42.958,Tales of buried treasure?
00:03:45.750,00:03:50.250,"My interest in archaeology began like yours, when I was scarcely old enough to hold a trowel."
00:03:51.208,00:03:53.833,My childhood home was built on a Cistercian convent.
00:03:54.333,00:03:56.791,I helped my father excavate the apse.
00:03:58.458,00:03:59.916,"That speaks, don't it?"
00:04:01.625,00:04:02.541,The past.
00:04:05.500,00:04:07.458,"You have rabbits, Mrs. Pretty."
00:04:11.583,00:04:13.250,They're bad for excavations.
00:04:14.458,00:04:16.375,I'd like to start with this one.
00:04:18.708,00:04:20.250,not personally speaking.
00:04:25.666,00:04:28.041,And the soil feels-- That's compacted.
00:04:28.833,00:04:31.000,Thieves used to sink shafts in.
00:04:31.500,00:04:33.416,"Robber's flutes, they're called."
00:04:34.291,00:04:37.708,Anything they found would've been melted down and sold long ago.
00:04:38.583,00:04:42.166,I expect you might be better off with… one of these.
00:04:43.583,00:04:45.458,But I have a feeling about this one.
00:04:47.333,00:04:50.625,"but I'd base your dig on evidence, not feeling."
00:04:56.666,00:04:58.333,and 6 pence a week be acceptable?
00:04:58.833,00:05:06.291,"Oh… -That was his reply. -Well, he don't pay enough."
00:05:08.250,00:05:10.541,I'm afraid that's all I can reasonably afford to spend.
00:05:12.583,00:05:16.583,"Robert, where did you get that gas mask? Take it off."
00:05:17.291,00:05:19.833,"-Sorry, I didn't realize you were-- -This is not a toy."
00:05:19.916,00:05:21.375,"Robert, this is Mr. Brown."
00:05:25.416,00:05:26.333,Who's coming after you?
00:05:36.500,00:05:38.541,"I'm afraid not. Uh, not today."
00:05:40.625,00:05:41.500,Excuse me.
00:06:09.083,00:06:10.208,"Ah, blast."
00:06:26.291,00:06:27.541,-Mr. Brown? -Yes?
00:06:28.083,00:06:30.666,"Billy Lyons. Uh, uh, from Mrs. Pretty."
00:06:31.625,00:06:32.541,All right.
00:06:33.791,00:06:34.666,Hmm.
00:06:43.875,00:06:47.000,"Tell her Monday, 8:00 sharp."
00:06:51.166,00:06:54.125,"And it's too far to bike, if you want a day's digging."
00:06:57.000,00:07:00.416,"Mr. Lyons is my chauffeur, and Mrs. Lyons is in charge of the kitchen."
00:07:15.708,00:07:18.666,John Jacobs and Mr. Spooner are bringing the shepherd's hut.
00:07:19.708,00:07:21.958,I thought it might be useful in case of inclement weather.
00:07:22.041,00:07:23.958,"Oh, that's very considerate."
00:07:27.000,00:07:30.791,My son Robert is keen to assist you in any way.
00:07:30.875,00:07:34.583,"If you find his presence irksome-- Oh, no, no, no. He can come."
00:07:35.750,00:07:36.916,You'll start with this one?
