start,end,script
00:00:26.151,00:00:29.738,"stupid haircuts, Jazzercise, and Just Say No."
00:00:29.821,00:00:32.115,It all fucking sucked!
00:00:32.907,00:00:35.702,"So, what do you do when you're born in the wrong time?"
00:00:35.785,00:00:37.245,You make it yours.
00:00:37.328,00:00:40.123,And that's what we did to the Sunset Strip.
00:00:48.882,00:00:53.053,"Every weekend, kids from the Valley to the beach flooded the strip."
00:00:53.595,00:00:56.806,"And after the shows, they brought the party to our place."
00:01:01.352,00:01:04.939,"The cops kicked in our door so many times, we had to nail it shut."
00:01:06.357,00:01:08.234,So everybody used the window.
00:01:12.113,00:01:16.159,"That's Tommy, our drummer. He makes a lot of bad choices."
00:01:17.077,00:01:19.329,Check this out. You're gonna fucking freak!
00:01:26.544,00:01:27.462,Wow.
00:01:28.546,00:01:29.506,Kayla?
00:01:30.006,00:01:31.132,"Hey, open the door."
00:01:31.674,00:01:34.052,"I know you're in there, Kayla. Come on, open the door."
00:01:34.969,00:01:36.179,Is that really you?
00:01:36.930,00:01:38.139,What the fuck do you think?
00:01:39.849,00:01:44.312,"He's not thinking about her, he's thinking, Damn, I look good on that flyer."
00:01:44.854,00:01:45.939,Hey.
00:01:46.022,00:01:47.565,"Hey, are you in the band?"
00:01:48.066,00:01:48.983,What band?
00:01:51.444,00:01:52.821,He's an alien.
00:01:57.033,00:01:59.202,-What were you doing in there? -Don't worry about it!
00:02:04.374,00:02:05.834,"Holy shit, guys. Here it comes."
00:02:17.095,00:02:21.766,"I guess if I'm gonna tell this story right, we should start with my happy childhood."
00:02:21.850,00:02:24.769,So let's go back to before I was Nikki Sixx.
00:02:25.019,00:02:27.939,Back to Frank Carlton Feranna Jr.
00:02:28.022,00:02:29.023,That's me.
00:02:29.440,00:02:33.444,"My dad named me that after himself, right before he split."
00:02:33.820,00:02:35.572,Which just left me with these three things.
00:02:35.822,00:02:39.492,Up and down. I told you to brush up and down.
00:02:41.578,00:02:42.996,Piece of shit!
00:02:47.458,00:02:48.459,Mom?
00:02:51.754,00:02:52.839,And music.
00:03:01.681,00:03:03.892,"Turn it fucking down, Frankie."
00:03:12.942,00:03:13.985,What's that?
00:03:14.652,00:03:15.820,What's it look like?
00:03:16.946,00:03:18.072,Where'd you get it?
00:03:18.489,00:03:19.699,He probably stole it.
00:03:19.782,00:03:21.117,Who the fuck is this guy?
00:03:21.534,00:03:24.370,You think I don't know where you got all this shit?!
00:03:24.746,00:03:27.457,"So you noticed something I did, for once!"
00:03:27.540,00:03:30.210,"Don't you talk to your mother like that, you little prick."
00:03:30.293,00:03:32.795,Seriously? Who the fuck are you?
00:03:33.963,00:03:36.049,Y'know what? I don't even care.
00:03:36.758,00:03:39.010,"Gonna be another you tomorrow, anyways."
00:03:40.136,00:03:41.804,You wanna know who this is?
00:03:42.430,00:03:45.934,He's another man in my life that you're gonna drive away...
00:03:46.392,00:03:48.311,just like you did your fucking father!
00:03:48.394,00:03:50.271,"I was two years old, you bitch!"
00:03:50.855,00:03:52.315,He left you!
00:03:59.989,00:04:02.909,"Then how come he never tried to call you then, Frankie?"
00:04:04.994,00:04:06.120,Fuck you!
00:04:07.997,00:04:09.624,Get the fuck outta here!
00:04:10.583,00:04:12.585,"Open the fucking door, Frankie!"
00:04:17.507,00:04:18.383,God damn it!
00:04:19.634,00:04:22.262,You little shit! Open the fucking door!
00:04:24.055,00:04:31.396,"Open the fucking-- No! No, baby! No! No!"
00:04:31.896,00:04:33.898,"What are you doing, baby?!"
00:04:40.571,00:04:43.992,"Frankie, will you please tell her what happened?"
00:04:47.662,00:04:48.830,I am calm.
00:04:50.290,00:04:51.291,Frankie.
00:04:52.500,00:04:54.961,"Frank, you need to be honest about what happened."
00:04:55.044,00:04:57.922,"So, you're sticking to your story?"
00:04:58.464,00:05:00.174,She attacked you with a knife?
00:05:02.343,00:05:03.219,Yep.
00:05:10.560,00:05:12.353,"Here's what's gonna happen, Frank."
00:05:12.937,00:05:18.651,"If we take her away, the state is gonna put you in a juvenile home until you're 18."
00:05:19.736,00:05:21.029,Is that what you want?
00:05:28.953,00:05:31.456,"I'm gonna give you a moment with your son, so..."
00:05:33.416,00:05:34.459,behave yourself.
00:05:38.421,00:05:39.756,"Come on, Frankie."
00:05:40.631,00:05:42.133,Why are you doing this?
00:05:42.842,00:05:43.885,I'm your mother!
00:05:44.385,00:05:45.970,Are you fucking kidding me?
00:05:46.596,00:05:51.351,"I wanted a mom, but you only care about yourself and all of your stupid boyfriends."
00:05:51.434,00:05:54.062,"-Listen to me, Frankie. -No, you listen to me, okay?"
00:05:54.437,00:05:55.480,I'm not gonna see you.
00:05:56.230,00:05:57.899,I'm not gonna answer to you.
00:05:58.649,00:06:00.401,You're just gonna leave me alone...
00:06:00.943,00:06:02.028,Deana.
00:06:05.448,00:06:06.407,Frankie...
00:06:10.161,00:06:10.995,Fine.
00:06:12.830,00:06:13.831,Do what you want.
00:06:19.587,00:06:22.590,I knew what I needed. It just took me a while to get there.
00:06:23.383,00:06:25.385,I ended up on the streets of Hollywood.
00:06:25.468,00:06:32.642,"I was broke and starving, and I had no one to trust, so I made the mistake that many unwanted children make."
00:06:33.768,00:06:35.353,I went chasing ghosts.
00:06:44.779,00:06:46.656,Is this Frank Feranna?
00:06:47.490,00:06:48.533,Who's this?
00:06:49.909,00:06:51.953,"Oh, hi, Mr. Feranna."
00:06:53.287,00:06:54.789,This is your son...
00:06:55.540,00:06:57.333,-Frank Jr. -Son?
00:06:59.293,00:07:00.837,"-No, my-- -I don't know who you are."
00:07:00.920,00:07:05.341,"No, my mother, she's Deana-- Don't call here again."
00:07:19.105,00:07:21.399,And the last time I used his name.
00:07:27.363,00:07:28.448,Nikki Sixx?
00:08:12.742,00:08:15.786,"How much time is Nikki gonna get in this movie, bro? Fuck!"
00:08:16.162,00:08:18.247,"This dude tried to put his own mother in jail, man."
00:08:18.331,00:08:22.627,"I mean, I love him, but sometimes, it's dysfunction junction over there, you know what I mean?"
00:08:22.710,00:08:24.128,"See, I'm not like that."
00:08:25.171,00:08:27.381,"I'm just a hopeless fuckin' romantic, dude."
00:08:27.840,00:08:29.634,"All love, all the time."
00:08:30.718,00:08:31.594,Yeah.
00:08:31.677,00:08:33.054,Hey.
00:08:33.137,00:08:35.264,"-Hey. -So, who's on tonight?"
00:08:35.973,00:08:36.933,Those dudes.
00:08:37.600,00:08:40.728,"They've been selling out weekends at the Starwood, which is, like, huge."
00:08:43.439,00:08:46.609,"-Good try, Pop. -Your mom made dinner. You coming down?"
00:08:46.943,00:08:50.029,-I'm already late to pick up my girl. -You got a new girlfriend?
00:08:50.112,00:08:52.740,"Yeah, but I think I'm in love this time for real."
00:08:58.579,00:08:59.580,Aah!
00:09:01.749,00:09:03.125,"-Thanks, Mom. -You're welcome."
00:09:03.209,00:09:04.168,"Thank you, sweetie."
00:09:06.254,00:09:07.838,"God! Get a room, guys."
00:09:08.172,00:09:10.091,Eat. You're too skinny.
00:09:10.424,00:09:11.425,"Yeah, chicken legs!"
00:09:11.509,00:09:12.635,You got 'em too.
00:09:14.095,00:09:16.472,"Oh, my God! Those are my pants. Mom!"
00:09:17.181,00:09:18.015,But...
00:09:19.016,00:09:20.601,they look so much better on me!
00:09:21.727,00:09:22.979,"Later, creators!"
00:09:23.187,00:09:24.105,Mom!
00:09:24.814,00:09:26.691,You should have told him to take them off!
00:09:29.151,00:09:30.403,That rocked!
00:09:30.945,00:09:32.405,It was way better than the last time!
00:09:32.488,00:09:34.949,Did they fight each other on stage last time?
00:09:35.032,00:09:36.242,That was the rad part!
00:09:41.122,00:09:41.956,"Two, please."
00:09:48.379,00:09:49.797,Dude! Dude!
00:09:50.756,00:09:52.008,Don't look. Wait.
