start,end,script
00:02:02.580,00:02:04.207,but I'm gonna kill myself.
00:02:06.251,00:02:08.128,I just thought that someone should know.
00:02:08.211,00:02:12.715,I don't really know how this works. I'm probably gonna jump off an overpass in front of a semi.
00:02:12.799,00:02:14.592,"So… Or a U-Haul maybe, just not a bus."
00:02:14.717,00:02:18.138,I'm not gonna be a dick and make people watch. But it has to be big.
00:02:18.221,00:02:21.975,It's gotta be so big that it just… Done. Kills me. Lights out.
00:02:22.058,00:02:26.813,"'Cause if it just maims me, and I'm like… then how's that good for anyone? Then I gotta find a nurse to smother me."
00:02:26.896,00:02:31.151,How am I gonna get across smothering if I'm… We don't need to get caught up in the minutiae.
00:02:31.234,00:02:34.070,"I just thought that an adult, you, should know."
00:02:36.948,00:02:43.037,"Wow. This is, uh, a lot to take in, Nadine."
00:02:43.288,00:02:45.081,I… I wish I knew what to say.
00:02:45.373,00:02:50.712,"Well, I was actually just drafting my own suicide note. Just now."
00:02:51.379,00:02:52.714,Dear everybody.
00:02:53.214,00:03:09.355,"As some of you know, I have 32 fleeting minutes of happiness per school day during lunch, which has been eaten up, again and again, by the same especially badly dressed student."
00:03:09.439,00:03:12.525,"And I finally thought, you know what?"
00:03:12.734,00:03:18.031,"I would rather have the dark, empty nothingness."
00:03:18.239,00:03:23.161,I really would. It sounds relaxing.
00:03:24.078,00:03:26.331,"Have a nice life without me, fuckers."
00:03:26.456,00:03:28.958,You are so gonna get fired when I actually do it.
00:03:29.083,00:03:31.377,"Well, not for sure, but I can dream."
00:03:37.675,00:03:40.470,"Around second grade, I had a realization."
00:03:41.679,00:03:44.224,There are two types of people in this world.
00:03:44.432,00:03:49.437,The people who radiate confidence and naturally excel at life… Yes! Yes!
00:03:49.520,00:03:52.565,…and the people who hope all those people die in a big explosion.
00:03:59.614,00:04:00.698,Bye.
00:04:00.782,00:04:02.325,His biggest one?
00:04:02.408,00:04:03.660,My mother.
00:04:04.494,00:04:06.246,"Bye, sweetheart."
00:04:07.038,00:04:08.665,"Look, check it out. I won."
00:04:09.040,00:04:11.793,"Okay, boss-lady. See you tonight."
00:04:18.424,00:04:21.636,Nadine. We're not doing this again.
00:04:22.345,00:04:24.681,"You promised. Now, get out of the car."
00:04:28.059,00:04:29.310,"Well, that's it."
00:04:46.911,00:04:49.831,And the only one who could handle either of us was Dad.
00:04:50.456,00:04:51.499,I hate you.
00:04:54.294,00:04:55.336,"Hey, hey, hey."
00:04:58.506,00:05:00.383,having to manage us both.
00:05:05.263,00:05:06.472,"All right, now."
00:05:06.973,00:05:08.891,I know kids can be mean.
00:05:14.439,00:05:16.316,fart into their backpacks.
00:05:20.653,00:05:22.322,I wish you were small.
00:05:28.745,00:05:31.748,"Instead, the most attention I got at school was from these three."
00:05:34.125,00:05:35.335,Nobody likes you.
00:05:35.668,00:05:38.171,You suck and you're gonna get AIDS.
00:05:45.928,00:05:51.392,"and I couldn't take one more second of this intolerable, unlivable nightmare of a… Excuse me."
00:05:57.190,00:05:58.441,"Can you move, please?"
00:06:05.364,00:06:06.991,And her breath smelled of SweeTARTS.
00:06:10.119,00:06:11.412,You wanna hold him?
00:06:12.747,00:06:15.124,But don't squash him.
00:06:22.548,00:06:23.716,"Hi, guy."
00:06:24.425,00:06:26.969,"If you want, you could be his other mom with me."
00:06:28.429,00:06:29.430,Really?
00:06:30.723,00:06:34.185,I'm gonna be your other mom and take such good care of you.
00:06:41.442,00:06:44.403,But I had finally made my first friend.
00:06:45.863,00:06:48.866,We told each other things we never thought we'd say out loud.
00:06:49.158,00:06:55.832,"Once, my grandpa's pajama flap accidentally came open, and I saw his wiener and got real sad."
00:06:56.040,00:07:00.670,"My mom has to take medicine, or she'll get upset and buy too much at the mall."
00:07:01.254,00:07:02.505,It's true.
00:07:10.638,00:07:13.057,This pudding is delicious! I'm walking away.
00:07:13.182,00:07:15.268,"Am I, your mother? Am I supposed to babysit you?"
00:07:17.979,00:07:19.480,We could play with this.
00:07:19.689,00:07:22.066,We could play with Mr. Penguin. Hee-hee.
00:07:26.904,00:07:30.992,"And then, some extremely fucked up shit happened."
00:07:32.535,00:07:34.078,"Oh, my God."
00:07:34.662,00:07:36.038,I knew it.
00:07:39.500,00:07:41.335,It's really just the hair.
00:07:41.586,00:07:44.505,It's not that bad. You can just grow it out.
00:07:44.589,00:07:46.340,Are you even up there?
00:07:47.300,00:07:49.051,"Hey, move. I gotta pee."
00:07:52.513,00:07:54.223,And that asshole knew it.
00:07:55.683,00:07:58.352,"That night, I picked up some cheeseburgers with my dad."
00:07:58.478,00:08:00.980,What do I have that's any good? What have I ever had?
00:08:02.690,00:08:04.442,You have love. You have my love.
00:08:04.650,00:08:06.527,Very soon you're gonna have cheeseburgers.
00:08:07.236,00:08:08.279,"Oh, look!"
00:08:09.280,00:08:12.033,Did I not tell you? Cheeseburgers.
00:08:12.116,00:08:13.284,Mmm.
00:08:14.368,00:08:16.579,"-You want a fry? -Oh, yeah."
00:08:21.167,00:08:23.127,"Oh, hey. That was Billy Joel."
00:08:23.336,00:08:25.713,You don't turn past Billy Joel.
00:08:25.922,00:08:50.279,"I might be as crazy as you say If I'm crazy, then it's true That it's all because of you Mmm… And you wouldn't want me any other way Dad?"
00:08:51.572,00:08:53.157,"Dad, are you okay?"
00:08:53.366,00:08:54.408,Dad!
00:08:54.784,00:08:55.785,Dad!
00:09:50.256,00:09:52.633,so let's just say the next few years were complete shit.
00:10:02.852,00:10:04.270,I had Krista.
00:10:04.770,00:10:07.982,This was last Friday. Look at me. I was in a good mood.
00:10:08.190,00:10:10.401,-I love spoilers. -No.
00:10:10.610,00:10:12.820,"Yes, I do. That means I don't have to watch it."
00:10:13.029,00:10:15.489,Then I can just know and move on with my life.
00:10:15.698,00:10:16.782,I'll give you a hint.
00:10:19.160,00:10:22.413,"I knew it! I knew it. They get married, yes!"
00:10:27.376,00:10:28.461,Whoa.
00:10:29.003,00:10:31.213,"God, juvy made him so hot."
00:10:31.422,00:10:33.591,"Oh, God, I forgot to tell you something."
00:10:33.674,00:10:35.009,He works at Petland now.
00:10:37.386,00:10:43.517,"I should go in there and be like, Excuse me, where are the Betta fish? Also, could you put your penis inside me?"
00:10:43.601,00:10:44.810,Not you.
00:10:47.521,00:10:50.066,What if you actually lost your virginity in a Petland?
00:10:50.274,00:10:51.984,I think it'd be kind of nice.
00:10:52.109,00:10:54.737,All the little tropical fish watching. It'd be kind of spiritual.
00:11:09.669,00:11:14.632,"How does he not realize that all that does is scream, I have a body complex worse than a girl's?"
00:11:14.757,00:11:16.258,How much does he even work out now?
00:11:16.467,00:11:19.345,It's OCD. You should've seen him.
00:11:19.553,00:11:22.640,He had a conniption 'cause my mom won't buy him creatine anymore.
00:11:22.723,00:11:24.308,Since it fucks up your kidneys.
00:11:24.892,00:11:26.685,"I was like, I know, Darian. I know."
00:11:26.769,00:11:29.897,"What, does Mom expect you to win people over with your personality?"
00:11:41.700,00:11:49.708,"Hey. So just a heads up, but yesterday, when you were giving your lecture, you were like, Blah-blah-blah, then the North seceded from the Union."
00:11:49.792,00:11:51.794,You meant to say the South seceded.
00:11:51.919,00:11:53.587,You accidentally said the exact opposite.
00:11:54.046,00:11:57.800,"I didn't wanna raise my hand and be all, Excuse me. These kids are pretty confusable."
00:11:57.883,00:11:59.635,Just thought maybe you'd wanna know.
00:12:00.386,00:12:07.810,Oh… -Great catch. -Yeah.
00:12:07.893,00:12:22.116,"Now, I know that it was a long lecture, and you probably don't recall, but was there any point during it where you thought to yourself, Gosh, I wonder what it's like to actually have a life."
00:12:25.744,00:12:34.920,"No. No, I was too concentrated on how you were effin' the whole thing up, so… Well, I understand that but just know that I haven't given up hope. Not yet."
00:12:35.337,00:12:36.547,Okay.
00:12:41.218,00:12:42.344,Hey.
00:12:43.804,00:12:44.805,Hey.
00:12:45.931,00:12:48.559,I like your sweatshirt today. It's nice.
00:12:48.767,00:12:49.852,Thank you.
00:12:53.397,00:12:54.398,Where'd you get it?
00:13:05.159,00:13:06.952,Kewlio.
00:13:10.206,00:13:12.249,Don't know where that came from. What?
00:13:14.543,00:13:15.544,I don't know him.
00:13:15.628,00:13:18.172,"Well, you would freakin' love him. He's adorable."
00:13:18.506,00:13:19.840,So you gonna hook up with him?
00:13:19.965,00:13:22.551,"No, not like that. Like pathetic adorable."
00:13:22.635,00:13:24.970,Like I wanna carry him around in a Babybjorn.
00:13:27.890,00:13:28.974,Oh!
00:13:29.058,00:13:33.062,"Oh, good, good, good, good! I caught you. I'm so glad. Oh!"
00:13:33.562,00:13:34.855,Do you like this dress?
00:13:35.397,00:13:38.150,Does it look bad? I think it looks kind of bad.
00:13:38.234,00:13:40.903,It's kind of poofy and I don't know.
00:13:41.153,00:13:42.821,Do my arms look bad?
00:13:43.614,00:13:44.615,No.
00:13:45.491,00:13:48.452,"You don't sound very believable, and you're making me nervous, Nadine."
00:13:48.661,00:13:50.371,Your upper arms are breathtaking.
00:13:50.913,00:13:52.081,Where are you going?
00:13:52.206,00:13:56.835,"Well, it's last minute, but Brent called me. The dentist one."
00:13:57.044,00:14:01.549,"And he asked if I wanted to go to Manzanita for the weekend, and I thought, you know what?"
00:14:01.632,00:14:08.180,"I deserve to be a little selfish once in a while, so… -Is that one of the, Match.com guys? -Yeah."
00:14:08.389,00:14:10.724,You should go for as long as you want.
00:14:11.892,00:14:15.271,Very funny. I'm gonna be back on Sunday. Okay?
00:14:15.646,00:14:16.981,Just in time to surprise you.
00:14:17.189,00:14:19.984,"Oh, I tried to call Darian, but he must be in his AP study group."
00:14:20.192,00:14:21.610,I'll tell him.
00:14:22.278,00:14:23.821,Be good.
00:14:29.910,00:14:32.079,"What? Huh? Dibs. Dibs, dibs, dibs!"
00:14:32.246,00:14:33.706,What are you even saying?
00:14:33.789,00:14:37.251,"Mom's fucking a dentist in Manzanita for two days, so I call dibs on the house."
00:14:37.334,00:14:38.502,-Ew! -Bye!
00:14:38.586,00:14:40.921,"Dude, you are so sick for saying it like that."
