start,end,script
00:02:23.083,00:02:24.250,for the bugs to eat.
00:02:25.666,00:02:26.791,You're welcome.
00:24:33.666,00:24:35.250,What's a mixtape?
00:53:05.250,00:53:07.458,"Oh, I'm so sorry."
00:00:40.166,00:00:41.458,"Oh, yeah."
00:00:44.166,00:00:45.791,"Oh, yeah, yeah, yeah."
00:01:06.416,00:01:08.791,"Well, try new Fat Crusher 2000."
00:01:48.541,00:01:51.000,"40? Girl, 40 ain't shit."
00:01:51.083,00:01:52.833,You? Almost 40?
00:01:52.916,00:01:56.208,I started living my life when I was 40.
00:01:56.291,00:01:58.291,"Damn, you that old, Miss B?"
00:01:59.791,00:02:02.791,40 means... juicy down there.
00:02:02.875,00:02:08.375,"Shit, I figured you were like 30, maybe even 35, but 40?"
00:02:09.000,00:02:11.041,"Damn, that's just... that's just crazy."
00:02:20.583,00:02:24.625,she's like fruit from the tree that falls to the ground for the bugs to eat.
00:02:26.750,00:02:28.375,Now 70?
00:02:28.458,00:02:31.458,Call me when you turn 70 and can't control your bowels.
00:02:35.000,00:02:36.166,"Oh, God."
00:02:38.500,00:02:41.000,"Wait. Oh, come on."
00:02:41.458,00:02:43.625,"Come on, sir, you see me standing right here."
00:02:43.708,00:02:45.333,Please? I'm late.
00:02:50.208,00:02:51.833,You just made your mother proud.
00:02:52.416,00:02:53.500,My mother's dead.
00:03:00.083,00:03:01.458,Sorry?
00:03:02.458,00:03:03.666,Okay. Sorry.
00:03:10.041,00:03:12.458,Excuse me. Sorry about that. Sorry.
00:03:14.583,00:03:18.791,"It's been a year, so don't you think we should take care of Mom's apartment?"
00:03:19.625,00:03:20.916,"Aight, hit me back."
00:03:24.541,00:03:25.375,Thank you.
00:03:27.333,00:03:28.500,"Oh, great."
00:03:35.750,00:03:37.125,"Oh, fuck me."
00:03:42.750,00:03:43.625,Great.
00:03:44.750,00:03:45.625,Great.
00:03:49.916,00:03:51.291,"Excuse me, sir?"
00:03:52.000,00:03:57.125,"Sir? Sir? Do you think I could just, like, jump out before you let the people in."
00:03:57.208,00:04:05.500,"I'm really late. I'll just jump out before you-- Sorry for the delay, folks, but this lady here doesn't want me to help the disabled people on."
00:04:07.416,00:04:09.541,I... Wow. That did not...
00:04:09.625,00:04:11.041,I didn't... I didn't say that.
00:04:11.125,00:04:13.458,"But, no, please. As you were."
00:04:13.541,00:04:15.708,Thanks. Thanks a lot. Please.
00:04:18.875,00:04:20.000,No!
00:04:22.833,00:05:01.708,"Your stingy-ass ways mean we can't flow And you bullshit Libra Fucking deceiver Step off, Gigantor No one believes you And Mr. Gemini You're too feminine Can't rock with a nigga's ass Bigger than mine See me? I'm focused My sweet mid-body lust Is just for those who I trust Why? Because I'm a cli-cli-cli-Taurus Wow."
00:05:03.166,00:05:04.041,Wow.
00:05:04.625,00:05:07.083,"Come on, guys. Come on. Clap it up for Elaine."
00:05:07.958,00:05:09.083,Thank you.
00:05:11.791,00:05:14.833,"Thank you. Thank you for sharing that, Elaine, really."
00:05:15.333,00:05:16.666,"Okay, um..."
00:05:17.333,00:05:21.375,Any more thought on what kind of play we want to write?
00:05:21.458,00:05:22.291,Rosa?
00:05:22.791,00:05:24.708,I say we do some sci-fi shit.
00:05:25.208,00:05:26.041,Like?
00:05:26.583,00:05:31.291,"Like this strange blue cloud comes down from the sky raining on everybody, right?"
00:05:31.375,00:05:36.375,"But then the next day, every man caught in the rain, they wake up with no dick."
00:05:41.833,00:05:43.333,-Yeah. -Okay.
00:05:43.416,00:05:50.958,"No, no, no. We should do some racial-type political shit, where a Black man fucks this white girl and dies."
00:05:52.500,00:05:55.125,And that's political because...
00:05:55.208,00:05:59.625,'Cause a white vagina is a plot to destroy a Black family.
00:05:59.708,00:06:02.958,"Shit, my mom would kill me if I even touch one, you feel me?"
00:06:03.041,00:06:04.458,"Consider yourself dead, bro."
00:06:05.166,00:06:06.833,"Mm, mm-mm-mm."
00:06:06.916,00:06:11.833,"Okay, guys, can we come up with ideas that don't involve genitalia?"
00:06:11.916,00:06:16.125,"You know, just in case somebody's grandmother wants to come to the show."
