start,end,script
00:01:12.333,00:01:15.250,MY FATHER GAVE ME SOME ADVICE.
00:01:17.375,00:01:21.709,"ALWAYS TRY TO SEE THE BEST IN PEOPLE, HE WOULD SAY."
00:01:23.041,00:01:29.542,"AS A CONSEQUENCE, I'M INCLINED TO RESERVE ALL JUDGMENTS."
00:01:29.583,00:01:33.458,BUT EVEN I HAVE A LIMIT.
00:01:35.542,00:01:41.166,BACK THEN ALL OF US DRANK TOO MUCH.
00:01:41.208,00:01:48.500,THE MORE IN TUNE WITH THE TIMES WE WERE THE MORE WE DRANK.
00:01:48.542,00:01:54.500,AND NONE OF US CONTRIBUTED ANYTHING NEW.
00:01:54.542,00:01:58.875,WHEN I CAME BACK FROM NEW YORK I WAS DISGUSTED.
00:02:01.417,00:02:04.041,"Doctor: I SEE, MR. CARRAWAY."
00:02:04.083,00:02:09.667,DISGUSTED WITH EVERYONE AND EVERYTHING.
00:02:09.709,00:02:13.667,ONLY ONE MAN WAS EXEMPT FROM MY DISGUST.
00:02:17.333,00:02:20.208,ONE MAN?
00:02:20.250,00:02:22.709,MR. CARRAWAY?
00:02:25.625,00:02:27.625,GATSBY.
00:02:30.417,00:02:32.834,WAS HE A FRIEND OF YOURS?
00:02:34.667,00:02:37.375,HE WAS...
00:02:37.417,00:02:40.917,THE SINGLE MOST HOPEFUL PERSON I'VE EVER MET.
00:02:42.792,00:02:46.083,AND AM EVER LIKELY TO MEET AGAIN.
00:02:48.166,00:02:51.959,"THERE WAS SOMETHING ABOUT HIM, A SENSITIVITY."
00:02:52.000,00:03:00.417,"HE WAS LIKE -- HE WAS LIKE ONE OF THOSE MACHINES THAT REGISTER EARTHQUAKES 10,000 MILES AWAY."
00:03:00.458,00:03:01.959,WHERE'D YOU MEET HIM?
00:03:07.166,00:03:10.250,AT A -- AT A PARTY...
00:03:10.291,00:03:11.917,IN NEW YORK.
00:03:13.500,00:03:19.583,IN THE SUMMER OF 1922 THE TEMPO OF THE CITY APPROACHED HYSTERIA.
00:03:31.917,00:03:40.542,STOCKS REACHED RECORD PEAKS AND WALL STREET BOOMED IN A STEADY GOLDEN ROAR.
00:03:40.583,00:03:42.125,THE PARTIES WERE BIGGER.
00:03:42.166,00:03:44.709,THE SHOWS WERE BROADER.
00:03:44.750,00:03:47.792,THE BUILDINGS WERE HIGHER.
00:03:47.834,00:03:55.792,"THE MORALS WERE LOOSER AND THE BAN ON ALCOHOL HAD BACKFIRED, MAKING THE LIQUOR CHEAPER."
00:03:59.458,00:04:04.625,WALL STREET WAS LURING THE YOUNG AND AMBITIOUS.
00:04:04.667,00:04:06.125,AND I WAS ONE OF THEM.
00:04:10.250,00:04:13.834,I RENTED A HOUSE 20 MILES FROM THE CITY ON LONG ISLAND.
00:04:13.875,00:04:21.333,I LIVED AT WEST EGG IN A FORGOTTEN GROUNDSKEEPER'S COTTAGE SQUEEZED AMONG THE MANSIONS OF THE NEWLY RICH.
00:04:21.375,00:04:25.834,"TO GET STARTED, I BOUGHT A DOZEN VOLUMES ON CREDIT, BANKING AND INVESTMENTS."
00:04:25.875,00:04:27.625,ALL NEW TO ME.
00:04:27.667,00:04:29.917,Man on radio: THE STOCK MARKET HIT ANOTHER RECORD HIGH.
00:04:29.959,00:04:31.875,"THE MARKET'S MOVING UP, UP, UP!"
00:04:31.917,00:04:33.375,"WELL, OF COURSE, NOTHING IS 100%."
00:04:33.417,00:04:35.208,"WELL, I WOULDN'T GO INVESTING EVERY PENNY."
00:04:35.250,00:04:40.041,AT YALE I DREAMED OF BEING A WRITER BUT I GAVE ALL THAT UP.
00:04:40.083,00:04:47.333,WITH THE SUN SHINING AND THE GREAT BURST OF LEAVES ON THE TREES I PLANNED TO SPEND THE SUMMER STUDYING.
00:04:47.375,00:04:54.667,AND I PROBABLY WOULD HAVE WERE IT NOT FOR THE RIOTOUS AMUSEMENTS THAT BECKONED...
00:04:57.041,00:05:11.083,...FROM BEYOND THE WALLS OF THAT COLOSSAL CASTLE OWNED BY A GENTLEMAN I HAD NOT YET MET NAMED GATSBY.
00:05:11.125,00:05:15.208,Doctor: SO HE WAS YOUR NEIGHBOR.
00:05:15.250,00:05:18.000,MY NEIGHBOR.
00:05:18.041,00:05:19.750,YEAH.
00:05:19.792,00:05:27.959,"WHEN I THINK ABOUT IT, THE HISTORY OF THE SUMMER REALLY BEGAN THE NIGHT I DROVE OVER TO MY COUSIN DAISY'S FOR DINNER."
00:05:28.000,00:05:34.041,SHE LIVED ACROSS THE BAY IN OLD MONEYED...
00:05:34.083,00:05:35.917,EAST EGG.
00:05:40.208,00:05:44.000,HER HUSBAND WAS HEIR TO ONE OF AMERICA'S WEALTHIEST FAMILIES.
