start,end,script
00:02:04.499,00:02:05.917,Cora!
00:02:08.044,00:02:09.212,"You make any noise, you know what happens."
00:02:57.051,00:02:58.720,"Good morning, Estelle."
00:03:20.658,00:03:21.951,Some Danish this morning?
00:03:22.035,00:03:25.204,"No, just two pieces of dry toast, Hector. Thanks."
00:03:25.288,00:03:26.873,Leftover's fine.
00:03:26.956,00:03:28.666,"Dry and cold, same as always."
00:03:29.417,00:03:30.418,Cold is better.
00:03:31.002,00:03:32.086,Hmm.
00:03:32.170,00:03:33.880,Especially on those long walks.
00:03:35.506,00:03:36.591,Am I right?
00:03:38.301,00:03:41.221,Don't let Nurse Godzilla catch you. She'll raise holy hell.
00:03:41.804,00:03:43.848,You know we're not supposed to let you wander off.
00:03:46.935,00:03:50.939,"Where do you go, every day? What do you do up in those hills?"
00:03:51.689,00:03:53.024,Just walk.
00:03:53.775,00:03:55.318,I like to walk.
00:03:57.904,00:03:59.864,"You try not to fall down, bust a hip."
00:04:00.490,00:04:03.284,I don't wanna be in no damn search party.
00:05:15.481,00:05:17.275,Explain the moral basis of that.
00:05:18.443,00:05:20.028,Tony doesn't admit that he's not a good father.
00:05:20.111,00:05:22.363,"No, it's not... She can't ask nothin', okay?"
00:05:22.447,00:05:23.406,You can't ask nothin'.
00:05:26.659,00:05:28.536,Why do we always watch this stuff?
00:05:29.412,00:05:30.788,It's interesting.
00:05:31.956,00:05:33.249,Interesting?
00:05:33.333,00:05:35.585,Bunch of inbred trailer trash?
00:05:36.461,00:05:38.463,All they ever talk about is fucking.
00:05:41.090,00:05:42.633,I'm gonna have a father like that!
00:05:46.304,00:05:47.597,I'm talking now!
00:05:47.680,00:05:48.848,What kind of a mother are you?
00:05:53.269,00:05:55.313,You're dead! You can't come back!
00:06:01.110,00:06:02.945,Are you all right?
00:06:03.029,00:06:04.072,Hmm?
00:06:04.155,00:06:06.699,You look tired. You're not yourself.
00:06:09.827,00:06:13.664,"You're wearing yourself out with those walks every day, that's what I think."
00:06:13.748,00:06:15.625,Not that you asked me.
00:06:15.958,00:06:18.336,"I just didn't sleep well, is all."
00:06:19.837,00:06:22.632,I had a few bad dreams. It happens. It...
00:06:23.424,00:06:24.884,I'll be fine.
00:06:25.426,00:06:26.511,What do you think of that?
00:06:34.644,00:06:36.312,"Oh, if Madge doesn't care, I certainly don't."
00:06:36.395,00:06:38.272,Neither do I. All I know is...
00:06:38.356,00:06:40.316,"Now, this here is worth a look."
00:07:25.903,00:07:27.196,"Paul, what is it?"
00:07:29.574,00:07:30.783,My God.
00:07:36.581,00:07:38.583,I've got to get out of here.
00:08:00.688,00:08:07.111,I guess sometimes the past just catches up with you whether you want it to or not. It's silly.
00:08:07.820,00:08:11.115,"Was it the film? It was, wasn't it?"
00:08:12.533,00:08:16.078,"I haven't spoken of these things for a long time, Ellie."
00:08:16.996,00:08:18.372,Over 60 years.
00:08:18.706,00:08:20.875,"Paul, I'm your friend."
00:08:26.047,00:08:30.092,I ever tell you that I was a prison guard during the Depression?
