start,end,script
00:01:08.375,00:01:09.208,Keep it down!
00:01:15.208,00:01:18.333,"Succulent. And, Isola..."
00:01:19.291,00:01:20.916,your gin...
00:01:30.416,00:01:32.416,-I'll take him back over the fields. -Sod 'em!
00:01:33.250,00:01:43.291,"This is our island, our home, not theirs. Those square-headed buggers can shove-- -Halt! Stand back! -Papers!"
00:01:54.000,00:01:55.791,"-The pig was beautiful, Dawsey. -Ssh!"
00:01:59.000,00:02:01.541,"-That bloody pie, though... -You're breaking curfew."
00:02:02.333,00:02:04.625,What is the purpose of your assembly?
00:02:08.166,00:02:10.250,"We have a book club, you see."
00:02:11.541,00:02:20.041,"You know, the authorities are trying to encourage cultural association -as part of your model occupation. -Yes, yes. Book lovers, that's us."
00:02:27.041,00:02:31.291,-The Guernsey Literary and-- -Bloody potato peel pie!
00:02:31.375,00:02:36.166,The Guernsey Literary and Potato Peel Pie-- Guernsey Literary and Potato Peel Pie Society.
00:02:36.250,00:02:37.750,Yes. Should be on the list.
00:02:38.125,00:02:39.708,Guernsey Literary...
00:02:40.791,00:02:43.583,"You're not confiscating potato peelings yet, are you?"
00:02:47.291,00:02:51.125,This is an illegal assembly. You will come with us. All of you!
00:02:57.583,00:02:58.583,"You all right, Eben?"
00:02:59.583,00:03:01.375,Shall I help put him into your car?
00:03:01.625,00:03:03.208,You will register this group...
00:03:07.666,00:03:08.500,Thank you.
00:03:38.500,00:03:40.125,"Oh, so The Times have been on to me."
00:03:40.375,00:03:41.500,Fresh paint!
00:03:42.500,00:03:43.958,When was the last time you saw that?
00:03:44.583,00:03:45.416,Oh!
00:03:45.833,00:03:48.416,One might almost believe the war is really over.
00:03:49.875,00:03:51.416,"Yes, they want you to do an article."
00:03:51.500,00:03:52.375,About reading.
00:03:52.791,00:03:57.125,"Oh, no. Sidney, no. I don't think I'm much up for any more of Izzy."
00:03:57.416,00:03:59.125,"Actually, they want Juliet Ashton."
00:03:59.416,00:04:01.500,It's your own voice this time. I've said yes.
00:04:01.583,00:04:02.583,Oh! Have you?
00:04:04.125,00:04:06.458,"Well, you might have said no, and I make better decisions."
00:04:06.916,00:04:09.291,"So your book tour starts Monday week, Bath to Yorkshire."
00:04:09.375,00:04:11.250,The Times will fill the gap nicely.
00:04:12.833,00:04:13.666,There we are.
00:04:18.416,00:04:19.250,Our stop.
00:04:25.041,00:04:27.125,Have you always wanted to be a writer?
00:04:27.208,00:04:28.541,Always. Yes.
00:04:28.625,00:04:29.750,It's the perfect job.
00:04:30.125,00:04:33.000,"Sitting indoors, and always near a teapot."
00:04:35.208,00:04:36.833,It has its ups and downs.
00:04:36.916,00:04:40.625,"My first book, A Critical Biography of Anne Brontë, sold only..."
00:04:41.208,00:04:42.458,"How many copies, Sidney?"
00:04:43.125,00:04:44.916,"My publisher, Mr. Sidney Stark."
00:04:45.125,00:04:46.333,Twenty-eight copies.
00:04:47.458,00:04:48.291,Worldwide.
00:04:49.875,00:04:53.208,Why Izzy Bickerstaff? Why not write under your own name?
00:04:55.375,00:05:01.375,"Well, I'm not sure which came to me first, Izzy's name or his voice."
00:05:02.208,00:05:07.250,"In either case, they both seemed to suit the tone of the task, much better than my own."
00:05:10.458,00:05:14.666,"I'm not sure I'd call Izzy a book, as much as a collection of faintly amusing essays."
00:05:17.916,00:05:18.750,"Yes, I am."
00:05:20.041,00:05:23.500,"English Foibles, a miscellany of English absurdity."
00:05:24.000,00:05:27.583,"For example, there's a London Society for Public Decency..."
00:05:28.916,00:05:31.875,which advocates trousers for horses.
00:05:46.875,00:05:50.666,"Ah! A pleasure to meet you, Miss Ashton. A delight."
00:05:50.833,00:05:52.541,I'm such a huge fan.
00:05:52.625,00:05:54.291,Oh! Thank you.
00:05:54.375,00:05:57.583,"Poor old Izzy, eh? Had no use for a war, did he?"
00:05:58.375,00:06:00.416,Only wanted to be left alone with his pint.
00:06:01.791,00:06:02.625,Here we are.
00:06:03.666,00:06:08.250,"Quite frankly, Izzy Bickerstaff's why you get first dibs here, Miss Ashton."
00:06:09.291,00:06:11.333,But you mustn't dally. No.
00:06:11.916,00:06:14.625,It's sure to go in a flash!
00:06:53.583,00:06:54.708,Father's paperweight!
00:06:57.208,00:06:58.041,Juliet?
00:06:58.750,00:07:01.541,Where are you? Come back from the edge! No!
00:07:06.500,00:07:07.458,It's all right.
00:07:14.291,00:07:15.833,"Oh, yes, yes. It's very nice."
00:07:17.375,00:07:18.208,Do you...
00:07:19.458,00:07:20.708,"see the crystal, Juliet?"
00:07:23.041,00:07:23.875,Lovely.
00:07:25.291,00:07:27.583,Wonderful view of Kensington Gardens.
00:07:29.000,00:07:30.625,"Albert Hall, around the corner."
00:07:31.625,00:07:33.000,It's a steal at this price.
00:07:35.416,00:07:36.541,It is beautiful.
00:07:36.625,00:07:38.458,I knew you'd love it.
00:07:40.500,00:07:42.333,I'm terribly sorry.
00:07:47.541,00:07:49.833,"At long last, you can afford something smart. Rejoice!"
00:07:49.916,00:07:51.333,I feel a complete fraud here.
00:07:51.416,00:07:57.041,"Juliet, you really do need something better than a poky bedsit in Battersea with three suitcases and a typewriter."
00:07:57.125,00:07:59.250,"-I realize. -Oh, I see."
00:08:00.000,00:08:02.000,"Poor thing, you feel you haven't suffered enough."
00:08:02.083,00:08:03.500,"Oh, I expect not."
00:08:04.458,00:08:05.625,"Well, far be it for me to..."
00:08:06.375,00:08:08.666,"relieve you of your solemn duties, but I'll tell you what."
00:08:09.250,00:08:16.541,"We will buy new flats for everyone else in London who was bombed out, just as soon as Izzy hits number one. Will that make it better?"
00:08:18.333,00:08:19.583,It is a strong start.
00:08:25.000,00:08:26.541,"It is a proper home, Sidney."
00:08:27.875,00:08:28.833,It's just not mine.
00:08:42.666,00:08:44.875,-Excuse me. -Come on! Don't be shy!
00:08:50.583,00:08:51.416,Coming through!
00:08:53.875,00:08:56.666,"Well, you'll need an enormous window to put your desk in front of."
00:08:56.750,00:08:59.708,"'Cause you don't get enough sun as it is. Waiter, I'll keep the bottle."
00:09:00.916,00:09:02.583,A fireplace to keep you warm...
00:09:03.500,00:09:04.583,when you're not with me.
00:09:04.666,00:09:08.541,"Markham Reynolds, diplomat and clairvoyant!"
00:09:09.416,00:09:11.375,-You're a wonder! -At your service.
00:09:12.875,00:09:13.708,Right?
00:09:14.708,00:09:17.958,"But what good is a window, if I haven't given you a view?"
00:09:31.833,00:09:32.666,Watch this.
00:09:50.125,00:09:51.500,Mr. Reynolds!
00:09:51.583,00:09:53.166,I've asked you to stop.
00:09:53.291,00:09:54.833,"Oh, God, you've been caught."
00:09:54.916,00:09:56.416,Yet still you persist. Look at this.
00:09:57.000,00:10:02.541,"Do you imagine I've got a storeroom just brimming with vases -for my tenants to use? -I apologize again, Mrs. Burns."
00:10:03.125,00:10:03.958,Times are tough.
00:10:04.375,00:10:05.750,"Florists, they need the work."
00:10:06.458,00:10:07.291,Flowers.
00:10:07.875,00:10:09.916,I hope she knows what a lucky girl she is.
00:10:10.500,00:10:13.250,"-Come on! -Goodbye, Mrs. Burns."
00:10:15.250,00:10:16.916,-Good night. -Good night.
00:10:18.625,00:10:19.916,-Your mail. -Ah!
00:10:20.291,00:10:21.750,-Thank you. -And your flowers.
00:10:21.833,00:10:25.833,"Oh! Oh, please, keep the flowers for yourself, Mrs. Burns, won't you?"
00:10:26.083,00:10:27.708,Oh! Thank you!
00:10:28.500,00:10:31.708,"No more typing now, Miss Ashton. It's well after ten."
00:10:31.833,00:10:32.666,OK.
00:10:33.083,00:10:36.416,"The sound of that clatter, worse than gunfire."
00:10:42.333,00:10:43.583,Forwarded from Oakley Street.
00:10:49.750,00:10:51.958,"Dear Miss Ashton, my name is Dawsey Adams."
00:10:52.333,00:10:54.541,I live on my farm on the Island of Guernsey.
00:10:55.541,00:10:56.375,Guernsey?
00:11:05.708,00:11:15.166,"I know of you because I have an old book, The Selected Essays of Elia, by Charles Lamb, that has your name and address written inside."
00:11:18.375,00:11:22.625,"There wasn't much else to do here during the occupation, and Charles Lamb made me laugh."
00:11:22.958,00:11:25.083,Especially when he wrote about the roast pig.
00:11:26.583,00:11:36.708,"I am part of a book club, The Guernsey Literary and Potato Peel Pie Society, that we actually formed because we had to keep a roast pig secret from the Germans."
00:11:37.416,00:11:41.875,"So, I like Charles Lamb. Which is why I'm writing to you."
00:11:42.166,00:11:45.833,"The Germans are gone now, but there are no bookshops left on Guernsey."
00:11:46.750,00:11:52.291,"I am looking for a copy of Charles Lamb's Tales from Shakespeare, which I understand he wrote for children."
00:11:52.875,00:11:55.458,Could you send me the address of a bookshop in London?
00:11:56.208,00:11:57.541,I hope not to trouble you.
00:11:58.291,00:11:59.125,Dawsey Adams.
00:12:00.166,00:12:04.750,"Dear Mr. Adams, I am so pleased your letter found me and that my book found you."
