start,end,script
00:01:00.811,00:01:14.324,"Please leave a message after-- Leave me a message or don't. Do me a favor, don't text me. It's gay."
00:01:15.951,00:01:17.327,-Anything? TRACY: I tried them all.
00:01:17.494,00:01:19.580,It keeps going straight to voicemail.
00:01:19.746,00:01:21.498,"Well, there has to be an explanation."
00:01:21.665,00:01:24.459,"Sweetie, it's Vegas. You lose track of time in casinos."
00:01:24.626,00:01:28.005,"There's no windows, there's no clocks. He's probably on a heater."
00:01:28.171,00:01:32.342,And you never walk away from the table when you're on a heater.
00:01:32.509,00:01:34.344,You do if you're getting married.
00:01:36.555,00:01:38.807,"-Hello? -Ahem, Tracy, it's Phil."
00:01:39.433,00:01:41.018,"Phil, where the hell are you guys?"
00:01:43.604,00:01:45.022,"Yeah, listen."
00:01:45.188,00:01:46.648,Uh....
00:01:49.026,00:01:50.193,We fucked up.
00:01:50.360,00:01:55.282,"-What are you talking about? -The bachelor party, the whole night. It...."
00:01:55.532,00:01:58.452,"Things got out of control, uh..."
00:02:00.370,00:02:01.872,...and we lost Doug.
00:02:02.039,00:02:04.791,-What? -We can't find Doug.
00:02:04.958,00:02:08.378,"What are you saying, Phil? We're getting married in five hours."
00:02:08.962,00:02:10.672,Yeah.
00:02:11.757,00:02:13.967,That's not gonna happen.
00:03:43.390,00:03:45.016,MAN: To my left a little.
00:03:45.183,00:03:46.810,Thank you.
00:03:47.394,00:03:48.437,Okey-dokey.
00:03:52.607,00:03:55.402,"-Whoa, watch it, pervert! -Alan, he's just doing your inseam."
00:03:55.569,00:04:01.199,-He's getting very close to my shaft. -All done. You can change now.
00:04:01.366,00:04:04.745,"Right. Thanks, Floyd. Thank you very much."
00:04:05.829,00:04:07.873,"All right, buddy, we should get a move on."
00:04:08.039,00:04:12.127,"You know, Doug, I was thinking...."
00:04:12.294,00:04:15.422,"If you wanna go to Vegas without me, that is totally cool, you know?"
00:04:15.589,00:04:17.340,What are you talking about?
00:04:17.507,00:04:21.011,"You know, Phil and Stu, they're your buddies, and it's your bachelor party."
00:04:21.178,00:04:23.263,"Come on, Alan. Those two love you."
00:04:23.430,00:04:26.349,"ALAN: And also, I don't want you to feel like you have to hold back..."
00:04:26.516,00:04:31.021,...because your wife's brother's there. I just-- It's not like that.
00:04:34.191,00:04:36.276,"It's not like that. I already told you, Alan."
00:04:36.443,00:04:40.530,Okay? We're just spending the night in Vegas. It's no big deal.
00:04:40.697,00:04:44.868,"Besides, you're not just my wife's brother, you're my brother now."
00:04:47.704,00:04:51.082,"I want you to know, Doug, I'm a steel trap."
00:04:51.249,00:04:55.545,"Whatever happens tonight, I will never, ever, ever, speak a word of it."
00:04:55.712,00:05:01.510,"Okay. Yeah, I got it. Thank you. I don't think that-- Seriously. I don't care what happens."
00:05:01.885,00:05:04.387,-I don't care if we kill someone. -What?
00:05:04.554,00:05:07.057,You heard me. It's Sin City.
00:05:11.311,00:05:13.355,Okay. I got it.
00:05:20.821,00:05:22.906,I love you so much.
00:05:24.157,00:05:26.243,DOUG: No. Sid.
00:05:29.579,00:05:33.250,"-Really? SID: Come on, we're family now."
00:05:33.917,00:05:37.587,"-You sure? I mean, you love this car. -Doug, it's just a car."
00:05:37.754,00:05:42.092,Just make sure to put some Armor All on the tires so the sand doesn't seep in.
