start,end,script
00:02:28.041,00:02:29.500,"How my Reds lookin' this year, Joe?"
00:02:29.583,00:02:30.750,Suckin' hind teat.
00:02:33.541,00:02:35.333,"Thirty-five thousand dollars, you believe that?"
00:02:35.416,00:02:38.125,A man can work ten lifetimes and not earn that kind of dough.
00:03:17.958,00:03:19.958,Where you been? Get your ass over here!
00:03:22.041,00:03:23.625,"Crowson, Hamilton's out of group again."
00:03:23.708,00:03:25.541,"I'll take him back. Ray, come on!"
00:03:28.375,00:03:29.375,Drop your rifle.
00:03:30.958,00:03:31.958,Drop it.
00:03:36.750,00:03:37.666,Joe...
00:04:18.208,00:04:19.083,Wait!
00:04:32.041,00:04:33.083,Wait!
00:04:47.750,00:04:48.875,"Mornin', boys."
00:04:48.958,00:04:51.041,"Ma, no one's ever broken out of your prison."
00:04:51.125,00:04:52.583,Bonnie and Clyde break in?
00:04:54.666,00:04:57.625,"Never say die, boys. Say damned, never say die."
00:05:00.416,00:05:01.666,callin' 'em Robin Hoods.
00:05:01.750,00:05:03.166,"Are they Robin Hoods, Ma?"
00:05:05.375,00:05:11.333,Did Robin Hood ever shoot a gas station attendant point-blank in the head for four dollars and a tank of gas?
00:05:12.833,00:05:15.166,We will capture Clyde Barrow and his paramour.
00:05:15.791,00:05:17.750,Write that down and underline it twice.
00:05:40.041,00:05:43.041,"If today was a fish, I'd throw the son of a bitch back."
00:05:45.625,00:05:48.416,-How did it happen? -Clyde did a nickel at Eastham.
00:05:48.708,00:05:52.291,"He knew the system. Planted guns, ran it like a military operation."
00:05:52.375,00:05:53.375,Where are we on this?
00:05:53.458,00:05:56.875,Hoover and the Feds are proceeding-- Where are we on this?
00:05:56.958,00:05:59.458,"-Dallas detectives, highway patrol-- -Ma Ferguson agents."
00:05:59.541,00:06:02.458,"Same as we've had for the past six months, with no end in sight."
00:06:02.541,00:06:04.375,"Busted into your damn facility, Lee."
00:06:05.333,00:06:09.208,"You're right, they did. Wounded one of my guards, killed another."
00:06:09.291,00:06:12.041,"Died in my arms, apologizin' for letting me down."
00:06:15.250,00:06:17.166,I'd like a say and how we handle this.
00:06:17.958,00:06:20.333,Fine. Let's hear it.
00:06:21.375,00:06:25.750,Was a time we'd put a pair of man-killers on the trail and let them do their job.
00:06:26.500,00:06:27.583,Texas Rangers.
00:06:27.791,00:06:30.791,"Was a time, and that time's passed."
00:06:33.125,00:06:35.541,and you wanna put cowboys on Bonnie and Clyde?
00:06:35.833,00:06:38.000,-Is that what you're selling? -Frank Hamer.
00:06:39.125,00:06:40.500,That's what I'm sellin'.
00:06:43.041,00:06:44.875,Why don't we just go dig up Wyatt Earp.
00:06:44.958,00:06:46.041,Wild Bill Hickok.
00:06:48.750,00:06:50.875,"And you're right proud of it, aren't ya, Mrs. Governor?"
00:06:50.958,00:06:55.250,"Damn right I am! They took orders from no one, and they left me to answer for the blood."
00:06:55.333,00:06:57.583,Seems like you're answerin' for it again.
00:07:01.750,00:07:04.375,Bonnie and Clyde have been on the road for two years.
00:07:04.958,00:07:07.916,Cold-blooded killers who are more adored than movie stars.
00:07:09.166,00:07:10.208,This has to stop.
00:07:25.625,00:07:26.500,Where is he?
