start,end,script
00:00:59.280,00:01:02.600,a particularly painful part of our history.
00:01:02.640,00:01:04.040,"Yes, yes."
00:01:04.080,00:01:06.720,But it's been the way we've been able to heal.
00:01:06.760,00:01:09.080,"At first, it was a reminder of the rebellion."
00:01:09.120,00:01:11.640,It was a price the districts had to pay.
00:01:11.680,00:01:13.920,But I think it has grown from that.
00:01:13.960,00:01:17.400,I think it's something that knits us all together.
00:01:19.320,00:01:21.600,This is your third year as Gamemaker.
00:01:23.040,00:01:26.800,What defines your personal signature?
00:01:32.040,00:01:36.400,KATNISS: It's okay. It's okay.
00:01:38.240,00:01:40.640,It was me.
00:01:40.680,00:01:44.480,I know. I know.
00:01:44.520,00:01:46.760,"It's your first year, Prim."
00:01:46.800,00:01:49.240,They're not gonna pick you.
00:01:49.280,00:01:51.000,Try to go to sleep.
00:01:51.040,00:01:52.560,I can't.
00:01:52.840,00:01:56.320,Just try. Just try.
00:01:58.760,00:02:01.600,Mmm-hmm.
00:02:23.960,00:02:27.200,You remember that song? Okay.
00:02:27.240,00:02:29.000,You finish it.
00:02:29.040,00:02:30.720,Where?
00:02:30.760,00:02:32.400,I've just got to go.
00:02:32.440,00:02:35.600,But I'll be back.
00:02:43.200,00:02:45.320,I'll still cook you.
00:04:49.720,00:04:52.120,GALE: What are you gonna do with that when you kill it?
00:04:54.160,00:04:56.920,"Damn you, Gale!"
00:04:56.960,00:04:59.920,"What are you gonna do with a 100-pound deer, Catnip?"
00:04:59.960,00:05:02.480,It's Reaping Day.
00:05:02.520,00:05:05.560,I was gonna sell it to some Peacekeepers.
00:05:05.600,00:05:06.800,Of course you were.
00:05:06.840,00:05:08.080,Like you don't sell to Peacekeepers.
00:05:08.120,00:05:09.840,No. Not today.
00:05:09.880,00:05:12.400,It was the first deer I've seen in a year.
00:05:12.440,00:05:13.760,Okay.
00:06:02.160,00:06:03.640,What if they did?
00:06:03.680,00:06:04.720,What if everyone just stopped watching?
00:06:04.760,00:06:05.760,"They won't, Gale."
00:06:05.800,00:06:06.840,What if they did?
00:06:06.880,00:06:08.400,Won't happen.
00:06:08.440,00:06:10.480,You root for your favorites.
00:06:10.520,00:06:11.920,It's sick.
00:06:11.960,00:06:14.120,"If no one watches, then they don't have a game."
00:06:14.160,00:06:15.640,It's as simple as that.
00:06:15.680,00:06:17.560,What?
00:06:18.320,00:06:19.320,Fine. Laugh at me.
00:06:19.360,00:06:21.600,I'm not laughing at you.
00:06:26.760,00:06:29.160,"We could do it, you know?"
00:06:30.720,00:06:32.760,"Take off, live in the woods."
00:06:32.800,00:06:33.880,They'd catch us.
00:06:33.920,00:06:35.960,"Well, maybe not."
00:06:36.000,00:06:38.160,"Cut out our tongues, or worse."
00:06:38.200,00:06:39.440,We wouldn't make it five miles.
00:06:39.480,00:06:43.080,"No, I'd get five miles."
00:06:43.120,00:06:44.880,"KATNISS: I have Prim, and you have your brothers."
00:06:44.920,00:06:45.960,"GALE: They can come, too."
00:06:46.000,00:06:47.520,KATNISS: Prim in the woods?
00:06:49.400,00:06:51.200,Or maybe not.
00:06:52.040,00:06:54.360,I'm never having kids.
00:06:55.040,00:06:57.040,"I might, if I didn't live here."
00:06:57.080,00:06:59.680,But you do live here.
00:07:02.560,00:07:04.240,"Oh, I forgot."
00:07:04.520,00:07:05.520,Here.
00:07:05.560,00:07:08.080,"Oh, my God!"
00:07:08.120,00:07:10.160,Yeah. Better be.
00:07:12.040,00:07:13.440,Happy Hunger Games.
00:07:13.480,00:07:17.000,And may the odds be ever in your favor.
00:07:20.440,00:07:22.960,How many times is your name in today?
00:07:23.000,00:07:25.200,Forty-two.
00:07:25.240,00:07:28.640,Guess the odds aren't exactly in my favor.
00:07:54.000,00:07:55.920,"Thank you, girl."
00:08:03.400,00:08:04.960,What's this?
00:08:05.000,00:08:07.520,That's a Mockingjay.
00:08:09.200,00:08:10.720,How much?
00:08:12.360,00:08:14.120,You keep it. It's yours.
00:08:14.160,00:08:15.520,Thank you.
00:08:27.480,00:08:28.760,Mom.
00:08:30.400,00:08:32.080,"KATNISS: Aw, look at you!"
00:08:32.600,00:08:34.560,You look beautiful.
00:08:34.600,00:08:36.760,"But you better tuck in that tail, little duck."
00:08:36.800,00:08:38.720,"I laid something out for you, too."
00:08:41.080,00:08:42.440,Okay.
00:09:05.920,00:09:07.640,"Now you look beautiful, too."
00:09:07.680,00:09:09.640,Wish I looked like you.
00:09:09.680,00:09:13.480,"Oh, no. I wish I looked like you, little duck."
00:09:19.080,00:09:22.280,Hey. You want to see what I got you today?
00:09:24.560,00:09:28.120,It's a Mockingjay pin.
00:09:28.840,00:09:32.840,"And as long as you have it, nothing bad will happen to you."
00:09:32.880,00:09:35.280,Okay? I promise.
00:10:28.640,00:10:30.200,Shh. Shh.
00:10:30.240,00:10:32.040,"Prim, it's okay."
00:10:32.080,00:10:33.800,Okay. It's time to sign in now. Okay?
00:10:33.840,00:10:35.960,They're gonna prick your finger just to take a little bit of blood.
00:10:36.000,00:10:37.120,You didn't say...
00:10:37.160,00:10:39.200,It doesn't hurt much.
00:10:39.240,00:10:42.720,Okay? Go sit down there with the little kids.
00:10:42.760,00:10:44.040,WOMAN: Next.
00:10:44.080,00:10:45.280,Next.
00:10:56.960,00:10:59.360,Go ahead. Next.
00:10:59.960,00:11:01.160,Next.
00:11:11.560,00:11:12.760,Next.
00:11:15.040,00:11:16.680,Next.
00:11:50.560,00:11:54.040,"Welcome! Welcome, welcome."
00:11:54.440,00:11:56.240,Happy Hunger Games.
00:11:56.280,00:12:01.280,And may the odds be ever in your favor.
00:12:02.240,00:12:05.960,"Now, before we begin, we have a very special film."
00:12:06.000,00:12:09.720,Brought to you all the way from The Capitol.
00:12:12.720,00:12:15.680,War. Terrible war.
