start,end,script
00:02:16.202,00:02:18.571,"It's time, captain."
00:02:21.741,00:02:23.576,It's time.
00:02:24.878,00:02:27.881,Time indeed.
00:14:03.509,00:14:05.878,"Time to open the orders, sir."
00:14:06.979,00:14:10.249,The political officer is in your cabin.
00:14:11.984,00:14:13.519,Very well.
00:14:14.920,00:14:17.122,You have the conn.
00:14:36.208,00:14:38.177,What are you doing?
00:14:38.310,00:14:43.315,"I must oversee the stability of the crew, captain."
00:14:44.483,00:14:48.187,By invading my privacy?
00:14:48.954,00:14:54.393,"Privacy is not of major concern in the Soviet Union, comrade."
00:14:54.526,00:14:57.897,It's often contrary to the collective good.
00:15:03.402,00:15:06.939,"Behold, I am coming as a thief."
00:15:07.072,00:15:17.449,And they gathered them together in a place called Armageddon.
01:52:54.234,01:52:55.802,He's turning green.
01:53:27.333,01:53:29.102,You speak Russian.
01:53:30.537,01:53:32.438,A little.
01:53:34.307,01:53:36.843,It's wise to study the ways of one's adversary.
01:53:38.044,01:53:39.979,Don't you think?
01:55:58.017,01:55:59.986,The Captain is fighting them.
01:56:00.119,01:56:04.057,The Captain is fighting the Americans. The Captain is fighting the Americans.
02:05:30.189,02:05:33.659,Captain scared them out of the water!
00:01:32.551,00:01:35.930,"Cold this morning, Captain."
00:01:41.435,00:01:43.979,Mm.
00:01:43.979,00:01:46.023,Cold.
00:01:56.784,00:01:59.036,And hard.
00:02:15.636,00:02:17.763,"It's time, Captain."
00:02:21.600,00:02:23.560,It's time.
00:02:24.937,00:02:27.022,Time indeed.
00:04:46.203,00:04:47.704,"Hey, what are you doing?"
00:04:47.704,00:04:50.457,You're supposed to be upstairs sleeping.
00:04:50.457,00:04:53.210,Stanley keeps waking me up.
00:04:53.210,00:04:56.296,"Oh, ho, ho."
00:04:56.296,00:04:57.965,"Boy, are you getting heavy."
00:04:57.965,00:05:00.634,Don't let her pull more than her usual nonsense.
00:05:00.634,00:05:03.678,"Two stories, two glasses of water."
00:05:03.678,00:05:06.681,"Jack, you're going to miss the plane."
00:05:06.681,00:05:09.101,"Okay. Cricket, you listen to me."
00:05:09.101,00:05:13.063,Go upstairs with Mrs. Wheeler now and go to sleep.
00:05:13.063,00:05:16.399,"On my business trip, I'll get Stanley a little brother."
00:05:16.399,00:05:18.026,Will you promise?
00:05:18.026,00:05:19.653,I promise.
00:05:52.311,00:05:55.230,"Can I get you anything, sir?"
00:05:55.230,00:05:57.024,"No, thank you very much."
00:05:57.024,00:06:02.196,"If you try and get sleep, the flight will go a lot faster."
00:06:02.196,00:06:04.614,I can never sleep on a plane.
00:06:04.614,00:06:05.907,Turbulence.
00:06:05.907,00:06:07.909,Pardon?
00:06:07.909,00:06:12.371,"Turbulence-- Solar radiation heats the earth's crust, warm air rises, cold airs descends."
00:06:12.371,00:06:15.042,Turbulence.
00:06:15.042,00:06:17.961,"Oh. Well, try to sleep anyway."
00:06:56.041,00:06:58.459,Dr. Ryan?
00:07:14.184,00:07:17.979,"Jack, boy, get yourself in here."
00:07:17.979,00:07:20.690,Jesus!
00:07:20.690,00:07:22.192,"Thank you very much, admiral."
00:07:22.192,00:07:23.318,Want a coffee?
00:07:23.318,00:07:25.070,I think I need some coffee.
00:07:25.070,00:07:28.656,I'm not going to ask you how your flight went.
00:07:28.656,00:07:30.367,When's the last time you got some sleep?
00:07:30.367,00:07:31.868,"Oh, I don't know."
00:07:31.868,00:07:35.663,This thing's still on London time.
00:07:35.663,00:07:38.458,Milk and sugar?
00:07:38.458,00:07:39.793,So how's Caroline?
00:07:39.793,00:07:44.423,"Last time I saw her was at your granddad's place in Maine, wasn't it?"
00:07:44.423,00:07:48.635,She's fine.
00:07:48.635,00:07:50.095,And Sally?
00:07:50.095,00:07:51.388,She's fine.
00:07:51.388,00:07:54.141,"What is she now, 3?"
00:07:54.141,00:07:57.936,"Ah, no, she's a very precocious 5."
00:07:57.936,00:08:05.068,She announced to Caroline and I the other day that her life would be considerably less lonely if we were to buy her a baby brother.
00:08:05.068,00:08:08.029,Buy one?
00:08:08.029,00:08:11.992,But she decided it would be enough if we were to buy one for Stanley.
00:08:12.951,00:08:15.412,Who's Stanley?
00:08:15.412,00:08:17.331,"Uh, Stanley's a bear."
00:08:19.791,00:08:21.626,All right.
00:08:21.626,00:08:26.173,What's important enough to get you on a plane in the middle of the night?
00:08:26.173,00:08:29.134,British intelligence obtained these pictures two days ago.
00:08:29.134,00:08:32.846,"RYAN: She's the Red October, the latest typhoon class."
00:08:32.846,00:08:35.265,Big son of a bitch.
00:08:35.265,00:08:38.977,"Twelve meters longer than the standard typhoon, 3 meters wider."
00:08:38.977,00:08:41.104,The captain's name is Ramius.
00:08:41.104,00:08:42.897,One of yours?
00:08:42.897,00:08:44.274,Yeah. I did his bio last year.
00:08:44.274,00:08:48.778,He's taken out the lead boat in each new sub class for the last 10 years.
00:08:48.778,00:08:50.989,Fairly good political connections.
00:08:50.989,00:08:53.825,Trained most of their attack boat skippers.
00:08:53.825,00:08:59.789,"The Russians call him Vilnius Nastavnic, the Vilnius schoolmaster."
00:09:01.541,00:09:03.918,GREER: What are these doors?
00:09:03.918,00:09:07.339,"Those doors, sir, are the problem."
00:09:07.339,00:09:09.216,I don't know what they are.
00:09:09.216,00:09:14.762,Perhaps our friends in Murmansk have come up with something new.
00:09:14.762,00:09:17.057,"With your permission, I'd like to show these photos to someone."
00:09:17.057,00:09:18.266,Do you know Skip Tyler?
00:09:18.266,00:09:19.851,Sub driver.
00:09:19.851,00:09:22.354,Clipped by a drunk driver.
00:09:22.354,00:09:25.606,"Now he's doing some teaching at the academy, some consulting for Navy labs."
00:09:25.606,00:09:27.608,Clearance?
00:09:29.610,00:09:34.282,"Margie, have a car for Dr. Ryan downstairs in ten minutes."
00:09:37.702,00:09:42.123,A satellite caught Red October in Polijarny inlet this morning.
00:10:22.456,00:10:25.208,JONES: Do you hear it?
00:10:26.709,00:10:28.420,BEAUMONT: No.
00:10:28.420,00:10:31.047,"JONES: Beaumont, at Cal Tech we used to do this in our sleep."
00:10:31.047,00:10:32.382,Do you hear it now?
00:10:34.217,00:10:36.803,BEAUMONT: Wait a minute. Maybe.
00:10:36.803,00:10:38.096,Um...
00:10:38.096,00:10:40.056,it's buried in surface clutter?
00:10:40.056,00:10:41.682,JONES: Yes.
00:10:41.682,00:10:42.976,I should go to SAPS?
00:10:42.976,00:10:45.353,"Correct, Seaman Beaumont."
00:10:45.353,00:10:48.231,Signal Algorithmic Processing Systems.
00:10:48.231,00:10:51.734,"Give it a week, and you'll be teaching at Cal Tech."
00:10:52.986,00:10:55.029,So...
00:10:55.029,00:11:00.619,"like Beethoven on the computer, you have labored to produce..."
00:11:07.667,00:11:09.002,a biologic.
00:11:10.920,00:11:12.088,A what?
00:11:12.088,00:11:15.342,"A whale, Beaumont."
00:11:15.342,00:11:20.305,A marine mammal that knows a hell of a lot more about sonar than you do.
00:11:20.305,00:11:21.889,Kill the SAPS.
00:11:21.889,00:11:26.227,Train over to 2-6-9 and let's try it again.
00:11:26.227,00:11:30.315,"If he gets to ragging on you too bad, kid, you could always ask him about Pavarotti."
00:11:30.315,00:11:32.108,"JONES: COB, we don't have time for sea stories."
00:11:32.108,00:11:39.032,I was in the middle of teaching Seaman Beaumont here the intricacies of modern sonar. Now-- I ain't chief of the boat.
00:11:39.032,00:11:41.117,"I'm actually Sheena, queen of the jungle."
00:11:41.117,00:11:42.285,"COB, please."
00:11:42.285,00:11:43.870,"BEAUMONT: Come on, COB. Tell me."
00:11:43.870,00:11:47.666,Okay. Fine. Go ahead.
00:11:49.167,00:11:52.837,"Seaman Jones here, he's-- He's into music in a big way."
00:11:52.837,00:11:58.218,"He figures this whole boat is basically just his own personal, private stereo set."
00:11:59.469,00:12:03.181,So he gets this piece of Pavarotti-- It was Paganini.
00:12:03.181,00:12:04.474,It was Paganini.
00:12:04.474,00:12:05.933,"Look, this is my story, okay?"
00:12:05.933,00:12:08.228,"Tell it right, COB."
00:12:08.228,00:12:10.438,Paganini was a composer.
00:12:10.438,00:12:18.488,"Okay. So he's got this music, and he's got it out in the water, and he's-- He's listening to it on his headsets, and he's just happy as a clam."
00:12:18.488,00:12:20.615,And then all hell breaks loose.
00:12:20.615,00:12:24.661,There's a whole slew of boats out of San Diego-- Including one way out at Pearl.
00:12:24.661,00:12:27.080,Including one way the hell out at Pearl.
00:12:27.080,00:12:29.499,"All of a sudden, they start hearing..."
00:12:29.499,00:12:30.791,Pavarotti.
00:12:30.791,00:12:32.377,Coming out of their asses.
00:12:34.795,00:12:36.339,What do I do?
00:12:36.339,00:12:37.674,I got it.
00:12:40.260,00:12:43.471,"Conn. Sonar. New contact, bearing 0-9-7."
00:12:43.471,00:12:46.391,Designate contact number Sierra 3-5.
00:12:46.391,00:12:48.351,"Captain, aye."
00:12:48.351,00:12:50.019,"Distant contact, probably submerged."
00:12:50.019,00:12:54.148,"It's a wild guess, but I'd say we hit a boomer coming out of the barn."
00:12:54.148,00:12:58.278,Could be a missile boat out of Polijarny.
00:12:58.278,00:13:01.155,Okay. Start your track.
00:13:01.155,00:13:02.449,"Sonar, aye."
00:14:03.510,00:14:05.886,"Time to open the orders, sir."
00:14:06.887,00:14:12.018,The political officer is in your cabin.
00:14:12.018,00:14:14.729,Very well.
00:14:14.729,00:14:16.314,You have the conn.
00:14:36.125,00:14:37.585,What are you doing?
00:14:39.379,00:14:43.466,"I must oversee the stability of the crew, Captain."
00:14:43.466,00:14:47.345,By invading my privacy?
00:14:49.096,00:14:53.976,"Privacy is not of major concern in the Soviet Union, comrade."
00:14:53.976,00:14:57.938,It's often contrary to the collective good.
00:15:03.194,00:15:06.781,"Behold, I am coming as a thief."
00:15:07.907,00:15:13.413,And they gathered them together in a place called...
00:15:15.248,00:15:18.292,...Armageddon.
00:15:18.292,00:15:31.389,"And the seventh angel poured forth his bowl into the air, and a voice cried out from heaven, saying, 'It is done.' A man with your responsibilities, reading about the end of the world."
00:15:32.973,00:15:34.225,And what's this?
00:15:34.225,00:15:39.980,"I am become death, the destroyer of worlds."
00:15:39.980,00:15:44.527,It is an ancient Hindu text quoted by an American.
00:15:44.527,00:15:50.324,"Mmm. He invented the atomic bomb, and he was later accused of being a communist."
00:15:50.324,00:15:53.828,You wrote and underlined these passages?
00:15:53.828,00:15:55.914,No.
00:15:58.792,00:16:01.377,This book belonged to my wife.
00:16:01.377,00:16:03.212,I keep it for sentimental value.
00:16:03.212,00:16:04.672,"I'm sorry, Comrade Captain."
00:16:04.672,00:16:06.800,Your wife was a beautiful woman.
00:16:06.800,00:16:09.928,Her death was unfortunate.
00:16:09.928,00:16:12.847,I'm only doing my job.
00:16:17.059,00:16:20.271,How many agents did the KGB put aboard my boat?
00:16:20.271,00:16:22.482,"Your boat, Captain?"
00:16:22.482,00:16:26.277,This vessel belongs to the people of the Soviet Union.
00:16:26.277,00:16:33.075,"Besides, if the KGB or the GRU has agents aboard, I will be the last to know."
00:16:35.662,00:16:39.332,"I suggest we open our orders, Captain."
00:16:40.416,00:16:42.376,"Certainly, comrade."
00:17:25.003,00:17:26.504,From commander...
00:17:26.504,00:17:30.299,"Strategic submarine forces, red banner northern fleet."
00:17:30.299,00:17:35.763,We're to proceed north to grid square reference 54-90.
00:17:35.763,00:17:39.726,And rendezvous with alfa submarine Konovalov.
00:17:39.726,00:17:42.061,Captain Tupolev's boat.
00:17:42.061,00:17:43.396,You know Tupolev?
00:17:43.396,00:17:47.984,"I know he descends from aristocracy, and that he was your student."
00:17:47.984,00:17:52.446,It's rumored he has a special place in his heart for you.
00:17:52.446,00:17:56.158,There's little room in Tupolev's heart for anyone but Tupolev.
00:18:00.038,00:18:03.666,"Having made contact, we are to run a series of drills."
00:18:03.666,00:18:06.878,Tupolev will hunt us while we test our ship.
00:18:06.878,00:18:14.552,"Having evaluated the operational readiness of the caterpillar drive, we are to return to Polijarny on or about the 16th of this month."
00:18:16.012,00:18:20.433,"Captain, this is an historic moment for all of us."
00:18:20.433,00:18:22.226,I'd like to make a request.
00:18:20.433,00:18:28.566,"Before you proceed, comrade-- I know it is not protocol, Captain, but would you permit me to post our orders and inform the crew of our mission?"
00:18:34.447,00:18:36.115,Aah!
00:18:53.424,00:18:57.386,"Where I'm going, you cannot follow."
00:19:25.790,00:19:29.502,"Dr. Petrov, report to my cabin immediately."
00:19:29.502,00:19:31.629,There's been a dreadful accident.
