start,end,script
00:39:23.027,00:39:25.238,"Secure this area and block all exits, now."
00:39:25.405,00:39:27.031,Go!
01:00:33.130,01:00:34.840,"-Do you want dessert? -No, thank you."
01:00:35.340,01:00:37.008,I'd like one.
01:00:37.300,01:00:39.928,This is a game that rewards patience and balance.
01:00:40.095,01:00:43.640,You must think like a man of action and act like a man of thought.
01:02:18.235,01:02:21.988,"Cassian, what does one do when there's no way out of a situation?"
01:02:22.364,01:02:24.282,If there's no way out...
01:02:25.450,01:02:28.828,...the best thing is to find a way further in.
01:50:39.216,01:50:41.885,With compliments of Enzo and Mario Calvini.
01:50:57.025,01:50:58.527,Thank you.
00:01:11.696,00:01:15.116,"MAN: Listen, I'm from the Bronx, so you need to keep it simple."
00:01:15.283,00:01:19.496,Why is the bank buying all this missile-guidance stuff from Calvini?
00:01:21.331,00:01:22.582,I don't get it.
00:01:53.196,00:01:54.864,The window will stay closed.
00:01:58.368,00:01:59.702,You need to relax.
00:02:00.245,00:02:03.081,I'm more comfortable tense.
00:02:04.249,00:02:06.042,"You came to us, remember?"
00:02:06.209,00:02:08.711,You wanted a way out and I'm offering you one.
00:02:08.878,00:02:11.673,I only met you 30 minutes ago...
00:02:11.840,00:02:16.386,...and now you expect me just to walk away from everything I know...
00:02:16.636,00:02:18.721,...put my life in your hands.
00:02:20.348,00:02:23.852,"You want a little more time to think things through, I get it..."
00:02:24.018,00:02:26.146,...but we're gonna need another meet...
00:02:27.063,00:02:29.232,...and I'm gonna need to see some paper.
00:02:31.651,00:02:34.863,Yes. Now get out of the car.
00:02:57.427,00:02:58.428,-Hey. -Ella?
00:02:58.595,00:03:00.680,"-You done? -Yeah, I just met with him."
00:03:00.847,00:03:02.932,"-And? -Oh, he's real."
00:03:03.099,00:03:05.602,He's real enough to blow this thing wide open.
00:03:05.768,00:03:08.521,He told me the bank's buying $200 million worth...
00:03:08.688,00:03:10.189,...of missile-guidance systems.
00:03:10.356,00:03:12.775,-What do they need those for? -I don't know.
00:03:12.942,00:03:14.402,You gonna see him a second time?
00:03:14.569,00:03:18.781,"Yeah, yeah. Listen, we're gonna meet again. He's agreed to bring me paper."
00:03:18.948,00:03:20.783,"Right, I'll call you later."
00:03:21.159,00:03:22.994,"Thanks, Elle."
00:03:46.476,00:03:47.810,Hey.
00:04:15.004,00:04:18.549,DOCTOR: Are you experiencing any blurred or double vision?
00:04:19.217,00:04:21.010,LOUIS: No.
00:04:22.095,00:04:23.137,Nothing.
00:04:23.304,00:04:24.931,"Just follow the light, please."
00:04:30.812,00:04:34.315,It's been noted that you were experiencing ringing in your ears.
00:04:34.482,00:04:35.525,Yes.
00:04:35.692,00:04:38.945,I would like to keep you here overnight for observation.
00:04:39.112,00:04:41.197,That won't be necessary.
00:04:44.867,00:04:46.744,Where's my colleague?
00:04:50.873,00:04:52.041,Thomas Schumer.
00:05:04.721,00:05:06.556,It was definitely a heart attack?
00:05:08.599,00:05:11.519,Acute myocardial infarction. Yes.
00:05:25.950,00:05:28.077,"Your penlight, can I use it?"
00:05:41.257,00:05:42.258,What are you doing?
00:05:42.842,00:05:44.552,Can you help me turn him over?
00:05:44.719,00:05:47.597,-I'm afraid I can't allow you to-- -Just help me.
00:06:07.241,00:06:10.703,We need to contact the Berlin police and request an immediate autopsy.
00:06:10.870,00:06:12.288,Why?
00:06:12.705,00:06:15.750,Because I don't think this man died of natural causes.
00:06:16.417,00:06:17.794,"MAN: Come on, Ella."
00:06:17.960,00:06:20.880,If Schumer met this insider in Berlin...
00:06:21.047,00:06:23.800,...odds are this guy's a foreign national. So it's federal.
00:06:23.966,00:06:26.344,But you're not listening to me. Let them meet again.
00:06:26.511,00:06:29.013,The guy's gonna bring paper and Tommy will close him.
00:06:29.180,00:06:33.142,You still have to coordinate with Justice if you want witness protection.
00:06:33.309,00:06:36.104,I just tried both their cells again. Straight to voice mail.
00:06:36.270,00:06:37.480,Ugh. Shit.
00:06:37.647,00:06:40.983,I'm gonna try Tommy's wife at work. If I have to bring DOJ into this...
00:06:41.150,00:06:44.070,...they're gonna do what they've always done with this.
00:06:44.237,00:06:47.156,"They're gonna stall us with red tape, informant's gonna bolt..."
00:06:47.323,00:06:49.742,"...and I'm telling you, he could be the bombshell..."
00:06:49.909,00:06:52.495,...we've spent the last two years looking for.
00:06:53.162,00:06:54.372,Voice mail.
00:06:55.915,00:06:58.584,What's going on? Why aren't they calling us back?
00:06:58.751,00:07:01.671,What do you want me to do? I can't afford another turf war.
00:07:01.838,00:07:05.842,-It's Salinger. -Finally. Put him on speaker.
00:07:07.969,00:07:11.431,"Jesus, Lou. What took you guys so long?"
00:07:13.015,00:07:15.476,Hello? You there?
00:07:17.311,00:07:19.272,"ELEANOR: So, what's up?"
00:07:20.606,00:07:22.650,Tommy's dead.
00:07:24.277,00:07:25.528,What?
00:07:29.323,00:07:31.033,"He's dead, Ella."
00:07:31.200,00:07:33.953,I need you to get over here as soon as you can.
00:07:35.913,00:07:39.417,"LOUIS: Unnaturally red blood, lambent membranes."
00:07:39.584,00:07:42.003,Two key indicators of hydrocyanic poisoning.
00:07:42.211,00:07:43.588,This lesion on the neck...
00:07:43.754,00:07:47.425,"...is how the poison was introduced into the bloodstream, percutaneously."
00:07:47.592,00:07:49.677,The lesion tested negative for any poison.
00:07:49.844,00:07:53.347,There are any number of reasons for this discoloration of the blood...
00:07:53.514,00:07:57.727,"...least likely of which is hydrocyanic-- I'm telling you, he was murdered."
00:08:04.525,00:08:07.528,"Well, I'm assuming you suspect a combination..."
00:08:07.695,00:08:09.739,...of prussic acid and DMSO...
