start,end,script
00:00:14.347,00:00:16.224,-Were you on Kenmare or...? Kenmare. -On Kenmare.
00:00:16.307,00:00:20.687,And I was on Prince and-- and Elizabeth and Spring Street.
00:00:20.770,00:00:30.030,"So basically, he's the only one over the years that, uh, in a sense, that knows where I came from and who-- whom I knew and knows that world, and that led to the pictures we made."
00:00:32.949,00:00:37.454,"How long was it before you got together with this, for The Irishman?"
00:00:37.537,00:00:39.706,"-Casino, how many years was that? -Casino was 22 years."
00:00:39.789,00:00:41.041,-You too. -Jeez.
00:00:47.297,00:00:49.841,-'cause you wrote a-- a long treatment. -Yeah. Yeah.
00:00:49.924,00:01:02.187,"And-- And, um-- But this, uh... I Heard You Paint Houses, And you mentioned it to me first up at your... your place up in New York."
00:01:02.270,00:01:06.858,"-I gave it upstate when we were talking. -When we was talking, and you said, We're gonna do this movie, and..."
00:01:14.032,00:01:15.784,You guys are gonna make this movie someday.
00:01:15.867,00:01:17.786,"-Wow. -I said, Yeah, good. Okay. Bye."
00:01:19.829,00:01:21.873,-I thought the same thing too in a way. -Did you?
00:01:21.956,00:01:25.919,That wasn't really the original intent of us getting back together and working again.
00:01:26.002,00:01:35.470,"Uh, but that's where it eventually, by process of elimination, and interest, and-- in the sense that it's real."
00:01:40.725,00:01:45.188,"in the context of organized crime, and that sort of-- But that's just the context."
00:01:47.857,00:02:00.036,"...as we grew older, we're able to look at this world, this context, ...with the humanity of people who are together, close, loyal to each other, love each other, and then, there has to be a betrayal."
00:02:00.578,00:02:04.499,"I know how you feel, Frank. Trust me, I know how you feel."
00:02:06.376,00:02:09.087,"I told you before, we tried everything to help him."
00:02:09.170,00:02:10.213,You know that.
00:02:10.296,00:02:11.339,You tried.
00:02:12.048,00:02:13.758,He brought this on himself.
00:02:13.842,00:02:17.595,It just seemed to fall into place for our age.
00:02:19.430,00:02:22.433,And so the whole picture's more intimate and personal.
00:02:22.517,00:02:26.771,"It's-- It's got a big canvas, but it st-stays with the three-- the three guys."
00:02:32.193,00:02:35.530,"because, uh, it-it seemed to fit perfectly with the characters, you know?"
00:02:35.613,00:02:38.741,We didn't even really have to talk much about these characters.
00:02:38.825,00:02:39.909,-Yeah. -Um...
