start,end,script
00:17:21.708,00:17:23.166,In Italy - the war.
00:17:24.875,00:17:25.750,Where?
00:17:26.750,00:17:27.583,Salerno.
00:17:28.875,00:17:29.750,Anzio.
00:17:31.083,00:17:31.916,Sicily...
00:17:32.416,00:17:33.708,...around Catania.
00:17:33.791,00:17:36.291,Catania? I'm from Catania.
00:17:36.791,00:17:40.916,Yeah? I thought you had an accent like Catania.
00:17:43.416,00:17:45.791,How long were you in the war?
00:17:46.583,00:17:47.666,Four years.
00:17:48.250,00:17:51.291,411 days in combat...
00:17:52.041,00:17:54.000,...122 at Anzio.
00:18:03.333,00:18:05.291,Were you afraid of dying?
00:18:07.666,00:18:09.000,Always afraid.
00:01:44.250,00:01:46.125,I was a working guy.
00:01:46.791,00:01:51.583,A business agent for Teamster Local 107 out of South Philly.
00:01:51.666,00:01:54.208,One of a thousand working stiffs...
00:01:56.833,00:01:58.583,until I wasn't no more.
00:02:00.625,00:02:01.625,And then...
00:02:02.875,00:02:04.666,I started painting houses...
00:02:06.708,00:02:07.916,myself.
00:02:24.041,00:02:27.833,"In this particular matter, the whole thing was built around the wedding."
00:02:30.708,00:02:34.375,Bill Bufalino's daughter was getting married in Detroit.
00:02:34.458,00:02:38.625,"Bill was a Teamster lawyer, but more important, he was Russell Bufalino's cousin."
00:02:40.000,00:02:45.666,"Now, Russell didn't want to fly, so I was gonna drive him to the wedding."
00:02:46.291,00:02:54.166,"He wanted to take care of some business along the way, which in Russell's case meant only one thing: Money... collecting it."
00:02:54.250,00:02:55.666,So we'd drive.
00:02:55.750,00:02:58.875,Him and his wife Carrie and me and my wife Irene.
00:02:58.958,00:03:00.791,Or I call her Reenie.
00:03:02.208,00:03:22.500,"I figured we would take 476 out of Philly, and then we go up to Pittston and pick up Russ, which is usually how we did it, and then Interstate 80 West through the rest of Pennsylvania, and then we'd go across Ohio, all the way to Toledo, and then we would go 75 North to Detroit."
00:03:25.708,00:03:34.625,"It was gonna take about three days with all the business breaks and cigarette stops, since Russell didn't allow nobody to smoke in the car."
00:03:34.708,00:03:43.458,He says Jimmy Blue Eyes and Meyer Lansky convinced him to stop smoking when they were getting kicked out of their casinos in Cuba and getting shot at by Castro.
00:03:44.291,00:03:51.541,"I don't know. It might have been one of those, Please-God-if-I-ever-get-out- of-this-fucking-thing-alive- I'll-never-smoke-again things too."
00:03:51.625,00:03:58.583,"But I do know that from Castro on, Russ wouldn't allow nobody to smoke in his car, not even Carrie."
00:04:17.000,00:04:19.000,Can we stop soon?
00:04:21.250,00:04:24.000,"We're only in the car two minutes, honey."
00:04:24.083,00:04:26.000,We're not even near the highway.
00:04:26.083,00:04:29.041,"I know, Russell. But you don't like to stop on the highway."
00:04:29.916,00:04:31.333,"Well, it's not that so much."
00:04:31.416,00:04:33.916,They don't let you stop on the highway.
00:04:35.041,00:04:37.250,"Okay, so then we'll smoke in the car."
00:04:38.250,00:04:39.958,And what about my cataracts?
00:04:41.875,00:04:43.500,I'll crack the window.
00:04:46.000,00:04:49.291,"Carrie, I made a vow. Remember?"
00:04:49.375,00:04:50.791,"Remember I made a vow, Carrie?"
00:04:53.916,00:04:55.791,"All right, and now I can't smoke."
00:05:14.875,00:05:16.458,See where we are?
00:05:21.166,00:05:22.958,Is... Is that...
00:06:33.583,00:06:36.375,I don't... I don't know. It sounds funny.
00:06:36.458,00:06:38.791,"It stops, it starts, it loses power."
00:06:40.166,00:06:41.916,Let me see if I can give you a hand.
00:06:48.250,00:06:49.916,Spark plugs are okay.
00:06:50.000,00:06:52.875,The distributor cap's okay.
00:06:52.958,00:06:53.791,Good.
00:06:53.875,00:06:56.291,It's gotta be something with... with this.
00:06:57.000,00:06:58.666,Uh-oh. Timing chain.
00:06:59.333,00:07:01.875,This is what this is. There's a cap on it.
00:07:01.958,00:07:04.583,This cap is loose. It ain't supposed to be loose.
00:07:05.625,00:07:07.583,So that means they're getting worn out.
00:07:07.666,00:07:08.750,You just gotta...
00:07:08.833,00:07:11.333,Try that now. Tighten it up.
00:07:15.458,00:07:16.291,Huh?
00:07:19.666,00:07:21.375,"You're back in business, kid."
00:07:21.458,00:07:22.666,Thanks.
00:07:24.458,00:07:26.333,-I owe you anything? -No.
00:07:26.416,00:07:28.333,"No, you don't owe me anything."
00:07:28.416,00:07:29.375,"Oh, thanks."
00:07:29.458,00:07:32.000,"-Frank. -Hey, Frank. How ya doing?"
00:07:34.791,00:07:35.875,What's your name?
00:07:39.416,00:07:40.625,Where you from?
00:07:41.541,00:07:43.416,"-Philly. -Oh, you're from Philly."
00:07:43.500,00:07:44.541,-Yeah. -Ah.
00:07:46.375,00:07:47.958,Where you hang out there?
00:07:48.625,00:07:49.708,Callahan's.
00:07:50.333,00:07:53.375,"Bocce Club. But it's a bar, it's not a bocce club."
00:07:53.958,00:07:55.833,"Oh, yeah. You play bocce?"
00:07:58.125,00:08:01.041,"All right, Frankie... get that fixed."
00:08:01.125,00:08:02.541,"Because it'll go again on you, I'm telling you."
00:08:02.625,00:08:03.625,-Thank you. -All right.
00:08:08.250,00:08:11.166,"I mean, I thought maybe he owned the gas station."
00:08:11.250,00:08:13.541,"'Cause he owned something, you could tell."
00:08:13.625,00:08:15.666,"Yeah, it turns out he owned the whole road."
00:08:37.208,00:08:38.208,This one?
00:08:43.583,00:08:45.041,God bless.
00:08:45.125,00:08:47.166,Let's go. Let's go. Let's make some money today.
00:08:48.833,00:08:50.125,It's a bar.
00:08:50.208,00:08:51.416,"Say hello to your wife, huh?"
00:08:52.416,00:08:55.916,"I got a way you can earn, to push those hindquarters."
00:08:56.000,00:08:58.500,"There's a guy in here, he'll pay a lot of money for them."
00:08:58.583,00:09:00.916,"Come on, let's shoot this first and then we'll talk business."
00:09:02.750,00:09:04.958,"At the other end of the bar, at twelve o'clock..."
00:09:05.041,00:09:06.833,You see him? He's got a receding hairline.
00:09:08.541,00:09:11.291,See him there? Skinny Razor. He owns the place.
00:09:11.375,00:09:12.375,Razor?
00:09:12.458,00:09:14.708,He shylocks and runs a little book out of the joint.
00:09:14.791,00:09:16.833,"He's got a lot of good action, good connections."
00:09:17.625,00:09:20.458,"-Razor's his name? -Yeah, he used to work at a butcher shop."
00:09:23.958,00:09:26.750,My friend Frank Irish is here. The one I told you about?
00:09:29.458,00:09:31.708,"-Oh, the truck. -Yeah, hindquarters."
00:09:32.416,00:09:33.416,Frank Sheeran.
00:09:35.333,00:09:36.333,You like steak?
00:09:37.541,00:09:38.625,I do.
00:09:40.791,00:09:41.791,Do ya?
00:09:43.583,00:09:45.458,I could deliver you steak.
00:09:51.500,00:09:54.083,Good price too. The best.
