start,end,script
00:00:16.016,00:00:17.392,And music.
00:00:17.559,00:00:23.606,"Edgy, scary music that would make a parent or studio executive nervous."
00:00:25.859,00:00:27.110,And logos.
00:00:27.694,00:00:31.406,Really long and dramatic logos.
00:00:31.573,00:00:33.158,Warner Bros.
00:00:33.324,00:00:35.869,Why not Warner Brothers? I don't know.
00:00:40.123,00:00:41.791,DC.
00:00:42.167,00:00:44.669,The house that Batman built.
00:00:45.545,00:00:47.797,"Yeah, what, Superman?"
00:00:47.964,00:00:49.966,"Come at me, bro."
00:00:50.133,00:00:52.010,I'm your Kryptonite.
00:00:58.641,00:00:59.642,Hmm.
00:00:59.809,00:01:03.313,"Not sure what RatPac does, but that logo is macho."
00:01:04.647,00:01:06.024,I dig it.
00:01:06.816,00:01:07.984,Okay.
00:01:08.151,00:01:11.988,Get yourself ready for some reading.
00:01:12.989,00:01:18.453,If you want to make the world a better place take a look at yourself and make a change.
00:01:19.079,00:01:20.080,Hooo.
00:01:21.247,00:01:22.832,No. I said that.
00:01:23.708,00:01:25.668,Batman is very wise.
00:01:25.835,00:01:28.213,I also have huge pecs and a nine-pack.
00:01:30.465,00:01:31.883,"Yeah, I've got an extra ab."
00:01:32.509,00:01:34.010,"Now, let's start the movie."
00:01:48.316,00:01:57.117,"We are transporting 11 million sticks of dynamite, 17,000 pounds of C-4, about 150 cute little classic bomb-type bombs, and two best friends!"
00:01:57.534,00:02:01.204,And request permission to fly over the most crime-ridden city in the world.
00:02:01.371,00:02:02.372,Over.
00:02:02.539,00:02:04.624,I'm just looking at all the guys' faces here in the control tower.
00:02:04.791,00:02:05.792,-I'm good. -Sounds good to me.
00:02:05.959,00:02:07.085,"-Do it! -Yeah, as long as they're best friends."
00:02:07.252,00:02:09.129,"-Thumbs up! -Yep, I think we're cool with that."
00:02:31.693,00:02:35.989,"seal breach in 5, 4, 3, 2, 1!"
00:02:37.991,00:02:38.992,What was that?
00:02:39.159,00:02:40.535,-One of us should check it out. -Okay.
00:02:42.162,00:02:43.204,-Paper. -Scissors.
00:02:43.371,00:02:44.414,Ha! You always do paper.
00:02:44.581,00:02:46.916,I'm a loser at home and a loser at work.
00:02:49.502,00:02:50.503,Holy cow!
00:02:55.174,00:02:57.093,"Captain Dale, is everything okay?"
00:03:01.097,00:03:02.849,I'm your new co-pilot.
00:03:03.182,00:03:07.186,And I always come to work with a smile!
00:03:12.108,00:03:14.027,-You should be terrified. -Why?
00:03:14.193,00:03:17.113,Because I will be taking over the city.
00:03:17.322,00:03:18.364,Mmm...
00:03:18.573,00:03:20.450,-What? -Batman will stop you.
00:03:22.076,00:03:23.077,"No, he doesn't."
00:03:23.244,00:03:24.913,What about that time with the two boats?
00:03:25.079,00:03:26.789,This is better than the two boats.
00:03:26.998,00:03:30.752,"-Mmm... -Well, tonight is gonna be different!"
00:03:31.252,00:03:33.963,Tonight is my greatest plan yet.
00:03:34.130,00:03:36.799,"And trust me, Batman's never gonna see it coming."
00:03:40.637,00:03:42.222,"-Good night, Steve. -Take it easy, Jeff."
00:03:43.514,00:03:45.099,"Man, I really like that guy."
00:03:45.266,00:03:47.310,I sure hope nothing bad happens to him.
00:03:52.815,00:03:53.816,What the...
00:03:55.652,00:03:58.071,by Gotham's greatest criminal minds.
00:03:58.238,00:04:03.493,Including Scarecrow.
00:04:03.660,00:04:05.203,Pizza delivery.
00:04:06.913,00:04:08.665,-Bane. -Hello.
00:04:08.831,00:04:09.832,Two-Face!
00:04:09.999,00:04:11.125,"We need that door open, baby!"
00:04:11.626,00:04:12.961,Catwoman.
00:04:13.127,00:04:14.128,"Meow, meow. You're in! Meow, meow."
00:04:26.641,00:04:27.642,You freeze!
00:04:29.185,00:04:31.938,"Penguin, Crazy Quilt, Eraser."
00:04:32.105,00:04:34.399,"Polka-Dot Man, Mime, Tarantula."
00:04:34.565,00:04:38.361,"King Tut, Orca, Killer Moth, March Harriet, Zodiac Master, Gentleman Ghost."
00:04:38.528,00:04:42.865,"Clock King, Calendar Man, Kite-Man, Catman, Zebra-Man, and the Condiment King."
00:04:44.909,00:04:46.536,"Okay, are you making some of those up?"
00:04:46.703,00:04:48.162,"Nope, they're all real."
00:04:48.329,00:04:49.706,Probably worth a Google.
00:04:52.083,00:04:53.835,"-Hey, watch it! -Commissioner Gordon!"
00:04:54.002,00:04:55.003,"What is it, O'Hara?"
00:04:55.169,00:04:56.170,We just got a report!
00:04:56.337,00:04:58.715,All the Z-grade villains have broken into the energy plant!
00:04:58.881,00:04:59.882,"What are we gonna do, sir?"
00:05:00.049,00:05:02.385,The only thing we ever do. Flip the switch to the Bat-Signal!
00:05:02.635,00:05:03.636,Flip!
00:05:05.221,00:05:06.889,"The Bat-Signal, she's been egged!"
00:05:09.058,00:05:10.601,I'm well aware of his work.
00:05:10.768,00:05:12.895,Dear gosh. You've destroyed the Bat-Signal.
00:05:13.062,00:05:14.647,You have thought of everything.
00:05:14.814,00:05:16.274,"Yeah, I know!"
00:05:16.441,00:05:17.859,And when I take over Gotham City...
00:05:22.447,00:05:24.407,of his greatest enemy!
00:05:25.533,00:05:27.618,Me! The Joker!
00:05:29.704,00:05:31.122,"Joker, do you read me?"
00:05:31.289,00:05:32.415,"10-4, girl buddy."
00:05:32.582,00:05:33.916,"We're ready for you, sugar plum."
00:05:34.083,00:05:36.419,"Well, then, let's raise the roof!"
00:05:46.721,00:05:48.139,"O'Hara, have you tried the Bat-Phone?"
00:05:48.306,00:05:50.641,"Yes, but all I'm getting is this hold music."
00:05:52.602,00:05:53.603,I love it.
00:05:56.939,00:05:58.775,-I want snipers trained on that building! -You bet!
00:05:58.941,00:06:01.069,"-I want water and air support, yesterday! -Ahoy, sir!"
00:06:01.235,00:06:02.612,And I need SWAT here now!
00:06:03.946,00:06:04.947,Hello? Batman?
00:06:05.114,00:06:07.700,"Hi, Jimmy! It's the Jokes. Oop!"
