start,end,script
00:01:32.667,00:01:35.959,I love you.
00:01:36.000,00:01:38.834,Fabulous!
00:01:38.875,00:01:42.000,You're welcome.
00:01:42.041,00:01:44.000,Thank you.
00:01:44.041,00:01:47.500,Right. Now-- Oh!
00:01:47.542,00:01:49.542,"Thank you, Bernard."
00:01:49.583,00:01:52.417,Thank you.
00:01:52.458,00:01:56.083,Beautiful day.
00:01:56.125,00:01:58.083,Eating my sandwich.
00:01:58.125,00:02:00.166,"We're having prawns, your favorite."
00:02:00.208,00:02:03.041,"Darling, don't wander off."
00:02:03.083,00:02:05.625,"For God's sake, leave her alone, Deirdre."
00:02:05.667,00:02:09.750,"Sweetheart, we'll play with your ball."
00:02:14.667,00:02:18.041,"Darling, what about snakes?"
00:02:19.166,00:02:21.917,There aren't any snakes on the beach.
00:02:21.959,00:02:24.041,Just let her enjoy herself for once.
00:02:27.166,00:02:28.625,Edward!
00:03:02.333,00:03:04.709,"Well, hello there."
00:03:04.750,00:03:08.333,"What are you, some sort of bird or something?"
00:03:13.291,00:03:16.291,Are you hungry?
00:03:16.333,00:03:18.917,It's roast beef.
00:03:18.959,00:03:22.000,Come on.
00:03:22.041,00:03:26.542,Mummy! Daddy!
00:03:40.208,00:03:42.667,"Cathy darling, lunch is ready!"
00:03:42.709,00:03:47.125,Are you looking at this?
00:03:47.166,00:03:50.834,I'm afraid there isn't enough to go around.
00:03:55.458,00:03:58.583,Paul?
00:03:58.625,00:04:01.250,Cathy!
00:04:03.208,00:04:05.250,"Will you hurry up, please?"
00:04:05.291,00:04:06.875,Hurry up!
00:05:03.208,00:05:05.083,"You're him, right?"
00:05:06.375,00:05:08.417,Excuse me?
00:05:08.458,00:05:12.041,The scientist? The guy?
00:05:14.208,00:05:16.834,I believed you.
00:05:48.041,00:05:52.458,Whom shall I tell Mr. Hammond is calling?
00:05:52.500,00:05:53.875,I've been summoned.
00:05:54.959,00:05:56.333,Thank you.
00:06:15.792,00:06:18.375,Dr. Malcolm!
00:06:18.417,00:06:21.625,"God-- Oh, my God!"
00:06:21.667,00:06:24.291,Kids! Kids!
00:06:24.333,00:06:27.417,It's so great to see you.
00:06:24.333,00:06:30.834,It's so great-- Look at you.
00:06:30.875,00:06:33.000,"Yeah, yeah."
00:06:33.041,00:06:36.000,Do you know what it's about?
00:06:36.041,00:06:39.333,"This joint's kinda creepy, isn't it?"
00:06:39.375,00:06:43.542,Is everything okay?
00:06:53.709,00:06:57.000,"Well, Dr. Malcolm."
00:06:57.041,00:07:01.709,Dr. Malcolm. Here to share a few campfire stories with my uncle?
00:07:07.375,00:07:10.083,You can convince the Washington Post and the Skeptical Inquirer...
00:07:10.125,00:07:12.250,"of whatever you want, but I was there."
00:07:12.291,00:07:14.000,"I know what happened, and so do you."
00:07:14.041,00:07:17.000,Do you actually believe that everyone who chose discretion...
00:07:17.041,00:07:19.750,did so for nefarious motives?
00:07:19.792,00:07:21.125,Signature.
00:07:21.166,00:07:25.000,Leave them out of it.
00:07:25.041,00:07:28.000,You signed a nondisclosure agreement before you went to the island...
00:07:28.041,00:07:31.083,that expressly forbade you from discussing anything you saw.
00:07:31.125,00:07:33.000,You violated that agreement.
00:07:33.041,00:07:35.417,You twisted the facts surrounding the deaths of three people.
00:07:35.458,00:07:43.000,"You stuffed misinformation down the public's throat, which made me look like a nut, hasn't been so good for my livelihood-- We made a generous compensatory offer for your injuries."
00:07:43.041,00:07:44.583,That was a payoff and an insult.
