start,end,script
00:00:51.634,00:00:56.890,"Every family has its challenges, from picture day to picky eaters."
00:00:57.515,00:01:03.313,"For my family, our greatest challenge… …probably the machine apocalypse."
00:01:06.399,00:01:08.651,The last humans must be here somewhere.
00:01:10.403,00:01:11.321,Wait.
00:01:12.489,00:01:13.448,They're coming.
00:01:18.036,00:01:21.247,Is that a burnt-orange 1993 station wagon?
00:01:25.001,00:01:26.836,Who are these unstoppable warriors?
00:01:28.713,00:01:31.257,-The dog is biting my hair! -Look out!
00:01:33.259,00:01:34.427,warriors.
00:01:35.011,00:01:37.138,Most action heroes have a lot of strengths.
00:01:37.222,00:01:38.765,"-Dad, look out! -Katie, use a weapon!"
00:01:52.112,00:01:54.572,of that YouTube video of the screaming gibbon monkey.
00:02:09.003,00:02:13.466,"…we are hungry for action, and we're strapped in for success."
00:02:14.759,00:02:20.473,And we have no… …idea what we're doing.
00:02:46.040,00:02:49.752,"So I did what any outsider would do, made weird art."
00:02:49.836,00:02:51.421,Behold! Cinema.
00:02:55.633,00:02:56.759,"Hello, Katie."
00:02:59.137,00:03:03.391,"Even though I'm a hamburger, I wanna go to the big city and be a Broadway star."
00:03:06.644,00:03:08.730,"Oh gosh! Why? Oh, my innards!"
00:03:21.409,00:03:23.411,for lots of reasons.
00:03:25.496,00:03:27.457,But movies were always there for me.
00:03:29.500,00:03:33.963,"All right, Aaron, you're 58 years old, you're a hardened criminal, and you got nothing to lose."
00:03:34.047,00:03:34.881,Go.
00:03:43.389,00:03:45.266,And I'm all out of criminals.
00:03:48.519,00:03:51.731,"To be fair, it took me a while to figure myself out."
00:03:56.819,00:03:59.030,My little brother Aaron gets me.
00:03:59.113,00:04:01.241,But he's got his own weird interests.
00:04:01.324,00:04:03.618,Hi. Would you like to talk to me about dinosaurs?
00:04:03.701,00:04:04.827,"No. Okay, thank you."
00:04:08.790,00:04:11.209,Hi. Would you like to talk to me about dinosaurs?
00:04:14.045,00:04:15.255,"You can do this, hon."
00:04:17.882,00:04:19.676,You can look straight.
00:04:19.759,00:04:22.220,Follow this pen. Follow this pen.
00:04:23.805,00:04:25.848,"You get an A for effort, Buster Brown."
00:04:31.271,00:04:34.148,But he loves nature and can fix anything.
00:04:34.649,00:04:38.778,"To survive in the outdoors, you'll need to know how to trap wild game."
00:04:44.993,00:04:46.160,"Hey, who's this curious guy?"
00:04:53.001,00:04:55.503,"Hey, you wanna see these special effects I made for Dog Cop 5?"
00:04:55.586,00:04:57.880,"Oh, sorry, Katie. I'm a little ocupado."
00:04:57.964,00:04:59.507,Wanna check out this mallard?
00:05:08.474,00:05:10.601,"Besides, I had bigger plans."
00:05:14.272,00:05:17.817,I poured everything I had into getting into film school in LA.
00:05:19.569,00:05:49.390,"So, after watching the epic Dog Cop saga and 84 of my finest short films, I'm sure the California College of Film would love to accept Katie Mitchell… You guys like Robo Slayers 4?"
00:05:49.474,00:05:51.142,No one around here have even heard of that.
00:05:51.225,00:05:52.643,Why not? It's amazing.
00:05:52.727,00:05:54.604,"Oh, by the way, I saw some of your videos online."
00:05:54.687,00:05:55.563,They're hilarious.
00:05:55.646,00:05:57.357,-So good. -Mind-blowing.
00:06:08.326,00:06:09.327,Coming.
00:06:21.381,00:06:23.091,"Well, someone's in a good mood."
00:06:23.174,00:06:26.135,"Hey, to celebrate your last night, Katie face cupcakes!"
00:06:28.262,00:06:31.349,"Any time I miss you, I'm gonna bake you and eat you."
00:06:40.316,00:06:42.652,Ah man. I'm gonna miss that little dude when I leave.
00:06:42.735,00:06:45.530,"Speaking of which, Pal, check me in to my flight tomorrow."
00:06:46.906,00:06:50.118,"Katie, you know how velociraptors usually hunt in pairs?"
00:06:51.119,00:06:58.751,"Well, what happens when one leaves the pack and… and, um… Aw, dude, don't worry."
00:06:58.835,00:07:00.420,You'll make new friends.
00:07:00.503,00:07:04.424,"And maybe you can meet another smart, charming, dinosaur-loving nerd."
00:07:05.883,00:07:06.717,Or lady nerd.
00:07:09.262,00:07:10.596,That's crazy.
00:07:14.600,00:07:17.019,Do you really think I'll be okay without you?
00:07:17.103,00:07:18.813,I know you will.
00:07:22.316,00:07:24.110,"And, hey, I made something for you guys."
00:07:24.193,00:07:26.112,"Oh, hon. That looks so cute."
00:07:28.072,00:07:30.158,"Ah, come on. You got schmutz all over the screen."
00:07:30.241,00:07:31.951,"-Howdy. -I know, but you're just smearing it."
00:07:32.034,00:07:33.911,"I'm Mark Bowman, founder and CEO of Pal Labs."
00:07:33.995,00:07:35.413,"Oh, new Pal announcement."
00:07:35.496,00:07:37.248,"You better update the editing software, man."
00:07:37.331,00:07:44.505,"We here at Pal like to do the impossible, from the Pal personal assistant to smart appliances to even teaching dogs how to talk."
00:07:46.007,00:07:47.925,I am dog.
00:07:49.469,00:07:52.180,But we here at Pal are about to drop our biggest invention yet.
00:07:52.889,00:07:55.558,Your cell phone is about to take its first steps.
00:07:55.641,00:08:01.189,"-Whoa. -Is this real or… -Hey, hon. -Hi, Dad."
00:08:01.689,00:08:04.275,"After a long day at work, nice to see your faces."
00:08:06.986,00:08:09.238,Bathed in ghoulish blue light.
00:08:09.322,00:08:10.990,"Wonderful. Okay, you know what?"
00:08:11.073,00:08:12.116,Brilliant idea.
00:08:12.200,00:08:16.287,"This is our last night together before Katie leaves, so let's savor this."
00:08:16.370,00:08:23.836,"How about we put our phones down, and we can make ten seconds of unobstructed family eye contact?"
00:08:23.920,00:08:27.924,-Starting right-- -This seems-- Put your phone down. Now.
00:08:38.643,00:08:41.312,"No, you're allowed to blink. It's just eye contact."
00:08:42.605,00:08:44.106,"That's the spirit right there, huh?"
00:08:44.190,00:08:46.442,"Katie, it seems like you're not taking this seriously."
00:08:51.072,00:08:54.242,"Now that we're all really comfortable, I can't wait for you to see my new movie."
00:08:54.325,00:08:57.662,-Mm-hmm. -I think it might be a masterpiece.
00:09:12.843,00:09:14.679,What? What's the face?
00:09:14.762,00:09:22.687,"Uh, well, I just wonder, do you really think you can make a living with this stuff?"
00:09:22.770,00:09:24.438,"Dad, can you finish watching it, at least?"
00:09:27.275,00:09:34.031,"all the way in California and, you know, we're not gonna be able to help you, …pan out."
00:09:34.115,00:09:36.284,"Lin, why are you kicking me? I don't understand."
00:09:38.286,00:09:39.704,Do you just think I'm gonna fail?
00:09:39.787,00:09:42.456,"Uh, I never-- Uh, uh… Lin, help."
00:09:45.084,00:09:47.628,Who wants delicious cookies instead of talking about this?
00:09:47.712,00:09:50.298,"Oh, it's just-- Failure hurts, kid."
00:09:50.381,00:09:51.841,I want you to have a backup plan.
00:09:51.924,00:09:54.010,Why do you always have to do this? Ugh.
00:09:54.093,00:09:55.094,"Okay, you know what?"
00:09:55.177,00:09:56.929,"-I… I'm just gonna-- -No, look, I'll watch it."
00:09:57.013,00:09:58.014,"Dad, it's too late."
00:09:58.097,00:10:02.893,"-I wanna watch it. You're not letting me-- -Let me just-- -Why are you making a big deal of this? -Dad, let go!"
