start,end,script
00:38:01.821,00:38:02.780,Truly?
00:38:02.905,00:38:03.906,Yes!
00:38:34.020,00:38:38.482,I am Anck-su-namun reincarnated.
00:38:38.566,00:38:41.819,Only in body.
00:38:41.986,00:38:43.612,But soon...
00:38:43.821,00:38:49.827,I shall bring your soul back from the Underworld...
00:38:49.994,00:38:54.498,...and our love shall once again be whole.
00:39:48.844,00:39:51.931,I have a gift for you.
00:39:52.181,00:39:53.224,Her!
00:39:56.394,00:40:00.981,I knew it would please you to watch her die.
00:40:15.579,00:40:17.498,The Underworld awaits you.
00:41:21.604,00:41:22.605,You!
00:42:01.143,00:42:02.811,Collect your bones!
00:42:03.020,00:42:04.813,Gather your limbs!
00:42:05.064,00:42:07.733,Shake the earth from your flesh!
00:42:08.859,00:42:10.653,Your Master is here!
00:42:19.495,00:42:21.497,Destroy them!
00:48:37.873,00:48:42.753,I shall now go to Ahm Shere and kill the Scorpion King.
00:48:43.003,00:48:46.048,And with his Army we shall rule the world...
00:48:46.298,00:48:48.717,...together.
00:48:49.051,00:48:50.761,My Lord...
00:48:51.094,00:48:52.888,...there is something you must know.
00:48:52.971,00:48:54.973,They have the Scepter of Osiris.
00:48:55.057,00:48:57.017,I have seen it.
00:48:57.601,00:49:02.731,"By the time we reach Ahm Shere, my powers will have regenerated."
00:49:02.939,00:49:08.403,And I will have no need for the Scepter.
00:52:09.918,00:52:13.004,This chest must never be opened.
00:52:42.659,00:52:45.036,I know you can understand me little one.
00:52:45.120,00:52:47.622,So you must listen carefully because...
01:04:55.725,01:04:57.518,The boy.
01:06:48.129,01:06:52.508,It is time to remind you of who you are...
01:06:55.052,01:06:58.305,...and of who we are together.
01:06:58.556,01:07:07.023,"For our love is true love, an eternal love, our souls mated..."
01:07:07.273,01:07:08.899,together as one...
01:07:09.567,01:07:11.527,...forever.
01:07:56.489,01:07:57.990,Put your mask on!
01:07:58.157,01:08:00.076,Let's not scar that pretty face.
01:09:09.770,01:09:12.940,"You are learning quickly, Nefertiri."
01:09:13.232,01:09:15.109,I'll have to watch my back.
01:09:15.526,01:09:19.864,Yes... and I'll watch mine.
01:09:22.074,01:09:24.034,Bravo! Bravo!
01:09:25.703,01:09:30.082,Who better to protect the Bracelet of Anubis...
01:09:31.125,01:09:33.377,"than my lovely daughter, Nefertiri."
01:09:33.711,01:09:38.632,"And who better to protect me, than my future wife, Anck-su-namun."
01:09:43.262,01:09:45.723,"Well done, daughter."
01:10:51.664,01:10:52.706,The Pharaoh!
01:11:12.059,01:11:13.143,Medjai!
01:11:13.394,01:11:15.312,My father needs you!
01:11:38.127,01:11:40.629,-Go! Save yourself! -No!
01:11:40.713,01:11:42.589,Only you can resurrect me!
01:11:44.675,01:11:46.010,I won't leave you!
01:11:46.135,01:11:47.761,Get away from me!
01:11:49.638,01:11:50.723,Anck-su-namun!
01:11:54.268,01:11:57.438,My body is no longer his temple!
01:17:37.110,01:17:38.403,Lock-Nah!
01:17:38.612,01:17:41.198,Put the boy down.
01:17:45.285,01:17:48.955,I hope your parents enjoyed their journey.
01:25:53.273,01:25:54.357,My Lord...
01:25:54.858,01:25:57.986,Now there is no need for the boy.
01:25:58.236,01:25:59.946,"Yes, but we need the bracelet."
01:26:00.155,01:26:02.282,It will unlock the Army of Anubis.
01:26:02.532,01:26:03.616,The bracelet?
01:26:03.741,01:26:05.285,The bracelet is the key?!
01:26:21.384,01:26:22.969,What is it?
01:26:50.455,01:26:52.916,Fan out! Eyes open! Guns up!
01:27:09.140,01:27:13.061,Do not fear. They cannot harm me.
01:38:20.644,01:38:22.146,The great god Anubis...
01:38:22.354,01:38:24.857,...has taken my powers.
01:38:25.566,01:38:28.861,It seems he wishes me to fight...
01:38:29.069,01:38:30.779,...as a mortal.
01:40:04.581,01:40:06.625,So it begins.
01:41:06.477,01:41:08.854,I must face the Scorpion King alone.
01:41:09.313,01:41:10.481,No. You must not.
01:41:10.647,01:41:12.608,Without your powers he will kill you.
01:41:12.816,01:41:13.859,Nothing can stop us.
01:41:14.026,01:41:15.819,It is our destiny!
01:41:18.697,01:41:20.866,I don't want to lose you again.
01:43:32.414,01:43:34.333,So you wish to kill me?
01:43:35.918,01:43:37.878,And then you would kill him...
01:43:39.129,01:43:41.632,...and send his Army back to the Underworld.
01:43:42.966,01:43:45.802,This I cannot allow.
01:48:37.469,01:48:38.678,I am your servant!
01:48:39.012,01:48:41.223,I am your servant!
01:48:43.850,01:48:45.101,We shall see.
01:48:48.438,01:48:51.650,But he was sent to kill you!
01:49:24.182,01:49:25.267,Good.
01:49:40.532,01:49:42.617,You have remembered the old ways.
01:50:21.406,01:50:22.532,Why?
01:51:17.629,01:51:19.631,God help us.
01:52:39.669,01:52:41.546,Til Death!
01:53:11.284,01:53:12.452,The Spear of Osiris!
01:53:51.783,01:53:53.826,The Army of Anubis shall now be mine!
01:56:59.721,01:57:00.805,Help me!
01:57:01.597,01:57:02.640,Help me!
00:00:38.872,00:00:46.421,a fierce warrior known as the Scorpion King led a great army on a campaign to conquer the known world.
00:02:12.382,00:02:19.180,the Scorpion King and his army were defeated and driven deep into the sacred desert of Ahm Shere.
00:02:41.661,00:02:52.005,"One by one, they slowly perished under the scorching sun until only the great warrior himself was left alive."
00:02:59.137,00:03:12.775,"Near death, the Scorpion King made a pact with the dark god Anubis that if Anubis would spare his life and let him conquer his enemies, he would give him his soul."
00:03:20.700,00:03:24.621,Anubis accepted his offer and spared his life.
00:03:52.148,00:04:02.367,"Anubis gave the Scorpion King command of his army, and like an evil flood, they washed away all that lay before them."
00:04:13.169,00:04:19.342,"When his task was done, Anubis forced the Scorpion King to serve him for all time."
00:04:26.182,00:04:40.280,"His army was returned to the sands from whence they came, where they wait, silently, to be awakened once again."
00:06:17.043,00:06:18.211,Alex?
00:06:19.629,00:06:22.298,"What were you thinking, a mummy had come back to life?"
00:06:22.381,00:06:24.175,I'll tell you a story sometime.
00:06:24.258,00:06:25.218,What are you doing down here?
00:06:25.301,00:06:26.719,I told you to wait for us up in the temple.
00:06:26.803,00:06:27.804,"-But, Dad, I saw-- -No buts."
00:06:27.887,00:06:28.930,"It's dangerous down here, Alex."
00:06:29.013,00:06:31.682,-But I saw your tattoo. -You saw what?
00:06:31.766,00:06:34.811,On a wall by the entrance. There's a cartouche just like it.
00:06:34.894,00:06:39.190,With the pyramid and the eye and the two kings and everything.
00:06:39.565,00:06:41.567,-Really? -Yeah.
00:06:41.651,00:06:44.570,"Okay, well, I'll be up to take a look at that in a minute."
00:06:44.654,00:06:46.405,"In the meantime, I want you to wait for us up there."
00:06:46.489,00:06:47.573,But... But...
00:06:47.657,00:06:51.077,"No, pick up your stuff, and I'll see you up in the temple. Go."
00:06:52.620,00:06:55.915,-Go on. -And... And what shall I do?
00:06:55.998,00:06:58.459,I don't know. Surprise me.
00:06:58.918,00:07:01.254,-Build a better mousetrap. -Okay.
00:07:01.337,00:07:04.173,While your mother goes and desecrates another tomb.
00:07:18.146,00:07:19.522,Go away.
00:07:22.483,00:07:25.403,"-Those are poisonous, you know. -Only if they bite you."
00:07:25.486,00:07:28.072,"-What was all that about? -Oh, nothing."
00:07:28.156,00:07:30.783,Alex wanted to show me something.
00:07:30.867,00:07:35.413,"I swear, the kid gets more and more like you every day."
00:07:35.496,00:07:39.876,"What, you mean more attractive, sweet and devilishly charming?"
00:07:39.959,00:07:42.211,"No, he's driving me crazy."
00:07:42.670,00:07:44.422,"Now, where were we?"
00:07:45.465,00:07:47.175,Hammer and chisel.
00:07:52.138,00:07:54.557,"All right, all right! Let's do it your way."
