start,end,script
00:18:55.500,00:18:57.166,My name is Nile.
00:18:57.250,00:18:59.250,I am an American Marine.
00:20:03.541,00:20:05.083,We will leave you in peace.
00:58:57.333,00:58:58.166,"Nicolo, wake up."
00:59:01.541,00:59:02.666,Wake up.
00:59:02.750,00:59:03.583,Wake up!
00:59:03.666,00:59:04.541,I'm here.
00:59:05.583,00:59:06.416,I'm here.
00:59:07.375,00:59:08.791,Wherever here is.
00:59:09.833,00:59:10.958,In an armored van.
00:59:12.000,00:59:12.875,They used gas.
01:15:31.666,01:15:32.958,We should go back there.
01:15:34.958,01:15:36.208,That would be nice.
00:00:42.791,00:00:46.875,"over and over again, and each time the same question."
00:00:50.750,00:00:52.541,Will this time be the one?
00:00:54.000,00:00:56.000,And each time the same answer.
00:00:58.458,00:01:00.291,And I'm just so tired of it.
00:02:16.375,00:02:17.333,You travel?
00:02:18.000,00:02:18.958,I did.
00:02:20.625,00:02:21.875,And I got you something.
00:02:21.958,00:02:22.958,What's that?
00:02:24.166,00:02:26.958,"-Ooh, first edition Don Quixote. -Mmm-hmm."
00:02:27.041,00:02:29.166,-That couldn't have been cheap. -It wasn't.
00:02:29.958,00:02:31.666,"So why am I here, Booker?"
00:02:38.208,00:02:39.250,He's freelance now.
00:02:39.333,00:02:42.083,He has a hostage situation in South Sudan.
00:02:42.791,00:02:45.333,"No, Booker. We don't do repeats. You know that."
00:02:45.416,00:02:46.375,It's too risky.
00:02:48.416,00:02:49.291,Andy.
00:02:53.416,00:02:54.375,Joe and Nicky?
00:02:55.291,00:02:56.250,At the hotel.
00:03:08.791,00:03:10.458,"Thank you. Welcome to El Fenn, sir."
00:03:32.208,00:03:34.125,Would you like me to take one for you?
00:04:10.416,00:04:12.333,-You look great. -You look okay.
00:04:19.000,00:04:21.375,And I have something for you.
00:04:21.458,00:04:22.541,Nicky!
00:04:28.333,00:04:29.666,"Five hundred, Booker."
00:04:42.166,00:04:43.500,Mmm!
00:04:46.291,00:04:47.666,"Hazelnut, not walnut."
00:04:49.375,00:04:50.333,The Black Sea.
00:04:52.041,00:04:53.083,Rosewater.
00:04:55.125,00:04:56.375,Pomegranate.
00:05:02.375,00:05:03.208,Eastern Turkey.
00:05:17.208,00:05:18.833,"Admit it, boss. You missed us."
00:05:21.416,00:05:22.250,I did.
00:05:25.083,00:05:26.208,"It's a job, guys."
00:05:27.625,00:05:28.958,We can do some good.
00:05:29.041,00:05:31.000,Have you been watching the news lately?
00:05:32.416,00:05:33.750,Some good means nothing.
00:05:37.375,00:05:38.875,"I don't know about this, guys."
00:05:39.375,00:05:40.458,We're not helping.
00:05:44.416,00:05:47.333,"I know you needed a break, but it's been over a year, boss."
00:05:47.875,00:05:49.333,"This is what we do, Andy."
00:05:58.666,00:05:59.708,I'll hear him out.
00:06:30.833,00:06:32.916,"Mr. Booker, bonjour."
00:06:33.625,00:06:42.625,"-It's a pleasure to finally meet you. -Last time I checked, Moved to London when I was three."
00:06:43.458,00:06:45.333,"So why did you leave the agency, Mr. Copley?"
00:06:47.250,00:06:48.375,My wife got sick.
00:06:49.458,00:06:50.291,ALS.
00:06:51.125,00:06:52.458,She died two years ago.
00:06:52.541,00:06:54.458,Just haven't found my way back yet.
00:06:54.541,00:06:56.083,-Sorry for your loss. -Thank you.
00:06:57.166,00:06:58.791,"You haven't aged a day, Booker."
00:07:02.791,00:07:07.375,"Yesterday afternoon local, a school southwest of Juba was attacked by a militia."
00:07:07.875,00:07:11.375,They murdered the teachers and abducted 17 of the students at gunpoint.
00:07:12.500,00:07:13.916,The youngest was eight...
00:07:15.041,00:07:16.041,"oldest, 13."
00:07:18.000,00:07:25.000,"South Sudanese asked the US for help, but current administration's policy is to deny aid to any nonstrategic allies."
00:07:26.291,00:07:28.916,Some of my ex-colleagues at the CIA feel differently.
00:07:30.208,00:07:32.541,"They reached out to me, and I'm reaching out to you."
00:07:34.250,00:07:36.791,The last overfly confirmed the personnel on site.
00:07:39.916,00:07:41.625,No food or water being brought in.
00:07:49.875,00:07:55.416,"And when they do, most likely they'll be separated, and odds are we'll never find them again."
00:07:56.500,00:07:57.791,Has to be done quickly...
00:07:58.208,00:08:01.041,"by the best, and your team's the best I've ever seen."
00:08:01.458,00:08:02.666,You can name your price.
00:08:10.625,00:08:12.291,We'll invoice you when it's done.
00:12:29.708,00:15:09.416,Motherfuck-- Very pissed off.
00:15:10.250,00:15:11.500,So where are the girls?
00:15:18.291,00:15:19.708,There never were any girls.
00:15:29.500,00:15:30.833,We've been set up.
00:15:56.333,00:15:57.208,Yeah.
00:16:16.625,00:16:19.416,One has to admire Mr. Copley's attention to detail.
00:16:20.541,00:16:23.833,Those shoes were a particularly grotesque touch.
00:16:23.916,00:16:25.375,I knew this was gonna happen.
00:16:25.875,00:16:27.166,I said it.
00:16:27.250,00:16:28.291,"We did it right, Andy."
00:16:28.375,00:16:31.250,"-For the right reasons. -And what did it get us, Nicky? What?"
00:16:33.458,00:16:34.291,Nothing.
00:16:35.083,00:16:36.500,We've done nothing.
00:16:37.166,00:16:39.166,The world isn't getting any better.
00:16:39.250,00:16:40.541,It's getting worse.
00:16:40.625,00:16:42.833,"I checked him completely, and..."
00:16:43.666,00:16:44.875,everything seemed legit.
00:16:47.125,00:16:48.291,"I'm sorry, guys."
00:16:48.708,00:16:51.166,They know who we are. They know what we are.
00:16:54.458,00:16:55.916,We have to find Copley.
00:16:59.041,00:17:00.500,We have to tie this thing off.
00:17:00.583,00:17:02.541,-And then what? -And then nothing.
00:17:06.916,00:17:08.875,The world can burn for all I care.
00:17:17.250,00:17:18.083,I'm done.
00:18:01.916,00:18:03.125,"Freeman, where you at?"
00:18:03.666,00:18:04.500,"Here, Sergeant."
00:18:09.291,00:18:11.708,The women are holed up in the house with the arches.
00:18:12.208,00:18:14.208,Take a right at the building with the red carpet.
00:18:14.291,00:18:16.375,-Get me some information. -Roger that.
00:18:31.833,00:18:33.208,Never hurts to repeat it.
00:19:06.125,00:19:10.208,He has killed many of our people and many of yours.
00:19:13.583,00:19:15.500,Have any of you seen him?
