start,end,script
00:00:45.795,00:00:48.631,but it was all over in just seven days.
00:00:49.299,00:01:00.143,"All that long, long time ago… none of the things we can see now-- the sun, the moon, the stars, the earth… the animals and plants-- not a single one existed."
00:01:00.393,00:01:04.814,Only God existed… and so only He could have created them.
00:01:05.106,00:01:06.691,And He did.
00:03:19.824,00:03:21.618,I wonder whatever became of him.
00:03:36.216,00:03:38.134,"Mr. Tuttle, your hair."
00:03:46.309,00:03:47.477,Yes?
00:03:47.602,00:03:52.607,"Good morning, ma'am. We've come about the-- Oh, yes, of course."
00:03:54.359,00:03:55.568,Come in.
00:03:57.111,00:03:59.155,I wasn't expecting you so soon.
00:04:07.288,00:04:08.539,You are…?
00:04:08.873,00:04:10.333,"I'm Bertha Mills, ma'am."
00:04:10.667,00:04:12.794,And this is Edmund Tuttle.
00:04:12.877,00:04:14.420,"Pleased to meet you, ma'am."
00:04:14.504,00:04:15.797,You must be the gardener.
00:04:16.589,00:04:18.258,That's right. The gardener.
00:04:18.633,00:04:21.928,And this young lady is called Lydia.
00:04:23.096,00:04:25.056,Have you had much experience in service?
00:04:25.139,00:04:27.934,"Oh, don't let that angel face fool you, ma'am."
00:04:28.643,00:04:30.186,She's older than she looks.
00:04:30.812,00:04:32.105,Can you iron?
00:04:37.485,00:04:40.321,"Uh… She can't talk, ma'am."
00:04:40.989,00:04:42.532,The poor little mite's a mute.
00:04:43.199,00:04:44.033,Oh.
00:04:44.200,00:04:46.911,"Oh, but she's a good little worker. I can promise you that."
00:04:48.121,00:04:49.330,All right.
00:04:50.081,00:04:52.417,"All right. The other girl I had spoke too much, anyway."
00:04:52.500,00:04:57.505,"Follow me. Mrs. Mills, you and the girl you will sleep in the attic room at the top of the stairs."
00:04:57.839,00:04:59.590,"And you, Mr…."
00:05:01.509,00:05:05.763,"Tuttle, you could sleep in the shed around the back."
00:05:06.639,00:05:11.561,"As you can see, the housework has been rather neglected… since the servants disappeared almost a week ago."
00:05:12.270,00:05:13.938,You mean they just vanished?
00:05:14.355,00:05:15.398,Into thin air.
00:05:16.149,00:05:18.818,"No notice, nothing. They didn't even collect their wages."
00:05:18.901,00:05:21.738,They… they just left us.
00:05:21.904,00:05:23.698,What a strange thing to do.
00:05:24.741,00:05:28.619,You'll soon find out there are times when this house is not exactly an ideal home.
00:05:29.704,00:05:34.584,"Hence my advertisement in the newspaper… requesting honest, hard-working people."
00:05:35.209,00:05:37.795,There's nobody more honest or hard-working than us.
00:05:37.879,00:05:39.213,"Isn't that right, Mr. Tuttle?"
00:05:39.297,00:05:40.590,"Oh, aye, we're very honest."
00:05:41.424,00:05:44.427,"And, um, very hard-working."
00:05:47.597,00:05:48.848,The kitchen.
00:05:50.016,00:05:53.811,I have breakfast at 8:00… the children at 9:00.
00:05:54.270,00:05:57.190,Lunch will be served at 1:00 and dinner at 7:30.
00:06:01.944,00:06:06.282,The master went off to war… a year and a half ago.
00:06:07.075,00:06:09.243,I've had no news since the war ended.
00:06:10.495,00:06:12.288,Which of you does the cooking?
00:06:14.665,00:06:16.042,Which of you does the cooking?
00:06:16.709,00:06:18.461,You'll notice what I'm doing.
00:06:19.045,00:06:24.425,"In this house, no door must be opened without the previous one being closed first."
00:06:24.509,00:06:26.552,It is vital that you remember this.
00:06:27.095,00:06:28.888,It's not as easy as it may seem.
00:06:29.097,00:06:34.602,There are 15 different keys for all of the 50 doors… depending on which area of the house you're in at the time.
00:06:35.686,00:06:40.525,"Mrs. Mills, from tomorrow onwards… I will be leaving a set of keys in your charge."
00:06:40.942,00:06:42.193,"Yes, ma'am."
00:06:42.735,00:06:44.320,The music room.
00:06:44.403,00:06:46.572,That old piano was already here when we moved in.
00:06:46.656,00:06:49.617,Please do not let the children thump away on it.
00:06:50.785,00:06:52.203,It sets off my migraine.
00:06:52.620,00:06:56.415,Silence is something that we prize very highly in this house.
00:06:57.333,00:07:02.046,"That is why you will not find a telephone, a radio… or anything else that makes a racket."
00:07:02.338,00:07:04.382,"Oh, we don't have electricity, either."
00:07:04.882,00:07:09.470,"During the war, the Germans kept cutting it off… so we learned to live without it. Let's continue."
00:07:09.554,00:07:12.181,"Ma'am, there's no need to show us the whole house."
00:07:14.058,00:07:15.393,"Yes, there is."
00:07:16.769,00:07:19.272,"Most of the time, you can hardly see your way."
00:07:19.355,00:07:27.989,"It's often difficult to make out if there is a table, a chair, a door, a sideboard… or one of my children playing hide and seek."
00:07:28.614,00:07:30.116,"What do you mean, ma'am?"
00:07:32.160,00:07:34.579,Perhaps I should introduce you to the children.
00:07:40.751,00:07:42.795,"Mr. Tuttle, you can see to the garden now."
00:07:42.879,00:07:44.046,You'll find tools in the shed.
00:07:44.130,00:07:45.214,"Yes, ma'am."
00:07:45.756,00:07:47.717,You two can start closing the curtains.
00:07:48.551,00:07:49.802,All of them.
00:08:20.124,00:08:21.209,Come.
00:08:32.678,00:08:34.472,I'll wake them. You wait here.
00:08:36.140,00:08:38.100,"Whatever you do, don't open the curtains."
00:08:41.687,00:08:43.272,"Wakey, wakey."
00:08:48.653,00:08:50.863,"Eyes closed, hands together."
00:08:54.742,00:08:56.953,"Jesus, to whom now I pray."
00:08:57.036,00:09:01.290,Blessed be the Virgin pure… whom I greet with faith too short.
00:09:01.374,00:09:05.962,"Jesus, Mary, spotless rose… keep us till this day doth close."
00:09:14.554,00:09:16.556,What sweet little children.
00:09:18.015,00:09:20.935,Well… what do you say?
00:09:21.602,00:09:23.020,How do you do?
00:09:23.896,00:09:24.981,How do you do?
00:09:26.232,00:09:27.942,"How do you do, children?"
00:09:28.609,00:09:33.573,My name is Mrs. Mills… but you can call me Bertha if you like.
00:09:35.866,00:09:36.951,Anne.
00:09:37.034,00:09:38.119,Nicholas.
00:09:38.244,00:09:42.415,Anne and Nicholas. What pretty names.
00:09:42.790,00:09:44.792,Are you going to be our new nanny?
00:09:46.460,00:09:47.461,Mm-hmm.
00:09:49.046,00:09:51.966,"Yes, my dears. I'm your new nanny."
00:09:52.258,00:09:53.843,It's time for their breakfast.
00:09:53.926,00:09:56.178,"Lydia, go to the kitchen and close every shutter."
00:10:03.561,00:10:05.813,The doctors were never able to find a cure.
00:10:08.357,00:10:09.650,Their condition.
00:10:10.985,00:10:13.821,The children have a very serious allergy to light.
00:10:14.864,00:10:19.035,They are photosensitive and must never be exposed to any light much stronger than this.
00:10:20.369,00:10:26.751,"Otherwise, in a matter of minutes… they will break out in sores and blisters and begin to suffocate."
00:10:26.959,00:10:28.544,It would eventually be fatal.
00:10:32.173,00:10:33.799,I don't like this toast.
00:10:33.883,00:10:35.343,Oh? Why not?
00:10:35.468,00:10:37.303,It tastes funny.
00:10:37.762,00:10:39.430,I liked it better before.
00:10:39.764,00:10:43.517,"That's because before, somebody else made it."
00:10:44.393,00:10:46.187,When are they coming back?
00:10:48.356,00:10:49.774,"They're not coming back, child."
00:10:50.608,00:10:52.068,Just like Daddy.
00:10:53.027,00:10:55.321,"Daddy is coming back, though."
00:11:00.951,00:11:03.037,"I know, but he's in France."
00:11:03.120,00:11:06.457,"That's enough, chatterboxes. Finish up your breakfasts."
00:11:07.750,00:11:09.251,"Are you going to leave us, too?"
00:11:11.504,00:11:12.963,Of course not!
00:11:16.467,00:11:20.137,"The others said they wouldn't… but they did, and then it happened."
00:11:21.055,00:11:22.139,Be quiet!
00:11:24.225,00:11:27.395,"What do you mean, Anne? What happened?"
00:11:29.522,00:11:33.109,Mummy went… mad.
00:11:35.152,00:11:36.612,"-Yes, it did. -No, it didn't!"
00:11:36.737,00:11:37.696,"Yes, it did!"
00:11:41.867,00:11:47.081,What's going on? I want those plates empty… in less than a minute. Is that clear?
00:11:50.876,00:11:52.711,"Mrs. Mills, would you come outside a moment?"
00:11:53.254,00:11:54.630,I'd like a word with you.
00:11:56.757,00:11:57.925,"Yes, ma'am."
00:12:02.513,00:12:04.890,The postman usually comes every Wednesday.
00:12:06.100,00:12:08.936,But I just checked the letter box and this week he hasn't.
00:12:10.604,00:12:11.730,"I'm afraid I don't follow, ma'am."
00:12:12.231,00:12:16.235,This letter should have been collected and delivered to the newspaper five days ago.
00:12:16.527,00:12:18.028,It's an advertisement for servants.
00:12:18.112,00:12:21.740,"Since it was never published, would you explain what you're doing here?"
00:12:22.283,00:12:23.868,"Oh, I understand."
00:12:25.119,00:12:29.540,"Ma'am, that's what I was going to say to you… when you opened the door to us."
00:12:29.957,00:12:33.961,The truth is that we just come by on the off chance.
00:12:34.628,00:12:38.841,A big house like this… is always in need of someone who knows the ropes.
00:12:38.924,00:12:41.302,You've served in a house like this one before?
00:12:41.760,00:12:47.933,"This may come as a surprise to you, ma'am, but… We, in fact, used to work here."
00:12:49.560,00:12:50.561,Here?
00:12:50.644,00:12:53.731,"Oh, now, 'twas a few years ago."
00:12:55.399,00:13:00.821,"If you don't mind my saying so, ma'am… they were the best years of my life."
00:13:02.406,00:13:07.036,"That's why we come by, because this house… means a lot to us."
00:13:08.496,00:13:10.664,"Perhaps I'd best show you our references, ma'am."
00:13:10.748,00:13:13.042,"No, no, no. Don't bother. There's no need."
00:13:13.125,00:13:15.294,So you say you know the house well?
00:13:15.586,00:13:17.838,Like the back of my hand.
00:13:18.255,00:13:23.219,That is assuming the walls haven't sprouted legs and moved in the meantime.
00:13:23.427,00:13:25.554,The only thing that moves here is the light.
00:13:29.266,00:13:30.893,But it changes everything.
00:13:35.940,00:13:38.192,"It's rather difficult, to say the least."
00:13:39.652,00:13:43.489,One might almost say… unbearable.
00:13:46.200,00:13:48.911,The only way of enduring it is by keeping a cool head.
00:13:50.204,00:13:51.539,"Oh, yes, ma'am."
00:13:51.914,00:13:53.791,I don't like fantasies.
00:13:54.708,00:13:56.544,Strange ideas. Do you know what I mean?
00:13:57.711,00:14:00.005,"I think so, ma'am."
00:14:00.089,00:14:02.508,My children sometimes have strange ideas.
00:14:04.760,00:14:06.845,But you mustn't pay any attention to them.
00:14:07.805,00:14:09.265,Children will be children.
00:14:10.724,00:14:12.268,"Yes, of course, ma'am."
00:14:13.060,00:14:14.061,All right.
00:14:16.522,00:14:17.314,&lrm;You can stay.
00:14:19.358,00:14:20.943,"Thank you very much, ma'am."
00:14:33.080,00:14:34.498,It did happen.
00:14:45.718,00:14:51.849,The Roman governor tried to make them change their minds afterwards… To make them change their minds. Full stop.
00:14:52.516,00:14:54.393,Afterwards… Mm-hmm.
00:14:54.476,00:14:56.020,He ordered them to be beaten.
00:14:56.312,00:15:02.902,"But Justus and Pastor, far from being afraid… rejoiced and showed themselves willing to die for Christ."
00:15:03.652,00:15:08.032,When he saw this… the Roman governor was filled with rage and ordered their heads to be cut off.
00:15:13.454,00:15:15.331,What do you find so amusing?
00:15:17.374,00:15:20.377,"Well… Well, what?"
00:15:20.669,00:15:23.130,Those children were really stupid.
00:15:24.089,00:15:24.715,Why?
00:15:24.798,00:15:29.178,Because they said they only believed in Jesus… and then they got killed for it.
00:15:29.887,00:15:32.014,"And what would you have done, deny Christ?"
00:15:33.766,00:15:38.437,"Inside I would have believed in him, but I wouldn't have told the Romans that."
00:15:41.190,00:15:43.108,"Is that what you think, too, Nicholas?"
00:15:47.279,00:15:48.322,I see.
00:15:49.740,00:15:53.285,So you would have lied to the point of denying Christ.
00:15:53.369,00:15:56.997,"You'd have saved your heads from the Romans, that's true."
00:15:57.456,00:15:59.208,But what would have happened afterwards?
00:15:59.291,00:16:00.334,When?
00:16:00.918,00:16:02.461,In the next life.
00:16:03.212,00:16:05.464,The one waiting for us after we die.
00:16:05.547,00:16:06.799,-Where would you have gone? -Oh.
00:16:06.924,00:16:08.008,Ah.
00:16:08.717,00:16:09.677,"Where, Nicholas?"
00:16:09.969,00:16:11.553,To the children's limbo.
00:16:11.637,00:16:13.430,"What is the children's limbo, Anne?"
00:16:13.514,00:16:14.807,One of the four Hells.
00:16:15.557,00:16:16.266,Which are?
00:16:20.604,00:16:21.981,"Me, me, me! Me!"
00:16:22.064,00:16:24.608,No. Let him answer. Which are?
00:16:24.984,00:16:30.948,There's the Hell where the damned go… then there's Purgatory… Yes.
00:16:31.031,00:16:34.284,And the bosom of Abraham where they just go… and limbo where children go.
00:16:34.410,00:16:35.786,At the center of the earth.
00:16:35.869,00:16:37.913,"Where it's very, very hot."
00:16:38.914,00:16:42.501,That's where children go who tell lies… but they don't just go there for a few days.
00:16:42.584,00:16:43.877,"Oh, no."
00:16:44.169,00:16:47.673,"No, they're damned. Forever."
00:16:51.635,00:16:55.639,Try to imagine the end of eternity.
00:17:02.229,00:17:03.439,Forever.
00:17:05.441,00:17:08.736,Pain… forever.
00:17:10.195,00:17:11.697,I'm getting dizzy.
00:17:14.241,00:17:17.786,Now do you understand why Justus and Pastor told the truth?
00:17:21.623,00:17:23.208,All right.
00:17:23.459,00:17:27.087,Um… Open your readers at lesson six.
00:17:27.171,00:17:28.213,Can't we play?
00:17:28.297,00:17:29.923,You most certainly cannot.
00:17:30.007,00:17:33.761,"First you're going to read the lesson, then you're going to learn it by heart."
00:17:33.844,00:17:34.803,All of it?
00:17:34.887,00:17:38.390,Any more protests and there'll be no playing at all today.
00:17:38.891,00:17:42.436,"In fact, I think you can study in separate rooms."
00:17:43.687,00:17:45.189,"Yes, yes, yes!"
00:17:45.272,00:17:46.940,But we get scared if we're separated!
00:17:47.024,00:17:50.319,Scared? As if you weren't used to this house by now.
00:17:50.402,00:17:52.029,What if we see a ghost?
00:17:53.363,00:17:55.199,Has your sister been telling you one of her stories?
00:17:55.324,00:17:56.950,I haven't told him anything!
00:17:57.076,00:17:59.912,"If you see a ghost, you say, Hello… and continue on studying."
00:17:59.995,00:18:00.996,"Anne, come to the music room."
00:18:01.121,00:18:02.206,Why me?
00:18:02.331,00:18:04.124,Because I say so! Now come on.
00:18:04.666,00:18:06.043,Take your book.
00:18:06.543,00:18:09.379,"Nicholas, I want to see that lesson learned in less than an hour."
00:18:09.671,00:18:11.840,Mummy… What?
00:18:13.008,00:18:15.302,Give me a kiss.
00:18:15.385,00:18:17.262,Give me a kiss. Give me a kiss.
00:18:17.346,00:18:19.348,"Anne, wait for me outside."
00:18:19.723,00:18:21.391,You know I can't.
00:18:23.227,00:18:24.394,Over there.
00:18:27.064,00:18:30.275,"Mrs. Mills, close all the curtains."
00:18:30.984,00:18:33.028,My daughter is going to cross the living room.
00:18:33.779,00:18:34.905,"Yes, ma'am."
00:18:50.045,00:18:52.047,Mummy can't be with you all the time.
00:18:52.631,00:18:53.799,Hmm?
00:18:54.925,00:18:57.344,You must learn to be on your own.
00:18:59.888,00:19:01.306,Where's your rosary?
00:19:05.435,00:19:14.361,"Whenever you feel afraid… I want you to squeeze it with all your might… say an Our Father, and your fear will go away."
00:19:14.695,00:19:15.612,It won't.
00:19:15.696,00:19:18.031,"Yes, it will. Honestly."
00:19:19.783,00:19:22.411,Don't you see that when you do that the Lord is with you?
00:19:23.912,00:19:26.123,There's no reason to be afraid.
00:20:08.498,00:20:11.210,We all live in a house with our family.
00:20:11.585,00:20:17.341,"The family is usually made up of parents, children, and their grandparents."
00:20:17.424,00:20:27.226,We must be obedient… and we must never argue or fight with our brothers and sisters.
00:20:28.518,00:20:29.811,Do you have any children?
00:20:29.895,00:20:31.188,No.
00:20:31.772,00:20:37.069,Mr. Tuttle and the girl Lydia are all I've got… and I'm all they've got.
00:20:37.236,00:20:38.654,Was she born like that?
00:20:39.905,00:20:40.822,"Beg your pardon, ma'am?"
00:20:41.823,00:20:44.785,The girl. Was she born a mute?
00:20:45.744,00:20:46.828,No.
00:20:48.872,00:20:51.124,"I think I've finished here, ma'am."
00:20:51.208,00:20:55.504,"If you'll excuse me, I think I'll go and see if Mr. Tuttle needs a hand."
00:21:26.034,00:21:26.994,Nicholas!
00:21:32.291,00:21:33.959,"Nicholas, I'm coming!"
00:21:37.254,00:21:38.880,Oh!
00:21:41.091,00:21:42.050,Nicholas?
00:21:42.134,00:21:43.302,What's the matter?
00:21:43.385,00:21:44.344,Why were you crying?
00:21:44.428,00:21:46.555,I wasn't crying. I was reading.
00:21:47.347,00:21:51.184,But I just heard you… Anne!
00:22:01.486,00:22:02.863,Anne?
00:22:03.280,00:22:05.240,"I haven't learned it yet, Mummy."
00:22:05.699,00:22:06.867,Are you all right?
00:22:06.950,00:22:08.118,Yes.
00:22:09.036,00:22:10.329,Why were you crying?
00:22:10.412,00:22:11.747,I wasn't.
00:22:12.414,00:22:14.249,I just heard you a moment ago.
00:22:16.001,00:22:17.878,"There's no need to feel ashamed, darling."
00:22:17.961,00:22:19.171,I don't.
00:22:19.379,00:22:21.548,"If I'd been crying, I'd tell you."
00:22:21.673,00:22:23.800,"Oh, really. So I imagined it, did I?"
00:22:23.884,00:22:25.927,No. It was that boy.
00:22:26.678,00:22:27.929,What boy?
00:22:28.597,00:22:29.598,Victor.
00:22:30.807,00:22:31.975,Who's Victor?
00:22:33.185,00:22:35.270,The boy that was here a moment ago.
00:22:35.645,00:22:38.774,I told him to let me study… but he wouldn't stop crying.
00:22:39.649,00:22:41.485,I think he's a spoiled brat.
00:22:44.029,00:22:47.657,"Oh, did he, now? And why was he crying?"
00:22:47.741,00:22:54.039,Because he doesn't like this house… but he has to live here. His father's a pianist-- His father's a pianist?
00:22:54.122,00:22:58.210,Yes. I already told him he's not allowed to touch the piano.
00:22:58.293,00:22:59.628,"He isn't, is he, Mummy?"
00:23:01.421,00:23:03.590,"So, you've spoken to his father as well?"
00:23:03.673,00:23:05.467,"No, only with Victor."
00:23:05.550,00:23:07.052,His father's with the others in the hall.
00:23:07.135,00:23:09.304,I've just come from the hall. There's no one there.
00:23:11.306,00:23:14.059,They must've gone upstairs. They're viewing the house.
00:23:14.184,00:23:16.561,"That'll do, Anne! That's enough!"
00:23:18.105,00:23:19.189,Now why were you crying?
00:23:19.397,00:23:20.524,It was Victor!
00:23:20.607,00:23:21.733,So where is he now?
00:23:21.817,00:23:23.193,He went out through there!
00:23:23.318,00:23:27.614,Would you mind telling me how a boy can get in and out of this room if it's locked?
00:23:32.160,00:23:34.412,I thought I made myself quite clear.
00:23:35.372,00:23:38.667,No door is to be opened without the previous one being closed first.
00:23:38.750,00:23:40.836,Is that so hard to understand?
00:23:41.294,00:23:42.963,This house is like a ship.
00:23:43.046,00:23:47.717,The light must be contained as if it were water… by opening and closing the doors.
00:23:48.385,00:23:50.178,My children's lives are at stake!
00:23:51.429,00:23:53.181,Do not argue with me! Be quiet!
00:23:54.224,00:23:56.434,Which was the last of you to enter that room?
00:23:57.310,00:23:58.395,Lydia?
00:24:03.942,00:24:05.318,"That leaves you, then."
00:24:05.402,00:24:07.362,But I was in the hall the whole time.
00:24:07.445,00:24:09.739,And then I went out into the garden. You saw me with your own eyes.
00:24:10.157,00:24:12.450,I hope you are not suggesting that it was me!
00:24:13.743,00:24:18.331,Do you think that I would overlook such a thing and endanger the life of my own daughter?
00:24:25.380,00:24:27.674,You're not supposed to read at the table.
00:24:28.758,00:24:29.926,"Oh, really?"
00:24:30.010,00:24:32.721,Who's going to tell Mummy? You?
00:24:35.557,00:24:37.184,Or perhaps you?
00:24:43.690,00:24:45.275,Did you really see a boy?
00:24:46.526,00:24:48.195,Yes. He's called Victor.
00:24:50.780,00:24:52.407,Is he a ghost?
00:24:52.490,00:24:54.993,Don't be stupid. Ghosts aren't like that.
00:24:55.202,00:24:56.953,What are they like?
00:24:57.204,00:24:59.539,I've told you a thousand times.
00:24:59.623,00:25:02.334,They go about in white sheets and carry chains.
00:25:02.417,00:25:03.376,How do you know?
00:25:03.668,00:25:05.003,Because I've seen them.
00:25:05.086,00:25:06.546,They come out at night.
00:25:07.756,00:25:09.549,Fibber. Where?
00:25:16.765,00:25:17.807,You're stupid.
00:25:17.891,00:25:19.559,Not half as much as you.
00:25:19.643,00:25:21.770,I don't believe you saw that boy.
00:25:21.853,00:25:23.021,Believe what you like.
00:25:23.104,00:25:25.106,You'll soon be begging us to play with you.
00:25:46.336,00:25:48.129,Why have you opened the curtains?
00:25:48.213,00:25:49.089,It wasn't me.
00:25:49.172,00:25:50.090,"Who was it, then?"
00:25:50.840,00:25:52.259,It was Victor.
00:25:52.634,00:25:53.969,He's been doing it all night.
00:25:55.428,00:25:57.055,You're lying. I'm going to tell Mummy.
00:25:57.138,00:25:59.474,"-So I'm a liar, am I? -Yes."
00:26:00.392,00:26:04.521,"Victor, come out from behind that curtain so my stupid brother can see you."
00:26:14.531,00:26:16.074,Leave me alone.
00:26:16.157,00:26:18.034,"So you don't want to see him now, eh?"
00:26:18.326,00:26:19.828,You're a cowardly custard.
00:26:20.036,00:26:23.581,Cowardly cowardly custard.
00:26:25.667,00:26:28.003,"I'll just have to do it myself, then."
00:26:52.277,00:26:53.653,Tell him to leave the curtains alone.
00:26:53.737,00:26:54.904,He won't listen to me.
00:27:00.827,00:27:03.621,"Anne, please stop putting on that voice."
00:27:03.705,00:27:06.207,"You be quiet, cowardly custard."
00:27:09.878,00:27:11.212,and she'll kick you out.
00:27:15.342,00:27:18.219,"Anne, I'm going to tell Mummy about you."
00:27:18.303,00:27:20.722,Don't be stupid. Can't you see it's not me?
00:27:46.206,00:27:49.626,"She was fighting with me, and I told her to be quiet."
00:27:49.751,00:27:51.753,I'm fed up. Do you hear me?
00:27:52.462,00:27:53.797,I am fed up with you!
00:27:53.880,00:27:55.507,I didn't do anything!
00:27:59.135,00:28:06.684,Therefore the Lord God sent him forth from the garden of Eden… to till the ground from whence he was taken.
00:28:06.935,00:28:17.028,So he drove out the man… and placed to the east of the Garden of Eden… cherubims and a flaming sword which turned every way to keep the way of the Tree of Life.
00:28:17.487,00:28:19.572,There. I finished.
00:28:20.824,00:28:22.242,Very good.
00:28:24.661,00:28:27.372,Now you can ask the Virgin for forgiveness.
00:28:27.705,00:28:30.750,What? That's not what we agreed!
00:28:30.959,00:28:32.752,"We didn't agree anything, young lady."
00:28:33.044,00:28:35.755,"Today you're being punished, and you'll do as I say."
00:28:35.880,00:28:37.841,You can't make me ask the Virgin for forgiveness.
00:28:38.174,00:28:39.300,How dare you!
00:28:39.426,00:28:42.554,"Mummy, I won't ask forgiveness for something I didn't do!"
00:28:42.679,00:28:44.723,You told your brother someone else was in the room!
00:28:44.848,00:28:46.141,-There was! -You're lying!
00:28:46.307,00:28:46.975,I am not!
00:28:49.227,00:28:54.691,Anne… do you remember the story about Justus and Pastor?
00:28:55.233,00:28:57.986,Children who don't tell the truth end up in limbo.
00:28:58.570,00:29:03.992,"That's what you say, but I read the other day that limbo's only for children who haven't been baptized."
00:29:04.868,00:29:06.494,And I have!
00:29:10.165,00:29:14.294,of the burnt offering and laid it upon Isaac his son.
00:29:14.544,00:29:20.300,"And he took the fire in his hand and a knife… and they went, both of them together."
00:29:20.633,00:29:46.075,"And Isaac spake unto Abraham his father and said, 'My father…' and he said, 'Here I am, my son.' Did you look in on Nicholas?"
00:29:46.367,00:29:49.954,"Yes, ma'am. The little angel is fast asleep."
00:29:51.122,00:29:52.290,What about Anne?
00:29:52.791,00:29:54.167,Is she still on the stairs?
00:29:54.709,00:29:55.835,"Oh, yes, ma'am."
00:29:57.462,00:30:01.633,I'd prefer to have her where I can see her but I can't embroider in such poor light.
00:30:05.553,00:30:07.180,How long is this punishment going to go on?
00:30:07.263,00:30:08.681,It's been three days now.
00:30:09.516,00:30:10.809,It's up to her.
00:30:13.019,00:30:16.314,She's got to learn to swallow her pride and ask for forgiveness.
00:30:17.398,00:30:19.818,"Anyway, it's time she started to read the Bible."
00:30:21.152,00:30:24.364,"The priest will be very pleased to hear that, ma'am."
00:30:28.827,00:30:32.247,He told me yesterday he'd be by as soon as possible.
00:30:38.086,00:30:41.548,This fog doesn't exactly help. It's never lasted this long before.
00:30:41.631,00:30:43.299,"Oh, that's true, ma'am."
00:30:43.758,00:30:45.760,Even the seagulls have gone quiet.
00:30:48.805,00:30:50.014,Anne!
00:30:51.057,00:30:52.892,"Anne, I can't hear you."
00:30:58.147,00:31:02.735,"Incidentally, Mrs. Mills, I've had to put up with the noise of Lydia running around above my head."
00:31:02.819,00:31:05.947,She's been hurling backwards and forwards as if there were three of her.
00:31:06.573,00:31:10.743,Would you kindly tell her it's not necessary to kick up quite such a rumpus just to do a little cleaning?
00:31:11.661,00:31:13.788,I couldn't bear to get another migraine attack.
00:31:13.872,00:31:15.373,"I'll tell her, ma'am."
00:32:04.464,00:32:06.090,Now she's really gone too far.
00:32:06.758,00:32:09.218,Lydia! Lydia!
00:32:33.117,00:32:35.703,And the angel of the Lord-- What's going on up there?
00:32:35.787,00:32:38.289,"Nothing, Mummy. I'm just reading."
00:32:38.623,00:32:39.999,Did you hear it as well?
00:32:40.416,00:32:41.668,Hear what?
00:32:46.798,00:33:07.276,"And the angel of the Lord called unto Abraham out of Heaven the second time and said… 'By myself, I have sworn,' saith the Lord-- What was that?"
00:33:07.652,00:33:08.778,I don't know.
00:33:09.570,00:33:12.073,"Anne, tell me who's making that noise."
00:33:12.532,00:33:14.033,"I can't tell you, Mummy."
00:33:14.659,00:33:15.827,You tell me.
00:33:15.910,00:33:20.123,I told you there was someone in the room and you punished me.
00:33:20.206,00:33:21.374,Now I don't know what to say.
00:33:21.499,00:33:23.209,"Anne, I want the truth."
