start,end,script
00:01:07.484,00:01:10.403,"I mean, the poor thing's been taking care of her for years."
00:01:10.904,00:01:12.363,What she sacrificed.
00:01:22.916,00:01:24.918,"Well, what else is she gonna do?"
00:01:25.001,00:01:28.338,"Uh, I don't know. I don't think she even knows."
00:02:17.011,00:02:19.973,"Paloma, it's Charlotte Willmore."
00:02:23.143,00:02:25.478,"Anton, Paloma..."
00:02:27.814,00:02:31.192,"Anton, Paloma, it's Charlotte Willmore."
00:02:31.276,00:02:33.486,"Yes, it's me. Hi."
00:02:37.574,00:02:39.284,"Anton, Paloma. Hi."
00:02:39.367,00:02:41.786,It's Charlotte Willmore.
00:02:41.870,00:02:44.205,I don't know where you are in the world.
00:02:44.289,00:02:47.292,"Scouting young cellists somewhere exotic, I'm sure."
00:02:48.001,00:02:55.300,"Anyway, um, I know it's been forever, but my mother finally passed away and I'm not needed here anymore."
00:02:55.383,00:02:56.384,So...
00:02:56.467,00:02:59.512,"if it's okay, I'd like to come and join you."
00:04:28.601,00:04:30.603,Paloma and I are so sorry about your mother.
00:04:37.443,00:04:44.409,we are thrilled to bring our remarkable finalists together in Shanghai for one last concert.
00:04:44.826,00:04:56.045,"The Bachoff Academy in Boston, founded by my grandfather Emil in 1927, is quite frankly the premiere private music facility for young cellists in the world."
00:04:56.129,00:05:12.729,"And each year, we teach hundreds of day students in Massachusetts, but only a select handful are given the opportunity privilege, really, to reside and study at the Academy, which is why I'm so excited that the winner tonight will receive a four-year live-in scholarship to Bachoff."
00:05:18.192,00:05:34.000,"Now, the fact that my most prized protégé, Elizabeth Wells, one of the best young cellists on the planet, will be judging tonight's final concert is testament to just how talented these three young ladies are."
00:05:35.668,00:05:42.633,"Listening to Lizzie play music so... pure, so perfect is as close to God as you can get."
00:05:42.717,00:05:45.136,"Well, it's as close to God as I want to get for the time being."
00:05:47.055,00:05:49.766,But Lizzie's not the only surprise we have for you this evening.
00:05:49.849,00:05:55.480,"For four glorious years, I trained Charlotte Willmore at Bachoff."
00:05:55.855,00:06:07.492,"Charlotte was a rare and gifted talent poised for the type of greatness achieved by very few, but then as all of you know, Charlotte's beloved mother, Ruth, got sick."
00:06:08.910,00:06:13.373,"Charlotte put her career on hold, and went back home care for her mother."
00:06:13.956,00:06:15.792,This is the heart of Charlotte.
00:06:28.554,00:06:36.270,"I was thrilled that Charlotte reached out to Paloma and myself, thrilled that after nearly a decade, she's back in our lives."
