start,end,script
00:02:06.333,00:02:08.458,- Faster !
00:02:11.750,00:02:15.208,- Aah !
00:03:39.166,00:03:41.750,- Ohh !
00:07:09.792,00:07:13.250,- Mmm.
00:07:26.250,00:07:28.166,Mommy !
00:07:29.959,00:07:33.917,"Come, Rameses."
00:07:29.959,00:07:37.250,We will show Pharaoh your new baby brother-- - Moses.
00:08:17.667,00:08:20.291,"- Ha, ha !"
00:08:20.333,00:08:22.250,You run like mules.
00:08:26.625,00:08:31.792,"- Hey, Rameses, how'd you like your face carved on a wall ?"
00:08:31.834,00:08:34.750,How about now ?
00:08:36.208,00:08:39.750,You almost killed me !
00:08:39.792,00:08:42.083,"Oh, come on."
00:08:42.125,00:08:46.166,"- Oh, it's fun you want ?"
00:08:46.208,00:08:49.125,- Whoa !
00:08:52.208,00:08:55.125,Whoa ! Aah !
00:08:58.750,00:09:00.709,Ohh. Moses ?
00:09:00.750,00:09:03.959,Whoa !
00:09:07.291,00:09:11.083,Whoa !
00:09:19.333,00:09:22.291,"Come on, you."
00:09:22.333,00:09:25.375,"Come on, Moses. Admit it."
00:09:25.417,00:09:28.125,"Yes, but it's not much of a view."
00:09:28.166,00:09:32.542,Hyah ! Whoo !
00:09:32.583,00:09:35.875,- Hey !
00:09:35.917,00:09:39.291,"Second born, second place."
00:09:50.458,00:09:52.125,Whoa !
00:09:56.583,00:10:00.375,- Whoa !
00:10:17.834,00:10:20.792,Jump !
00:10:58.834,00:11:01.792,Whoo !
00:11:03.709,00:11:06.667,"we'll get in trouble for this, do you ?"
00:11:08.750,00:11:12.208,Why do the gods torment me...
00:11:12.250,00:11:17.750,"with such reckless, destructive, - blasphemous sons ?"
00:11:15.291,00:11:20.375,"- Father, hear what I-- Be still !"
00:11:21.917,00:11:27.333,"I seek to build an empire, and your only thought is to amuse yourselves..."
00:11:27.375,00:11:29.333,by tearing it down.
00:11:29.375,00:11:31.417,Have I taught you nothing ?
00:11:31.458,00:11:35.458,"You mustn't be so hard on yourself, Your Majesty."
00:11:35.500,00:11:38.667,It's not your fault your sons learned nothing.
00:11:38.709,00:11:40.667,- They learned blasphemy.
00:11:40.709,00:11:43.917,"Father, the fault is mine."
