start,end,script
00:01:33.750,00:01:35.417,"Time to get up, man."
00:01:37.792,00:01:39.917,"All right, Dad."
00:02:47.458,00:02:49.041,Should be here soon.
00:02:49.083,00:03:39.709,MAN: I think I should make a list.
00:03:39.750,00:03:42.166,For your birthday gifts?
00:03:42.208,00:03:44.834,"Well, you know you're only getting a couple of things, right?"
00:03:44.875,00:03:45.792,"Yeah, I know."
00:03:45.834,00:03:49.333,"Just to look at and study, so I can choose better."
00:03:49.375,00:03:52.667,"Okay, well, that's smart."
00:03:52.709,00:03:54.792,Can you spell everything you're thinking of?
00:03:54.834,00:03:56.291,I think so.
00:03:56.333,00:03:58.792,All right.
00:04:02.417,00:04:04.458,"How you doing in here, man?"
00:04:04.500,00:04:05.625,Okay.
00:04:12.667,00:04:14.542,Can we go to the park today?
00:04:14.583,00:04:15.709,After?
00:04:15.750,00:04:17.709,"Um. No, I gotta go to Oakland."
00:04:17.750,00:04:19.792,"Well, uh..."
00:04:19.834,00:04:21.500,Give me a kiss.
00:04:22.458,00:04:24.250,I'll talk to you later.
00:04:27.834,00:04:28.792,Excuse me.
00:04:30.208,00:04:31.792,"Oh. Excuse me, uh..."
00:04:31.834,00:04:34.583,"when is, uh, somebody gonna clean this off?"
00:04:37.417,00:04:38.500,And-- And-- And the Y?
00:04:38.542,00:04:39.792,The Y. We talked about this.
00:04:39.834,00:04:41.667,It's an I in happiness.
00:04:41.709,00:04:43.583,There's no Y in happiness.
00:04:45.792,00:04:47.667,I'm Chris Gardner.
00:04:47.709,00:04:51.667,I met my father for the first time when I was 28 years old.
00:04:51.709,00:04:58.917,"And I made up my mind as a young kid that when I had children, my children were gonna know who their father was."
00:05:00.875,00:05:02.959,This is part of my life story.
00:05:04.417,00:05:07.750,This part is called Riding the Bus.
00:05:14.291,00:05:16.500,What's that?
00:05:16.542,00:05:18.792,"It's a time machine, isn't it?"
00:05:18.834,00:05:21.375,Seems like a time machine.
00:05:21.417,00:05:22.834,That seems like a time machine.
00:05:22.875,00:05:24.709,It's a time machine.
00:05:24.750,00:05:25.750,This machine...
00:05:25.792,00:05:27.750,This machine on my lap...
00:05:27.792,00:05:29.750,"HOMELESS MAN: This guy, he has a time machine."
00:05:29.792,00:05:31.834,He-- He-- He travels.
00:05:29.792,00:05:33.083,He travels in the past with this machine and...
00:05:33.125,00:05:35.542,...it is not a time machine.
00:05:35.583,00:05:38.625,It's a portable bone-density scanner.
00:05:38.667,00:05:42.208,A medical device I sell for a living.
00:05:42.250,00:05:45.250,Thank you for the opportunity to-- To discuss it with you.
00:05:45.291,00:05:47.250,I appreciate it.
00:05:47.291,00:05:49.166,It's unnecessary.
00:05:49.208,00:05:52.291,"Well, maybe next-- Thank you."
00:05:52.333,00:05:56.041,It gave a slightly denser picture than an x-ray...
00:05:56.083,00:05:57.750,for twice the money.
00:06:00.500,00:06:02.333,Hey.
00:06:02.375,00:06:04.125,What happened?
00:06:04.166,00:06:05.750,"Look, I can't get Christopher today."
00:06:05.792,00:06:07.792,"Oh, no, you don't, Chris."
00:06:05.792,00:06:09.000,I need-- I'm back on at 7.
00:06:09.041,00:06:10.750,I know. I have got to go to Oakland.
00:06:10.792,00:06:17.542,"So I gotta get Christopher home, feed him, bathe him, get him in bed, and be back here by 7?"
00:06:17.583,00:06:19.125,And we got the tax bill notice today.
00:06:19.166,00:06:20.667,What are you gonna do about that?
00:06:20.709,00:06:21.917,Look. This is what we gotta do.
00:06:26.792,00:06:28.375,You see that car?
00:06:28.417,00:06:31.375,The one with the pretty yellow shoe on it?
00:06:31.417,00:06:32.667,That's mine.
00:06:32.709,00:06:34.959,There's no parking near hospitals.
00:06:35.000,00:06:37.750,That's what happens when you're always in a rush.
00:06:37.792,00:06:39.792,Thanks anyway.
00:06:39.834,00:06:41.917,"Uh-- Uh, maybe next quarter."
00:06:43.667,00:06:50.083,I needed to sell at least two scanners a month for rent and daycare.
00:06:50.125,00:06:55.458,I'd have to sell one more to pay off all of those tickets under my windshield wiper.
00:07:01.792,00:07:05.250,The problem is...
00:07:05.291,00:07:06.917,I haven't sold any for a while.
00:07:09.375,00:07:12.291,Since when do you not like macaroni and cheese?
