start,end,script
00:00:50.467,00:00:53.344,"Hello, world. Bailey. Take three."
00:00:59.851,00:01:02.228,I worked at Facebook in 2011 and 2012.
00:01:02.312,00:01:05.190,I was one of the really early employees at Instagram.
00:01:12.739,00:01:15.533,I helped start Mozilla Labs and switched over to the Firefox side.
00:01:23.041,00:01:26.169,My last job there was the senior vice president of engineering.
00:01:29.339,00:01:34.260,"Before that, um, I was the... the director of monetization at Facebook for five years."
00:01:34.344,00:01:40.225,"While at Twitter, I spent a number of years running their developer platform, and then I became head of consumer product."
00:01:40.308,00:01:46.689,"I was the coinventor of Google Drive, Gmail Chat, Facebook Pages, and the Facebook like button."
00:01:47.440,00:01:52.779,"Yeah. This is... This is why I spent, like, eight months talking back and forth with lawyers."
00:01:54.072,00:01:55.406,This freaks me out.
00:01:59.786,00:02:02.914,"I always felt like, fundamentally, it was a force for good."
00:02:03.414,00:02:05.375,I don't know if I feel that way anymore.
00:02:05.458,00:02:10.588,"I left Google in June 2017, uh, due to ethical concerns."
00:02:10.672,00:02:14.134,And... And not just at Google but within the industry at large.
00:02:14.217,00:02:15.385,I'm very concerned.
00:02:16.636,00:02:17.679,I'm very concerned.
00:02:19.097,00:02:27.814,It's easy today to lose sight of the fact that these tools actually have created some wonderful things in the world.
00:02:27.897,00:02:31.943,They've reunited lost family members. They've found organ donors.
00:02:32.026,00:02:40.285,"I mean, there were meaningful, systemic changes happening around the world because of these platforms that were positive!"
00:02:40.827,00:02:44.539,I think we were naive about the flip side of that coin.
00:02:45.540,00:02:48.585,"Yeah, these things, you release them, and they take on a life of their own."
00:02:48.668,00:02:52.005,And how they're used is pretty different than how you expected.
00:02:52.088,00:02:56.509,"Nobody, I deeply believe, ever intended any of these consequences."
00:02:56.593,00:02:59.554,There's no one bad guy. No. Absolutely not.
00:03:20.074,00:03:22.118,I'm trying to touch on many different problems.
00:03:35.423,00:03:37.675,the so-called Big Tech names are getting bigger.
00:03:37.759,00:03:40.929,The entire tech industry is under a new level of scrutiny.
00:03:41.012,00:03:46.142,And a new study sheds light on the link between mental health and social media use.
00:03:51.481,00:03:56.319,Tens of millions of Americans are hopelessly addicted to their electronic devices.
00:03:58.071,00:04:02.742,"that you can literally isolate yourself now in a bubble, thanks to our technology."
00:04:02.825,00:04:06.788,Fake news is becoming more advanced and threatening societies around the world.
00:04:06.871,00:04:10.250,We weren't expecting any of this when we created Twitter over 12 years ago.
00:04:10.333,00:04:14.754,White House officials say they have no reason to believe the Russian cyberattacks will stop.
00:04:14.837,00:04:18.132,YouTube is being forced to concentrate on cleansing the site.
00:04:24.097,00:04:26.224,"Hey, Isla, can you get the table ready, please?"
00:04:28.685,00:04:29.978,is making your child depressed.
00:04:35.400,00:04:43.741,"plastic surgeons have coined a new syndrome for it, Snapchat dysmorphia, with young patients wanting surgery so they can look more like they do in filtered selfies."
00:04:43.825,00:04:45.910,Still don't see why you let her have that thing.
00:04:45.994,00:04:47.412,What was I supposed to do?
00:04:47.495,00:04:49.580,"I mean, every other kid in her class had one."
00:04:50.164,00:04:51.165,She's only 11.
00:04:51.249,00:04:52.959,"Cass, no one's forcing you to get one."
00:04:53.042,00:04:55.086,You can stay disconnected as long as you want.
00:04:55.169,00:04:59.340,"Hey, I'm connected without a cell phone, okay? I'm on the Internet right now."
00:04:59.424,00:05:07.765,"Also, that isn't even actual connection. It's just a load of sh-- Surveillance capitalism has come to shape our politics and culture in ways many people don't perceive."
