start,end,script
00:01:35.470,00:01:37.347,Starting with borrowing a jacket.
00:02:16.136,00:02:19.431,"-Lovely, my dear. -Marvelous. Marvelous. Most enjoyable."
00:02:19.556,00:02:22.100,"Herbert Greenleaf. My wife, Emily."
00:02:22.225,00:02:23.602,Thank you. Tom Ripley.
00:02:23.685,00:02:25.395,-How do you do? -You were at Princeton.
00:02:25.479,00:02:28.815,"Most likely you'll know our son, Dick. Dickie Greenleaf."
00:02:33.320,00:02:34.655,Class of '56.
00:02:37.616,00:02:38.784,How is Dickie?
00:02:41.370,00:02:43.872,"Well, I do hope that you'll come out and see us."
00:02:43.955,00:02:46.750,-Thank you. That's very kind. -Both of you.
00:02:47.075,00:02:49.995,"-Herbert? -Yes, yes. I very much hope so."
00:02:50.128,00:02:53.173,"Of course, Dickie's idea of music is jazz."
00:02:55.930,00:02:58.595,"To my ear, jazz is just noise."
00:02:58.804,00:03:00.806,Just an insolent noise.
00:03:01.013,00:03:03.140,-It was very nice to meet you. -And you.
00:03:04.226,00:03:05.686,-Sir. -We'll see you at the shipyard.
00:03:05.811,00:03:07.521,-I hope to. Okay. -Good.
00:03:10.065,00:03:11.817,I have to run! I'm very late!
00:03:13.819,00:03:15.946,"-Ah, you were great! -You were great."
00:03:17.656,00:03:19.574,"Darling couple, aren't they?"
00:03:19.700,00:03:22.494,"Yes, they are. Exceptional young man."
00:03:24.871,00:03:27.249,-Thanks a lot for the jacket. -Thanks for filling in for me.
00:03:27.332,00:03:29.126,"Take care of that wrist. Bye, Fran."
00:03:39.720,00:03:41.304,You'll make yourself a fortune.
00:04:20.051,00:04:21.762,Sorry. Sorry.
00:04:23.513,00:04:24.765,I know. Sorry.
00:04:28.602,00:04:31.188,"Mongibello, south of Naples."
00:04:31.313,00:04:33.398,No kind of place at all.
00:04:35.442,00:04:41.239,"Marge, his, um, young lady, is supposedly writing some kind of book."
00:04:41.323,00:04:43.074,God only knows what he does.
00:04:43.200,00:04:47.412,"By all accounts, they spend the whole time on the beach or in a sailboat."
00:04:47.496,00:04:50.373,"That's my son's talent, spending his allowance."
00:04:50.999,00:04:54.085,"Could you ever conceive of going to Italy, Tom?"
00:04:54.586,00:04:57.506,Persuade my son to come home?
00:05:01.885,00:05:03.720,A thousand dollars.
00:05:06.473,00:05:11.520,"Well, I have always wanted to go to Europe, sir, but… Good."
00:05:12.395,00:05:13.814,Now you can go for a reason.
00:05:32.040,00:05:34.417,Duke Ellington? I don't know.
00:05:36.920,00:05:38.004,I don't know.
00:05:41.216,00:05:42.342,I don't know.
00:05:49.683,00:05:50.976,Dizzy Gillespie.
00:06:22.716,00:06:24.009,Charlie Parker?
00:06:24.759,00:06:26.970,Charlie Parker! I know it. It's Bird.
00:06:30.390,00:06:31.391,Yes!
00:06:55.916,00:06:57.959,-Here. I'll take it. -Thanks.
00:06:59.044,00:07:01.087,"That 1,000 bucks should come in handy."
00:07:01.254,00:07:02.714,"-Yes, sir. -I'll get that."
00:07:07.928,00:07:09.137,-Thank you. -Sir.
00:07:12.724,00:07:15.393,Mr. Greenleaf is personal friends with the Cunard people.
00:07:21.733,00:07:24.861,"I can tell you, the Greenleaf name opens a lot of doors."
00:08:06.444,00:08:08.238,-Ripley. -Follow me. No problem.
00:08:09.030,00:08:11.116,"-Here, Signor Ripley. -Okay."
00:08:12.283,00:08:14.411,"Uh, there. That one."
00:08:18.081,00:08:20.083,"-Just one suitcase, Signor Ripley? -Si."
00:08:38.518,00:08:40.895,-What's your secret? -Excuse me?
00:08:40.979,00:08:43.982,"No, it's just that… You are American, aren't you?"
00:08:45.942,00:08:51.156,"I have so much luggage, and you're so, um, streamlined."
00:08:51.239,00:08:53.283,"It's, you know, humiliating."
00:08:55.827,00:08:57.287,"I'm Meredith, by the way."
00:08:58.038,00:08:59.247,"Hello, uh, Dickie."
00:09:00.498,00:09:01.833,Meredith Randall.
00:09:02.625,00:09:03.710,"Um, Dickie Greenleaf."
00:09:04.044,00:09:04.961,Hello.
00:09:07.756,00:09:09.758,You're not the shipping Greenleafs?
00:09:10.425,00:09:12.093,"Oh, trying not to be."
00:09:12.886,00:09:14.220,Trying to jump ship.
00:09:14.596,00:09:17.891,"So, now, uh, did they put your cases in the wrong pile?"
