start,end,script
00:00:42.793,00:00:47.965,United Airlines announcing the arrival of Flight 9435 from Beijing.
00:00:47.965,00:00:50.634,"Customer service representative, please report to Gate C42."
00:01:00.895,00:01:06.358,All visitors to the US should line up at booths one through 15.
00:01:06.358,00:01:11.279,CUSTOMS OFFICIAL: Please have your I-94 forms filled out.
00:01:11.279,00:01:13.114,What's the purpose of your visit?
00:01:13.114,00:01:15.325,What is the purpose of your visit?
00:01:15.325,00:01:18.704,What is the purpose of your visit?
00:01:18.704,00:01:20.080,Just visiting. Shopping?
00:01:20.080,00:01:21.331,"Euh, plaisir."
00:01:21.331,00:01:23.333,It's pleasure.
00:01:23.333,00:01:26.461,How long will you be staying in the United States?
00:01:26.461,00:01:28.463,"Could I see your return ticket, please?"
00:01:28.463,00:01:29.840,What's the purpose of your visit?
00:01:29.840,00:01:32.217,Business or pleasure?
00:01:32.217,00:01:35.012,Enjoy your stay. Next.
00:01:35.012,00:01:38.640,"Please have your passports, immigration form, I-94..."
00:01:45.689,00:01:47.190,Stand by.
00:01:47.190,00:01:48.901,MAN: Copy that.
00:01:48.901,00:01:51.695,See this bunch of Mickey Mouse sweatshirts down here?
00:01:51.695,00:01:55.074,"That's the tour from China, connecting to Orlando."
00:01:55.074,00:02:01.121,When was the last time you saw a group of Chinese tourists on their way to Disney World and not a single one of them had a camera?
00:02:01.121,00:02:04.416,Possible forged documents on 10 and 11.
00:02:12.340,00:02:15.719,Sir. Sir.
00:02:17.345,00:02:20.265,Thank you.
00:02:20.265,00:02:23.769,"Welcome, Mr. Navorski."
00:02:23.769,00:02:25.479,Purpose of your visit?
00:02:27.689,00:02:30.025,Business or pleasure?
00:02:33.988,00:02:36.782,"OFFICER: Have your declarations forms ready, please."
00:02:44.123,00:02:46.166,"Sir, I have an IBIS hit on six."
00:02:47.542,00:02:51.463,"Mr. Navorski, please follow me."
00:02:53.214,00:02:58.804,...from Montreal must proceed to U.S. Immigration for claiming their luggage.
00:02:58.804,00:03:02.724,"All right, Mr. Navorski, we would like for you to wait right here, please."
00:03:03.350,00:03:04.685,"Next, please."
00:03:21.618,00:03:25.080,"THURMAN: What exactly are you doing in the United States, Mr. Navorski?"
00:03:30.044,00:03:33.047,"Yellow taxicab, please."
00:03:33.047,00:03:40.637,"Take me to Ramada Inn, 161 Lexington."
00:03:43.891,00:03:46.643,Staying at the Ramada Inn?
00:03:46.643,00:03:49.063,Keep the change.
00:03:49.063,00:03:51.231,Do you know anyone in New York?
00:03:52.273,00:03:53.942,Yes.
00:03:53.942,00:03:55.944,Who?
00:03:55.944,00:03:57.779,Yes.
00:03:57.779,00:04:00.407,Who?
00:04:00.407,00:04:01.783,Yes.
00:04:01.783,00:04:03.660,"No, do you know anyone in New York?"
00:04:03.660,00:04:04.953,Yes. Yes.
00:04:04.953,00:04:06.914,Who?
00:04:12.586,00:04:15.296,161 Lexington.
00:04:15.296,00:04:18.884,"Okay, Mr. Navorski, I'm gonna need to see your return ticket, please."
00:04:20.301,00:04:22.470,"No, your return ticket."
00:04:22.470,00:04:24.681,Oh. Yes.
00:04:24.681,00:04:25.933,Ah.
00:04:28.476,00:04:31.605,"Now, this is just a standard procedure."
00:04:31.605,00:04:34.900,"Uh, I'm going to need the passport also."
00:04:34.900,00:04:36.818,"Oh. Oh, okay."
00:04:36.818,00:04:38.112,"No, no, no."
00:04:38.112,00:04:41.322,"No, Mr. Navorski."
00:04:41.322,00:04:42.657,That.
00:04:42.657,00:04:44.451,Passport.
00:04:46.954,00:04:48.288,That.
00:04:54.836,00:04:57.923,Mr. Navorski?
00:04:57.923,00:05:03.220,"I'm Frank Dixon, I'm the Director of Customs and Border Protection here at JFK."
00:05:03.220,00:05:05.931,Which means that I help people with their immigration problems.
00:05:05.931,00:05:08.475,"Now, uh, we're looking for an interpreter for you."
00:05:08.475,00:05:12.353,How are we doing on that?
00:05:12.353,00:05:15.274,Okay. Uh...
00:05:15.274,00:05:16.608,Yes.
00:05:16.608,00:05:18.443,"Oh, you do? Okay."
00:05:18.443,00:05:20.654,Good. I hope you don't mind if I eat while we talk.
00:05:20.654,00:05:22.530,I've a bit of bad news.
00:05:22.530,00:05:28.162,It seems that your country has suspended all traveling privileges on passports that have been issued by your government.
00:05:28.162,00:05:33.583,And our State Department has revoked the visa that was going to allow you to enter the United States.
00:05:33.583,00:05:36.711,"That's it in a nutshell, basically, right?"
00:05:36.711,00:05:41.549,"Anyway, it seems that while you were in the air, there was a military coup in your country."
00:05:41.549,00:05:44.219,"Now, most of the dead were members of the Presidential Guard."
00:05:44.219,00:05:45.428,They were attacked in the middle of the night.
00:05:45.428,00:05:46.805,There was a terrible firefight.
00:05:46.805,00:05:49.183,"Uh, they got it all on GHN, I think."
00:05:49.183,00:05:51.977,"Anyway, there were very few civilian casualties."
00:05:51.977,00:05:57.024,"Mr. Navorski, your country was annexed from the inside."
00:05:57.024,00:05:59.567,The Republic of Krakozhia is under new leadership.
00:05:59.567,00:06:02.737,Krakozhia! Krakozhia.
00:06:04.198,00:06:06.449,Krakozhia. Hmm.
00:06:06.449,00:06:09.911,"I don't think, uh..."
00:06:09.911,00:06:13.248,"Uh, let me..."
00:06:13.248,00:06:16.543,"Imagine that these potato chips are Krakozhia, okay?"
00:06:16.543,00:06:18.295,Krakozhia.
00:06:18.295,00:06:19.713,Krakozhia.
00:06:19.713,00:06:21.340,Krakozhia.
00:06:21.340,00:06:23.217,Okay.
00:06:23.217,00:06:26.220,"So the potato chips are Krakozhia, okay?"
00:06:26.220,00:06:27.512,And this apple...
00:06:27.512,00:06:30.182,Big Apple.
00:06:30.182,00:06:33.060,...Big Apple represents the Liberty Rebels.
00:06:33.060,00:06:34.602,Okay?
00:06:36.855,00:06:39.191,No more Krakozhia.
00:06:39.191,00:06:41.068,New government.
00:06:41.068,00:06:43.153,Revolution.
00:06:44.738,00:06:48.283,So all the flights in and out of your country have been suspended indefinitely.
00:06:48.283,00:06:51.870,"And the new government has sealed all the borders, which means that your passport and visa are no longer valid."
00:06:51.870,00:06:55.874,"So, currently, you are a citizen of nowhere."
00:06:55.874,00:07:04.007,"Now, even if we could get you new papers, we couldn't process 'em until the United States recognizes your country's new diplomatic reclassification."
00:07:04.007,00:07:11.514,"See, you don't qualify for asylum, refugee status, temporary protective status, humanitarian parole or non-immigration work travel or diplomatic visas."
00:07:11.514,00:07:13.850,You don't qualify for any of these things.
00:07:13.850,00:07:16.686,You are at this time simply...
00:07:18.355,00:07:19.940,...unacceptable.
00:07:19.940,00:07:21.900,Unacceptable.
00:07:21.900,00:07:24.361,Unacceptable.
00:07:24.361,00:07:30.992,"Big Apple tour includes Brooklyn Bridge, Empire State, Broadway show Cats."
00:07:30.992,00:07:34.829,"Well, I got more bad news for you, Mr. Navorski."
00:07:34.829,00:07:36.497,Okay. Okay.
00:07:36.497,00:07:39.376,Now I go New York City.
00:07:39.376,00:07:41.128,"No, Mr. Navorski, look."
00:07:41.128,00:07:43.797,I cannot allow you to enter the United States at this time.
00:07:43.797,00:07:45.757,Uh...
00:07:45.757,00:07:47.717,We can't allow you to go home either.
00:07:47.717,00:07:49.510,"And the thing is, you don't really have a home."
00:07:49.510,00:07:51.554,Yes.
00:07:51.554,00:07:53.765,"I mean, it's like..."
00:07:53.765,00:07:55.392,"Do you ever see that show, huh?"
00:07:55.392,00:07:57.518,Do you get that show over there? Uh...
00:07:57.518,00:08:00.397,"Talking Tina, Nightmare at 30,000 Feet, Zanti Misfits."
00:08:00.397,00:08:02.983,"Zanti Misfits was Outer Limits, sir."
00:08:02.983,00:08:04.859,"Oh, really?"
00:08:04.859,00:08:07.112,Anyway...
00:08:08.738,00:08:11.241,"Okay, Mr. Navorski, come here. Walk with me."
00:08:11.241,00:08:13.868,"Here's my dilemma, Mr. Navorski."
00:08:13.868,00:08:17.831,"You have no legal right to enter the United States, and I have no legal right to detain you."
00:08:17.831,00:08:20.000,It seems that you have fallen through a small crack in the system.
00:08:20.000,00:08:21.793,I am crack.
00:08:21.793,00:08:28.633,"Yes. So, until we get this sorted out, I have no choice but to allow you to enter the International Transit Lounge, all right?"
00:08:28.633,00:08:32.095,"So, I am going to sign a release form that is going to make you a free man."
00:08:32.095,00:08:33.721,Free?
00:08:33.721,00:08:36.557,Free.
00:08:33.721,00:08:40.354,Free. Free to go anywhere you like within the confines of the International Transit Lounge.
00:08:40.354,00:08:41.980,Okay?
00:08:41.980,00:08:43.940,Okay.
00:08:43.940,00:08:46.401,Okay.
00:08:46.401,00:08:51.490,"I'm sure that Uncle Sam will have this all sorted out by tomorrow, and welcome to the United States."
00:08:52.949,00:08:54.659,Thank you.
00:08:54.659,00:08:56.661,All right.
00:09:15.722,00:09:17.349,Okay.
00:09:17.349,00:09:20.018,"Now, Mr. Navorski."
00:09:20.018,00:09:21.769,Mr. Navorski?
00:09:21.769,00:09:25.357,"Mr. Navorski, this is the International Transit Lounge."
00:09:25.357,00:09:28.318,You are free to wait here.
00:09:28.318,00:09:30.445,You can use them up in the Food Court.
00:09:30.445,00:09:32.906,Your Krakozhian money is no good here.
00:09:32.906,00:09:35.742,"This is a 15-minute, prepaid calling card."
00:09:35.742,00:09:38.328,"You may call home, if you like."
00:09:38.328,00:09:42.374,"This, in case we need to contact you, is a pager."
00:09:42.374,00:09:46.211,You must keep this with you at all times.
00:09:46.211,00:09:51.132,Here is an ID badge for you to get into CBP.
00:09:51.132,00:09:52.842,"Uh, Mr. Navorski?"
00:09:52.842,00:09:55.345,"Mr. Navorski, I'm going to need you to look at me."
00:09:55.345,00:09:58.348,Beyond those doors is American soil.
00:09:58.348,00:10:03.770,Mr. Dixon wants me to make it very clear to you that you are not to enter through those doors.
00:10:03.770,00:10:07.107,You are not to leave this building.
00:10:08.233,00:10:11.445,America closed.
00:10:11.445,00:10:14.531,What I do?
00:10:14.531,00:10:17.992,"There's only one thing you can do here, Mr. Navorski."
00:10:17.992,00:10:20.537,Shop.
00:10:20.537,00:10:24.624,"Ladies and gentlemen, passengers of flight 854..."
00:10:32.006,00:10:36.844,...the international communities try to make inroads to a peaceful resolution.
00:10:36.844,00:10:46.729,"Meanwhile, the troubled populace has to wonder if they will ever find political stability, or find the leadership to secure their place on the world stage."
00:10:46.729,00:10:48.648,"And next this hour, looking to buy a 90-foot yacht?"
00:10:48.648,00:10:50.317,Hey.
00:10:55.280,00:10:57.407,...taken hostage.
00:10:57.407,00:11:04.539,"We're also hearing now that the Vice President has been killed along with four cabinet members, 13 injured soldiers and 20 civilians."
00:11:04.539,00:11:07.584,"By dawn, rebel leaders had surrounded the state houses."
